Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002882_abnormal_neuron_morphology_	60/1006	0.0000000000000000103048223737605413098307966213595291100658751264258251867378390898011275567114353179931640625	0.0000000000000038230891006651609384215342987389591183035515188637365469048745580948889255523681640625	0.000000000000000010045171871679796885312878821535829745625303778349367289646210110731772147119045257568359375	0.00000000000000372675876439320430856889574165586006266443451495629091141381650231778621673583984375	-1.2925943260683388	42.911181452114384	PRRXL1;BARHL2;HMX3;UCN;FMR1;IHH;NR2E1;CELSR3;GLDN;DPYSL4;OPHN1;PITX2;MNX1;NKX6-2;SLC30A3;GRID1;CACNA2D2;SOX11;MAPK8IP2;POU3F1;ANK1;UCHL5;DNAJC6;ALDH1A2;SCN8A;KCNMA1;LMX1B;ROR2;PLEC;RTN4R;DLX2;SHC2;ZFP423;GUCY2E;UGT8A;DBX1;CRMP1;EFNA5;EGFLAM;LMNA;DRD2;EGR2;BDNF;GABRA5;HUWE1;ATP2B2;VAX1;PTPN13;POU4F2;GDNF;TLX3;LHX3;NBEA;TLX2;FEV;GJB6;LHX5;FAT4;SLC26A4;CRLF1
MP0002752_abnormal_somatic_nervous_	42/675	0.00000000000034170365485242437258641706270868932727481637190436458695330657064914703369140625	0.0000000000633860279751247224274449114202255144145947696188159170560538768768310546875	0.00000000000076124853365701942062995555039301589605842124353074495957116596400737762451171875	0.0000000001412116029933770983869147239980344939180856300708910566754639148712158203125	-1.500453666468856	35.23331938172287	PRRXL1;HRK;BARHL2;HMX3;UCN;SHC2;ZFP423;DLX2;GUCY2E;NR2E1;EFNA5;EFNB1;FGF8;EGFLAM;LMNA;MNX1;FOXD3;EGR2;NKX6-2;BDNF;GABRA5;GRID1;UNCX;CACNA2D2;EN1;SOX11;ATP2B2;POU3F1;VAX1;PTPN13;POU4F2;GDNF;LHX3;LMX1A;SCN8A;ALDH1A2;GJB6;KCNMA1;LMX1B;ROR2;FAT4;SLC26A4
MP0002184_abnormal_innervation_	18/161	0.000000000291331645164728576176277665747108187865865858157121692784130573272705078125	0.000000027021010089028576590647792829598394792611770753865130245685577392578125	0.0000000013489866453706583476204004727974118671429692994934157468378543853759765625	0.000000125118511358128570685682517081571685224616885534487664699554443359375	-1.832343485943752	31.931610665393297	PRRXL1;EGR2;GABRA5;SOX11;ATP2B2;PTPN13;EFNA5;CELSR3;POU4F2;GDNF;TLX2;FEV;ALDH1A2;KCNMA1;NPTX1;LMX1B;NPTX2;MNX1
MP0003635_abnormal_synaptic_transmissio_	31/453	0.000000000049001838248325571712226062440136511479116254719201606349088251590728759765625	0.00000000605989399670959575559819418485128783569138022357947193086147308349609375	0.0000000001390616860574660076932729699150290657294615215278099640272557735443115234375	0.00000001719729517577329586252798628888405207959522158489562571048736572265625	-1.5289566532648167	28.93026573787846	CHRNA3;FMR1;GRIK3;CRMP1;ADRA1D;DOC2B;SLC6A2;CACNA1H;OPHN1;DPYSL4;KCNN2;DRD2;KCNH3;BDNF;GABRA5;CACNA2D1;TMOD2;CACNA2D2;EN1;ATP2B2;AVPR1A;MAPK8IP2;NR2F6;CPEB1;NBEA;GDNF;SCN8A;KCNMA1;LMX1B;FGF12;CHST3
MP0002572_abnormal_emotion/affect_behav_	24/372	0.00000002522776751387636140250793543617080505470084972330369055271148681640625	0.0000017157431143081885470467844168052096165411057882010936737060546875	0.00000006044952586113627027150966251889396829710676684044301509857177734375	0.0000007281966026854096686867314804081363632803913787938654422760009765625	-1.888109819917184	25.065912071073317	RTN4R;UCN;BDNF;FMR1;EN1;NR2E1;AVPR1A;MAPK8IP2;SLC6A2;CRHR1;RASD2;CRHBP;GRIN3B;OPHN1;GJB6;FEV;SCN8A;GNAS;NKX2-1;LMX1B;DRD2;APBA2;FGF12;CHST3
MP0001943_abnormal_respiration_	26/438	0.0000000353569068654825491100751589344797221059479852556250989437103271484375	0.000001873916063870575063129314020982096877787625999189913272857666015625	0.0000000783246063764900729807573215475458017209575700690038502216339111328125	0.0000007281966026854096686867314804081363632803913787938654422760009765625	-1.6537102689450942	21.808271370328466	DLX2;IHH;DBX1;LTBP4;AQP5;CELSR3;CRHR1;LMNA;NKX2-1;RSPO2;DRD2;FOXD3;EGR2;BDNF;WNT7B;UNCX;SOX11;POU3F1;IGF2R;SSTR4;RIPPLY2;TLX3;P2RX2;SCN8A;GNAS;ROR2
MP0002063_abnormal_learning/memory/cond_	25/403	0.00000002774786707776046212322595420872450855398483327007852494716644287109375	0.0000017157431143081885470467844168052096165411057882010936737060546875	0.00000006418470816230709172524044985042035449396280455403029918670654296875	0.0000007281966026854096686867314804081363632803913787938654422760009765625	-1.6178026779788013	21.47740520535095	RTN4R;FMR1;CRMP1;ADRA1D;NR2E1;CRHR1;NEURL1A;OPHN1;NKX2-1;RAC3;KCNN2;DRD2;NPTX2;KCNH3;GABRA5;BDNF;TMOD2;AVPR1A;MAPK8IP2;KCNMA1;GNAS;AMPH;LMX1B;APBA2;FGF12
MP0002751_abnormal_autonomic_nervous_	9/61	0.00000082955750342596754176691283000355525700797443278133869171142578125	0.00002564715281425283255052442743515683787336456589400768280029296875	0.0000026542284739270591222178030665901360407588072121143341064453125	0.000082059896985578242834501183633477694456814788281917572021484375	-1.888539433073105	19.963897641575745	HRK;FOXD3;SHC2;GDNF;TLX2;BDNF;DBX1;IHH;SOX11
MP0002066_abnormal_motor_capabilities/c_	52/1482	0.00000042839607092566236314255746948920222649803690728731453418731689453125	0.0000158934942313420754143003799097044748123153112828731536865234375	0.00000044246793533926220337302898273634799153342100908048450946807861328125	0.00001641556040108662758102674172899781979140243493020534515380859375	-1.50682770199933	16.64984443125862	HMX3;BARHL2;FMR1;ADRA1D;HOXC13;SLC6A2;CELSR3;TGM1;HTR6;OPHN1;RAC3;NKX6-2;TMOD2;CACNA2D2;EN1;MAPK8IP2;POU3F1;ANK1;LMX1A;LOX;SCN8A;KCNMA1;LMX1B;CHST3;RTN4R;ZFP423;DLX2;UGT8A;LTBP4;CRHR1;ARNTL;RASD2;NEURL1A;LMNA;NKX2-1;KCNN2;DRD2;EGR2;BDNF;GABRA5;ATP2B2;IGF2R;SYT7;GRIN3B;NBEA;GDNF;FEV;GJB6;GNAS;SLC26A4;FGF12;APBA2
MP0002116_abnormal_craniofacial_bone_	22/467	0.000017255928159072057522828436137984908782527782022953033447265625	0.000376585255706807860327789416743371475604362785816192626953125	0.00002917325712227880084629304258125870319418027065694332122802734375	0.00060584236633061546405121244873726027435623109340667724609375	-1.8848976220384677	14.861222901066379	DDR1;FOXD3;DLX2;EGR2;CDX1;HOXD1;IHH;DMRT3;SOX11;VAX1;POU3F3;EFNB1;MN1;FGF8;LMX1A;LMNA;GNAS;RSPO2;ROR2;LMX1B;PITX2;HMX1
