Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Camptodactyly of finger (HP:0100490)	18/121	0.00000089263974699206670264384211321839757147245109081268310546875	0.001000649156378106800768801321055434527806937694549560546875	0.00004971130980487999096416318334235029396950267255306243896484375	0.04298619868748369821087607078879955224692821502685546875	-2.319298725680674	16.01964291676621	FBN2;WNT5A;LAMC2;FGD1;DLL3;EFNB1;NSD1;PRDM16;LMNA;PIEZO2;GPC3;ROR2;FAT4;BCOR;SCARF2;FGFR3;CRLF1;CHST3
Hypertelorism (HP:0000316)	29/328	0.0000306813903860802397803413110732861923679593019187450408935546875	0.00312671260207235922334856326187946251593530178070068359375	0.0014152462776540288870441575141967405215837061405181884765625	0.12288822431629566056532354423325159586966037750244140625	-2.580476403410279	14.883602418954705	LTBP4;FGF3;FGD1;EFNB1;RAI1;ARVCF;ZIC2;TCTN2;NSD1;LMNA;PIEZO2;FGF20;GPC3;ALX4;SOX9;SCARF2;MMP2;WNT5A;RIPK4;HSPG2;ANK1;BMP2;SMS;FAM20C;ROR2;FAT4;FGFR3;VSX1;CHST3
Autosomal dominant inheritance (HP:0000006)	74/1134	0.0000062520597508668938926111070808477876425968133844435214996337890625	0.0018554404029606113603334538453282220871187746524810791015625	0.00128003686821356356395629205735531286336481571197509765625	0.04298619868748369821087607078879955224692821502685546875	-2.31017799702307	14.530172221300244	MYLK2;FOXE3;KCNK9;IHH;HSPB1;AQP5;SLC6A2;JPH3;FGF8;KCNT1;ZIC2;GJA3;PIEZO2;SCN5A;SOX9;TEAD1;PITX1;MNX1;LHCGR;WNT5A;PAX6;ANK1;SSTR5;CACNB4;TST;PITPNM3;KCNMA1;KCNQ4;IRF6;ROR2;LMX1B;MATN3;DSC2;CHST3;PLEC;FBN2;FOXC2;KANK1;MAGEL2;CHRNA4;LHB;GATA4;HOXD10;ADCY5;FAM83H;RAI1;NSD1;PRDM16;LMNA;NKX2-1;GPC3;MYH14;ALX4;DRD2;WNT4;NTRK2;GSN;BDNF;GDF6;TBX5;TUBB4A;IGF2R;SLC6A5;BMP2;GNAL;DES;GDNF;GJB6;GNAS;UNC119;TLL1;COL9A3;FGFR3;VSX1
Cryptorchidism (HP:0000028)	32/379	0.00003032135225006995319914186726162341756207752041518688201904296875	0.00312671260207235922334856326187946251593530178070068359375	0.00159065381694619496950882098218471583095379173755645751953125	0.12288822431629566056532354423325159586966037750244140625	-2.483108362087519	14.322005648123897	MAGEL2;GATA5;GATA4;FGD1;DLL3;EFNB1;SOX3;ARVCF;FGF8;NSD1;TCTN2;PRDM16;PIEZO2;GPC3;ALX4;SOX9;WNT3;BDNF;WNT5A;RIPK4;TACR3;SOX11;PAX6;ANK1;HSPG2;GJB6;SMS;IRF6;ROR2;FAT4;BCOR;FGFR3
Broad toe (HP:0001837)	8/25	0.00000283836020429001504030114104437654276580360601656138896942138671875	0.0015909008945045534540174703153070367989130318164825439453125	0.000089419522176481869356161336082067236930015496909618377685546875	0.04298619868748369821087607078879955224692821502685546875	-2.203065247670131	14.195351395241502	EFNB1;BMP2;NPR2;WNT5A;GPC3;ROR2;UBE2A;FGFR3
Depressed nasal bridge (HP:0005280)	23/228	0.00002625760468773238420596427555864238456706516444683074951171875	0.00312671260207235922334856326187946251593530178070068359375	0.0009445085550636857056605588667252959567122161388397216796875	0.1176437878029324146655909544278983958065509796142578125	-2.385264516831629	13.757664548160403	CUL7;NPR2;FOXG1;WNT5A;TWIST2;SOX11;UBE2A;ANK1;PAX1;DLL3;RAI1;ZIC2;PRDM16;GNAS;GPC3;FAM20C;ALX4;ROR2;FAT4;SOX9;SCARF2;FGFR3;CRLF1
Sprengel anomaly (HP:0000912)	9/36	0.0000066206615627497284444036122763588281259217183105647563934326171875	0.0018554404029606113603334538453282220871187746524810791015625	0.00016046656754650423710485684924975657850154675543308258056640625	0.04298619868748369821087607078879955224692821502685546875	-2.094059867277221	13.170868457954283	EFNB1;CUL7;NPR2;SOX9;LMX1B;TBX5;GDF6;HSPG2;PAX1
Short neck (HP:0000470)	20/182	0.00002559671147072872994000791724289456396945752203464508056640625	0.00312671260207235922334856326187946251593530178070068359375	0.00079226908318545175881342235157944742240943014621734619140625	0.11101670528136142745978531820583157241344451904296875	-2.281888288848106	13.161413919848284	FBN2;CUL7;WNT5A;GATA4;UBE2A;GDF6;HSPG2;FGD1;DLL3;EFNB1;ARVCF;TCTN2;GNAS;PIEZO2;GPC3;FAM20C;ROR2;SOX9;CRLF1;CHST3
Lumbar hyperlordosis (HP:0002938)	9/37	0.000008451361378142480647117883163499385545947006903588771820068359375	0.00189479522097954424138255280496423438307829201221466064453125	0.0001917314838870816059469837089324073531315661966800689697265625	0.04298619868748369821087607078879955224692821502685546875	-2.058233430436759	12.902333692142294	NPR2;PIEZO2;IHH;LMX1B;HSPG2;FGFR3;MATN3;PLEC;CHST3
Limited hip movement (HP:0008800)	7/22	0.00001264372543777296712774575737636695293986122123897075653076171875	0.00236226936929058266290137879650501417927443981170654296875	0.00025873446071284530826950298632027624989859759807586669921875	0.048340221743183260649789900753603433258831501007080078125	-2.092420875829286	12.65523875472794	FBN2;MMP2;PIEZO2;SPEG;HSPG2;FGFR3;CHST3
Delayed eruption of teeth (HP:0000684)	13/86	0.00002430557602370873429066013005073187969173886813223361968994140625	0.00312671260207235922334856326187946251593530178070068359375	0.00051202078558460297798282656600576956407167017459869384765625	0.08199647152004856109908104144778917543590068817138671875	-2.1383771553280053	12.333674262479638	CUL7;MMP2;WNT5A;FGF3;FGD1;GJB6;LMNA;GNAS;FAT4;BCOR;ROR2;FGFR3;CHST3
Clinodactyly of the 5th finger (HP:0004209)	19/192	0.00016578979856134485226966390758462921439786441624164581298828125	0.0127599741864276063074701283994727418757975101470947265625	0.0033046688151746896576488321528586311615072190761566162109375	0.153611310720846161448349675993085838854312896728515625	-2.3418272003328995	10.213743564653297	CUL7;CHRNA7;WNT5A;IHH;GATA5;GATA4;FGD1;RAI1;EFNB1;BMP2;PRDM16;PIEZO2;GPC3;ROR2;LMX1B;BCOR;SCARF2;FGFR3;PITX1
Talipes equinovarus (HP:0001762)	15/129	0.0001357788522290903306978526732251566500053741037845611572265625	0.01218937830908489901304836422468724776990711688995361328125	0.002241120314644177990981432913031312637031078338623046875	0.12288822431629566056532354423325159586966037750244140625	-2.2315466801915673	9.834850965202497	FBN2;FOXG1;HSPG2;DES;SMS;PIEZO2;GPC3;FAT4;LMX1B;IRF6;SOX9;SCARF2;PITX1;CRLF1;CHST3
Pectus excavatum (HP:0000767)	15/135	0.0002256407360004155488418520203452999339788220822811126708984375	0.0154970682418904652510871500226130592636764049530029296875	0.0033499344097303400923093530394680783501826226711273193359375	0.153611310720846161448349675993085838854312896728515625	-2.209064496430539	9.205402424118162	CUL7;WNT5A;IHH;TBX5;HSPG2;FGD1;EFNB1;SMS;PIEZO2;GPC3;FAM20C;ROR2;LMX1B;SCARF2;FGFR3
Limited elbow extension (HP:0001377)	6/22	0.0001413576431918855437486204351671403856016695499420166015625	0.01218937830908489901304836422468724776990711688995361328125	0.00142510875656721102376633947272921432158909738063812255859375	0.12288822431629566056532354423325159586966037750244140625	-1.9372808697478707	8.537965528945413	NPR2;LMX1B;FGFR3;CRLF1;MATN3;CHST3
Brachydactyly syndrome (HP:0001156)	18/192	0.0004714949095225121913042831689466538591659627854824066162109375	0.0251688473130826755042033227027786779217422008514404296875	0.007126017006105214539324332889691504533402621746063232421875	0.2084195103447651076233881894950172863900661468505859375	-2.3047082329734043	8.486277425861608	BHLHA9;FOXG1;NPR2;WNT5A;IHH;GATA5;GATA4;LTBP2;FGD1;EFNB1;RAI1;BMP2;PRDM16;GNAS;ROR2;FGFR3;PITX1;CHST3
Broad forehead (HP:0000337)	11/77	0.00017074006493881721730800082870160849779495038092136383056640625	0.0127599741864276063074701283994727418757975101470947265625	0.002093247955700948403912065032272948883473873138427734375	0.153611310720846161448349675993085838854312896728515625	-1.9437656415183606	8.477621153870853	RAI1;CUL7;TCTN2;NSD1;GATA5;GATA4;FAT4;FGFR3;FGD1;CHST3;DLL3
Patent ductus arteriosus (HP:0001643)	14/125	0.000332699214570393564903427741086261448799632489681243896484375	0.01962925365965322022088201947553898207843303680419921875	0.004283985279091789312444493731391048640944063663482666015625	0.153611310720846161448349675993085838854312896728515625	-2.149900602317857	8.450688021516356	FBN2;FOXC2;FOXF1;GATA4;TBX5;ANK1;ARVCF;NSD1;PRDM16;LMNA;GPC3;ANKS6;BCOR;FGFR3
Narrow mouth (HP:0000160)	12/93	0.0002350135237396412907044662699007631090353243052959442138671875	0.0154970682418904652510871500226130592636764049530029296875	0.002869253669034468011422855937553322291933000087738037109375	0.153611310720846161448349675993085838854312896728515625	-2.019496404481211	8.415452390524532	BMP2;PRDM16;RIPK4;LMNA;PIEZO2;SPEG;FAM20C;FAT4;FGFR3;HSPG2;CRLF1;WNT3
Dental malocclusion (HP:0000689)	11/81	0.00026949446769693554716573746787844356731511652469635009765625	0.0167835165715702651356711072594407596625387668609619140625	0.00299699289780632101287682900192521628923714160919189453125	0.153611310720846161448349675993085838854312896728515625	-2.0264415897707746	8.282792305645705	FAM83H;RAI1;WNT5A;GNAS;GPC3;PAX6;BCOR;ROR2;FAT4;FGF3;PAX1
Radial deviation of finger (HP:0009466)	20/229	0.000587280208217984441010361962298702565021812915802001953125	0.029924596064198207001627594081583083607256412506103515625	0.00941554513246263026504667692506700404919683933258056640625	0.2084195103447651076233881894950172863900661468505859375	-2.3018720371195593	8.077440527341492	CUL7;CHRNA7;WNT5A;IHH;GATA5;GATA4;FGD1;EFNB1;RAI1;BMP2;PRDM16;PIEZO2;GPC3;ROR2;LMX1B;BCOR;SCARF2;FGFR3;PITX1;CRLF1
Low-set, posteriorly rotated ears (HP:0000368)	22/276	0.0010910070969598960159696598992695726337842643260955810546875	0.037976010389499097186227771771882544271647930145263671875	0.0168017974767156914872590078857683693058788776397705078125	0.2084195103447651076233881894950172863900661468505859375	-2.2348132065256503	7.309628430768345	CHRNA7;WNT5A;HSPG2;FGD1;DLL3;RAI1;ARVCF;TCTN2;NSD1;PRDM16;LMNA;FGF20;PIEZO2;GPC3;FAM20C;ALX4;ROR2;FAT4;BCOR;SOX9;PTF1A;FGFR3
Long philtrum (HP:0000343)	15/152	0.00080356904503132401025589093279677399550564587116241455078125	0.034658001876593243217872242212251876480877399444580078125	0.0091265986062354469143809154729751753620803356170654296875	0.2084195103447651076233881894950172863900661468505859375	-2.104594670613937	7.076124279763923	CUL7;WNT5A;LTBP4;HSPG2;FGF3;FGD1;DLL3;BMP2;NSD1;PRDM16;PIEZO2;ROR2;BCOR;CRLF1;CHST3
Pterygium (HP:0001059)	5/17	0.000353204358534878952273483587731561783584766089916229248046875	0.0197971042958799657573987218484035111032426357269287109375	0.00274061214488574740599791113027094979770481586456298828125	0.153611310720846161448349675993085838854312896728515625	-1.789792545266561	7.019959400369349	BHLHA9;EFNB1;RIPK4;LMX1B;IRF6
Downslanted palpebral fissures (HP:0000494)	17/188	0.0010042551094056836359647011391871274099685251712799072265625	0.037976010389499097186227771771882544271647930145263671875	0.0121890187323495935434181092205108143389225006103515625	0.2084195103447651076233881894950172863900661468505859375	-2.1323468734173385	6.974481484483061	BDNF;CHRNA7;FOXG1;WNT5A;TWIST2;FGF3;FGD1;EFNB1;RAI1;BMP2;ARVCF;GDNF;NSD1;GPC3;FAM20C;ROR2;FGFR3
Flexion contracture of toe (HP:0005830)	6/29	0.0007148699456536512265858451797839734354056417942047119140625	0.033390383711572622915664254605871974490582942962646484375	0.00469938687170211137622555241932786884717643260955810546875	0.2084195103447651076233881894950172863900661468505859375	-1.9836843396776682	6.743509785963118	MMP2;PIEZO2;BCOR;SCARF2;HSPG2;FGFR3
Joint contractures involving the joints of the feet (HP:0100492)	6/29	0.0007148699456536512265858451797839734354056417942047119140625	0.033390383711572622915664254605871974490582942962646484375	0.00469938687170211137622555241932786884717643260955810546875	0.2084195103447651076233881894950172863900661468505859375	-1.9692665447973565	6.694496674893648	MMP2;PIEZO2;BCOR;SCARF2;HSPG2;FGFR3
Aplasia/Hypoplasia involving the pelvis (HP:0009103)	6/32	0.00123609297266089220024287698151965741999447345733642578125	0.0384905617320238924161657223521615378558635711669921875	0.007130584425574707126138651602786922012455761432647705078125	0.2103974191056371678687497706050635315477848052978515625	-1.9205859431049905	6.2560056749283435	CUL7;IHH;FGFR3;MATN3;WNT3;CHST3
Increased number of teeth (HP:0011069)	5/20	0.000803843040848728203166817518621201088535599410533905029296875	0.034658001876593243217872242212251876480877399444580078125	0.00494325311946951055641630290438115480355918407440185546875	0.2084195103447651076233881894950172863900661468505859375	-1.6950136279616725	5.699019984618457	WNT5A;BCOR;FAT4;ROR2;FGF3
Broad hallux (HP:0010055)	5/21	0.00102183966379205785901529424108957755379378795623779296875	0.037976010389499097186227771771882544271647930145263671875	0.0058963403150432934507474413976524374447762966156005859375	0.2084195103447651076233881894950172863900661468505859375	-1.737316336865011	5.682415358968411	EFNB1;BMP2;NPR2;UBE2A;FGFR3
Genu varum (HP:0002970)	6/31	0.00103774613537895563954160937925053076469339430332183837890625	0.037976010389499097186227771771882544271647930145263671875	0.0062373706104422617368943093651978415437042713165283203125	0.2084195103447651076233881894950172863900661468505859375	-1.7294850866178946	5.656800900772248	NSD1;IHH;COL9A3;FGFR3;MATN3;NKX3-2
Kyphoscoliosis (HP:0002751)	9/68	0.00115403483152226051487720948074411353445611894130706787109375	0.037976010389499097186227771771882544271647930145263671875	0.0082467981020828799720856494559484417550265789031982421875	0.2084195103447651076233881894950172863900661468505859375	-1.7047819519846688	5.57600187259537	FBN2;MMP2;LMNA;SMS;PIEZO2;SOX9;HSPG2;CRLF1;CHST3
High palate (HP:0000218)	16/191	0.0030418104309386313939544965734285142389126121997833251953125	0.05499361342759674642355349760691751725971698760986328125	0.0272772850217689911966889582117801182903349399566650390625	0.2336485103037045651941383539451635442674160003662109375	-1.8732486432655229	5.43342928533662	FBN2;KCNK9;WNT5A;LTBP2;ZIC2;NSD1;LMNA;SMS;PIEZO2;SPEG;FAM20C;FAT4;SCARF2;FGFR3;CRLF1;CHST3
Micromelia (HP:0002983)	10/87	0.00187755410834629528869788028799803214496932923793792724609375	0.04677195901013771195398049940195051021873950958251953125	0.0129714683485426009179608541899142437614500522613525390625	0.2306111958059937905307634764540125615894794464111328125	-1.7362917403088918	5.317343835090458	CUL7;NPR2;WNT5A;IHH;FAM20C;COL9A3;ROR2;FGFR3;HSPG2;MATN3
Bifid scrotum (HP:0000048)	5/22	0.0012808049639349236049901126222039238200522959232330322265625	0.038804928772190529218111265663537778891623020172119140625	0.006971994201021981633903390473960826057009398937225341796875	0.2103974191056371678687497706050635315477848052978515625	-1.6278948838319576	5.289369096325807	SOX9;IRF6;FAT4;FGFR3;MNX1
