Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003635_abnormal_synaptic_transmissio_	58/453	0.00000000000000081807528358668837268547371454874178740545036421505376011964472127147018909454345703125	0.00000000000027601127951609987079223665367833418535052636411109006076003424823284149169921875	0.000000000000000098072623428299397011879831678261952881717360467304922533315902910544537007808685302734375	0.000000000000000009817086936380646877632323375518720572999155509516348849796685271940077655017375946044921875	-1.5563386215675095	45.00672110622218	DAGLA;GRIK3;ADRA1D;DOC2B;SLC7A10;SLC6A2;CDH8;CALB2;JPH3;GRM7;DPYSL4;ZIC2;MDK;DNER;SLC18A3;CADPS2;KCNH3;EMX1;TRPC5;CACNA2D1;AVPR1A;HSPG2;ADRA2A;BACE1;BCAN;CACNB4;PRKAR1B;VGF;KCNMA1;LMX1B;CHST3;SLC24A2;CHRNA4;CHRNA7;SEZ6;CRMP1;ADCY1;CPLX1;CACNA1H;EFNB3;SLITRK5;KCNN2;DRD2;NTSR1;GABBR2;NTRK2;EGR3;BDNF;GABRA5;ATP2B2;GRIN2C;NR2F6;SLC6A5;CPEB1;GRIN3A;NBEA;GDNF;FGF12
MP0002752_abnormal_somatic_nervous_	73/675	0.0000000000000013496884083916864965359756535506103037379906257886563736292373505420982837677001953125	0.00000000000027601127951609987079223665367833418535052636411109006076003424823284149169921875	0.00000000000000002773848707697997392459469842776663135721159657623956229510753246358945034444332122802734375	0.000000000000000009817086936380646877632323375518720572999155509516348849796685271940077655017375946044921875	-1.500453666468856	43.39062127209637	PRRXL1;HRK;BARHL1;MESP1;HMX3;UCN;FGF3;FGF8;ZIC2;NEFM;SOX9;EPHB1;MNX1;SLC18A3;FOXD3;NKX6-2;GRID1;TRP73;UNC5C;SOX11;PAX6;EBF3;POU3F1;HSPG2;CACNB4;LMX1A;ALDH1A2;KCNMA1;RARA;MAL;KCNQ4;LMX1B;ROR2;HMX2;FOXC2;SHC2;FOXG1;NPR2;HPN;BHLHE23;HOXB13;HOXD10;DLL3;EFNB1;RELN;EGFLAM;GBX2;LMNA;OTX1;PRPH;NTRK2;EGR3;BDNF;GDF15;GABRA5;UNCX;ATP2B2;FOXN4;VAX1;GDF6;POU4F2;KY;PHOX2A;CYP26A1;DAB1;GDNF;GJB6;FAT4;PTF1A;FGFR3;NEUROG2;VSX1;VSX2
MP0000049_abnormal_middle_ear_	18/73	0.0000000002179510202235087784684460647215554877920151710668505984358489513397216796875	0.0000000111427459089268861731835086152642144696756076882593333721160888671875	0.000000000912109687032928093843153270043298819214072636896162293851375579833984375	0.000000000726926334289717380155750647342284553875657593380310572683811187744140625	-1.9010626838870162	34.813166943988946	FOXC2;OSR2;FOXG1;GDF6;HSPG2;BMP7;POU3F3;EFNB1;FGF8;GBX2;RARA;GAS1;ROR2;SOX9;PITX1;FGFR3;NKX3-2;HMX1
MP0002882_abnormal_neuron_morphology_	92/1006	0.000000000000008244649859713165833683024421273921627083421624637704638871582574211061000823974609375	0.00000000000112402059754089506663214202102020990354548646283916468746610917150974273681640625	0.000000000000000019916977776342520901447297686697593376647455408446317492998645093393861316144466400146484375	0.000000000000000009817086936380646877632323375518720572999155509516348849796685271940077655017375946044921875	-1.2627596679530093	34.74370719462907	PRRXL1;BARHL1;HMX3;UCN;DAGLA;GAL3ST1;IHH;CELSR3;GLDN;DPYSL4;NEFM;EPHB1;NKX3-2;MNX1;SLC18A3;EMX1;CADPS2;NKX6-2;UNC5A;GRID1;WNT5A;TRP73;UNC5C;PAX6;SOX11;EBF3;POU3F1;ANK1;HSPG2;POU3F2;UCHL5;BACE1;CACNB4;DNAJC6;ALDH1A2;KCNMA1;KCNQ4;GAS1;LMX1B;ROR2;HMX2;PLEC;SHC2;UGT8A;CHRNA4;FOXG1;NPR2;DBX1;SEZ6;CRMP1;HOXB13;BHLHE23;HOXD10;EFNB3;RELN;EGFLAM;GBX2;LMNA;SLIT1;SLITRK5;OTX1;DRD2;PRPH;WNT4;NTRK2;EGR3;BDNF;GDF15;GABRA5;CADPS;ATP2B2;FOXN4;VAX1;POU4F2;KY;DAB1;GRIN3A;GDNF;TLX3;NBEA;TLX2;GJB6;DLG5;LHX5;FAT4;PTF1A;FGFR3;NEUROG2;CRLF1;BCL2L2;VSX1;LHX8
MP0002184_abnormal_innervation_	27/161	0.00000000011117515952253993330407464559271882818813903526233843876980245113372802734375	0.0000000075784400407864724842733891783767841143770738199236802756786346435546875	0.0000000001317222279256849356855182349014901123374077229755130247212946414947509765625	0.00000000000741497624164953440187387048490903090382231344079855261952616274356842041015625	-1.8007991523143692	33.67126774088804	PRRXL1;NPR2;SEZ6;HOXB13;CELSR3;EFNB3;RELN;GBX2;DNER;NPTX2;MNX1;SLC18A3;NTRK2;GABRA5;SOX11;ATP2B2;UNC5C;EBF3;POU4F2;GDNF;TLX2;ALDH1A2;KCNMA1;GAS1;LMX1B;PTF1A;FGFR3
MP0002066_abnormal_motor_capabilities/c_	107/1482	0.0000000001656931670052259441066047629737196557331291302261888631619513034820556640625	0.0000000096812150435910582430902753046757236443653482638183049857616424560546875	0.00000000000012690668384241255398034351718211713044609685596686432518254150636494159698486328125	0.00000000000741497624164953440187387048490903090382231344079855261952616274356842041015625	-1.5523399845056467	28.64545147246963	SCX;FGF3;CELSR3;CDH8;HTR6;HTR7;CADPS2;NKX6-2;CACNA2D3;UNC5C;POU3F1;ANK1;HSPG2;DKK3;CACNB4;LMX1A;LOX;LMX1B;FBN2;MAGEL2;UGT8A;NXPH3;CHRNA4;FOXG1;CHRNA7;NPR2;LTBP4;TWIST2;CPLX1;CRHR1;RAI1;EFNB3;NKX2-1;KCNN2;OTX1;DRD2;NTSR1;EGR3;BDNF;ESRRB;GRIN2C;BMP7;IGF2R;PHOX2A;SLC6A5;GRIN3B;DAB1;GNAL;NBEA;GDNF;GJB6;DLG5;NMU;GNAS;LHX6;FGF12;FGFR3;BCL2L2;HMX3;GAL3ST1;KCNC1;SH3KBP1;ADRA1D;HOXC13;SLC7A10;SLC6A2;CALB2;JPH3;GRM7;ZIC2;DNER;RAC3;SCD1;SLC18A3;EMX1;EN2;SEZ6L;PAX1;BACE1;SLC7A7;VGF;KCNMA1;GAS1;HMX2;CHST3;OPRD1;SEZ6;HOXD10;ADCY5;ARNTL;DLL3;RELN;LMNA;NTRK2;GABBR2;SLC12A5;GDF15;GABRA5;KLHL1;ATP2B2;GPR50;NELL1;DES;KLF9;PTF1A;APBA2;NEUROG2
MP0002081_perinatal_lethality_	83/981	0.00000000001181920257007873280481438220245531361789204094492333751986734569072723388671875	0.0000000012085134627905503586103334723983980525385817372807650826871395111083984375	0.00000000000007102693209132797775558125677889181737840150476781531097003608010709285736083984375	0.000000000000000009817086936380646877632323375518720572999155509516348849796685271940077655017375946044921875	-1.348117898893779	27.682084118850742	IHH;CELSR3;FGF3;NDST1;FGF8;SIX2;GRB10;SOX9;SOX6;PITX1;NKX3-2;MNX1;HOXA5;SLC18A3;FOXD3;OSR2;RIPK4;WNT5A;DIO3;PAX6;EBF3;SOX11;POU3F1;HSPG2;POU3F2;ANK1;POU3F3;ADAMTS20;CLDN5;SLC7A7;RIPPLY2;LOX;RARA;ROR2;IRF6;LMX1B;HMX1;FOXC2;MAGEL2;CUL7;CHRNA4;FOXG1;CHRNA7;TWIST2;DBX1;AEBP1;CPLX1;EFNB1;GBX2;PLAGL1;PRDM16;GPC3;SLIT1;NKX2-1;ALX4;OTX1;WNT4;RUNX1T1;NTRK2;SLC12A5;BDNF;WNT7B;CADPS;UNCX;NR2F2;TBX5;VAX1;BMP7;IGF2R;CYP26A1;NELL1;TLX3;GDNF;NBEA;GNAS;INSM1;FAT4;PTF1A;FGFR3;NEUROG2;CRLF1;LHX8;VSX2
MP0002932_abnormal_joint_morphology_	22/136	0.0000000117102605673796931388700392172308450966511372826062142848968505859375	0.0000003729146573011637035333673377557328620923726703040301799774169921875	0.000000012766087170861257267884063780483128169862538925372064113616943359375	0.00000000296804124923519253292470709035093257011084233454312197864055633544921875	-1.848500994384297	27.36135689634958	FBN2;FOXC2;MESP1;PHC2;WNT5A;IHH;UNCX;GDF6;HOXD10;HSPG2;BMP7;FGF3;ARNTL;DLL3;PAX1;RAI1;BMP2;ZIC2;RARA;LMX1B;ROR2;HOXA5
MP0002063_abnormal_learning/memory/cond_	42/403	0.00000000538359061782058369754531851358349270331160596469999291002750396728515625	0.000000220188856268861857265017704932130726547256927005946636199951171875	0.000000000937586662363330155244296507089339642870839952593087218701839447021484375	0.000000002464856478459172354623578119164721556000330338065396063029766082763671875	-1.5608758129245466	23.92632228899331	SLC24A2;KCNC1;CHRNA4;NXPH3;SH3KBP1;CHRNA7;SEZ6;CRMP1;ADRA1D;ADCY1;CRHR1;RAI1;JPH3;GRM7;MDK;NKX2-1;RAC3;KCNN2;DRD2;NPTX2;SLC18A3;NTRK2;KCNH3;EMX1;CADPS2;GABBR2;EPHA6;GABRA5;BDNF;EN2;TACR3;AVPR1A;BACE1;VGF;KCNMA1;KLF9;GNAS;LMX1B;APBA2;FGF12;BCL2L2;LHX8
MP0002751_abnormal_autonomic_nervous_	14/61	0.000000059529793372527017084920521357294109776603363570757210254669189453125	0.00000135264919385353055340348409074646696126364986412227153778076171875	0.000000149569008312151794534120181900949120290533755905926227569580078125	0.000000020544573745745659845124189680186377326975843971013091504573822021484375	-1.7473415393081182	23.612604700853087	HRK;FOXD3;SHC2;BDNF;DBX1;IHH;SOX11;NGF;PHOX2A;DLL3;GDNF;TLX2;NEUROG2;NKX3-2
