Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Autosomal dominant inheritance (HP:0000006)	108/1134	0.0000000087425704209354727639990991524925056932460165626253001391887664794921875	0.0000110331238712205667042674794853240882730460725724697113037109375	0.00005739317239728133034082357966099152690730988979339599609375	0.0724301835653690384564384885379695333540439605712890625	-2.329625875886356	26.591767438656895	IHH;AQP5;FGF5;EDNRA;SALL4;PIEZO2;HOXA2;PROK2;PDE8B;PITX2;PITX1;SCN1B;MNX1;KIRREL3;CASR;LHCGR;CDKL5;WNT5A;HNF1B;ANK1;COL4A2;KCNQ1;SCN8A;KCNQ3;COL8A2;KCNQ4;ROR2;LMX1B;DSC2;FBN2;MAGEL2;DLX3;LHB;GATA4;FAM83H;RAI1;GRIN2A;NKX2-1;ALX4;PROM1;DRD2;WNT4;EGR2;BDNF;SLC16A12;IGF2R;NFKBIA;BMP2;GNAL;MAFB;GDNF;GJB6;GNAS;MKRN3;COL9A3;COL9A2;FGF10;GABRB3;FOXE3;KCNK9;PTH1R;TSPAN12;PKD2;SLC6A2;GLI3;SYNE1;GLI2;SEPT9;JPH3;KCNT1;SCN5A;TEAD1;EDN3;FOXL2;PAX6;MN1;TST;PITPNM3;KCNMA1;MATN3;CHST3;PLEC;HCN4;FOXC2;KANK1;FOXC1;COL11A2;NEXN;HOXD10;ADCY5;ERBB4;NSD1;LMNA;HSF4;GPC3;CACNG2;SNCB;TBX1;NTRK2;GSN;CDKN2A;TUBB4A;DES;CYP24A1;PPP2R2B;WT1;P2RX2;PLCD1
Broad toe (HP:0001837)	9/25	0.0000038494775668005616381557587590833691137959249317646026611328125	0.002429020344651154454662655979291230323724448680877685546875	0.00021808102548307895939168343790726112274569459259510040283203125	0.137609127079822812778076013273675926029682159423828125	-2.203065247670131	13.263041567356728	EFNB1;BMP2;NPR2;WNT5A;GPC3;ROR2;UBE2A;GLI3;FGF10
Camptodactyly of finger (HP:0100490)	19/121	0.0000299325570875943005634545190929429736570455133914947509765625	0.01259162901484800305140776544021719018928706645965576171875	0.00145432596198042328981825388467541415593586862087249755859375	0.3131828796761795263847716341842897236347198486328125	-2.299847739314375	10.061196916009271	HES7;FBN2;COL11A2;WNT5A;DLL3;EFNB1;MAFB;KAT6B;NSD1;LMNA;PIEZO2;GPC3;ROR2;FAT4;BCOR;GPC4;SCARF2;CRLF1;CHST3
Depressed nasal bridge (HP:0005280)	28/228	0.000051928777435418797987776162727868722868151962757110595703125	0.016383529280874629951991749976514256559312343597412109375	0.0035707946899063585689815258916723905713297426700592041015625	0.3131828796761795263847716341842897236347198486328125	-2.4358499649357856	10.014945395701915	COL18A1;FOXC1;NPR2;FOXG1;COL11A2;TWIST2;PTH1R;GLI3;DLL3;GLI2;SEPT9;RAI1;RPS6KA3;GPC3;ALX4;SCARF2;PITX2;HES7;WNT5A;FOXL2;SOX11;UBE2A;ANK1;GNAS;FAM20C;ROR2;FAT4;CRLF1
Brachydactyly syndrome (HP:0001156)	24/192	0.0001317759778832076141170948080372227195766754448413848876953125	0.0202727697050359249864026622844903613440692424774169921875	0.00568874101106861020105132098478861735202372074127197265625	0.3131828796761795263847716341842897236347198486328125	-2.4381192639355653	9.504951111185635	BHLHA9;CDKL5;FOXG1;NPR2;COL11A2;WNT5A;IHH;GATA5;SLCO5A1;GATA4;LTBP2;PTH1R;GLI3;RPS6KA3;EFNB1;RAI1;SIX6;BMP2;KAT6B;GNAS;ALX3;ROR2;PITX1;CHST3
Hypertelorism (HP:0000316)	34/328	0.000262092689506245621160196446197687691892497241497039794921875	0.025443151858221692285244586173575953580439090728759765625	0.01494716826019082227261502993087560753338038921356201171875	0.366390867148895960081489420190337114036083221435546875	-2.558757721977788	9.393989369175074	FOXC1;COL11A2;LTBP4;PTH1R;GLI3;EFNB1;RPS6KA3;RAI1;NSD1;SALL4;LMNA;PIEZO2;ALX3;GPC3;ALX4;ALX1;GPC4;SCARF2;PITX2;TBX1;WNT5A;RIPK4;HSPG2;ANK1;BMP2;PSAT1;KAT6B;SMS;FAM20C;DCHS1;ROR2;FAT4;CHST3;FGF10
Dental malocclusion (HP:0000689)	14/81	0.000113669289294144587446934446806068308433168567717075347900390625	0.0202727697050359249864026622844903613440692424774169921875	0.0028380711589818716743260917922953012748621404170989990234375	0.3131828796761795263847716341842897236347198486328125	-2.1511349227011505	8.38614934727774	FOXC1;WNT5A;PAX6;GLI2;FAM83H;RAI1;RPS6KA3;GNAS;GPC3;DCHS1;BCOR;ROR2;FAT4;PITX2
Limited hip movement (HP:0008800)	7/22	0.000117250677321260348058042100038989019594737328588962554931640625	0.0202727697050359249864026622844903613440692424774169921875	0.00201150068918115425276038621404950390569865703582763671875	0.3131828796761795263847716341842897236347198486328125	-2.092420875829286	8.157254004333728	FBN2;KAT6B;PIEZO2;SPEG;PTH1R;HSPG2;CHST3
Cryptorchidism (HP:0000028)	37/379	0.0004653082678753778559342657583641766905202530324459075927734375	0.034542296121101580264056707392228418029844760894775390625	0.0250894034661459375268321991825359873473644256591796875	0.37439955098612787143252944588311947882175445556640625	-2.4083696355282154	8.105538355517327	MAGEL2;ARX;GATA5;GATA4;NALCN;GLI3;DLL3;PHF8;GLI2;EFNB1;SOX3;SIX6;NSD1;AP1S2;PIEZO2;GPC3;ALX4;PROK2;GPC4;FKTN;HES7;TBX1;BDNF;WNT5A;RIPK4;SOX11;HNF1B;PAX6;ANK1;HSPG2;WT1;KAT6B;GJB6;SMS;ROR2;FAT4;BCOR
Preaxial foot polydactyly (HP:0001841)	7/23	0.00016064001351058577776904912060018659758497960865497589111328125	0.0202727697050359249864026622844903613440692424774169921875	0.0024816393001282056017531285618815672933124005794525146484375	0.3131828796761795263847716341842897236347198486328125	-2.044869443184566	7.971875852722993	EFNB1;BMP2;SALL4;GATA4;ROR2;GLI3;FGF10
