Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003632_abnormal_nervous_system_	208/1867	0.00000000000000000000000182495280128535193119906419185514427490472874792461048223664475871098888948296234957524575293064117431640625	0.00000000000000000000012774669608997462416367495447091471203642597589616950420657553837144870811926011811010539531707763671875	0.00000000000000000000000000000007614674566108488843863897377083982990588094159310598727216138793531608681005204658336082967906577323446981608867645263671875	0.00000000000000000000000000000533027219627594232207645919441038849251131434494705641657585420639547967892879487550317207933403551578521728515625	-1.2046514726681243	60.7288814454597	PRRXL1;RAX;GLDN;PREX2;SOX3;EDNRA;DPYSL4;HOXA2;PROK2;EPHB1;SCN1B;MNX1;CACNA2D2;EBF2;SOX11;UNC5C;EBF3;MAPK8IP2;HSPG2;MAPK8IP1;BCAN;SFRP1;SFRP2;RFX4;KCNQ1;PARD3;KCNQ3;KCNQ4;HOXB6;UGT8A;COL13A1;FOXG1;ARX;HPN;GATA4;NKX2-1;ALX1;APOE;PROM1;EGR2;EGR3;CADM1;GRIN2C;GDF7;CYP26A1;FA2H;GRIN3A;GJB6;ID4;FAT4;VSX2;GABRB3;BARHL1;HRK;MESP1;BARHL2;HMX3;HEXA;PCSK5;GLI3;GLI2;MECOM;NEFM;FEZF2;TEAD1;SLC18A3;FOXD3;EDN3;SPHK1;EN2;SORCS1;PAX6;UCHL5;BACE1;KCNMA1;RARA;HMX2;HMX1;FOXC2;FOXC1;GUCY2E;SEZ6;ADCY3;HOXD12;HOXD11;HOXD10;RELA;RELN;RXRA;EGFLAM;GBX2;LMNA;PAK6;FOXB1;GSX1;CDKN2A;GABRA5;GDF15;GSX2;ECEL1;KLHL1;UNCX;VAX1;POU4F2;KIF26A;NEUROG1;MIXL1;NEUROG2;CRLF1;IHH;CELSR3;SALL3;SALL4;PITX2;PITX1;CARD10;CADPS2;NKX6-2;SLC30A3;WNT5A;MAGI2;LMO2;TRP73;TBR1;POU3F1;POU3F2;POU3F3;CACNB3;COL4A2;LMX1A;SCN8A;LMX1B;ROR2;RTN4R;DLX2;SHC2;NPR2;SLC1A2;BHLHE22;EFNA5;HOXB13;EFNB1;SCUBE1;EFNB3;PLXNA1;NPTX1;NPTX2;NKX6-1;DRD2;FGF22;WNT4;PRPH;BDNF;EVX1;FOXN4;NFKB1;IGF2R;PHOX2A;BMP2;MAFB;GDNF;TLX3;LHX3;NBEA;TLX2;FES;DLG5;GNAS;LHX6;CNTN2;LHX5;SLC26A4;FGF10;UCN;NR2E1;SYNE1;SIX6;MDK;NKX3-2;EMX1;AMN;GRID2;GRID1;SHROOM3;OLIG1;NAV2;DNAJC6;ALDH1A2;PLEC;ZFP423;LAMA1;DBX1;CRMP1;NTN1;DLL1;DLL3;ERBB4;CNR1;SLIT1;CACNG2;TBX1;NTRK2;ATP2B2;CROCC;BCOR;RECK;CBLN1;HCN1
MP0002102_abnormal_ear_morphology_	59/369	0.000000000000088733575751361510114541330325507218724167234069621912340153357945382595062255859375	0.0000000000020704501008651016586516576925621832962025326008159709090250544250011444091796875	0.000000000000031009666759821050307390561676781181359922705265130815632801386527717113494873046875	0.0000000000000000127039997082554246291096082041150997711920040840450317476406638661501347087323665618896484375	-1.869158159735008	50.28643877912361	DDR1;GABRB3;BARHL1;MESP1;HMX3;UCN;TSPAN12;GLI3;GLI2;EDNRA;MECOM;PSTPIP2;SALL4;HOXA2;PITX1;HOXA5;NKX3-2;GRID1;WNT5A;PAX6;HSPG2;POU3F3;LMX1A;KCNQ1;ALDH1A2;KCNMA1;RARA;KCNQ4;ROR2;ANK;HMX2;HMX1;FOXC2;DLX2;FOXG1;COL11A2;HPN;NTN1;DLL1;EFNB1;RXRA;GBX2;LMNA;APOE;CACNG2;TUB;TBX1;NTRK2;BDNF;GABRA5;ESRRB;ATP2B2;NFKB1;MAFB;GJB6;GNAS;FAT4;SLC26A4;FGF10
MP0005508_abnormal_skeleton_morphology_	125/1244	0.0000000000160182317476366596625295605477355361835611891052622013376094400882720947265625	0.000000000140159527791820763161404418383208965448449845325740170665085315704345703125	0.0000000000000176248030533249128329544339071431831693641430203189912617744994349777698516845703125	0.0000000000000000127039997082554246291096082041150997711920040840450317476406638661501347087323665618896484375	-1.620616775495692	36.768942120039064	IHH;SCX;SLC4A2;RPS6KA3;EDNRA;SALL3;SALL4;HOXA2;PITX2;PITX1;HOXA6;HOXA5;HES7;CASR;WNT5A;TRP73;EBF2;CACNA2D2;SOX11;HSPG2;ANK1;POU3F3;SFRP1;SFRP2;LMX1A;SCN8A;ROR2;LMX1B;NBL1;HOXB6;FBN2;DLX2;NPR2;FOXG1;TWIST2;HOXB13;EFNB1;RAI1;SCUBE1;ALX3;PLXNA1;ALX4;ALX1;APOE;DRD2;KL;EGR2;EGR3;NFKB1;BMP6;IGF2R;FOSL1;BMP3;CYP26A1;BMP2;MAFB;GNAS;ID4;FAT4;HOXD9;HOXD8;FGF10;DDR1;MESP1;RARG;HEXA;HOXC13;PTH1R;LIMD1;PCSK5;GLI3;GLI2;SYNE1;ADAMTS5;PSTPIP2;RSPO2;PRKG2;NKX3-2;SLC18A3;FOXD3;EMX1;SHROOM3;IRAK3;PAX6;GAB2;GREM1;ANO1;ALDH1A3;SLC7A7;RIPPLY2;PAX7;ALDH1A2;RARA;ITGA7;ANK;MATN3;HMX1;FOXC2;FOXC1;CEBPB;CEBPE;COL11A2;HOXD12;HOXD11;HOXD10;DLL1;RELA;DLL3;RXRA;GBX2;PLAGL1;LMNA;IGF2BP1;GPC3;CDX4;GSN;GSX1;CDX2;CDX1;CDKN2A;UNCX;DMRT3;VAX1;NELL1;CYP24A1
MP0003633_abnormal_nervous_system_	142/1361	0.0000000000000287606599561292076788055262735039681686976913155273649636001209728419780731201171875	0.00000000000100662309846452233817795307902167776213653294092864598496817052364349365234375	0.00000000000000000634563550109207080575438085274674171821161911463400444322058291390931117348372936248779296875	0.0000000000000000127039997082554246291096082041150997711920040840450317476406638661501347087323665618896484375	-1.2401325487856345	34.25794220203915	CELSR3;DPYSL4;SCN1B;CADPS2;KCNH3;NKX6-2;CACNA2D1;TMOD2;TRP73;CACNA2D2;EBF2;UNC5C;POU3F1;MAPK8IP2;ANK1;POU3F2;HSPG2;MAPK8IP1;CLDN5;OLFM1;BCAN;CACNB3;COL4A2;SCN8A;KCNQ1;KCNQ3;KCNQ4;LMX1B;RTN4R;CHRNA3;DLX2;MAGEL2;UGT8A;COL13A1;FOXG1;ARX;HPN;SLC1A2;LIN7A;BHLHE22;EFNA5;NALCN;NPAS1;CACNA1H;RAI1;GRIN2A;EFNB3;HRH3;KCNN2;APOE;DRD2;PROM1;FGF22;NTSR1;DRD5;KL;EGR2;CADM3;EGR3;BDNF;GRIN2C;NFKB1;NR2F6;CPEB1;MAFB;GRIN3A;TLX3;NBEA;GDNF;GJB6;CNTN2;LHX6;LHX5;SLC26A4;FGF12;VSX2;GABRB3;BARHL1;HRK;HMX3;KCNK9;HEXA;RASGRF1;CELF4;GRIK3;ADRA1D;DOC2B;SLC7A10;PPP1R9A;ADRA1B;SLC6A2;CALB2;JPH3;GRM7;MDK;NEFM;SCN5A;SLC18A3;EMX1;GRID2;TRPC5;GRID1;SPHK1;PAX6;AVPR1A;BACE1;VGF;DNAJC6;KCNMA1;ITGA7;HMX2;CHST3;PLEC;FOXC2;FOXC1;GUCY2E;DBX1;SEZ6;CRMP1;RELA;RELN;CNR1;ERBB4;LMNA;CACNG2;S1PR5;S1PR4;FKTN;TUB;TBX1;GABBR2;NTRK2;GSN;GSX1;CDKN2A;GABRA5;ATP2B2;POU4F2;CROCC;KCNK2;NEUROG2;CBLN1
MP0002163_abnormal_gland_morphology_	118/1129	0.0000000000050191533276502971591779204741206308650058875997501672827638685703277587890625	0.000000000058556788822586796959234804412809671791961818598792888224124908447265625	0.000000000000009338550317741003909227923789308530804932216747016315849805323523469269275665283203125	0.0000000000000000127039997082554246291096082041150997711920040840450317476406638661501347087323665618896484375	-1.1489963539133152	27.071530766358077	IHH;SLC4A2;RIMS2;SOX3;EDNRA;CDH3;GRB10;PAPOLB;PITX2;PITX1;MNX1;HOXA5;CASR;LHCGR;IGFBP3;TRP73;CACNA2D2;EBF2;SOX11;HNF1B;POU3F2;MAPK8IP1;SLC9A3;SFRP1;SFRP2;RFX4;ROR2;MAGEL2;DLX3;DDX4;FOXG1;NPR2;ARX;LHB;AGAP2;GATA4;HOXB13;CRHR1;EFNB1;SYCE2;NKX2-1;APOE;DRD2;NKX6-1;WNT4;EGR4;CADM1;NR2F2;HSPA2;TDRD6;MAFA;EIF2S2;GDF7;DAZL;CPEB1;MAFB;LHX3;NBEA;GDNF;GNAS;SDC1;SLC26A4;VSX2;FGF10;DDR1;PCSK2;HMX3;RARG;FOXE1;RASGRF1;PIK3CD;YBX2;PKD2;ADRA1B;GLI3;GLI2;SIX6;BOLL;RSPO2;SCD1;RSPO1;NKX3-2;EMX1;PAX6;FOXL2;AVPR1A;ALDH1A3;NRG3;VGF;PAX7;ALDH1A2;RARA;HMX2;FOXC1;CEBPB;NTN1;DLL1;BARX2;ASCL2;RELA;NEURL1A;RXRA;ERBB4;LMNA;IGF2BP1;TBX1;TUB;FOXB1;NTRK2;GSN;GSX1;DMRT1;CDKN2A;CADPS;BMP8B;WT1;PLCD1;NEUROG3
MP0002108_abnormal_muscle_morphology_	74/644	0.0000000010321490408414590546964262289379200832062366544050746597349643707275390625	0.0000000072250432858902135896701367408223593002958295983262360095977783203125	0.000000000045716827567709617623258058833720838230740834973175878985784947872161865234375	0.0000000000002737156699383349611239127361004056559535581316655594719122746028006076812744140625	-1.214076300509197	22.75872541819032	MESP1;EPO;IHH;SCX;SYNE1;EDNRA;CDH2;MECOM;GRB10;HOXA2;SCN5A;PITX2;TEAD1;MNX1;SLC18A3;CASR;MYOCD;SPHK1;IGFBP3;CACNA2D2;PAX6;SYPL2;HSPG2;ANO1;CACNB3;RIPPLY2;OBSCN;LOX;PAX7;MYOD1;SCN8A;ALDH1A2;RARA;ITGA7;LMX1B;DOCK1;ANK;PLEC;FBN2;FOXC2;COL15A1;CEBPB;DLX2;FOXC1;COL13A1;NPR1;FOXG1;TWIST2;LTBP4;GATA4;HOXD12;DLL1;HOXD10;RELA;CACNA1H;DLL3;RXRA;ERBB4;LMNA;APOE;TBX1;KL;WNT10B;EGR3;CDKN2A;ECEL1;NR2F2;SYT7;FGF16;DES;GDNF;WT1;FES;BCAR1
MP0002169_no_abnormal_phenotype_	136/1371	0.000000000004600699669069078444850879040573765860026866914012089182506315410137176513671875	0.000000000058556788822586796959234804412809671791961818598792888224124908447265625	0.00000000000000201984898579167995886172570469109830739912777967937085321636914159171283245086669921875	0.0000000000000000127039997082554246291096082041150997711920040840450317476406638661501347087323665618896484375	-0.9618316808232071	22.66173939610933	GALNT13;RAX;CBLC;SCX;KNDC1;IRS3;SLC4A2;FZD10;FGF4;RPH3A;RIMS2;EDNRA;PEG12;HOXA2;PITX2;SLC12A8;PCDHAC2;HOXA5;SCN1B;MNX1;PCDHAC1;NKX6-2;IGFBP2;EBF2;ATP11C;POU3F1;SFRP2;KCNQ1;LMX1B;SLC27A2;NBL1;BRSK2;NXPH3;FOXG1;ARX;TWIST2;PROZ;DTX1;LIN7A;CRHR1;GLIS1;PDZD4;EFNB3;FUT9;ALX3;ALX4;ALX1;KCNN2;PROM1;NTSR1;DRD5;WNT4;ZRSR1;B3GALNT1;EGR2;CADM1;BDNF;GRIN2C;NFKB1;SYT7;IGF2R;FOSL1;NFKBIA;CYP26A1;BMP2;H1F0;GRIN3A;FES;GNAS;LHX6;FGF10;GABRB3;HMX3;RARG;KCNK9;RASGRF1;PKD2;ARHGAP6;GLI2;CALB2;ADAMTS5;SIX4;SIX2;SCN5A;EMX1;SPHK1;EN1;RTN4RL2;PAX6;KREMEN2;BACE1;ALDH1A3;PAX7;MYOD1;ALDH1A2;RARA;PLEC;HCN4;TAGLN;ZFP423;CEBPB;LAMA1;ODC1;SEZ6;ADCY3;TMPRSS2;ASCL2;FSTL4;RELA;NEURL1A;GBX2;LMNA;MGAT3;SPOCK1;PAK6;GCNT4;SNCB;RUNX1T1;TBX1;GDF10;NTRK2;CDX4;CDX2;GDF15;CDX1;PRRX2;PCDH8;GSX2;POU4F2;WT1;APBA3;APBA2;TJP3;HCN1;NEUROG3;CBLN1
MP0002873_normal_phenotype_	136/1371	0.000000000004600699669069078444850879040573765860026866914012089182506315410137176513671875	0.000000000058556788822586796959234804412809671791961818598792888224124908447265625	0.00000000000000201984898579167995886172570469109830739912777967937085321636914159171283245086669921875	0.0000000000000000127039997082554246291096082041150997711920040840450317476406638661501347087323665618896484375	-0.8939277726494413	21.061853780266254	GALNT13;RAX;CBLC;SCX;KNDC1;IRS3;SLC4A2;FZD10;FGF4;RPH3A;RIMS2;EDNRA;PEG12;HOXA2;PITX2;SLC12A8;PCDHAC2;HOXA5;SCN1B;MNX1;PCDHAC1;NKX6-2;IGFBP2;EBF2;ATP11C;POU3F1;SFRP2;KCNQ1;LMX1B;SLC27A2;NBL1;BRSK2;NXPH3;FOXG1;ARX;TWIST2;PROZ;DTX1;LIN7A;CRHR1;GLIS1;PDZD4;EFNB3;FUT9;ALX3;ALX4;ALX1;KCNN2;PROM1;NTSR1;DRD5;WNT4;ZRSR1;B3GALNT1;EGR2;CADM1;BDNF;GRIN2C;NFKB1;SYT7;IGF2R;FOSL1;NFKBIA;CYP26A1;BMP2;H1F0;GRIN3A;FES;GNAS;LHX6;FGF10;GABRB3;HMX3;RARG;KCNK9;RASGRF1;PKD2;ARHGAP6;GLI2;CALB2;ADAMTS5;SIX4;SIX2;SCN5A;EMX1;SPHK1;EN1;RTN4RL2;PAX6;KREMEN2;BACE1;ALDH1A3;PAX7;MYOD1;ALDH1A2;RARA;PLEC;HCN4;TAGLN;ZFP423;CEBPB;LAMA1;ODC1;SEZ6;ADCY3;TMPRSS2;ASCL2;FSTL4;RELA;NEURL1A;GBX2;LMNA;MGAT3;SPOCK1;PAK6;GCNT4;SNCB;RUNX1T1;TBX1;GDF10;NTRK2;CDX4;CDX2;GDF15;CDX1;PRRX2;PCDH8;GSX2;POU4F2;WT1;APBA3;APBA2;TJP3;HCN1;NEUROG3;CBLN1
MP0000428_abnormal_craniofacial_morphol_	89/896	0.000000028758051484071760527258003665475316612543110750266350805759429931640625	0.00000014379025742035881256245736896370868151961985859088599681854248046875	0.000000000449859854850103355415259642153332116099040405288178590126335620880126953125	0.000000002249299274250516725377509926202430901032158772068214602768421173095703125	-1.2135672289034154	19.119642646115445	DDR1;GABRB3;MESP1;RARG;FOXE1;HEXA;IHH;RAX;PTH1R;HOXC13;SLC4A2;PCSK5;GLI3;GLI2;SOX3;RPS6KA3;EDNRA;MECOM;PSTPIP2;SALL3;SALL4;RSPO2;HOXA2;PRKG2;PITX2;PITX1;NKX3-2;HOXA5;FOXD3;EMX1;WNT5A;RIPK4;TRP73;SHROOM3;EBF2;PAX6;SOX11;HSPG2;POU3F3;ALDH1A3;SFRP1;LMX1A;PAX7;ALDH1A2;RARA;ROR2;LMX1B;HMX1;FOXC2;FOXC1;DLX2;ZFP423;HOXD1;NPR2;FOXG1;COL11A2;EFNA5;DLL3;EFNB1;RAI1;RXRA;SCUBE1;GBX2;LMNA;ALX3;GPC3;IGF2BP1;ALX4;ALX1;EGR2;GSX1;BCL11B;BDNF;CDX1;DMRT3;VAX1;IGF2R;NFKB1;CYP26A1;NELL1;FGF16;BMP2;MAFB;FES;DLG5;SP3;GNAS;BCOR;FGF10
MP0002133_abnormal_respiratory_system_	71/622	0.000000003018599509353700613451342948771738416979815156082622706890106201171875	0.0000000192092696049780954144580824398402807418051452259533107280731201171875	0.00000000015706929164596947524036139136045624187243419100923347286880016326904296875	0.0000000000002737156699383349611239127361004056559535581316655594719122746028006076812744140625	-1.0646113514778144	18.915879162317157	EPO;IHH;AQP5;CELSR3;GLI3;SYNE1;EDNRA;MECOM;RSPO2;IL12A;HOXA5;NKX3-2;FOXD3;WNT5A;TRP73;CACNA2D2;PAX6;SOX11;POU3F1;HSPG2;SSTR4;GREM1;ANO1;ALDH1A3;RIPPLY2;LOX;SCN8A;ROR2;DOCK1;FOXC2;FOXC1;DLX2;CEBPE;NPR1;FOXG1;LTBP4;DBX1;DTX1;GATA4;LIN7A;NALCN;RELA;CRHR1;PLAGL1;LMNA;HAS3;GPC3;NKX2-1;APOE;DRD2;TBX1;NTRK2;EGR2;GSN;BDNF;WNT7B;ECEL1;CADPS;GSX2;UNCX;NFKB1;IGF2R;PHOX2A;NELL1;MAFB;TLX3;P2RX2;CROCC;SP3;GNAS;FGF10
