Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002169_no_abnormal_phenotype_	145/1370	0.0000000000000000423603060813020891331154397637718473739365355828188908215992114492109976708889007568359375	0.000000000000012732917663725553257578323659743567269683338534502770045264696818776428699493408203125	0.0000000000000000000000306015010389259097062311804118922069123851087269278175162438957075672352203810078208334743976593017578125	0.00000000000000000000000003109388015636450193339833957399295892839461226186181170494432897955503804221510932848104857839643955230712890625	-1.0709508428395347	34.264628642422664	OXTR;GALNT13;SYAP1;CBLC;SCX;FZD10;DACH2;NR3C1;SAT1;HS6ST2;FGF3;FGF4;ALKBH3;FGF8;PEG12;GSC2;PITX2;EPHB2;SLC12A8;PCDHAC2;HOXA5;MNX1;PCDHAC1;PDGFRA;NKX6-2;IGFBP2;ATP11C;ACSL4;ZBTB33;SCAMP1;POU3F1;SOX10;SFRP2;KCNQ1;SLC27A2;NBL1;MTMR1;PKDCC;FOXG1;ARX;TWIST2;PROZ;DTX1;GPR83;FOXO4;CRHR1;MTM1;PDZD4;EFNB3;FUT9;ALX4;PROM1;RBM10;DRD5;WNT4;BDNF;MSN;HPRT;B3GALT5;GRIN2C;NFKB1;IGF2R;FOSL1;NFKBIA;POLA1;BMP2;LRCH2;GRIN3A;FES;GNAS;LHX6;TAB3;OGT;RAB9;HMX3;RARG;FLT1;KCNK9;SNX12;HMGB3;HCCS;SLC6A1;PKD2;ARHGAP6;GLI2;WDR44;TRO;MED12;ADAMTS5;SEPT6;MED14;NKRF;SIX2;SCN5A;IKBKG;ABCD1;VBP1;SPHK1;CTPS2;PAX1;KIF4;BACE1;PAX7;ALDH1A2;HAND1;PLEC;NLGN3;TAGLN;ZFP423;ODC1;SEZ6;XIAP;TXLNG;ASCL2;HDAC6;NEURL1A;ENOX2;GBX2;FRZB;TBX22;FAM120C;LMNA;MGAT3;SPOCK1;PAK6;TAF9B;RHBG;RUNX1T1;TBX1;NTRK1;GDF10;CDX4;USP9X;GAD1;PCDH8;POU4F2;CLCN5;WT1;KCNS2;RLIM;RBM41;APBA2;FOXA3;NEUROG3;A830080D01RIK
MP0002873_normal_phenotype_	145/1375	0.000000000000000058141176546692020517668135739216350580234205099559863239022661218768917024135589599609375	0.000000000000012732917663725553257578323659743567269683338534502770045264696818776428699493408203125	0.0000000000000000000000426781638014953599012316987166512023066558749300508780426588787380859368880692272796295583248138427734375	0.00000000000000000000000003109388015636450193339833957399295892839461226186181170494432897955503804221510932848104857839643955230712890625	-1.0657437718621274	34.09803056320314	OXTR;GALNT13;SYAP1;CBLC;SCX;FZD10;DACH2;NR3C1;SAT1;HS6ST2;FGF3;FGF4;ALKBH3;FGF8;PEG12;GSC2;PITX2;EPHB2;SLC12A8;PCDHAC2;HOXA5;MNX1;PCDHAC1;PDGFRA;NKX6-2;IGFBP2;ATP11C;ACSL4;ZBTB33;SCAMP1;POU3F1;SOX10;SFRP2;KCNQ1;SLC27A2;NBL1;MTMR1;PKDCC;FOXG1;ARX;TWIST2;PROZ;DTX1;GPR83;FOXO4;CRHR1;MTM1;PDZD4;EFNB3;FUT9;ALX4;PROM1;RBM10;DRD5;WNT4;BDNF;MSN;HPRT;B3GALT5;GRIN2C;NFKB1;IGF2R;FOSL1;NFKBIA;POLA1;BMP2;LRCH2;GRIN3A;FES;GNAS;LHX6;TAB3;OGT;RAB9;HMX3;RARG;FLT1;KCNK9;SNX12;HMGB3;HCCS;SLC6A1;PKD2;ARHGAP6;GLI2;WDR44;TRO;MED12;ADAMTS5;SEPT6;MED14;NKRF;SIX2;SCN5A;IKBKG;ABCD1;VBP1;SPHK1;CTPS2;PAX1;KIF4;BACE1;PAX7;ALDH1A2;HAND1;PLEC;NLGN3;TAGLN;ZFP423;ODC1;SEZ6;XIAP;TXLNG;ASCL2;HDAC6;NEURL1A;ENOX2;GBX2;FRZB;TBX22;FAM120C;LMNA;MGAT3;SPOCK1;PAK6;TAF9B;RHBG;RUNX1T1;TBX1;NTRK1;GDF10;CDX4;USP9X;GAD1;PCDH8;POU4F2;CLCN5;WT1;KCNS2;RLIM;RBM41;APBA2;FOXA3;NEUROG3;A830080D01RIK
MP0003635_abnormal_synaptic_transmissio_	61/453	0.000000000006692473812604050512986005849428927595885785439833171039936132729053497314453125	0.00000000058626070598411480458117622536280862111102152312014368362724781036376953125	0.00000000000012640518465827662950608099326393016180176791241063227744234609417617321014404296875	0.00000000000014369085981563294575313687517777983977391824399472142204103874973952770233154296875	-1.5015746849621239	31.919358283993247	FMR1;GRIK3;HTR2C;ADRA1D;DOC2B;SLC6A1;SLC7A10;NR3C1;SLC6A2;AFF2;JPH3;OPHN1;GRM7;DPYSL4;MDK;SLC18A3;KCNH3;TRPC5;CACNA2D1;TMOD2;CACNA2D2;CASK;MAPK8IP2;SYN1;BACE1;BCAN;ARHGEF9;VGF;SCN8A;KCNMA1;CHST3;NLGN3;COL13A1;CHRNA4;KCNA2;CHRD;SEZ6;CRMP1;EFNB3;ERBB4;CACNG2;DRD2;PAK3;S1PR4;FGF22;GRIA3;GABRQ;TBX1;EGR3;BDNF;GABRA5;GAD1;ATP2B2;GRIN2C;SLC6A5;CPEB1;GRIN3A;NBEA;DLG3;GDNF;FGF12
MP0002882_abnormal_neuron_morphology_	109/1006	0.000000000000115068585422250463667202547285465117558704573053063313636812381446361541748046875	0.0000000000168000134716485695129470975328891068321934820772867169580422341823577880859375	0.0000000000000000106171210196328783062904880113912077252762584459442642137450008021914982236921787261962890625	0.00000000000000000000000003109388015636450193339833957399295892839461226186181170494432897955503804221510932848104857839643955230712890625	-1.2627596679530093	31.328614571194624	PRRXL1;FMR1;IHH;CELSR3;PREX2;DPYSL4;OPHN1;PITX2;EPHB2;EPHB1;MNX1;NKX6-2;SLC30A3;WNT5A;TRP73;CACNA2D2;UNC5C;SOX11;MAPK8IP2;POU3F1;SOX10;ANK1;POU3F2;SFRP2;SCN8A;KCNQ1;ROR2;RTN4R;UGT8A;COL13A1;CHRNA4;MAOA;FOXG1;ARX;SLC1A2;EFNB3;PLXNA1;APOE;NKX6-1;DRD2;PROM1;FGF22;WNT4;EGR3;PDHA1;BDNF;FOXN4;HPRT;NFKB1;FA2H;DLG1;GRIN3A;GDNF;TLX3;LHX3;NBEA;TLX2;FEV;DLG5;LHX5;FAT4;SLC26A4;BCL2L2;BARHL2;HMX3;UCN;GAL3ST1;GLI2;SYNE1;AIFM1;IDS;FEZF2;SLC18A3;OFD1;GRID1;UCHL5;SYN1;BACE1;ARHGEF9;DNAJC6;ALDH1A2;KCNMA1;HMX2;PLEC;ZFP423;GUCY2E;DBX1;SEZ6;CRMP1;HOXD10;RELN;EGFLAM;GBX2;ERBB4;LMNA;SLIT1;PAK6;CACNG2;NTRK1;TBX1;GABRA5;GAD1;CADPS;HUWE1;ATP2B2;POU4F2;NEUROG1;NEUROG2;CRLF1
MP0002066_abnormal_motor_capabilities/c_	133/1482	0.000000000180308298025010537964374925012293708614929954592298599891364574432373046875	0.0000000131625057558257691163030046722047516905007569221197627484798431396484375	0.00000000000000196836794267990332865922886170189754565572966445163860527145516243763267993927001953125	0.00000000000014369085981563294575313687517777983977391824399472142204103874973952770233154296875	-1.5675107453410855	28.44388307985853	OXTR;FMR1;ARAF;SCX;NR3C1;FGF3;CELSR3;PREX2;TGM1;RPS6KA3;HTR7;OPHN1;SALL3;EPHB2;PDGFRA;NKX6-2;TMOD2;CACNA2D3;CACNA2D2;CASK;UNC5C;MAPK8IP2;POU3F1;ANK1;SOX10;POU3F4;LMX1A;LOX;SLC9A6;SCN8A;KCNQ1;RTN4R;UGT8A;COL13A1;MAOA;CHRNA4;FOXG1;ARX;TWIST2;CHRD;CRHR1;MTM1;RAI1;PCSK1N;EFNB3;NKX2-1;APOE;NKX6-1;DRD2;PROM1;GRIA3;EGR3;BDNF;ESRRB;HPRT;GRIN2C;IGF2R;NFKB1;SLC6A5;FA2H;GRIN3B;GNAL;DLG3;NBEA;GDNF;FEV;DLG5;GNAS;ALPL;LHX6;SLC26A4;FGF12;OGT;BCL2L2;HMX3;BARHL2;GAL3ST1;SH3KBP1;HTR2C;ADRA1D;HOXC13;SLC7A10;SLC6A1;SLC6A2;GLI2;SYNE1;JPH3;AIFM1;GRM7;IDS;RAC3;IKBKG;FEZF2;GPRASP1;ABCD1;EMD;SLC18A3;EN2;SEZ6L;PAX1;BACE1;SLC7A7;VGF;PAX7;PIGA;KCNMA1;HMX2;CHST3;NLGN3;OPRD1;ZFP423;KCNA2;SEZ6;HOXD10;ADCY5;NEURL1A;FOXS1;RELN;FRZB;ERBB4;LMNA;PAK6;CACNG2;NTRK1;SLC12A5;GABRA5;GAD1;KLHL1;ATP2B2;GPR50;DES;APBA2;NEUROG2
MP0002572_abnormal_emotion/affect_behav_	48/372	0.00000000499910511952742002453290519315386164489467546445666812360286712646484375	0.00000031280114890757280451448018969429210045518630067817866802215576171875	0.0000000002422391219793441423524490136820301600106830619552056305110454559326171875	0.0000000007952334841208019976584804423629625202973869591005495749413967132568359375	-1.8587872211520688	27.84035393335167	OPRD1;RTN4R;NLGN3;UCN;OXTR;CHRNA4;MAOA;SH3KBP1;FMR1;ARX;CHRD;ARAF;HTR2C;NR3C1;SLC6A2;ADCY7;CRHR1;RAI1;PCSK1N;JPH3;OPHN1;FRZB;MDK;NKX2-1;PAK6;IDS;APOE;DRD2;TRPC5;KCNH5;BDNF;TRP73;CACNA2D3;EN2;HPRT;NAV2;ADRA2C;MAPK8IP2;BACE1;ARHGEF9;GRIN3B;GNAL;FEV;SCN8A;GNAS;APBA2;FGF12;CHST3
MP0002063_abnormal_learning/memory/cond_	50/403	0.0000000089517665469557922603042747120537236948933923486038111150264739990234375	0.000000490109218445829605985734032935763337945900275371968746185302734375	0.000000000343094378482047032289622265810620505011030445530195720493793487548828125	0.0000000007952334841208019976584804423629625202973869591005495749413967132568359375	-1.589339245451674	23.090933882308526	SH3KBP1;FMR1;HTR2C;ADRA1D;SLC6A1;AFF2;RPS6KA3;JPH3;GRM7;OPHN1;MDK;RAC3;SLC18A3;KCNH3;TMOD2;EN2;NAV2;ADRA2C;MAPK8IP2;BACE1;ARHGEF9;VGF;KCNMA1;NLGN3;RTN4R;CHRNA4;MAOA;ARX;SEZ6;CHRD;CRMP1;CRHR1;NEURL1A;RAI1;NKX2-1;PAK6;APOE;DRD2;PAK3;NPTX2;IGBP1;KL;GABRA5;BDNF;HPRT;DLG3;GNAS;APBA2;FGF12;BCL2L2
MP0002116_abnormal_craniofacial_bone_	51/467	0.000000390355356607014036587877635342547222307985066436231136322021484375	0.000014247970516156012441336652096790515997781767509877681732177734375	0.0000000119151093733455916531523569924268246555953965071239508688449859619140625	0.000000038726180560286476603663939448363162654231928172521293163299560546875	-1.9628229848713656	21.902937714188575	DDR1;RARG;EDA;IHH;GLI2;MED12;NDST1;RPS6KA3;FGF8;ZIC3;RSPO2;IDS;PITX2;OFD1;FOXD3;PDGFRA;WNT5A;TRP73;CASK;SOX11;POU3F3;PAX1;POU3F4;MN1;NOV;LMX1A;PAX7;PIGA;IRF6;ROR2;HMX1;FOXC2;PKDCC;HOXD1;FOXG1;COL11A2;CHRD;RAI1;EFNB1;GBX2;TBX22;LMNA;PRDM16;GPC3;ALX4;TBX1;GAD1;DMRT3;DLG1;GNAS;ALPL
MP0002752_abnormal_somatic_nervous_	70/675	0.000000021962161542942911351699141332509401802752790899830870330333709716796875	0.00000087449334143718137867516172756499059914858662523329257965087890625	0.0000000001297737224581882640037944375545017096362787611951716826297342777252197265625	0.0000000051673536760624050123515802628894333370368485702783800661563873291015625	-1.370304303147024	19.115225898233405	PRRXL1;HRK;MESP1;BARHL2;HMX3;UCN;FGF3;SYNE1;RPGR;SIX6;FGF8;AIFM1;SALL3;ZIC3;EPHB2;EPHB1;MNX1;SLC18A3;FOXD3;NKX6-2;GRID1;TRP73;CACNA2D2;UNC5C;SOX11;NAV2;POU3F1;SOX10;LMX1A;SCN8A;ALDH1A2;KCNQ1;KCNMA1;ROR2;HMX2;FOXC2;ZFP423;GUCY2E;COL13A1;FOXG1;HPN;CHRD;HOXD10;EFNB1;RELN;EGFLAM;GBX2;ERBB4;LMNA;PLXNA1;APOE;CACNG2;PROM1;NTRK1;EGR3;BDNF;GABRA5;ATP2B2;FOXN4;HPRT;NFKB1;POU4F2;GDNF;LHX3;ALPL;FAT4;SLC26A4;NEUROG1;NEUROG2;VSX2
MP0003861_abnormal_nervous_system_	83/855	0.000000021698990364500463580809514439751151115842731087468564510345458984375	0.00000087449334143718137867516172756499059914858662523329257965087890625	0.000000000040915276089644632022410618941914519676450456842076164321042597293853759765625	0.000000001792089092726434904553570130595653575600323392791324295103549957275390625	-1.3555958265982029	18.910048222585825	MESP1;C330007P06RIK;EDA;FMR1;CELSR3;FGF3;GLI2;MED12;NDST1;FGF8;CDH2;OPHN1;ZIC3;MDK;PROK2;PITX2;EPHB2;FEZF2;EPHB1;MNX1;CCDC160;OFD1;CARD10;PDGFRA;AMN;NKX6-2;NUP133;SPHK1;LMO2;TRP73;EN2;CACNA2D2;SOX11;UNC5C;POU3F2;SOX10;SYN1;UCHL5;ZDHHC15;PAX1;SFRP2;LMX1A;ALDH1A2;PIGA;SCN8A;PARD3;HAND1;HMX1;RTN4R;FOXC2;ZFP423;FOXG1;ARX;CHRD;CRMP1;HOXD11;HOXD10;EFNB3;RELN;GBX2;ERBB4;SLIT1;APOE;CACNG2;DRD2;TBX1;BDNF;USP9X;GAD1;HUWE1;GDF1;HPRT;BMP2;DLG3;FEV;DLG5;LHX5;FAT4;BCOR;NEUROG1;MIXL1;BCL2L2;NEUROG2
