Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	28/111	0.00000000025694370566286005282387779408083579302246590714275953359901905059814453125	0.00000035329759528643258679829995683174814757876447401940822601318359375	0.0000008339092543158267970121173655317914352735897409729659557342529296875	0.00114662522468426193895940645717246297863312065601348876953125	-2.0928581235265966	31.091406290843036	EDA;FHL1;PHF6;CHRDL1;SAT1;FGD1;RPGR;AFF2;MED12;AIFM1;OPHN1;ABCD1;OFD1;TRAPPC2;IGBP1;PDHA1;GK;IQSEC2;ATP2B3;PHKA1;UBE2A;SMC1A;FGF16;CLCN5;SLC6A8;SMS;UBA1;MBTPS2
Cryptorchidism (HP:0000028)	53/379	0.000000074554983659279795664008745614825812708659213967621326446533203125	0.000051256551265754858354335710135529780018259771168231964111328125	0.00013144751053610466092792796732879878618405200541019439697265625	0.02551640246883739304717408913347753696143627166748046875	-2.568524049583867	25.373594071802206	CDKN1C;CHRM3;FMR1;HS6ST1;PHF6;GLI3;PHF8;GLI2;MED12;SOX3;SALL1;OPHN1;TCTN2;AP1S2;PIEZO2;OFD1;RIPK4;TACR3;SOX11;HNF1B;PAX6;SMC1A;IL17RD;ANK1;POMGNT1;SMS;ROR2;MAGEL2;GATA5;GATA4;FGD1;EFNB1;PORCN;ARVCF;NSD1;ALX4;GPC4;FKTN;TBX1;GK;BDNF;TMEM231;SKI;FGF17;POLA1;GJB6;UBA1;LHX4;FAT4;BCOR;FGFR2;MBTPS2;FGFR1
X-linked dominant inheritance (HP:0001423)	17/62	0.00000022726276306314016732655863654855021849243712495081126689910888671875	0.00010416209973727256869746593537229273351840674877166748046875	0.0000556721508410997680134889298297906634616083465516567230224609375	0.02551640246883739304717408913347753696143627166748046875	-1.9083967012340857	17.499162294201106	AMER1;OFD1;PDHA1;EDA;GK;FMR1;FHL1;NDUFA1;CASK;EFNB1;RPS6KA3;PORCN;SLC9A6;LAMP2;NHS;PDK3;BCOR
Hypoplasia of the maxilla (HP:0000327)	14/47	0.000000874344241661575412459983698554299991201332886703312397003173828125	0.0003005558330711665597327619803280640553566627204418182373046875	0.00012302220340317944718803999659684222933719865977764129638671875	0.0422888824198429380540886768358177505433559417724609375	-2.0396946522361943	16.541672789370512	EDA;RIPK4;PAX3;FGD1;GLI2;SKI;MED12;MAFB;ALX3;FAT4;PITX2;SCARF2;FGFR2;FGFR1
Hypertelorism (HP:0000316)	42/328	0.00001540719755253661915855682706943952098299632780253887176513671875	0.0026481120793422313446086047150629383395425975322723388671875	0.003523946082587057875012970242778465035371482372283935546875	0.1114201336557854304931680644585867412388324737548828125	-2.6130544255590156	15.505625385377737	AMER1;SEMA5A;LTBP4;PTH1R;FGF3;FGD1;GLI3;MED12;EFNB1;RPS6KA3;RAI1;ARVCF;ZIC2;TCTN2;NSD1;PIEZO2;ALX3;FGF20;ALX4;GPC4;SCARF2;PITX2;OFD1;TBX1;GK;RIPK4;PAX3;CASK;ANK1;TMEM231;SKI;BMP2;PSAT1;SMS;FAM20C;ROR2;FAT4;SIM1;VSX1;FGFR2;FGFR1;CHST3
Optic nerve hypoplasia (HP:0000609)	9/24	0.000009820630628906390662056884177655291523478808812797069549560546875	0.0025596138668292881153398798943499059532769024372100830078125	0.000534116345758014620000164729418656861525960266590118408203125	0.1114201336557854304931680644585867412388324737548828125	-2.248135277046487	13.416643968560088	SOX3;LHX3;SCN8A;CASK;PAX6;LHX4;PTF1A;GLI2;FGFR1
Broad toe (HP:0001837)	9/25	0.000014471335916878290257206636504339059001722489483654499053955078125	0.0026481120793422313446086047150629383395425975322723388671875	0.00067926453300074982576128856948116663261316716670989990234375	0.1114201336557854304931680644585867412388324737548828125	-2.130630409999337	12.642965507722208	MED12;EFNB1;BMP2;NPR2;ROR2;UBE2A;GLI3;FGFR2;FGFR1
Camptodactyly of finger (HP:0100490)	21/121	0.00002746330447980839889140537712908241019249544478952884674072265625	0.00343291305997604941080414420184752088971436023712158203125	0.0018825015264062223974139698157159727998077869415283203125	0.1114201336557854304931680644585867412388324737548828125	-2.222043793849177	12.608645512599246	FBN2;PAX3;LAMC2;FGD1;SKI;MED12;EFNB1;PORCN;MAFB;NSD1;PIEZO2;UBA1;ROR2;FAT4;BCOR;GPC4;SCARF2;CRLF1;FGFR2;MBTPS2;CHST3
Depressed nasal bridge (HP:0005280)	31/228	0.000062894958299675166242016788320512432619580067694187164306640625	0.004118122269621588178722948470067422022111713886260986328125	0.005662349230401264588152798751252703368663787841796875	0.13681264697225647974931916905916295945644378662109375	-2.263859441381652	12.433926466911858	CDKN1C;EDA;NPR2;FOXG1;TWIST2;PTH1R;GLI3;GLI2;MED12;SEPT9;RAI1;RPS6KA3;ZIC2;ALX4;SCARF2;PITX2;PAX3;AMMECR1;FOXL2;SOX11;UBE2A;SMC1A;ANK1;SKI;GNAS;FAM20C;ROR2;FAT4;CRLF1;FGFR2;FGFR1
Mandibular prognathia (HP:0000303)	19/97	0.000011169224146164166697257728866343740037336829118430614471435546875	0.0025596138668292881153398798943499059532769024372100830078125	0.000893666919422141168942441691314115814748220145702362060546875	0.1114201336557854304931680644585867412388324737548828125	-2.0743257364730154	12.37936620862169	FOXG1;FMR1;PAX3;HNF1B;PTH1R;RPS6KA3;RAI1;SLC6A8;SLC9A6;OPHN1;NSD1;GNAS;SMS;AP1S2;NHS;FAM20C;GPC4;FGFR2;FGFR1
