Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pattern specification process (GO:0007389)	8/385	0.0000028607043190702957774214192088191310858746874146163463592529296875	0.0016334621661891388609555431088438126607798039913177490234375	0.00000372282907190689727502767858435817061035777442157268524169921875	0.0021257354000588381780223468098256489611230790615081787109375	-2.3796226226475388	15.270165651701813	FLT1;CDX1;WNT7B;ALDH1A2;PCDH8;UNCX;HOXC13;HOXD11
regionalization (GO:0003002)	6/247	0.000023464279364304385590463131183724954098579473793506622314453125	0.005027365943260837279071839844846181222237646579742431640625	0.00003051471571134902857256286645704079774077399633824825286865234375	0.006667102146579194366093901180647662840783596038818359375	-2.4057507766541715	12.733299893829955	CDX1;WNT7B;ALDH1A2;PCDH8;HOXC13;HOXD11
anterior/posterior pattern specification (GO:0009952)	5/150	0.00002641348131310422307012515663604546034548548050224781036376953125	0.005027365943260837279071839844846181222237646579742431640625	0.00003502855768780662425176952723404610878787934780120849609375	0.006667102146579194366093901180647662840783596038818359375	-2.313000125159629	12.242383763909533	CDX1;ALDH1A2;PCDH8;HOXC13;HOXD11
neuron differentiation (GO:0030182)	5/222	0.00016904295955343700478927526642536349754664115607738494873046875	0.024130882476253133483989898877553059719502925872802734375	0.00021238095708614405780247091914958446068339981138706207275390625	0.0303173816240470649086002907779402448795735836029052734375	-2.31836494650629	8.634200392630609	BARHL2;WNT7B;ALDH1A2;CHD5;UNCX
proximal/distal pattern formation (GO:0009954)	2/25	0.00156663445972321274841931870724920372595079243183135986328125	0.12779261092885063622048846809775568544864654541015625	0.001965990547093459002436777183220328879542648792266845703125	0.160368657484337873153634745904128067195415496826171875	-2.5083472676013985	5.1605396126739755	ALDH1A2;HOXD11
morphogenesis of embryonic epithelium (GO:0016331)	2/29	0.0021075318541964004059874326912904507480561733245849609375	0.140501860981170401121431723368004895746707916259765625	0.0025885830403505048248613551464814008795656263828277587890625	0.1656033514441702381159160495371907018125057220458984375	-2.5991123311007085	5.1008477358047575	ALDH1A2;PCDH8
embryonic forelimb morphogenesis (GO:0035115)	2/34	0.0028904491440870871098167693702407632372342050075531005859375	0.140501860981170401121431723368004895746707916259765625	0.0034803298218312427037002265706178150139749050140380859375	0.1656033514441702381159160495371907018125057220458984375	-2.5732372863003654	5.050067066533805	ALDH1A2;HOXD11
lung development (GO:0030324)	3/82	0.000945745092605589977342861462972223307588137686252593994140625	0.1080040895755583763016005605095415376126766204833984375	0.00115655176180803355955040156999302780604921281337738037109375	0.1320782111984774298552025584285729564726352691650390625	-2.2122335791650087	4.9235164942924765	LOX;WNT7B;ALDH1A2
tissue morphogenesis (GO:0048729)	5/358	0.00147913980042717958969522573653421204653568565845489501953125	0.12779261092885063622048846809775568544864654541015625	0.00177909439112145461268921220465699661872349679470062255859375	0.160368657484337873153634745904128067195415496826171875	-2.3659637257071924	4.867607323102882	FLT1;WNT7B;ALDH1A2;PCDH8;HOXD11
embryonic morphogenesis (GO:0048598)	5/403	0.0024797241363210139296346934401071848697029054164886474609375	0.140501860981170401121431723368004895746707916259765625	0.00295819830142295299435506450436150771565735340118408203125	0.1656033514441702381159160495371907018125057220458984375	-2.4142566275958623	4.738062031858684	FLT1;WNT7B;ALDH1A2;PCDH8;HOXD11
