Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003948_abnormal_gas_homeostasis_	5/311	0.000790988265568279996266254361358960522920824587345123291015625	0.10252074084775054940710248274626792408525943756103515625	0.00076787719844732056813374487802548173931427299976348876953125	0.0828020573970714435230178196434280835092067718505859375	-1.7496951749937837	3.9852634675795904	MN1;TLX3;LOX;NBEA;ALDH1A2
MP0002086_abnormal_extraembryonic_tissu_	6/550	0.00173495750816401680428902043473726735101081430912017822265625	0.10252074084775054940710248274626792408525943756103515625	0.00158717052089977811620002956516373160411603748798370361328125	0.0828020573970714435230178196434280835092067718505859375	-1.5298774424059287	3.4845867830184236	FLT1;NBEA;CDX1;WNT7B;ALDH1A2;FKTN
MP0002882_abnormal_neuron_morphology_	8/1006	0.0021812923584627777300049000785975295002572238445281982421875	0.10252074084775054940710248274626792408525943756103515625	0.00176174590206534982528285837588555295951664447784423828125	0.0828020573970714435230178196434280835092067718505859375	-1.2627596679530093	2.876175258952715	BARHL2;TLX3;NBEA;FMR1;ALDH1A2;CRMP1;SLC26A4;UCHL5
MP0002295_abnormal_pulmonary_circulatio_	2/54	0.007156234540784988003292443892178198439069092273712158203125	0.252257267562670806082536500980495475232601165771484375	0.007721994284308021823381995574209213373251259326934814453125	0.27220029852185778640460966926184482872486114501953125	-1.9945863222189422	2.7471553285656145	LOX;WNT7B
MP0001286_abnormal_eye_development_	3/195	0.01080292073809238119486142437608577893115580081939697265625	0.3046423648142051465725899106473661959171295166015625	0.011139629678781702570855571821084595285356044769287109375	0.30529444425040452859576589617063291370868682861328125	-1.8835928667822943	2.2388700594352535	BARHL2;ALDH1A2;WNT7B
MP0003115_abnormal_respiratory_system_	2/93	0.020189942710447904283821429771705879829823970794677734375	0.355812932045737106978577912741457112133502960205078125	0.02116038624969611425807869409254635684192180633544921875	0.30529444425040452859576589617063291370868682861328125	-1.8714136022072094	1.9338255415623908	LOX;WNT7B
MP0003942_abnormal_urinary_system_	2/92	0.019785019033239446828442709147566347382962703704833984375	0.355812932045737106978577912741457112133502960205078125	0.0207448294530106804034463863217752077616751194000244140625	0.30529444425040452859576589617063291370868682861328125	-1.8687539002420452	1.9310771381164011	CDH4;ALDH1A2
MP0002932_abnormal_joint_morphology_	2/136	0.04066200660066669747561007852709735743701457977294921875	0.355812932045737106978577912741457112133502960205078125	0.042110174638343010611318817382198176346719264984130859375	0.30529444425040452859576589617063291370868682861328125	-1.848500994384297	1.9101487946479243	CDX1;UNCX
MP0002114_abnormal_axial_skeleton_	4/567	0.0437040843770314657579234562945202924311161041259765625	0.355812932045737106978577912741457112133502960205078125	0.043879755791418610655352239291460136882960796356201171875	0.30529444425040452859576589617063291370868682861328125	-1.7591354413540963	1.817802886302584	CDX1;UNCX;HOXC13;HOXD11
MP0008438_abnormal_cutaneous_collagen_	1/16	0.036958130430489684326023080984668922610580921173095703125	0.355812932045737106978577912741457112133502960205078125	0.03967725461698397293464068980028969235718250274658203125	0.30529444425040452859576589617063291370868682861328125	-1.6173535587231953	1.671292555481509	LOX
MP0009384_cardiac_valve_regurgitation_	1/19	0.043737381735919282632618632078447262756526470184326171875	0.355812932045737106978577912741457112133502960205078125	0.04652038378190563594483109000066178850829601287841796875	0.30529444425040452859576589617063291370868682861328125	-1.4753962300943124	1.5246009275106958	LOX
MP0003635_abnormal_synaptic_transmissio_	4/453	0.021523594046140799573851865034157526679337024688720703125	0.355812932045737106978577912741457112133502960205078125	0.021551873276349393926398789744780515320599079132080078125	0.30529444425040452859576589617063291370868682861328125	-1.4605017325080845	1.5092096960763322	NBEA;FMR1;CRMP1;DOC2B
MP0000678_abnormal_parathyroid_gland_	1/21	0.04823091112321871432033759674595785327255725860595703125	0.355812932045737106978577912741457112133502960205078125	0.0510564364295455208608842667672433890402317047119140625	0.358101927500975747431510853857616893947124481201171875	-1.4434083918328862	1.491546289788519	ALDH1A2
MP0004134_abnormal_chest_morphology_	1/29	0.06599927528179276581266066159514593891799449920654296875	0.37124899139776712519989132488262839615345001220703125	0.06899434809604383656012061010187608189880847930908203125	0.378387135391772044812341846409253776073455810546875	-1.490944118445914	1.477350145669975	UNCX
MP0000579_abnormal_nail_morphology_	1/30	0.06819736421072257470665789469421724788844585418701171875	0.37124899139776712519989132488262839615345001220703125	0.0712135644653981991769597925667767412960529327392578125	0.378387135391772044812341846409253776073455810546875	-1.4900735018360938	1.4764874670763055	HOXC13
MP0005275_abnormal_skin_tensile_	1/22	0.050469919439111644854367710877340869046747684478759765625	0.355812932045737106978577912741457112133502960205078125	0.053316686913879196563215145943104289472103118896484375	0.358101927500975747431510853857616893947124481201171875	-1.4056720191656005	1.4525514031296618	LOX
MP0001958_emphysema_	1/27	0.06158786205239298594538155384725541807711124420166015625	0.37124899139776712519989132488262839615345001220703125	0.06454063432949273815264490394838503561913967132568359375	0.378387135391772044812341846409253776073455810546875	-1.413625715109834	1.4007367079037147	LOX
MP0004885_abnormal_endolymph_	1/21	0.04823091112321871432033759674595785327255725860595703125	0.355812932045737106978577912741457112133502960205078125	0.0510564364295455208608842667672433890402317047119140625	0.358101927500975747431510853857616893947124481201171875	-1.3532409775983079	1.3983717780409246	SLC26A4
MP0001730_embryonic_growth_arrest_	2/221	0.09511602740280376833137410130802891217172145843505859375	0.37124899139776712519989132488262839615345001220703125	0.0976650198325730023451995975847239606082439422607421875	0.378387135391772044812341846409253776073455810546875	-1.3756967959275987	1.3631536130138893	FLT1;FKTN
MP0003279_aneurysm_	1/26	0.05937451481326261326643134452751837670803070068359375	0.37124899139776712519989132488262839615345001220703125	0.062306114537094552108253964206596720032393932342529296875	0.378387135391772044812341846409253776073455810546875	-1.3733224507561552	1.360800916396018	LOX
MP0002066_abnormal_motor_capabilities/c_	7/1482	0.056393496940592265087577317217437666840851306915283203125	0.37124899139776712519989132488262839615345001220703125	0.0533343296278049050496150584876886568963527679443359375	0.358101927500975747431510853857616893947124481201171875	-1.3399493328095013	1.3277320843385547	BARHL2;GRIN3B;NBEA;LOX;FMR1;HOXC13;SLC26A4
MP0002084_abnormal_developmental_patter_	3/421	0.0761611061083654894421357539613381959497928619384765625	0.37124899139776712519989132488262839615345001220703125	0.07766870421093695353587094132308266125619411468505859375	0.378387135391772044812341846409253776073455810546875	-1.3346487009321595	1.3224797820025715	FLT1;ALDH1A2;FKTN
MP0004270_analgesia_	1/22	0.050469919439111644854367710877340869046747684478759765625	0.355812932045737106978577912741457112133502960205078125	0.053316686913879196563215145943104289472103118896484375	0.358101927500975747431510853857616893947124481201171875	-1.276860514650701	1.319444014584342	NBEA
MP0004272_abnormal_basement_membrane_	1/31	0.07039038994549300098935162850466440431773662567138671875	0.37124899139776712519989132488262839615345001220703125	0.0734277020551743486720397413591854274272918701171875	0.378387135391772044812341846409253776073455810546875	-1.3058940080028147	1.2939872655746973	FKTN
MP0002249_abnormal_larynx_morphology_	1/35	0.079112088700947602593060992148821242153644561767578125	0.37124899139776712519989132488262839615345001220703125	0.08223368702795692819496053971306537277996540069580078125	0.378387135391772044812341846409253776073455810546875	-1.3019707604661261	1.2900997890099366	ALDH1A2
MP0001943_abnormal_respiration_	3/438	0.08349662033040498865243961290616425685584545135498046875	0.37124899139776712519989132488262839615345001220703125	0.08515412145683499967052654255894594825804233551025390625	0.378387135391772044812341846409253776073455810546875	-1.2961070103547199	1.2842895027798342	TLX3;WNT7B;UNCX
MP0003861_abnormal_nervous_system_	5/855	0.04932421384229242200536447171543841250240802764892578125	0.355812932045737106978577912741457112133502960205078125	0.0486481311279058636909411461601848714053630828857421875	0.358101927500975747431510853857616893947124481201171875	-1.2387610778108098	1.280073955505351	FMR1;ALDH1A2;CRMP1;HOXD11;UCHL5
MP0001485_abnormal_pinna_reflex_	1/41	0.09204466908382628875795461453890311531722545623779296875	0.37124899139776712519989132488262839615345001220703125	0.0952921841226586907591666886219172738492488861083984375	0.378387135391772044812341846409253776073455810546875	-1.2692762526198578	1.2577033796933759	SLC26A4
MP0000955_abnormal_spinal_cord_	2/244	0.1121997025283741067358533882725168950855731964111328125	0.380045429200375040057480191535432823002338409423828125	0.11508664607873124452463997613449464552104473114013671875	0.391647290460748032092652692881529219448566436767578125	-1.2745180724534964	1.2330509678874333	TLX3;ALDH1A2
MP0002128_abnormal_blood_circulation_	3/449	0.08840145982825160786422458158995141275227069854736328125	0.37124899139776712519989132488262839615345001220703125	0.0901616333502633093832656641097855754196643829345703125	0.378387135391772044812341846409253776073455810546875	-1.216434451295332	1.205343373762621	FLT1;LOX;WNT7B
MP0002282_abnormal_trachea_morphology_	1/45	0.10056745828246756169210840425876085646450519561767578125	0.37124899139776712519989132488262839615345001220703125	0.10389855207481162036042832141902181319892406463623046875	0.383367545372266416148221424009534530341625213623046875	-1.1700102590804955	1.1593424631431881	ALDH1A2
MP0002752_abnormal_somatic_nervous_	4/675	0.073372239900999225437061568300123326480388641357421875	0.37124899139776712519989132488262839615345001220703125	0.07395452539035694827784794824765413068234920501708984375	0.378387135391772044812341846409253776073455810546875	-1.138927657241545	1.1285432629676375	BARHL2;ALDH1A2;UNCX;SLC26A4
MP0001697_abnormal_embryo_size_	3/471	0.098570318497821329817298874331754632294178009033203125	0.37124899139776712519989132488262839615345001220703125	0.1005494582238915801664091986822313629090785980224609375	0.383367545372266416148221424009534530341625213623046875	-1.13572226016086	1.1253670917178284	ALDH1A2;SUV39H1;FKTN
MP0003938_abnormal_ear_development_	1/54	0.11945846632550076449330589412056724540889263153076171875	0.3917126453929211660209830370149575173854827880859375	0.122976450944137616350104735829518176615238189697265625	0.403248362398218651581061067190603353083133697509765625	-1.145862176227376	1.073932689640669	ALDH1A2
MP0003935_abnormal_craniofacial_develop_	2/268	0.130807724086418331044257001849473454058170318603515625	0.4098642021374441224423890162142924964427947998046875	0.134065108886926298570330118309357203543186187744140625	0.420070674512369068853701037369319237768650054931640625	-1.2034659849966416	1.0734066800139437	MN1;ALDH1A2
MP0004742_abnormal_vestibular_system_	1/45	0.10056745828246756169210840425876085646450519561767578125	0.37124899139776712519989132488262839615345001220703125	0.10389855207481162036042832141902181319892406463623046875	0.383367545372266416148221424009534530341625213623046875	-1.070544485324244	1.0607835879110676	SLC26A4
MP0004484_altered_response_of_	1/51	0.11320502146394151310460074455477297306060791015625	0.380045429200375040057480191535432823002338409423828125	0.11666089503086111978102934472190099768340587615966796875	0.391647290460748032092652692881529219448566436767578125	-1.0639497727395435	1.0293336166937535	FLT1
MP0004019_abnormal_vitamin_homeostasis_	1/46	0.10268589123768027959737736409806529991328716278076171875	0.37124899139776712519989132488262839615345001220703125	0.10603783169871199010270146345646935515105724334716796875	0.383367545372266416148221424009534530341625213623046875	-1.014612934118151	1.0053620034938062	ALDH1A2
MP0002081_perinatal_lethality_	5/981	0.07910037131891457795607180969454930163919925689697265625	0.37124899139776712519989132488262839615345001220703125	0.078686195806994152501800954269128851592540740966796875	0.378387135391772044812341846409253776073455810546875	-0.9742474484070901	0.9653645579440465	LOX;TLX3;NBEA;WNT7B;UNCX
