Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Fc-epsilon receptor signaling pathway (GO:0038095)	1/295	0.043602669436094511346002633445095852948725223541259765625	0.05863807268992020371722873051112401299178600311279296875	0.041068184784755996930005750300551881082355976104736328125	0.055229627813982197503950288819396519102156162261962890625	-3.7306269738607054	10.581442491605552	TAB3
Fc receptor signaling pathway (GO:0038093)	1/352	0.0518787198761854195794285260490141808986663818359375	0.0618244236916369038770113775171921588480472564697265625	0.048877712722997380956346802349798963405191898345947265625	0.058249284374343533732254485357771045528352260589599609375	-3.5827494202047503	9.972428190596315	TAB3
immune response-activating signal transduction (GO:0002757)	1/440	0.0645618046588506688809872002821066416800022125244140625	0.0677410293019237441658475518124760128557682037353515625	0.060871826464784693777598789665717049501836299896240234375	0.06387181334607507088296785013881162740290164947509765625	-3.3678269742747062	9.06640318540504	TAB3
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	1/444	0.065135605098003590551769548255833797156810760498046875	0.0677410293019237441658475518124760128557682037353515625	0.06141520514045679945969169466479797847568988800048828125	0.06387181334607507088296785013881162740290164947509765625	-3.3480015569840544	9.013031908362324	TAB3
activation of immune response (GO:0002253)	1/487	0.0712891472391226077576220632181502878665924072265625	0.0712891472391226077576220632181502878665924072265625	0.06724659490525168592522931021449039690196514129638671875	0.06724659490525168592522931021449039690196514129638671875	-3.2236312832382867	8.513646245634177	TAB3
nucleotide-binding oligomerization domain containing signaling pathway (GO:0070423)	1/28	0.004194332173800332901059118029252203996293246746063232421875	0.046121341161264504948658071725731133483350276947021484375	0.00406162045866974123764503445954687776975333690643310546875	0.043576316179108114112761285241504083387553691864013671875	-2.737341572523812	8.421375243822563	TAB3
forebrain morphogenesis (GO:0048853)	1/12	0.00179901011552612943682205592921263814787380397319793701171875	0.046121341161264504948658071725731133483350276947021484375	0.001821748502959912204002268509839268517680466175079345703125	0.043576316179108114112761285241504083387553691864013671875	-2.6908150988802135	8.278237501256037	UCHL5
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	1/34	0.00509158906807313620113131236166736925952136516571044921875	0.046121341161264504948658071725731133483350276947021484375	0.004900923807818592138618729592280942597426474094390869140625	0.043576316179108114112761285241504083387553691864013671875	-2.687067907065197	8.266709342438888	TAB3
lateral ventricle development (GO:0021670)	1/11	0.001649175082507653607166719922361153294332325458526611328125	0.046121341161264504948658071725731133483350276947021484375	0.0016816729695047992997058994291137423715554177761077880859375	0.043576316179108114112761285241504083387553691864013671875	-2.5299761808957917	7.783419866601699	UCHL5
midbrain development (GO:0030901)	1/32	0.004792563348806673333146743942734246957115828990936279296875	0.046121341161264504948658071725731133483350276947021484375	0.004621195335917870593289702441097688279114663600921630859375	0.043576316179108114112761285241504083387553691864013671875	-2.479271596489627	7.627428251907923	UCHL5
nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway (GO:0035872)	1/46	0.006884485610588467023596148663955318625085055828094482421875	0.046121341161264504948658071725731133483350276947021484375	0.006578469104070508270687422935907306964509189128875732421875	0.043576316179108114112761285241504083387553691864013671875	-2.3995044556438603	7.382026277988499	TAB3
I-kappaB kinase/NF-kappaB signaling (GO:0007249)	1/42	0.006287092965345220628436972987174158333800733089447021484375	0.046121341161264504948658071725731133483350276947021484375	0.0060194445831067179553119927959414781071245670318603515625	0.043576316179108114112761285241504083387553691864013671875	-2.2934714591000906	7.055817937354291	TAB3
