Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	18/111	0.00000000000000000659178218968446059593565280245582126994041629276994444242010473544723936356604099273681640625	0.000000000000004264883076725845661214093306751145835242593207237149499633233062922954559326171875	0.0000000000000558364865157829390060826863137989484859279032402668008217005990445613861083984375	0.00000000003612620677571156350593231747667338597806985234228704939596354961395263671875	-2.0928581235265966	69.24924642932126	PDHA1;IQSEC2;NAA10;UBE2A;SMC1A;PHF6;RPGR;AFF2;MED12;FGF16;CLCN5;SLC6A8;OPHN1;SMS;GPC3;ABCD1;MAMLD1;MBTPS2
X-linked dominant inheritance (HP:0001423)	10/62	0.000000000184238208512434590871003605846100391330022461033877334557473659515380859375	0.00000005960106045377258784617358782810525585915684132487513124942779541015625	0.00000005541436438097119915482287864395838372644220726215280592441558837890625	0.0000179265468772441842666177935772253704271861352026462554931640625	-1.9176835215642711	31.901801551532184	EFNB1;PDHA1;SLC9A6;FMR1;LAMP2;NHS;NDUFA1;CASK;PDK3;BCOR
Mandibular prognathia (HP:0000303)	10/97	0.000000016457116103953316519401307046858995430937966375495307147502899169921875	0.000003549251373085932073831762212368090558811672963201999664306640625	0.00000247409770945893241005618390371267878435901366174221038818359375	0.00053358040600664309767442450294083755579777061939239501953125	-2.102639152368907	26.38554322707923	SLC6A8;SLC9A6;OPHN1;FOXG1;FMR1;GNAS;SMS;NHS;GPC3;GPC4
Pectus excavatum (HP:0000767)	10/135	0.00000038465423814215972424644814607608278578254612511955201625823974609375	0.0000560331886045974518506009032225989585640490986406803131103515625	0.0000381588236193161565979435623230386909199296496808528900146484375	0.004383560987801966846166834557152469642460346221923828125	-2.325786665144848	22.7684429653781	MED12;EFNB1;NAA10;SLC9A6;FMR1;SMS;GPC3;GPC4;SMC1A;FKTN
Cryptorchidism (HP:0000028)	15/379	0.000001718624392933391467042070731296998786774565814994275569915771484375	0.00018532499703798405101158597307886566341039724647998809814453125	0.0003783420042450999216769591537712358331191353499889373779296875	0.005243280852172700796931525957234043744392693042755126953125	-2.525816205835693	21.705347804693492	CDKN1C;NAA10;FMR1;SMC1A;PHF6;PHF8;MED12;EFNB1;OPHN1;SMS;GPC3;GPC4;BCOR;MBTPS2;FKTN
Macrotia (HP:0000400)	9/105	0.00000043302309586242237081493418153488317301480492460541427135467529296875	0.0000560331886045974518506009032225989585640490986406803131103515625	0.00003387605091037068530228359986011810178752057254314422607421875	0.004383560987801966846166834557152469642460346221923828125	-2.172326738215451	21.266136822632433	NAA10;OPHN1;SLC9A6;FMR1;NHS;CASK;SMC1A;PHF6;MBTPS2
Broad toe (HP:0001837)	5/25	0.0000024950964190157453649089591696252909969189204275608062744140625	0.0002017909228878984038459132310805443921708501875400543212890625	0.000064831911618827832931820365214292678501806221902370452880859375	0.005243280852172700796931525957234043744392693042755126953125	-2.1161434424651784	18.004737610101024	MED12;EFNB1;NAA10;GPC3;UBE2A
Autism (HP:0000717)	8/109	0.0000061962384389822396885756823625701628088791039772331714630126953125	0.00044544069666905649999832927932175152818672358989715576171875	0.0002702136976038668129788955507564196523162536323070526123046875	0.01292404776233954145914228917035870836116373538970947265625	-2.2831912831713344	17.618123240321598	MED12;SLC6A8;SLC9A6;OPHN1;FOXG1;FMR1;NHS;SMC1A
Long face (HP:0000276)	8/95	0.0000022047583971185297796609690867963848859290010295808315277099609375	0.0002017909228878984038459132310805443921708501875400543212890625	0.000110309118360172971257983365322985491729923523962497711181640625	0.005243280852172700796931525957234043744392693042755126953125	-2.0697135668892512	17.609699301147653	MED12;SLC6A8;OPHN1;SLC9A6;FMR1;NHS;BCOR;PHF8
Coarse facial features (HP:0000280)	8/129	0.0000213618558364523603520200578653742695678374730050563812255859375	0.00115176006051538972786707493156654891208745539188385009765625	0.000790238848326390327762858145632662854040972888469696044921875	0.020396224378424705758749979622734826989471912384033203125	-2.188584400929289	14.80897760188029	CDKN1C;MED12;FMR1;GNAS;GPC3;GPC4;SLC26A4;PHF6
