Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003121_genomic_imprinting_	5/46	0.0000552930335790921916841629546457426158667658455669879913330078125	0.003317582014745531528154831590882167802192270755767822265625	0.00001377231997146923504174616248452167610594187863171100616455078125	0.00002037319017041951143523643985577820103571866638958454132080078125	-2.1090439990116194	12.039517888271968	CDKN1C;CITED1;GNAS;GPC3;IGF2R
MP0000428_abnormal_craniofacial_morphol_	19/896	0.0004423648583969113268384021342427558920462615787982940673828125	0.01327094575190733947989141228163134655915200710296630859375	0.000001258098773184827213404528289952821751285227946937084197998046875	0.00002037319017041951143523643985577820103571866638958454132080078125	-2.0001378473824825	8.64495212745124	CDKN1C;CDX1;HOXD1;FOXG1;CASK;HPRT;CELSR1;IGF2R;MED12;NCOR2;FGF16;EFNB1;CLCN5;ZIC3;GNAS;GPC3;BCOR;HOXA5;HMX1
MP0001672_abnormal_embryogenesis/_devel_	23/1271	0.00100654697838998695609558087227242140215821564197540283203125	0.0201309395677997382545498794570448808372020721435546875	0.000001018659508520975614113469355503927005202058353461325168609619140625	0.00002037319017041951143523643985577820103571866638958454132080078125	-1.2201153397371027	4.765157244848379	CDKN1C;OTUD5;PDHA1;CITED1;USP9X;CDX1;CSE1L;WNT7B;FOXG1;HPRT;CELSR1;ZFX;UCHL5;IGF2R;MED12;FGF16;EFNB1;ZIC3;TLX2;RLIM;GPC3;BCOR;FKTN
MP0009701_abnormal_birth_body_	5/145	0.00989395739934649694202750680460667354054749011993408203125	0.08480534913725568113562758298940025269985198974609375	0.002182054045776918825561008219438008381985127925872802734375	0.000995100404986125862405454967074547312222421169281005859375	-1.6656426425229598	4.1098010907909215	CITED1;GNAS;HPRT;UBE2A;IGF2R
MP0002102_abnormal_ear_morphology_	8/369	0.01829315831044016349427039358488400466740131378173828125	0.1371986873283012331459218557938584126532077789306640625	0.001990832060184820340165146035360521636903285980224609375	0.000995100404986125862405454967074547312222421169281005859375	-1.549521907548403	3.077854306485158	EFNB1;ZIC3;FOXG1;GNAS;SLC26A4;CELSR1;HOXA5;HMX1
MP0002169_no_abnormal_phenotype_	22/1371	0.00559783366121077534394157027008986915461719036102294921875	0.057179927686636315697921162382044713012874126434326171875	0.000013681455767520574968239450985851846098739770241081714630126953125	0.000106461343309586890792939328775901230983436107635498046875	-0.9618316808232071	2.7523317130570444	RAB9;MTMR1;CDX1;USP9X;FOXG1;SEZ6;HMGB3;TXLNG;ATP11C;HPRT;HS6ST2;IGF2R;MED12;MED14;CLCN5;PEG12;GNAS;RLIM;TAB3;ABCD1;APBA2;HOXA5
MP0002873_normal_phenotype_	22/1371	0.00559783366121077534394157027008986915461719036102294921875	0.057179927686636315697921162382044713012874126434326171875	0.000013681455767520574968239450985851846098739770241081714630126953125	0.000106461343309586890792939328775901230983436107635498046875	-0.8939277726494413	2.558021124589828	RAB9;MTMR1;CDX1;USP9X;FOXG1;SEZ6;HMGB3;TXLNG;ATP11C;HPRT;HS6ST2;IGF2R;MED12;MED14;CLCN5;PEG12;GNAS;RLIM;TAB3;ABCD1;APBA2;HOXA5
MP0000001_mammalian_phenotype_	23/1459	0.005717992768663631743264463835885180742479860782623291015625	0.057179927686636315697921162382044713012874126434326171875	0.0000106461343309586890792939328775901230983436107635498046875	0.000106461343309586890792939328775901230983436107635498046875	-0.846228781064164	2.4215279628043502	RAB9;MTMR1;CDX1;USP9X;FOXG1;SEZ6;HMGB3;TXLNG;ATP11C;HPRT;HS6ST2;IGF2R;MED12;MED14;CLCN5;PEG12;GNAS;RLIM;TAB3;DRD2;ABCD1;APBA2;HOXA5
MP0002133_abnormal_respiratory_system_	11/622	0.0245681814939827831978380601185563136823475360870361328125	0.1483680477324551549855868870508857071399688720703125	0.0014269292395594937276903646505843425984494388103485107421875	0.000995100404986125862405454967074547312222421169281005859375	-1.1899615944331086	2.2705172669186977	CDKN1C;RNF128;TLX3;FOXG1;WNT7B;GPC3;GNAS;CASK;DRD2;HOXA5;IGF2R
MP0004196_abnormal_prenatal_growth/weig_	13/786	0.02472800795540919249759781450848095118999481201171875	0.1483680477324551549855868870508857071399688720703125	0.000923464996407754516553889612140437748166732490062713623046875	0.000995100404986125862405454967074547312222421169281005859375	-0.9793736763335406	1.8687030348574398	CDKN1C;PDHA1;CITED1;USP9X;CSE1L;HPRT;ZFX;IGF2R;UCHL5;FGF16;ZIC3;GPC3;FKTN
