Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003121_genomic_imprinting_	9/46	0.000000216498129355884309580257125575630805514038002002052962779998779296875	0.00000346397006969414895328411400921009288822460803203284740447998046875	0.000000237585042303020544163564241324504422436802997253835201263427734375	0.00000380136067684832870661702786119207075898884795606136322021484375	-1.8044845630812887	22.687956212427824	CDKN1C;MAGEL2;CITED1;ABCB7;PLAGL1;GNAS;GRB10;GPC3;IGF2R
MP0002169_no_abnormal_phenotype_	57/1371	0.0000000469037349184500096415227784162060853390130432671867311000823974609375	0.00000150091951739040030852872890931859473084841738454997539520263671875	0.000000000041709855117610760209472147067616041270221582948352079256437718868255615234375	0.0000000013347153637635443267031087061637133206470906543472665362060070037841796875	-1.1585655079500647	15.535706121753492	RAB9;GALNT13;HMGB3;SCX;SLC4A2;DACH2;SAT1;HS6ST2;MED12;SEPT6;MED14;GSC2;SCN5A;PITX2;ATP7A;ABCD1;SCARF1;NKX6-2;ATP11C;ZBTB33;NBL1;PLEC;MTMR1;FOXG1;ODC1;ARX;SEZ6;DTX1;TXLNG;CRHR1;HDAC6;PDZD4;FAM120C;LMNA;ALX4;DRD5;ZRSR1;GDF10;CDX4;GDF15;CDX1;USP9X;PRRX2;MSN;SYT7;IGF2R;POU4F2;POLA1;LRCH2;CLCN5;GNAS;RLIM;RBM41;TAB3;APBA2;NEUROG3;A830080D01RIK
MP0002873_normal_phenotype_	57/1371	0.0000000469037349184500096415227784162060853390130432671867311000823974609375	0.00000150091951739040030852872890931859473084841738454997539520263671875	0.000000000041709855117610760209472147067616041270221582948352079256437718868255615234375	0.0000000013347153637635443267031087061637133206470906543472665362060070037841796875	-1.090174008979759	14.618614924114738	RAB9;GALNT13;HMGB3;SCX;SLC4A2;DACH2;SAT1;HS6ST2;MED12;SEPT6;MED14;GSC2;SCN5A;PITX2;ATP7A;ABCD1;SCARF1;NKX6-2;ATP11C;ZBTB33;NBL1;PLEC;MTMR1;FOXG1;ODC1;ARX;SEZ6;DTX1;TXLNG;CRHR1;HDAC6;PDZD4;FAM120C;LMNA;ALX4;DRD5;ZRSR1;GDF10;CDX4;GDF15;CDX1;USP9X;PRRX2;MSN;SYT7;IGF2R;POU4F2;POLA1;LRCH2;CLCN5;GNAS;RLIM;RBM41;TAB3;APBA2;NEUROG3;A830080D01RIK
MP0000001_mammalian_phenotype_	58/1459	0.00000016289844863194977967165767186730196414146121242083609104156494140625	0.00000346397006969414895328411400921009288822460803203284740447998046875	0.000000000148844514188122204862110522071024475143641296881469315849244594573974609375	0.000000003175349636013273841588459896353134614965796345131820999085903167724609375	-1.0457733908227387	13.148608408483033	RAB9;GALNT13;HMGB3;SCX;SLC4A2;DACH2;SAT1;HS6ST2;MED12;SEPT6;MED14;GSC2;SCN5A;PITX2;ATP7A;ABCD1;SCARF1;NKX6-2;ATP11C;ZBTB33;NBL1;PLEC;MTMR1;FOXG1;ODC1;ARX;SEZ6;DTX1;TXLNG;CRHR1;HDAC6;PDZD4;FAM120C;LMNA;ALX4;DRD2;DRD5;ZRSR1;GDF10;CDX4;GDF15;CDX1;USP9X;PRRX2;MSN;SYT7;IGF2R;POU4F2;POLA1;LRCH2;CLCN5;GNAS;RLIM;RBM41;TAB3;APBA2;NEUROG3;A830080D01RIK
MP0005508_abnormal_skeleton_morphology_	44/1244	0.000097655908216636607668999225939643338278983719646930694580078125	0.00124999562517294862153127699144761209026910364627838134765625	0.00000131432910288346273809082127848046894769140635617077350616455078125	0.00001682341251690832236993615456110973127579200081527233123779296875	-1.8178939093843174	12.1519213087148	CDKN1C;DDR1;EDA;FOXG1;SCX;SLC4A2;CELSR1;HOXD10;HDAC6;MED12;EFNB1;RPS6KA3;ZIC3;PLAGL1;LMNA;GPC3;ALX4;ATP7A;PITX2;DRD2;SLC18A3;FOXD3;CDX4;GSN;GSX1;CDX1;CASK;VAX1;ANK1;IGF2R;POU3F3;QDPR;NELL1;BMP3;CLCN5;RIPPLY2;MAFB;PIGA;GNAS;FAT4;MZF1;NBL1;SIM2;HMX1
MP0000428_abnormal_craniofacial_morphol_	32/896	0.000762631556683347907286962819028985904878936707973480224609375	0.006101052453466783258295702552231887239031493663787841796875	0.0000423240865543369432851157629915661573249963112175464630126953125	0.00021148303456141180514497868170309402557904832065105438232421875	-1.6068525381429488	8.193813489491719	CDKN1C;DDR1;HOXD1;FOXG1;SLC4A2;CELSR1;MED12;EFNB1;RPS6KA3;ZIC3;LMNA;GPC3;ALX4;PITX2;FOXD3;GSX1;CDX1;FOXH1;CASK;VAX1;IGF2R;POU3F3;NELL1;FGF16;CLCN5;MAFB;PIGA;DLG5;GNAS;BCOR;SIM2;HMX1
MP0002133_abnormal_respiratory_system_	25/622	0.000556924772808134634083376823809885536320507526397705078125	0.005940530909953435807768773457837596652098000049591064453125	0.00005461096168604654571034073828883492751629091799259185791015625	0.000119519520979507085328523430245439840291510336101055145263671875	-1.3779869588660496	7.063501581903278	CDKN1C;FOXG1;DTX1;AQP5;CRHR1;PLAGL1;LMNA;GPC3;ATP7A;DRD2;IL13RA1;FOXD3;GSN;WNT7B;CASK;IGF2R;NELL1;MAFB;RIPPLY2;LOX;RNF128;TLX3;GNAS;INSM1;SIM2
MP0009701_abnormal_birth_body_	9/145	0.0021988050622392817275152498979196025175042450428009033203125	0.0140723523983314023622082089559626183472573757171630859375	0.00098456085166341404668610692851871135644614696502685546875	0.0031182893057004365360007636098771399701945483684539794921875	-1.4531638061357324	6.19562670677362	CITED1;PLAGL1;GRB10;GNAS;SLC4A2;FAT4;UBE2A;IGF2R;NEUROG3
MP0002102_abnormal_ear_morphology_	16/369	0.002558652706735677594129807488343431032262742519378662109375	0.01488670665737121430460820903363128309138119220733642578125	0.0006015915383044134756573839695192873477935791015625	0.0031182893057004365360007636098771399701945483684539794921875	-1.3577401562364402	5.712402012997971	DDR1;GABRA5;GRID1;FOXG1;HPN;ATP2B2;CELSR1;POU3F3;EFNB1;MAFB;ZIC3;GJB6;LMNA;GNAS;FAT4;HMX1
MP0003633_abnormal_nervous_system_	44/1361	0.000677626010385981862767235117672726119053550064563751220703125	0.006101052453466783258295702552231887239031493663787841796875	0.0000130724476071335880930819606238202368331258185207843780517578125	0.000119519520979507085328523430245439840291510336101055145263671875	-0.9237366908868819	4.710404955562903	CAMK2B;MAGEL2;GUCY2E;SH3KBP1;FOXG1;FMR1;ARX;HPN;SEZ6;HTR2C;CRMP1;ADRA1D;DOC2B;CELSR1;OPHN1;LMNA;SCN5A;DRD2;ABCD1;S1PR4;SLC18A3;DRD5;FKTN;KCNH3;GSN;NKX6-2;GSX1;GABRA5;GRID1;CASK;ATP2B2;MAPK8IP2;ANK1;POU4F2;MAFB;TLX3;RNF128;DLG3;SLC9A6;GJB6;KCNK2;FGF12;CHST3;PLEC
