Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0001672_abnormal_embryogenesis/_devel_	6/1271	0.00606937933888857840403208143698066123761236667633056640625	0.236705794216654552553080748111824505031108856201171875	0.0002029119707754100461645496711327041339245624840259552001953125	0.00791356686024099163778711130134979612194001674652099609375	-1.349147875612879	1.9440374750657219	FGF16;OTUD5;EFNB1;CSE1L;IGF2R;FKTN
MP0000428_abnormal_craniofacial_morphol_	4/896	0.0309086601360804118232561421564241754822432994842529296875	0.401812581769045384927352415616041980683803558349609375	0.00489927454450382084127912918347647064365446567535400390625	0.025728548646188363624442985155837959609925746917724609375	-1.93459029584256	1.7639004530164766	FGF16;EFNB1;IGF2R;POU3F3
MP0004196_abnormal_prenatal_growth/weig_	4/786	0.020231142591936916719230765693282592110335826873779296875	0.394507280542769900311128594694309867918491363525390625	0.00303840096286393628044475434535343083553016185760498046875	0.025728548646188363624442985155837959609925746917724609375	-1.473932218608848	1.3709304211795383	FGF16;CSE1L;IGF2R;FKTN
MP0003121_genomic_imprinting_	1/46	0.060316364702561554855808623187840566970407962799072265625	0.58808455584997521015111487940885126590728759765625	0.039904090374806973351429206786633585579693317413330078125	0.025728548646188363624442985155837959609925746917724609375	-1.8044845630812887	0.9579729553248987	IGF2R
MP0002102_abnormal_ear_morphology_	2/369	0.08809993251290527960239984395229839719831943511962890625	0.6589983458280415096197657476295717060565948486328125	0.0385990963731003555725607157000922597944736480712890625	0.025728548646188363624442985155837959609925746917724609375	-1.7413036588603659	0.7261832734175325	EFNB1;POU3F3
MP0002168_other_aberrant_phenotype_	1/135	0.1672212256780616634888048110951785929501056671142578125	0.696047414788143026243005806463770568370819091796875	0.11160837971045710348416690749218105338513851165771484375	0.26884746635765000011275560609647072851657867431640625	-1.5261738898014983	0.5529900261071239	FKTN
MP0009701_abnormal_birth_body_	1/145	0.178473696099523848612733445406774990260601043701171875	0.696047414788143026243005806463770568370819091796875	0.11935968825965607986727690104089560918509960174560546875	0.26884746635765000011275560609647072851657867431640625	-1.4531638061357324	0.5265357351890252	IGF2R
MP0002132_abnormal_respiratory_system_	2/529	0.1592857076723743492419060885367798618972301483154296875	0.696047414788143026243005806463770568370819091796875	0.0736284449538050222994201021720073185861110687255859375	0.26884746635765000011275560609647072851657867431640625	-1.4220372967514217	0.5152574337110118	EFNB1;IGF2R
MP0000516_abnormal_urinary_system_	2/629	0.20800895959155829562092776541248895227909088134765625	0.7374863112791611996499341330491006374359130859375	0.0994134112836677352742498214865918271243572235107421875	0.26884746635765000011275560609647072851657867431640625	-1.3389663301965342	0.4077256271018105	POU3F3;IGF2R
MP0000545_abnormal_limbs/digits/tail_mo_	2/913	0.351070695583873992884349490850581787526607513427734375	0.78722063041242529290997254065587185323238372802734375	0.1839592880101641458878702906076796352863311767578125	0.41311927675472415177893026339006610214710235595703125	-1.6746966896733027	0.4006657004738241	EFNB1;IGF2R
MP0005508_abnormal_skeleton_morphology_	3/1244	0.2344199247370398475620589806567295454442501068115234375	0.747452586933064822005690075457096099853515625	0.08272229734081538998768934334293589927256107330322265625	0.26884746635765000011275560609647072851657867431640625	-1.3575805969775248	0.39517053974202654	EFNB1;IGF2R;POU3F3
MP0001968_abnormal_touch/_nociception_	1/211	0.249150862311021625838947102238307707011699676513671875	0.747452586933064822005690075457096099853515625	0.169028167531545647772617257942329160869121551513671875	0.285899226089047775456464250964927487075328826904296875	-1.2481650354530567	0.36332137616377247	FMR1
MP0003632_abnormal_nervous_system_	5/1867	0.10138436089662176964321105288036051206290721893310546875	0.6589983458280415096197657476295717060565948486328125	0.0123822229279657060330155360361459315754473209381103515625	0.025728548646188363624442985155837959609925746917724609375	-0.8613520310350496	0.35921330221705505	EFNB1;OPHN1;FMR1;IGF2R;POU3F3
MP0003878_abnormal_ear_physiology_	1/399	0.419841043684704595673196081406786106526851654052734375	0.78722063041242529290997254065587185323238372802734375	0.297145994340450247950258244600263424217700958251953125	0.41311927675472415177893026339006610214710235595703125	-1.2181996989825503	0.2914502899059657	FMR1
MP0000358_abnormal_cell_content/_	1/275	0.3120718494589487246315684387809596955776214599609375	0.78722063041242529290997254065587185323238372802734375	0.21479735780225228669593207087018527090549468994140625	0.41311927675472415177893026339006610214710235595703125	-1.0312697820112058	0.24672791923151946	FMR1
MP0005266_abnormal_metabolism_	1/437	0.449475070600348747262842152849771082401275634765625	0.78722063041242529290997254065587185323238372802734375	0.32079583208870554589253742960863746702671051025390625	0.41311927675472415177893026339006610214710235595703125	-0.7438402700357518	0.17796134946242265	FKTN
MP0002160_abnormal_reproductive_system_	2/1010	0.398840183499891309804041839015553705394268035888671875	0.78722063041242529290997254065587185323238372802734375	0.2154002503364949860920063429148285649716854095458984375	0.41311927675472415177893026339006610214710235595703125	-0.6781362546574202	0.16224187888137215	FMR1;IGF2R
MP0010769_abnormal_survival_	7/3156	0.12120036269196328426733799688008730299770832061767578125	0.67525916356950965724337265783105976879596710205078125	0.0046179446288030397138602012319097411818802356719970703125	0.025728548646188363624442985155837959609925746917724609375	-0.3831621206511519	0.15045194622625377	EFNB1;FGF16;OPHN1;CSE1L;IGF2R;POU3F3;FKTN
MP0010678_abnormal_skin_adnexa_	1/582	0.549719768921404838835087502957321703433990478515625	0.78722063041242529290997254065587185323238372802734375	0.404674757843930255063469303422607481479644775390625	0.41311927675472415177893026339006610214710235595703125	-0.6211600496941231	0.1486105083694898	EFNB1
MP0005502_abnormal_urinary_system_	1/501	0.496119828101571958001159146078862249851226806640625	0.78722063041242529290997254065587185323238372802734375	0.35903188665705465520971984005882404744625091552734375	0.41311927675472415177893026339006610214710235595703125	-0.6208232091331051	0.14852992036799648	POU3F3
MP0003633_abnormal_nervous_system_	3/1361	0.27766687973372128350746379510383121669292449951171875	0.7735005935439378532691989676095545291900634765625	0.102630491416581259844775786405079998075962066650390625	0.285899226089047775456464250964927487075328826904296875	-0.48078248982862837	0.12347880993433467	OPHN1;FMR1;FKTN
MP0002138_abnormal_hepatobiliary_system_	1/619	0.57233533468809916211483823644812218844890594482421875	0.78722063041242529290997254065587185323238372802734375	0.42454492950096567316364826183416880667209625244140625	0.41311927675472415177893026339006610214710235595703125	-0.32215211267557375	0.07707383831364764	IGF2R
MP0001544_abnormal_cardiovascular_syste_	2/1130	0.455843472023011953009330454733571968972682952880859375	0.78722063041242529290997254065587185323238372802734375	0.255311945418680463770755295627168379724025726318359375	0.41311927675472415177893026339006610214710235595703125	-0.3158103201683524	0.07555658521770872	FGF16;IGF2R
MP0002163_abnormal_gland_morphology_	2/1129	0.45537977277582653012899527311674319207668304443359375	0.78722063041242529290997254065587185323238372802734375	0.254976053957804260630126691467012278735637664794921875	0.41311927675472415177893026339006610214710235595703125	-0.23924742391588588	0.057239162936732285	EFNB1;FMR1
MP0002108_abnormal_muscle_morphology_	1/644	0.58699257236661306347258459936711005866527557373046875	0.78722063041242529290997254065587185323238372802734375	0.43763479121074888578135642092092894017696380615234375	0.41311927675472415177893026339006610214710235595703125	-0.11243610858541521	0.026899970891872058	FGF16
MP0002133_abnormal_respiratory_system_	1/622	0.5741202984887288085502632384304888546466827392578125	0.78722063041242529290997254065587185323238372802734375	0.426129880875304623000232595586567185819149017333984375	0.41311927675472415177893026339006610214710235595703125	-0.06180940783546131	0.014787698476372147	IGF2R
MP0005621_abnormal_cell_physiology_	2/1159	0.46920073030531905811102433290216140449047088623046875	0.78722063041242529290997254065587185323238372802734375	0.265070567581369209708697098903940059244632720947265625	0.41311927675472415177893026339006610214710235595703125	0.01898066331571851	-0.004541061560427235	IGF2R;FKTN
MP0002127_abnormal_cardiovascular_syste_	2/1223	0.498037460622287209144332109644892625510692596435546875	0.78722063041242529290997254065587185323238372802734375	0.286702880403435333978023891177144832909107208251953125	0.41311927675472415177893026339006610214710235595703125	0.023089080957809097	-0.005523987031384224	FGF16;IGF2R
MP0002106_abnormal_muscle_physiology_	1/671	0.6022788264708245353773463648394681513309478759765625	0.78722063041242529290997254065587185323238372802734375	0.45147395050071337241348601310164667665958404541015625	0.41311927675472415177893026339006610214710235595703125	0.03955142597548247	-0.009462549183336997	FGF16
MP0002092_abnormal_eye_morphology_	1/939	0.727260714662642637762246522470377385616302490234375	0.85948993551039587490691928906016983091831207275390625	0.57329229378587898136032663387595675885677337646484375	0.677527256292402402237939895712770521640777587890625	0.08606449459050147	-0.013031555621523696	EFNB1
MP0000462_abnormal_digestive_system_	1/690	0.61270765462298226733395267729065380990505218505859375	0.78722063041242529290997254065587185323238372802734375	0.461030302727447549582251440369873307645320892333984375	0.41311927675472415177893026339006610214710235595703125	0.08727138956820117	-0.020879394249885663	EFNB1
MP0004924_abnormal_behavior_	3/2336	0.62573947545603036957118092686869204044342041015625	0.78722063041242529290997254065587185323238372802734375	0.328376861010165332910304414326674304902553558349609375	0.41311927675472415177893026339006610214710235595703125	0.12604601775684876	-0.030156097105760563	OPHN1;FMR1;IGF2R
MP0001919_abnormal_reproductive_system_	1/1240	0.8225923327963629017034463686286471784114837646484375	0.89373946839763362959274672903120517730712890625	0.68092559502730198861542021404602564871311187744140625	0.70161768072224983683327081962488591670989990234375	0.5906049756335507	-0.06634913505477326	IGF2R
MP0002396_abnormal_hematopoietic_system_	1/1853	0.92769942021567308731988532599643804132938385009765625	0.92769942021567308731988532599643804132938385009765625	0.82881657479314607694931282821926288306713104248046875	0.82881657479314607694931282821926288306713104248046875	1.0476390758342973	-0.07862269280271889	IGF2R
MP0002089_abnormal_postnatal_growth/wei_	2/2459	0.86164932988873144115160584988188929855823516845703125	0.89373946839763362959274672903120517730712890625	0.66563728683905754035521340483683161437511444091796875	0.70161768072224983683327081962488591670989990234375	0.7225401641201653	-0.08117086192895857	EFNB1;FMR1
MP0001764_abnormal_homeostasis_	3/2652	0.7139241185791995736309445419465191662311553955078125	0.85948993551039587490691928906016983091831207275390625	0.413119202439281074656918235632474534213542938232421875	0.50348902797287375943113829634967260062694549560546875	0.5941048263994285	-0.08995707378608474	EFNB1;IGF2R;POU3F3
MP0002873_normal_phenotype_	1/1371	0.8531931483682075878505202126689255237579345703125	0.89373946839763362959274672903120517730712890625	0.7196817198353893108020429281168617308139801025390625	0.70161768072224983683327081962488591670989990234375	1.0685345906537358	-0.12004021095475875	IGF2R
MP0002169_no_abnormal_phenotype_	1/1371	0.8531931483682075878505202126689255237579345703125	0.89373946839763362959274672903120517730712890625	0.7196817198353893108020429281168617308139801025390625	0.70161768072224983683327081962488591670989990234375	1.1366624751966077	-0.12769376349667916	IGF2R
MP0000001_mammalian_phenotype_	1/1459	0.87082307177205320325441562090418301522731781005859375	0.89373946839763362959274672903120517730712890625	0.7433082247823985522217071775230579078197479248046875	0.762868967539830133972600378911010921001434326171875	1.2822470563606336	-0.14404887636578895	IGF2R
