Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of MHC class II biosynthetic process (GO:0045346)	1/11	0.0114924114282106866469224115689939935691654682159423828125	0.1424995744422512256033286348610999993979930877685546875	0.01170759210557494219007157454370826599188148975372314453125	0.134761510692308850156706512279924936592578887939453125	-2.6915079538015134	5.24417787630799	SPI1
negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254)	1/15	0.01564019719488123072448360062480787746608257293701171875	0.1424995744422512256033286348610999993979930877685546875	0.01558175182093961795570802308930069557391107082366943359375	0.134761510692308850156706512279924936592578887939453125	-2.6433120801162446	5.150272252082494	TAF9B
macrophage differentiation (GO:0030225)	1/15	0.01564019719488123072448360062480787746608257293701171875	0.1424995744422512256033286348610999993979930877685546875	0.01558175182093961795570802308930069557391107082366943359375	0.134761510692308850156706512279924936592578887939453125	-2.638059632989193	5.14003829866569	SPI1
regulation of DNA methylation (GO:0044030)	1/15	0.01564019719488123072448360062480787746608257293701171875	0.1424995744422512256033286348610999993979930877685546875	0.01558175182093961795570802308930069557391107082366943359375	0.134761510692308850156706512279924936592578887939453125	-2.598674125459849	5.0632989351647115	SPI1
granulocyte differentiation (GO:0030851)	1/15	0.01564019719488123072448360062480787746608257293701171875	0.1424995744422512256033286348610999993979930877685546875	0.01558175182093961795570802308930069557391107082366943359375	0.134761510692308850156706512279924936592578887939453125	-2.593590709746589	5.053394325303945	SPI1
regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902165)	1/14	0.01460480747034339187029328144262763089500367641448974609375	0.1424995744422512256033286348610999993979930877685546875	0.0146145361927231577647834370736745768226683139801025390625	0.134761510692308850156706512279924936592578887939453125	-2.580738757516858	5.028353372534205	TAF9B
regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)	1/18	0.0187401533068730259679046667997681652195751667022705078125	0.1487121843061537107555380998746841214597225189208984375	0.0184781118907965773157098254841912421397864818572998046875	0.134761510692308850156706512279924936592578887939453125	-2.6339200862765875	5.019573423756796	TAF9B
negative regulation of myoblast differentiation (GO:0045662)	1/14	0.01460480747034339187029328144262763089500367641448974609375	0.1424995744422512256033286348610999993979930877685546875	0.0146145361927231577647834370736745768226683139801025390625	0.134761510692308850156706512279924936592578887939453125	-2.5632982580665686	4.994372019724236	MBNL3
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166)	1/12	0.0125309155743681850669890565086461720056831836700439453125	0.1424995744422512256033286348610999993979930877685546875	0.01267745707906096919170835235490812920033931732177734375	0.134761510692308850156706512279924936592578887939453125	-2.533348713819463	4.936017840564428	TAF9B
negative regulation of protein acetylation (GO:1901984)	1/15	0.01564019719488123072448360062480787746608257293701171875	0.1424995744422512256033286348610999993979930877685546875	0.01558175182093961795570802308930069557391107082366943359375	0.134761510692308850156706512279924936592578887939453125	-2.5158220603797647	4.901868623920144	SPI1
forebrain morphogenesis (GO:0048853)	1/12	0.0125309155743681850669890565086461720056831836700439453125	0.1424995744422512256033286348610999993979930877685546875	0.01267745707906096919170835235490812920033931732177734375	0.134761510692308850156706512279924936592578887939453125	-2.51506275737367	4.9003891855925135	UCHL5
negative regulation of peptidyl-lysine acetylation (GO:2000757)	1/13	0.0135683805915372025785448073520456091500818729400634765625	0.1424995744422512256033286348610999993979930877685546875	0.0136464381941060579339630720596687751822173595428466796875	0.134761510692308850156706512279924936592578887939453125	-2.489419353098377	4.850425159595944	SPI1
proteolysis involved in cellular protein catabolic process (GO:0051603)	3/391	0.007592202743577335273539308246881773811765015125274658203125	0.1424995744422512256033286348610999993979930877685546875	0.006051844175579217631477657590721719316206872463226318359375	0.134761510692308850156706512279924936592578887939453125	-2.4574701555961274	4.788174823508158	USP51;UBE2A;UCHL5
negative regulation of histone acetylation (GO:0035067)	1/11	0.0114924114282106866469224115689939935691654682159423828125	0.1424995744422512256033286348610999993979930877685546875	0.01170759210557494219007157454370826599188148975372314453125	0.134761510692308850156706512279924936592578887939453125	-2.4567239082859573	4.7867208231108265	SPI1
protein K11-linked ubiquitination (GO:0070979)	1/26	0.0269613134496337336631910375217557884752750396728515625	0.1533381391185692776968352291078190319240093231201171875	0.026163099083605999284340981603236286900937557220458984375	0.134761510692308850156706512279924936592578887939453125	-2.5471725437864228	4.77622803760478	UBE2A
modification-dependent macromolecule catabolic process (GO:0043632)	3/368	0.006425376622783870485255963700410575256682932376861572265625	0.1424995744422512256033286348610999993979930877685546875	0.00511827536226720780643262287412653677165508270263671875	0.134761510692308850156706512279924936592578887939453125	-2.451199871190139	4.7759576993812916	USP51;UBE2A;UCHL5
regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902108)	1/16	0.0166745507529034130145273451262255548499524593353271484375	0.1452045268638062769372965021830168552696704864501953125	0.0165480858183456869259231325486325658857822418212890625	0.134761510692308850156706512279924936592578887939453125	-2.475052211023084	4.775890447832079	MTCH2
modification-dependent protein catabolic process (GO:0019941)	3/364	0.006234336403102366634676467782583131338469684123992919921875	0.1424995744422512256033286348610999993979930877685546875	0.00496559954232863622058946617698893533088266849517822265625	0.134761510692308850156706512279924936592578887939453125	-2.4480398803016463	4.769800721734852	USP51;UBE2A;UCHL5
ubiquitin-dependent protein catabolic process (GO:0006511)	3/355	0.005817182861795590353981566522634238936007022857666015625	0.1424995744422512256033286348610999993979930877685546875	0.004632391807208489746539026299387842300347983837127685546875	0.134761510692308850156706512279924936592578887939453125	-2.4465832816466344	4.766962661222906	USP51;UBE2A;UCHL5
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230)	1/25	0.0259372675233972872776977425246514030732214450836181640625	0.1533381391185692776968352291078190319240093231201171875	0.0252055406765590295226076023027417249977588653564453125	0.134761510692308850156706512279924936592578887939453125	-2.5193973032743853	4.72414641368479	TAF9B
apoptotic process involved in morphogenesis (GO:0060561)	1/17	0.0177078691297324723741279939304149593226611614227294921875	0.1452045268638062769372965021830168552696704864501953125	0.0175135389275254717278418326031896867789328098297119140625	0.134761510692308850156706512279924936592578887939453125	-2.4419815627560912	4.7120769280774155	SPI1
lymphoid progenitor cell differentiation (GO:0002320)	1/12	0.0125309155743681850669890565086461720056831836700439453125	0.1424995744422512256033286348610999993979930877685546875	0.01267745707906096919170835235490812920033931732177734375	0.134761510692308850156706512279924936592578887939453125	-2.4135101287644947	4.70252239219108	SPI1
anatomical structure regression (GO:0060033)	1/13	0.0135683805915372025785448073520456091500818729400634765625	0.1424995744422512256033286348610999993979930877685546875	0.0136464381941060579339630720596687751822173595428466796875	0.134761510692308850156706512279924936592578887939453125	-2.39629760630955	4.668985233467033	SPI1
regulation of myoblast differentiation (GO:0045661)	1/27	0.0279843339995175001411187309940942213870584964752197265625	0.1533381391185692776968352291078190319240093231201171875	0.0271197839921106763350078239227514131926000118255615234375	0.134761510692308850156706512279924936592578887939453125	-2.4781963169825256	4.646890043132199	MBNL3
histone H2A ubiquitination (GO:0033522)	1/15	0.01564019719488123072448360062480787746608257293701171875	0.1424995744422512256033286348610999993979930877685546875	0.01558175182093961795570802308930069557391107082366943359375	0.134761510692308850156706512279924936592578887939453125	-2.383452476368017	4.643957573354588	UBE2A
nucleotide-binding oligomerization domain containing signaling pathway (GO:0070423)	1/28	0.0290063301418398943043452931078718393109738826751708984375	0.1533381391185692776968352291078190319240093231201171875	0.028075596134395454372967293465990223921835422515869140625	0.134761510692308850156706512279924936592578887939453125	-2.4706441686132528	4.632728936192874	TAB3
negative regulation of signal transduction by p53 class mediator (GO:1901797)	1/25	0.0259372675233972872776977425246514030732214450836181640625	0.1533381391185692776968352291078190319240093231201171875	0.0252055406765590295226076023027417249977588653564453125	0.134761510692308850156706512279924936592578887939453125	-2.4607374038665757	4.6141526651583655	TAF9B
lateral ventricle development (GO:0021670)	1/11	0.0114924114282106866469224115689939935691654682159423828125	0.1424995744422512256033286348610999993979930877685546875	0.01170759210557494219007157454370826599188148975372314453125	0.134761510692308850156706512279924936592578887939453125	-2.3680058748205166	4.613861163650453	UCHL5
regulation of Cdc42 GTPase activity (GO:0043088)	1/20	0.0208016230069028862370572596773854456841945648193359375	0.1533381391185692776968352291078190319240093231201171875	0.020404620340386321608594499821265344507992267608642578125	0.134761510692308850156706512279924936592578887939453125	-2.4338871877627364	4.563805563512762	FGD1
myeloid dendritic cell differentiation (GO:0043011)	1/17	0.0177078691297324723741279939304149593226611614227294921875	0.1452045268638062769372965021830168552696704864501953125	0.0175135389275254717278418326031896867789328098297119140625	0.134761510692308850156706512279924936592578887939453125	-2.3535591088268593	4.541455899876992	SPI1
small GTPase mediated signal transduction (GO:0007264)	3/439	0.01041270353057154041120924148344784043729305267333984375	0.1424995744422512256033286348610999993979930877685546875	0.008315685649247138433448611749554402194917201995849609375	0.134761510692308850156706512279924936592578887939453125	-2.3294756343634435	4.538788216424561	ARHGAP36;RAB33A;FGD1
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	1/34	0.035116849046413441126635035516301286406815052032470703125	0.1533381391185692776968352291078190319240093231201171875	0.033792182037914987591253890286679961718618869781494140625	0.134761510692308850156706512279924936592578887939453125	-2.4158994190139187	4.530076523192494	TAB3
negative regulation of gene expression, epigenetic (GO:0045814)	1/28	0.0290063301418398943043452931078718393109738826751708984375	0.1533381391185692776968352291078190319240093231201171875	0.028075596134395454372967293465990223921835422515869140625	0.134761510692308850156706512279924936592578887939453125	-2.3881440700957577	4.478032198193857	SPI1
apoptotic process involved in development (GO:1902742)	1/22	0.022858967704329401227081319802891812287271022796630859375	0.1533381391185692776968352291078190319240093231201171875	0.0223276170832344168781791182709639542736113071441650390625	0.134761510692308850156706512279924936592578887939453125	-2.377396980625773	4.457880226088786	SPI1
negative regulation of histone modification (GO:0031057)	1/31	0.032066181894427503440425653025158680975437164306640625	0.1533381391185692776968352291078190319240093231201171875	0.0309378033155377207830127872512093745172023773193359375	0.134761510692308850156706512279924936592578887939453125	-2.373147710934831	4.449912379117943	SPI1
postreplication repair (GO:0006301)	1/21	0.0218308104905824036656714071114038233645260334014892578125	0.1533381391185692776968352291078190319240093231201171875	0.021366557304846260645359024010758730582892894744873046875	0.134761510692308850156706512279924936592578887939453125	-2.360284862625341	4.425793127012659	UBE2A
heparan sulfate proteoglycan metabolic process (GO:0030201)	1/24	0.0249121952425034043354656887458986602723598480224609375	0.1533381391185692776968352291078190319240093231201171875	0.0242471080311824176145574227803081157617270946502685546875	0.134761510692308850156706512279924936592578887939453125	-2.3583466514088216	4.422158768289013	HS6ST2
filopodium assembly (GO:0046847)	1/24	0.0249121952425034043354656887458986602723598480224609375	0.1533381391185692776968352291078190319240093231201171875	0.0242471080311824176145574227803081157617270946502685546875	0.134761510692308850156706512279924936592578887939453125	-2.3555315900865983	4.416880219394641	FGD1
regulation of histone acetylation (GO:0035065)	1/36	0.0371455375317736591345152419307851232588291168212890625	0.1533381391185692776968352291078190319240093231201171875	0.035690761804922220556957057624458684585988521575927734375	0.134761510692308850156706512279924936592578887939453125	-2.3512574574128147	4.408865751602592	SPI1
regulation of mitochondrial membrane permeability (GO:0046902)	1/29	0.030027302858119463147001937386448844335973262786865234375	0.1533381391185692776968352291078190319240093231201171875	0.0290305362446088531525045794978723279200494289398193359375	0.134761510692308850156706512279924936592578887939453125	-2.330402808520219	4.369760996411116	MTCH2
regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902229)	1/32	0.0330840901610320037296020245776162482798099517822265625	0.1533381391185692776968352291078190319240093231201171875	0.03189013174161821340124589596598525531589984893798828125	0.134761510692308850156706512279924936592578887939453125	-2.326776975002872	4.362962160679517	TAF9B
negative regulation of chromatin modification (GO:1903309)	1/34	0.035116849046413441126635035516301286406815052032470703125	0.1533381391185692776968352291078190319240093231201171875	0.033792182037914987591253890286679961718618869781494140625	0.134761510692308850156706512279924936592578887939453125	-2.3207699055285413	4.351698246219883	SPI1
dendritic cell differentiation (GO:0097028)	1/30	0.0310472531178340727109343788470141589641571044921875	0.1533381391185692776968352291078190319240093231201171875	0.0299846050613373181492615771048804163001477718353271484375	0.134761510692308850156706512279924936592578887939453125	-2.31753999569457	4.345641810841927	SPI1
myeloid dendritic cell activation (GO:0001773)	1/20	0.0208016230069028862370572596773854456841945648193359375	0.1533381391185692776968352291078190319240093231201171875	0.020404620340386321608594499821265344507992267608642578125	0.134761510692308850156706512279924936592578887939453125	-2.3124972751279453	4.336186156408593	SPI1
regulation of membrane permeability (GO:0090559)	1/30	0.0310472531178340727109343788470141589641571044921875	0.1533381391185692776968352291078190319240093231201171875	0.0299846050613373181492615771048804163001477718353271484375	0.134761510692308850156706512279924936592578887939453125	-2.2856622428312527	4.28586752606761	MTCH2
glycosaminoglycan metabolic process (GO:0030203)	2/162	0.012377846992154113714423857572910492308437824249267578125	0.1424995744422512256033286348610999993979930877685546875	0.010899098571826297543463368810989777557551860809326171875	0.134761510692308850156706512279924936592578887939453125	-2.1979514864265597	4.282524427258836	GPC4;HS6ST2
developmental programmed cell death (GO:0010623)	1/27	0.0279843339995175001411187309940942213870584964752197265625	0.1533381391185692776968352291078190319240093231201171875	0.0271197839921106763350078239227514131926000118255615234375	0.134761510692308850156706512279924936592578887939453125	-2.2831243966650048	4.281108786011334	SPI1
aminoglycan metabolic process (GO:0006022)	2/171	0.01371798754657948225810226716703255078755319118499755859375	0.1424995744422512256033286348610999993979930877685546875	0.01207117974799482885972512491434827097691595554351806640625	0.134761510692308850156706512279924936592578887939453125	-2.1907203766490073	4.268435215349566	GPC4;HS6ST2
aminoglycan biosynthetic process (GO:0006023)	2/100	0.00488545768066605927415491095189281622879207134246826171875	0.1424995744422512256033286348610999993979930877685546875	0.004348472078724192890764044250317965634167194366455078125	0.134761510692308850156706512279924936592578887939453125	-2.1900524974098996	4.2671339085766	GPC4;HS6ST2
glycosaminoglycan biosynthetic process (GO:0006024)	2/99	0.00479077039998679864163388941733501269482076168060302734375	0.1424995744422512256033286348610999993979930877685546875	0.004265593892817770051151260446431479067541658878326416015625	0.134761510692308850156706512279924936592578887939453125	-2.187218273667851	4.261611660937106	GPC4;HS6ST2
histone modification (GO:0016570)	2/293	0.037399546126480311125650501935524516738951206207275390625	0.1533381391185692776968352291078190319240093231201171875	0.032868661144465571855022290037595666944980621337890625	0.134761510692308850156706512279924936592578887939453125	-2.2533663127358143	4.225309113093725	SPI1;UBE2A
covalent chromatin modification (GO:0016569)	2/296	0.038099116084539953741572304579676711000502109527587890625	0.153645615685193914767836531609646044671535491943359375	0.03348570672237484446842614715933450497686862945556640625	0.13504071891318381037905282937572337687015533447265625	-2.2524121647618993	4.219007923346352	SPI1;UBE2A
regulation of peptidyl-lysine acetylation (GO:2000756)	1/40	0.041190734255057655233134283889739890582859516143798828125	0.15450078558124802352580218212096951901912689208984375	0.039477533131094998120058647828045650385320186614990234375	0.13913335108512014937076628484646789729595184326171875	-2.25307914541376	4.207751697269294	SPI1
antigen processing and presentation (GO:0019882)	2/225	0.0229902772179991256307207692088923067785799503326416015625	0.1533381391185692776968352291078190319240093231201171875	0.0201936353208360952482536276875180192291736602783203125	0.134761510692308850156706512279924936592578887939453125	-2.2404596113277147	4.201107631616258	UBE2A;RAB33A
histone ubiquitination (GO:0016574)	1/32	0.0330840901610320037296020245776162482798099517822265625	0.1533381391185692776968352291078190319240093231201171875	0.03189013174161821340124589596598525531589984893798828125	0.134761510692308850156706512279924936592578887939453125	-2.2372795995449164	4.195144760559892	UBE2A
regulation of erythrocyte differentiation (GO:0045646)	1/36	0.0371455375317736591345152419307851232588291168212890625	0.1533381391185692776968352291078190319240093231201171875	0.035690761804922220556957057624458684585988521575927734375	0.134761510692308850156706512279924936592578887939453125	-2.2350490899620956	4.190962310323608	SPI1
maternal process involved in female pregnancy (GO:0060135)	1/35	0.036131701606826292783036791433914913795888423919677734375	0.1533381391185692776968352291078190319240093231201171875	0.03474190537263865952155583727289922535419464111328125	0.134761510692308850156706512279924936592578887939453125	-2.2303178504690977	4.182090717084193	UBE2A
regulation of small GTPase mediated signal transduction (GO:0051056)	2/256	0.0292047529068190821199824114273724262602627277374267578125	0.1533381391185692776968352291078190319240093231201171875	0.0256520808652390963633393994314246810972690582275390625	0.134761510692308850156706512279924936592578887939453125	-2.22879586708747	4.1792368312263894	ARHGAP36;FGD1
protein modification by small protein removal (GO:0070646)	2/93	0.004240912123545639324240230649820659891702234745025634765625	0.1424995744422512256033286348610999993979930877685546875	0.00378414388919510492892417374832803034223616123199462890625	0.134761510692308850156706512279924936592578887939453125	-2.1434903387020854	4.176411441186608	USP51;UCHL5
midbrain development (GO:0030901)	1/32	0.0330840901610320037296020245776162482798099517822265625	0.1533381391185692776968352291078190319240093231201171875	0.03189013174161821340124589596598525531589984893798828125	0.134761510692308850156706512279924936592578887939453125	-2.225474302955134	4.17300853398117	UCHL5
protein deubiquitination (GO:0016579)	2/80	0.003158420481864493943591210012300507514737546443939208984375	0.1424995744422512256033286348610999993979930877685546875	0.0028351415433182721066718290359176535275764763355255126953125	0.134761510692308850156706512279924936592578887939453125	-2.1413302735958535	4.172202735198767	USP51;UCHL5
response to light stimulus (GO:0009416)	2/322	0.04437174013848844966734219497084268368780612945556640625	0.15450078558124802352580218212096951901912689208984375	0.0390252082311922376955948266186169348657131195068359375	0.13913335108512014937076628484646789729595184326171875	-2.23135502089231	4.1671806760457875	GPC4;UBE2A
regulation of skeletal muscle fiber development (GO:0048742)	1/35	0.036131701606826292783036791433914913795888423919677734375	0.1533381391185692776968352291078190319240093231201171875	0.03474190537263865952155583727289922535419464111328125	0.134761510692308850156706512279924936592578887939453125	-2.210018586517263	4.144027369602688	MBNL3
negative regulation of response to DNA damage stimulus (GO:2001021)	1/42	0.043207257943481923445627757018883130513131618499755859375	0.15450078558124802352580218212096951901912689208984375	0.041365736354255437656757266040585818700492382049560546875	0.13913335108512014937076628484646789729595184326171875	-2.1928610331616567	4.095290994523492	TAF9B
sulfur compound metabolic process (GO:0006790)	2/314	0.04240231251072175411298559311035205610096454620361328125	0.15450078558124802352580218212096951901912689208984375	0.03728464477428168610817493799913791008293628692626953125	0.13913335108512014937076628484646789729595184326171875	-2.1719649430164085	4.056266373948607	GPC4;HS6ST2
regulation of protein acetylation (GO:1901983)	1/42	0.043207257943481923445627757018883130513131618499755859375	0.15450078558124802352580218212096951901912689208984375	0.041365736354255437656757266040585818700492382049560546875	0.13913335108512014937076628484646789729595184326171875	-2.168163335112442	4.049166657925391	SPI1
