Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002169_no_abnormal_phenotype_	4/1371	0.051604346955586362366563690784460050053894519805908203125	0.31157286452952004385252848805976100265979766845703125	0.0036395088052878477556661973579821278690360486507415771484375	0.0229793963549117276345956639715950586833059787750244140625	-1.1585655079500647	1.3510287887652916	TAB3;HCCS;TAF9B;HS6ST2
MP0002873_normal_phenotype_	4/1371	0.051604346955586362366563690784460050053894519805908203125	0.31157286452952004385252848805976100265979766845703125	0.0036395088052878477556661973579821278690360486507415771484375	0.0229793963549117276345956639715950586833059787750244140625	-1.090174008979759	1.2712759535724132	TAB3;HCCS;TAF9B;HS6ST2
MP0000001_mammalian_phenotype_	4/1459	0.062314572905904010158284478393397876061499118804931640625	0.31157286452952004385252848805976100265979766845703125	0.004595879270982345700391480391999721177853643894195556640625	0.0229793963549117276345956639715950586833059787750244140625	-1.0457733908227387	1.2194994135688637	TAB3;HCCS;TAF9B;HS6ST2
MP0009701_abnormal_birth_body_	1/145	0.1417684309925886509962111858840216882526874542236328125	0.53163161622220744817468585097230970859527587890625	0.08125772225401801940325441364620928652584552764892578125	0.2098348475280743807847017023959779180586338043212890625	-1.8781214789101874	1.1866055647453608	UBE2A
MP0004196_abnormal_prenatal_growth/weig_	2/786	0.1989499396969528210998845452195382677018642425537109375	0.596849819090858435544078020029701292514801025390625	0.06994494917602479822082983673681155778467655181884765625	0.2098348475280743807847017023959779180586338043212890625	-1.2884727652556076	0.6649675957390838	HCCS;UCHL5
MP0002106_abnormal_muscle_physiology_	1/671	0.511787621969225003937253859476186335086822509765625	0.92426232463956414786565574104315601289272308349609375	0.32995248335050531007794916149578057229518890380859375	0.491192301833875244465588139064493589103221893310546875	-1.305320578196464	0.10280619572178319	HCCS
MP0001544_abnormal_cardiovascular_syste_	1/1130	0.70534980808497083071273436871706508100032806396484375	0.92426232463956414786565574104315601289272308349609375	0.4984809821842663968283204667386598885059356689453125	0.66639296058150165880107351767946965992450714111328125	-1.0851191785947907	0.08546327738907844	HCCS
MP0001672_abnormal_embryogenesis/_devel_	2/1271	0.389237909716729613140984156416379846632480621337890625	0.92426232463956414786565574104315601289272308349609375	0.1604940661255700173892790871832403354346752166748046875	0.401235165313925057350985525772557593882083892822265625	-1.0265665359234384	0.08085170951598492	HCCS;UCHL5
MP0002127_abnormal_cardiovascular_syste_	1/1223	0.73440297801113507691894710660562850534915924072265625	0.92426232463956414786565574104315601289272308349609375	0.52789610672840192595600683489465154707431793212890625	0.66639296058150165880107351767946965992450714111328125	-0.8260556699186251	0.06505960474175641	HCCS
MP0001919_abnormal_reproductive_system_	1/1240	0.73940985971165129608806410033139400184154510498046875	0.92426232463956414786565574104315601289272308349609375	0.533114368465201327040858814143575727939605712890625	0.66639296058150165880107351767946965992450714111328125	-0.7920093214554346	0.062378136585822704	UBE2A
MP0005621_abnormal_cell_physiology_	1/1159	0.71471934607374298931148359770304523408412933349609375	0.92426232463956414786565574104315601289272308349609375	0.50781280137802331520191501113004051148891448974609375	0.66639296058150165880107351767946965992450714111328125	-0.759667943403522	0.059830950785296176	HCCS
MP0002089_abnormal_postnatal_growth/wei_	1/2459	0.9364856756073260957151660477393306791782379150390625	0.94966035404772186634403396965353749692440032958984375	0.8016374695055292765033527757623232901096343994140625	0.82883477482625445009745135394041426479816436767578125	-0.8147508919901569	0.04208260085257886	UBE2A
MP0001764_abnormal_homeostasis_	1/2652	0.94966035404772186634403396965353749692440032958984375	0.94966035404772186634403396965353749692440032958984375	0.82883477482625445009745135394041426479816436767578125	0.82883477482625445009745135394041426479816436767578125	-0.5496724435140823	0.0283910656219868	HCCS
MP0010769_abnormal_survival_	3/3156	0.66603408553543264059015882594394497573375701904296875	0.92426232463956414786565574104315601289272308349609375	0.261969227644733460014236925417208112776279449462890625	0.491192301833875244465588139064493589103221893310546875	-0.29520020130974883	0.023249774944092003	HCCS;UBE2A;UCHL5
MP0003632_abnormal_nervous_system_	1/1867	0.87242571806911450860155810005380772054195404052734375	0.94966035404772186634403396965353749692440032958984375	0.6947711100812294926498680069926194846630096435546875	0.80165897317064949145759555904078297317028045654296875	-0.38073281274874515	0.01966518496377253	UCHL5
