Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Molybdenum cofactor biosynthesis_Homo sapiens_R-HSA-947581	2/6	0.0010658428423574880204716119891372727579437196254730224609375	0.42420545125828024168868068954907357692718505859375	0.0013450690546353218264574724827298268792219460010528564453125	0.33689894206191139947037527235806919634342193603515625	-1.6844358519123543	1.4444667177623574	MOCS2;MOCS3
PKMTs methylate histone lysines_Homo sapiens_R-HSA-3214841	2/40	0.045860668364044503142462616551711107604205608367919921875	0.78490242877236193752565895920270122587680816650390625	0.035452612949637356265508714159295777790248394012451171875	0.33689894206191139947037527235806919634342193603515625	-2.1836999835824606	0.5288831031103397	SUV39H1;RBBP7
Aquaporin-mediated transport_Homo sapiens_R-HSA-445717	2/51	0.0705778067563893884983627913243253715336322784423828125	0.78490242877236193752565895920270122587680816650390625	0.054012082333441215065139573425767594017088413238525390625	0.33689894206191139947037527235806919634342193603515625	-2.025117342223879	0.4904750433531722	GNAS;AQP5
HS-GAG biosynthesis_Homo sapiens_R-HSA-2022928	2/31	0.0287330066108591360152235694158662226982414722442626953125	0.78490242877236193752565895920270122587680816650390625	0.022640414566843937438367362346980371512472629547119140625	0.33689894206191139947037527235806919634342193603515625	-2.023192586521425	0.49000887548382366	NDST1;HS6ST2
Transmembrane transport of small molecules_Homo sapiens_R-HSA-382551	9/594	0.06949632709907598016041418986787903122603893280029296875	0.78490242877236193752565895920270122587680816650390625	0.0253009404819431980848687402385621680878102779388427734375	0.33689894206191139947037527235806919634342193603515625	-2.0114760857213017	0.4871711874555451	SLC47A1;SLC44A2;MMGT1;TSC22D3;GNAS;ATP2B3;AQP5;SLC38A3;SLC12A6
Cell-Cell communication_Homo sapiens_R-HSA-1500931	4/131	0.026166507843658197429714817872081766836345195770263671875	0.78490242877236193752565895920270122587680816650390625	0.015164957418478959561003449607596849091351032257080078125	0.33689894206191139947037527235806919634342193603515625	-2.0070844796693716	0.48610755863572325	CLDN4;CLDN7;CASK;PLEC
Tight junction interactions_Homo sapiens_R-HSA-420029	2/30	0.027028628275892828403126344483098364435136318206787109375	0.78490242877236193752565895920270122587680816650390625	0.0213645339401950344615510601897767628543078899383544921875	0.33689894206191139947037527235806919634342193603515625	-1.9148122426917793	0.4637596045254791	CLDN4;CLDN7
ATF6-alpha activates chaperones_Homo sapiens_R-HSA-381033	2/12	0.0045340713975947390113052648530356236733496189117431640625	0.78490242877236193752565895920270122587680816650390625	0.004253339651824182381101291383629359188489615917205810546875	0.33689894206191139947037527235806919634342193603515625	-1.8995668590231383	0.46006723566373153	NFYC;MBTPS2
Cell junction organization_Homo sapiens_R-HSA-446728	3/86	0.037520273630010925192124204841093160212039947509765625	0.78490242877236193752565895920270122587680816650390625	0.024988773557586531348650993322735303081572055816650390625	0.33689894206191139947037527235806919634342193603515625	-1.897197814364112	0.4594934628469102	CLDN4;CLDN7;PLEC
Heparan sulfate/heparin (HS-GAG) metabolism_Homo sapiens_R-HSA-1638091	2/54	0.07792776194923599353270304845864302478730678558349609375	0.78490242877236193752565895920270122587680816650390625	0.05955896960345279100845772290995228104293346405029296875	0.33689894206191139947037527235806919634342193603515625	-1.7825924070517247	0.43173650726313006	NDST1;HS6ST2
Deactivation of the beta-catenin transactivating complex_Homo sapiens_R-HSA-3769402	2/42	0.05006933747978557780466957183307386003434658050537109375	0.78490242877236193752565895920270122587680816650390625	0.038604267171051816209814688818369177170097827911376953125	0.33689894206191139947037527235806919634342193603515625	-1.7798929236055916	0.4310827035389373	SOX3;SOX6
Regulation of cholesterol biosynthesis by SREBP (SREBF)_Homo sapiens_R-HSA-1655829	2/55	0.08042926015104030768032572495940257795155048370361328125	0.78490242877236193752565895920270122587680816650390625	0.061450162934725209573638693427710677497088909149169921875	0.33689894206191139947037527235806919634342193603515625	-1.761079348787581	0.4265261335406978	NFYC;MBTPS2
Glycosaminoglycan metabolism_Homo sapiens_R-HSA-1630316	3/121	0.0854123311515576355557044507804675959050655364990234375	0.78490242877236193752565895920270122587680816650390625	0.057422582371103210452378817763019469566643238067626953125	0.33689894206191139947037527235806919634342193603515625	-1.7394099933892055	0.4212779052988804	NDST1;CHST7;HS6ST2
Cell-cell junction organization_Homo sapiens_R-HSA-421270	2/61	0.0959369906325278909431375495842075906693935394287109375	0.78490242877236193752565895920270122587680816650390625	0.07321445970575087003329173285237629897892475128173828125	0.33689894206191139947037527235806919634342193603515625	-1.725205039585572	0.41783752424668125	CLDN4;CLDN7
Cellular Senescence_Homo sapiens_R-HSA-2559583	3/161	0.159606098873699753237787035686778835952281951904296875	0.78490242877236193752565895920270122587680816650390625	0.10998281746291681260085937310577719472348690032958984375	0.33689894206191139947037527235806919634342193603515625	-1.7107945864510317	0.414347372106588	RPS6KA3;CCNE2;RBBP7
Metabolism of polyamines_Homo sapiens_R-HSA-351202	2/84	0.1615124897145985560786840551372733898460865020751953125	0.78490242877236193752565895920270122587680816650390625	0.12379153468447999519863600426106131635606288909912109375	0.33689894206191139947037527235806919634342193603515625	-1.6112852637239872	0.3902466257641589	SLC6A8;SMS
Class B/2 (Secretin family receptors)_Homo sapiens_R-HSA-373080	2/84	0.1615124897145985560786840551372733898460865020751953125	0.78490242877236193752565895920270122587680816650390625	0.12379153468447999519863600426106131635606288909912109375	0.33689894206191139947037527235806919634342193603515625	-1.5769519254192477	0.38193123324720785	GNAS;CRHR1
Platelet homeostasis_Homo sapiens_R-HSA-418346	2/87	0.170583971175029491806895975969382561743259429931640625	0.78490242877236193752565895920270122587680816650390625	0.1308994218714943646997284076860523782670497894287109375	0.33689894206191139947037527235806919634342193603515625	-1.470207882899999	0.35607826769765233	GNAS;ATP2B3
Chromosome Maintenance_Homo sapiens_R-HSA-73886	2/86	0.1675504034093579786013350485518458299338817596435546875	0.78490242877236193752565895920270122587680816650390625	0.128519407303048838198122894027619622647762298583984375	0.33689894206191139947037527235806919634342193603515625	-1.4518644640403096	0.3516355675277098	LIG1;RBBP7
Unfolded Protein Response (UPR)_Homo sapiens_R-HSA-381119	2/86	0.1675504034093579786013350485518458299338817596435546875	0.78490242877236193752565895920270122587680816650390625	0.128519407303048838198122894027619622647762298583984375	0.33689894206191139947037527235806919634342193603515625	-1.4454658178226472	0.35008584188190445	NFYC;MBTPS2
Developmental Biology_Homo sapiens_R-HSA-1266738	9/786	0.2312843812094971251980268789338879287242889404296875	0.78490242877236193752565895920270122587680816650390625	0.106333991146829787144412193811149336397647857666015625	0.33689894206191139947037527235806919634342193603515625	-1.421189578863267	0.34420623722503135	CNKSR2;FGF16;RPS6KA3;MED14;EFNB3;AGAP2;HOXB3;RBBP7;ANK1
SLC-mediated transmembrane transport_Homo sapiens_R-HSA-425407	4/268	0.1972973783118314450302221985111827962100505828857421875	0.78490242877236193752565895920270122587680816650390625	0.1262673833670814038665497491820133291184902191162109375	0.33689894206191139947037527235806919634342193603515625	-1.3606378980486828	0.32954087060483017	SLC47A1;SLC44A2;SLC12A6;SLC38A3
Activation of anterior HOX genes in hindbrain development during early embryogenesis_Homo sapiens_R-HSA-5617472	2/89	0.1766784173453729012148727406383841298520565032958984375	0.78490242877236193752565895920270122587680816650390625	0.1356902930583692989952027119215927086770534515380859375	0.33689894206191139947037527235806919634342193603515625	-1.3162354120085087	0.3187867721575633	HOXB3;RBBP7
Activation of HOX genes during differentiation_Homo sapiens_R-HSA-5619507	2/89	0.1766784173453729012148727406383841298520565032958984375	0.78490242877236193752565895920270122587680816650390625	0.1356902930583692989952027119215927086770534515380859375	0.33689894206191139947037527235806919634342193603515625	-1.306818002645738	0.31650591456517946	HOXB3;RBBP7
Axon guidance_Homo sapiens_R-HSA-422475	6/515	0.2788460538420702850004317951970733702182769775390625	0.78490242877236193752565895920270122587680816650390625	0.16210146685259285703750720131210982799530029296875	0.33689894206191139947037527235806919634342193603515625	-1.2226393052766469	0.29611818226904557	CNKSR2;FGF16;RPS6KA3;EFNB3;AGAP2;ANK1
Release of Hh-Np from the secreting cell_Homo sapiens_R-HSA-5362798	1/8	0.0663990344249986430558152505909674800932407379150390625	0.78490242877236193752565895920270122587680816650390625	0.061988588764527986774144352466464624740183353424072265625	0.33689894206191139947037527235806919634342193603515625	-1.1990251127396054	0.2903989225170963	NOTUM
HIV Infection_Homo sapiens_R-HSA-162906	3/222	0.29547616458303249675765300708007998764514923095703125	0.78490242877236193752565895920270122587680816650390625	0.2132015859636207377736383250521612353622913360595703125	0.33689894206191139947037527235806919634342193603515625	-1.1780033293859786	0.2853075335458239	LIG1;AP1S2;TAF9B
NrCAM interactions_Homo sapiens_R-HSA-447038	1/7	0.058345065843607081534916147802505292929708957672119140625	0.78490242877236193752565895920270122587680816650390625	0.0552922440529488856686413100760546512901782989501953125	0.33689894206191139947037527235806919634342193603515625	-1.1695346166075062	0.28325644634185704	ANK1
Metabolism of water-soluble vitamins and cofactors_Homo sapiens_R-HSA-196849	2/98	0.2044822742799539405655906421088729985058307647705078125	0.78490242877236193752565895920270122587680816650390625	0.15770815451876185608881542066228576004505157470703125	0.33689894206191139947037527235806919634342193603515625	-1.1654757441225263	0.2822734042155922	MOCS2;MOCS3
L1CAM interactions_Homo sapiens_R-HSA-373760	2/96	0.198257389953939766602530880845733918249607086181640625	0.78490242877236193752565895920270122587680816650390625	0.1527555382031534347841983390026143752038478851318359375	0.33689894206191139947037527235806919634342193603515625	-1.1308167901207395	0.2738791489237314	RPS6KA3;ANK1
PPARA activates gene expression_Homo sapiens_R-HSA-1989781	2/113	0.251689515736046587335295043885707855224609375	0.78490242877236193752565895920270122587680816650390625	0.1957100973189619674830197482151561416685581207275390625	0.33689894206191139947037527235806919634342193603515625	-1.1086249184407329	0.2685043693999007	MED14;NFYC
SHC-mediated cascade:FGFR3_Homo sapiens_R-HSA-5654704	1/18	0.143265925874443367238342261771322228014469146728515625	0.78490242877236193752565895920270122587680816650390625	0.126434186291867423079793297802098095417022705078125	0.33689894206191139947037527235806919634342193603515625	-1.1031906842992218	0.2671882203696317	FGF16
Transport of inorganic cations/anions and amino acids/oligopeptides_Homo sapiens_R-HSA-425393	2/99	0.207602962512169586517529751290567219257354736328125	0.78490242877236193752565895920270122587680816650390625	0.1601960869132666165359779597565648145973682403564453125	0.33689894206191139947037527235806919634342193603515625	-1.0879528106378071	0.26349767040056904	SLC12A6;SLC38A3
CHL1 interactions_Homo sapiens_R-HSA-447041	1/9	0.07438451686812895535805267854811972938477993011474609375	0.78490242877236193752565895920270122587680816650390625	0.06863820443780231650432455126065178774297237396240234375	0.33689894206191139947037527235806919634342193603515625	-1.0864854505362567	0.26314228185373434	ANK1
Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds_Homo sapiens_R-HSA-425366	2/101	0.2138592434617638815552709274925291538238525390625	0.78490242877236193752565895920270122587680816650390625	0.1651940612707281930138236702987342141568660736083984375	0.33689894206191139947037527235806919634342193603515625	-1.08337637066108	0.26238927556873004	SLC47A1;SLC44A2
FGFR3 ligand binding and activation_Homo sapiens_R-HSA-190239	1/13	0.1056530920207145729516895471533644013106822967529296875	0.78490242877236193752565895920270122587680816650390625	0.09477576331778025942043086615740321576595306396484375	0.33689894206191139947037527235806919634342193603515625	-1.080883559085786	0.2617855269167527	FGF16
S Phase_Homo sapiens_R-HSA-69242	2/124	0.286525705501048333356806097071967087686061859130859375	0.78490242877236193752565895920270122587680816650390625	0.22426788874096137416103147188550792634487152099609375	0.33689894206191139947037527235806919634342193603515625	-1.0753554587250416	0.26044664387646466	LIG1;CCNE2
FGFR3c ligand binding and activation_Homo sapiens_R-HSA-190372	1/13	0.1056530920207145729516895471533644013106822967529296875	0.78490242877236193752565895920270122587680816650390625	0.09477576331778025942043086615740321576595306396484375	0.33689894206191139947037527235806919634342193603515625	-1.0707908051273054	0.2593411036568627	FGF16
FGFR3 mutant receptor activation_Homo sapiens_R-HSA-2033514	1/12	0.097935812846945580201207803838769905269145965576171875	0.78490242877236193752565895920270122587680816650390625	0.088309875910781931995785498656914569437503814697265625	0.33689894206191139947037527235806919634342193603515625	-1.0598595429563722	0.25669359717642065	FGF16
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)_Homo sapiens_R-HSA-400206	2/116	0.26119022640605804586044769166619516909122467041015625	0.78490242877236193752565895920270122587680816650390625	0.2034544794344494977877957353484816849231719970703125	0.33689894206191139947037527235806919634342193603515625	-1.056122062482325	0.25578839486576005	MED14;NFYC
Activated point mutants of FGFR2_Homo sapiens_R-HSA-2033519	1/17	0.135871340434685350384569346715579740703105926513671875	0.78490242877236193752565895920270122587680816650390625	0.1201909465315242619976032756312633864581584930419921875	0.33689894206191139947037527235806919634342193603515625	-1.0437642697538045	0.252795388585139	FGF16
Chromatin modifying enzymes_Homo sapiens_R-HSA-3247509	3/226	0.304804904333041692954253676361986435949802398681640625	0.78490242877236193752565895920270122587680816650390625	0.2206199462398714949973310694986139424145221710205078125	0.33689894206191139947037527235806919634342193603515625	-1.0112959206712508	0.2449316887432407	SUV39H1;RBBP7;PHF8
