Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Glioma_Homo sapiens_hsa05214	4/65	0.012287417148092616425714140859781764447689056396484375	0.420143466642842688951731133784051053225994110107421875	0.011155165595801007361043133414568728767335414886474609375	0.333559786301204030944944634029525332152843475341796875	-2.0614549323265785	1.7876092776200672	SHC1;CAMK2A;ARAF;PIK3CD
FoxO signaling pathway_Homo sapiens_hsa04068	7/133	0.00246005790549617964213524601291283033788204193115234375	0.4108296702178619863587982763419859111309051513671875	0.00190708115506729898591675720354032819159328937530517578125	0.318482552896238946260609736782498657703399658203125	-1.8262560285717904	1.6245945885922322	ARAF;IRS4;AGAP2;PIK3CD;FOXO4;PCK1;S1PR4
Insulin signaling pathway_Homo sapiens_hsa04910	6/139	0.01257914570786954067127538792192353866994380950927734375	0.420143466642842688951731133784051053225994110107421875	0.00998681994913784565337522280970006249845027923583984375	0.333559786301204030944944634029525332152843475341796875	-1.6741093716973514	1.451719073586221	SHC1;ARAF;IRS4;PIK3CD;PCK1;PRKCZ
Tight junction_Homo sapiens_hsa04530	6/139	0.01257914570786954067127538792192353866994380950927734375	0.420143466642842688951731133784051053225994110107421875	0.00998681994913784565337522280970006249845027923583984375	0.333559786301204030944944634029525332152843475341796875	-1.625727249344197	1.4097640788719605	CTTN;CLDN14;SHROOM2;CASK;PRKCZ;SHROOM4
Citrate cycle (TCA cycle)_Homo sapiens_hsa00020	3/30	0.00793504209118091850816423260539522743783891201019287109375	0.420143466642842688951731133784051053225994110107421875	0.0081652623665634631311416313792506116442382335662841796875	0.333559786301204030944944634029525332152843475341796875	-1.6012759604536895	1.3885609227005526	PDHA1;IDH3G;PCK1
Proteoglycans in cancer_Homo sapiens_hsa05205	7/203	0.0225256258522844900193948802780141704715788364410400390625	0.53498176055850044097184081692830659449100494384765625	0.01684206839287870349775033673722646199166774749755859375	0.4017850010144636829778619357966817915439605712890625	-1.8839211208739368	1.1784352849751851	CTTN;CAMK2A;ARAF;GPC3;MSN;PIK3CD;ANK1
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	7/214	0.0289267776918382853168498769491634448058903217315673828125	0.53498176055850044097184081692830659449100494384765625	0.02165308388700702690865540489539853297173976898193359375	0.4017850010144636829778619357966817915439605712890625	-1.723054559375691	1.0778096111389985	FGF16;LIMK2;ARAF;MSN;PIK3CD;ITGAL;FGD1
Type II diabetes mellitus_Homo sapiens_hsa04930	3/48	0.028232406813448095161955819776267162524163722991943359375	0.53498176055850044097184081692830659449100494384765625	0.026483500486586659949939104308214155025780200958251953125	0.4017850010144636829778619357966817915439605712890625	-1.6647424275957603	1.0413340533939293	IRS4;PIK3CD;PRKCZ
ErbB signaling pathway_Homo sapiens_hsa04012	4/87	0.03203483596158684942878380752517841756343841552734375	0.53498176055850044097184081692830659449100494384765625	0.027984527737375732014957208093619556166231632232666015625	0.46734161321417466705696597273345105350017547607421875	-1.6325662851089737	1.0212071482806042	SHC1;CAMK2A;ARAF;PIK3CD
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	4/78	0.022564924771220511157121535461556049995124340057373046875	0.53498176055850044097184081692830659449100494384765625	0.01994359866835919425920309322464163415133953094482421875	0.4017850010144636829778619357966817915439605712890625	-1.6048857086928905	1.003892321457052	SEPT9;CTTN;SHC1;PIK3CD
Acute myeloid leukemia_Homo sapiens_hsa05221	3/57	0.04368738076259075231444484188614296726882457733154296875	0.607982715612721325015854745288379490375518798828125	0.0401421263108143466791233322510379366576671600341796875	0.55864459115883302597893589336308650672435760498046875	-1.5881627507401428	0.7902838013981972	ARAF;PIK3CD;PIM2
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	3/64	0.058064570238127811985240356307258480228483676910400390625	0.7007211596996485436505963662057183682918548583984375	0.0527908938468778232699918362413882277905941009521484375	0.6016382591851783256942098887520842254161834716796875	-1.5626095027759475	0.555734641199807	IRS4;PIK3CD;HSPA2
Insulin resistance_Homo sapiens_hsa04931	4/109	0.0636658471120135904808279292410588823258876800537109375	0.7007211596996485436505963662057183682918548583984375	0.054807281382748339326749231759094982407987117767333984375	0.6016382591851783256942098887520842254161834716796875	-1.4903955788538739	0.5300521024534532	RPS6KA3;PIK3CD;PCK1;PRKCZ
Melanoma_Homo sapiens_hsa05218	3/71	0.0743767773832240408626859107243944890797138214111328125	0.7007211596996485436505963662057183682918548583984375	0.06712618189879904218031470009009353816509246826171875	0.6016382591851783256942098887520842254161834716796875	-1.4474090349563276	0.5147641424692831	FGF16;ARAF;PIK3CD
Prolactin signaling pathway_Homo sapiens_hsa04917	3/72	0.0768567258438116185370603261617361567914485931396484375	0.7007211596996485436505963662057183682918548583984375	0.069305924158592713268944862647913396358489990234375	0.6016382591851783256942098887520842254161834716796875	-1.4342851303912554	0.5100966882002196	SHC1;LHB;PIK3CD
Long-term potentiation_Homo sapiens_hsa04720	3/66	0.06253375352984553992019556289960746653378009796142578125	0.7007211596996485436505963662057183682918548583984375	0.056718767095830270597023314849138841964304447174072265625	0.6016382591851783256942098887520842254161834716796875	-1.4325392076408279	0.5094757590739422	RPS6KA3;CAMK2A;ARAF
Chronic myeloid leukemia_Homo sapiens_hsa05220	3/73	0.07937271370253905222735824054325348697602748870849609375	0.7007211596996485436505963662057183682918548583984375	0.07151765113225715120304215588475926779210567474365234375	0.6016382591851783256942098887520842254161834716796875	-1.3809585397687407	0.4911313397536849	SHC1;ARAF;PIK3CD
Neurotrophin signaling pathway_Homo sapiens_hsa04722	4/120	0.08391870176043696172296648683186504058539867401123046875	0.7007211596996485436505963662057183682918548583984375	0.07205248612996147106191102693628636188805103302001953125	0.6016382591851783256942098887520842254161834716796875	-1.3805821399244245	0.49099747493841456	RPS6KA3;SHC1;CAMK2A;PIK3CD
Leukocyte transendothelial migration_Homo sapiens_hsa04670	4/118	0.0800252521072348510511318409044179134070873260498046875	0.7007211596996485436505963662057183682918548583984375	0.06873091442502525516555778040128643624484539031982421875	0.6016382591851783256942098887520842254161834716796875	-1.2646912994711492	0.44978144846268187	CLDN14;MSN;PIK3CD;ITGAL
Endocytosis_Homo sapiens_hsa04144	6/259	0.147942537569137499975369109961320646107196807861328125	0.73541333627548344242796929393080063164234161376953125	0.11912272897115734615614002223082934506237506866455078125	0.666819110007524695760139366029761731624603271484375	-1.2744122244340361	0.39165564713329776	IQSEC2;SH3KBP1;AGAP2;HSPA2;PRKCZ;IGF2R
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650	4/135	0.1159348703211672548807342764121131040155887603759765625	0.73541333627548344242796929393080063164234161376953125	0.0994956223010723395105969757423736155033111572265625	0.666819110007524695760139366029761731624603271484375	-1.262270663508587	0.3879242713584169	SHC1;ARAF;PIK3CD;ITGAL
Spliceosome_Homo sapiens_hsa03040	4/134	0.11365278966919274694635788591767777688801288604736328125	0.73541333627548344242796929393080063164234161376953125	0.0975314846204948793229050352238118648529052734375	0.666819110007524695760139366029761731624603271484375	-1.2543255413831222	0.385482555963711	RBMXL2;HSPA2;THOC2;RBMX
Glycosaminoglycan biosynthesis - heparan sulfate / heparin_Homo sapiens_hsa00534	2/24	0.04262248001687267418002846852687071077525615692138671875	0.607982715612721325015854745288379490375518798828125	0.04241357112453718325451035298101487569510936737060546875	0.55864459115883302597893589336308650672435760498046875	-0.7427039614421788	0.36957604608752226	HS6ST2;HS3ST2
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	4/142	0.1324579859182425101149505053399479947984218597412109375	0.73541333627548344242796929393080063164234161376953125	0.11375503788237406599392897987854667007923126220703125	0.666819110007524695760139366029761731624603271484375	-1.1802569588180312	0.3627196084020146	ZIC3;LIF;PIK3CD;DUSP9
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	3/98	0.15250029247665064513483912378433160483837127685546875	0.73541333627548344242796929393080063164234161376953125	0.13611319857612291794879411099827848374843597412109375	0.666819110007524695760139366029761731624603271484375	-1.1009501631043404	0.3383468396841785	RPS6KA3;ARAF;PIK3CD
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	4/137	0.1205588944548889596131147072810563258826732635498046875	0.73541333627548344242796929393080063164234161376953125	0.1034793292628590488657636115021887235343456268310546875	0.666819110007524695760139366029761731624603271484375	-1.0742578455541283	0.330143687907085	HUWE1;XIAP;UBE2A;KLHL13
Estrogen signaling pathway_Homo sapiens_hsa04915	3/99	0.155772393556254551416628828519606031477451324462890625	0.73541333627548344242796929393080063164234161376953125	0.1390224030961124956906616034757462330162525177001953125	0.666819110007524695760139366029761731624603271484375	-1.0508395483612036	0.3229467164986162	SHC1;PIK3CD;HSPA2
