Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Developmental Biology_Homo sapiens_R-HSA-1266738	24/786	0.00023425704294053909470217644805956069831154309213161468505859375	0.1384459123778586098207910026758327148854732513427734375	0.00002441888131901280353385115529096793807184440083801746368408203125	0.0144315588595365675017578865890754968859255313873291015625	-2.38439952188457	4.714614885536394	KLB;TRPC5;SHC1;LIMK2;CAMK2A;ARAF;AGAP2;MSN;DUSP9;ANK1;PSMA8;MED12;CNKSR2;FGF16;EFNB1;RPS6KA3;MED14;DPYSL4;DLG3;ZIC3;HOXB3;RBBP7;TBL1X;PCK1
Signaling by EGFR_Homo sapiens_R-HSA-177929	11/355	0.0104071821915077723785802987777060479857027530670166015625	0.268007850606190256570471319719217717647552490234375	0.0043681255497128972098419552594350534491240978240966796875	0.11713421387741006218785599912735051475465297698974609375	-2.5393826786991993	3.3437042231720993	CNKSR2;KLB;FGF16;SH3KBP1;SHC1;CAMK2A;ARAF;PIK3CD;FOXO4;DUSP9;PSMA8
VEGFR2 mediated cell proliferation_Homo sapiens_R-HSA-5218921	9/248	0.007567553120109336839416158682070090435445308685302734375	0.268007850606190256570471319719217717647552490234375	0.0036687032614729250638851976162868595565669238567352294921875	0.11713421387741006218785599912735051475465297698974609375	-2.5301887676729597	3.331598241909892	CNKSR2;KLB;FGF16;SHC1;CAMK2A;ARAF;PRKCZ;DUSP9;PSMA8
Axon guidance_Homo sapiens_R-HSA-422475	17/515	0.000824469828007876764409955772094917847425676882266998291015625	0.2436308341763275819857881288044154644012451171875	0.00018495872623618754733432201220466595259495079517364501953125	0.054655303602793421646754978837634553201496601104736328125	-2.3564275920886675	3.3275141694183836	KLB;TRPC5;SHC1;LIMK2;CAMK2A;ARAF;AGAP2;MSN;DUSP9;ANK1;PSMA8;CNKSR2;EFNB1;FGF16;RPS6KA3;DPYSL4;DLG3
Interleukin receptor SHC signaling_Homo sapiens_R-HSA-912526	9/245	0.0070124970529234741112301065868450677953660488128662109375	0.268007850606190256570471319719217717647552490234375	0.0033945250643947779377318507698646499193273484706878662109375	0.11713421387741006218785599912735051475465297698974609375	-2.4991576213193207	3.290738321117771	CNKSR2;KLB;FGF16;SHC1;CAMK2A;ARAF;PIK3CD;DUSP9;PSMA8
NGF signalling via TRKA from the plasma membrane_Homo sapiens_R-HSA-187037	11/374	0.0148616391144720354222652503040080773644149303436279296875	0.268007850606190256570471319719217717647552490234375	0.00635449563001960239516652251268169493414461612701416015625	0.11713421387741006218785599912735051475465297698974609375	-2.4851131258396424	3.272245386105795	CNKSR2;KLB;FGF16;RPS6KA3;SHC1;CAMK2A;ARAF;PIK3CD;FOXO4;DUSP9;PSMA8
Interleukin-2 signaling_Homo sapiens_R-HSA-451927	9/252	0.008359113305390360182389741794395376928150653839111328125	0.268007850606190256570471319719217717647552490234375	0.004061079638999470949045633716423253645189106464385986328125	0.11713421387741006218785599912735051475465297698974609375	-2.4642788046977837	3.2448120228032455	CNKSR2;KLB;FGF16;SHC1;CAMK2A;ARAF;PIK3CD;DUSP9;PSMA8
Signaling by SCF-KIT_Homo sapiens_R-HSA-1433557	10/325	0.01488432254452294774271781108154755202122032642364501953125	0.268007850606190256570471319719217717647552490234375	0.006833944072126584001747318097841343842446804046630859375	0.11713421387741006218785599912735051475465297698974609375	-2.4634137848288353	3.2436730174011874	CNKSR2;KLB;FGF16;SHC1;CAMK2A;ARAF;PIK3CD;FOXO4;DUSP9;PSMA8
Downstream signaling of activated FGFR2_Homo sapiens_R-HSA-5654696	10/329	0.0160758183198850997108753091424659942276775836944580078125	0.268007850606190256570471319719217717647552490234375	0.0074075415882313457027752434669309877790510654449462890625	0.11713421387741006218785599912735051475465297698974609375	-2.462220224463967	3.242101409913235	CNKSR2;KLB;FGF16;SHC1;CAMK2A;ARAF;PIK3CD;FOXO4;DUSP9;PSMA8
Interleukin-3, 5 and GM-CSF signaling_Homo sapiens_R-HSA-512988	9/261	0.01036927336456632507688535582701661041937768459320068359375	0.268007850606190256570471319719217717647552490234375	0.00506440492074243346631856610429167631082236766815185546875	0.11713421387741006218785599912735051475465297698974609375	-2.4621136556450884	3.2419610865926374	CNKSR2;KLB;FGF16;SHC1;CAMK2A;ARAF;PIK3CD;DUSP9;PSMA8
