Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	4/98	0.00428106358785911023101533601220580749213695526123046875	0.312514382360137454863746597766294144093990325927734375	0.002304192902882330577785108260968627291731536388397216796875	0.2041411153232092490217297608978697098791599273681640625	-2.014733043677574	2.343345648257652	ADCY9;GNAS;PIK3CD;ASIC3
Ovarian steroidogenesis_Homo sapiens_hsa04913	3/50	0.004580484123208707243624093763401106116361916065216064453125	0.312514382360137454863746597766294144093990325927734375	0.0030302918563236583109066213381765919621102511882781982421875	0.2041411153232092490217297608978697098791599273681640625	-1.9875906263355547	2.311776172707921	ADCY9;LHB;GNAS
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	3/56	0.006292235886445719968140810607337698456831276416778564453125	0.312514382360137454863746597766294144093990325927734375	0.00411022379845387732244521572511075646616518497467041015625	0.2041411153232092490217297608978697098791599273681640625	-1.8702659495665102	2.175315279487978	ADCY9;GNAS;PIK3CD
Phospholipase D signaling pathway_Homo sapiens_hsa04072	4/144	0.0161044252695154710419700450074742548167705535888671875	0.41196480441298388708304401006898842751979827880859375	0.00867554893573292511266270565783997881226241588592529296875	0.24830833914382832716682969476096332073211669921875	-1.8202635588450473	1.6142413227829855	ADCY9;SPHK1;GNAS;PIK3CD
GnRH signaling pathway_Homo sapiens_hsa04912	3/91	0.0232951695536810186870635419609243399463593959808349609375	0.41196480441298388708304401006898842751979827880859375	0.014839350028116815582990284383413381874561309814453125	0.24830833914382832716682969476096332073211669921875	-1.8097619695947398	1.6049283311338551	ADCY9;LHB;GNAS
Dilated cardiomyopathy_Homo sapiens_hsa05414	3/90	0.022635434342292752585290571687437477521598339080810546875	0.41196480441298388708304401006898842751979827880859375	0.01442022357689731922036902034278682549484074115753173828125	0.24830833914382832716682969476096332073211669921875	-1.7756971120669895	1.5747190241305882	ADCY9;LMNA;GNAS
Estrogen signaling pathway_Homo sapiens_hsa04915	3/99	0.0289465514419335843976366362539920373819768428802490234375	0.41196480441298388708304401006898842751979827880859375	0.018441648176286108695709486937630572356283664703369140625	0.24830833914382832716682969476096332073211669921875	-1.727026120176137	1.5315567436194624	ADCY9;GNAS;PIK3CD
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	3/93	0.0246457978855620339631027349014402716420590877532958984375	0.41196480441298388708304401006898842751979827880859375	0.0156983014469880277630409182165749371051788330078125	0.24830833914382832716682969476096332073211669921875	-1.6901607915437702	1.498863930225945	LIMK2;SPHK1;PIK3CD
Glutamatergic synapse_Homo sapiens_hsa04724	3/114	0.04131519006455013076628546286883647553622722625732421875	0.41196480441298388708304401006898842751979827880859375	0.0264020338561712260283531605864482116885483264923095703125	0.24830833914382832716682969476096332073211669921875	-1.664742944449056	1.4763229421821582	ADCY9;GNAS;SHANK2
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	2/44	0.035093802836109959375487932220494258217513561248779296875	0.41196480441298388708304401006898842751979827880859375	0.026489948119584327823616831665276549756526947021484375	0.24830833914382832716682969476096332073211669921875	-1.5853307695141026	1.4058988468970723	ADCY9;GNAS
