Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Wnt signaling pathway_Homo sapiens_hsa04310	6/142	0.018364148703568117237949763875803910195827484130859375	0.943358984830205304916717068408615887165069580078125	0.01214483189472487754956286920560160069726407527923583984375	0.81721592606876380937563908446463756263256072998046875	-1.8795088194352707	0.10959112382287464	PORCN;WNT7B;NFATC2;GPC4;TBL1X;NOTUM
Inositol phosphate metabolism_Homo sapiens_hsa00562	3/71	0.08614027560971970753911364226951263844966888427734375	0.943358984830205304916717068408615887165069580078125	0.07067596032476243517184144593556993640959262847900390625	0.81721592606876380937563908446463756263256072998046875	-1.8152726596925572	0.1058456170907568	MTMR1;PLCG2;SYNJ2
Type II diabetes mellitus_Homo sapiens_hsa04930	2/48	0.1560128892548882928448250595465651713311672210693359375	0.943358984830205304916717068408615887165069580078125	0.1366169502293357040922927581050316803157329559326171875	0.81721592606876380937563908446463756263256072998046875	-1.7133791873973792	0.0999043732808987	IRS4;PRKCZ
Tight junction_Homo sapiens_hsa04530	5/139	0.054000918685345018765975311225702171213924884796142578125	0.943358984830205304916717068408615887165069580078125	0.0385540552448297157983603256070637144148349761962890625	0.81721592606876380937563908446463756263256072998046875	-1.649537477894085	0.09618186630519761	CLDN4;SHROOM2;CASK;PRKCZ;SHROOM4
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	3/98	0.173812639156674719753681301881442777812480926513671875	0.943358984830205304916717068408615887165069580078125	0.1425900047133711046054571625063545070588588714599609375	0.81721592606876380937563908446463756263256072998046875	-1.6396004204153487	0.09560245253212768	MTMR1;PLCG2;SYNJ2
Arginine and proline metabolism_Homo sapiens_hsa00330	2/50	0.166345754197664896789632393847568891942501068115234375	0.943358984830205304916717068408615887165069580078125	0.1455138399107071267568613848197855986654758453369140625	0.81721592606876380937563908446463756263256072998046875	-1.5789553903192486	0.092066338769969	SMS;SAT1
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	4/167	0.2296825950665828119934275264313328079879283905029296875	0.943358984830205304916717068408615887165069580078125	0.180667451467462658598606140003539621829986572265625	0.81721592606876380937563908446463756263256072998046875	-1.5526450294373189	0.0905322241186196	IRS4;NFATC2;ADRA1D;SLC25A5
Mucin type O-Glycan biosynthesis_Homo sapiens_hsa00512	2/31	0.0753319210977698994202711446632747538387775421142578125	0.943358984830205304916717068408615887165069580078125	0.067638958112508029696385847273631952702999114990234375	0.81721592606876380937563908446463756263256072998046875	-1.5239785224842073	0.08886072639507515	GALNT6;GALNT13
Calcium signaling pathway_Homo sapiens_hsa04020	4/180	0.271099878341081790278366270285914652049541473388671875	0.943358984830205304916717068408615887165069580078125	0.2152530616741443747486073334584943950176239013671875	0.81721592606876380937563908446463756263256072998046875	-1.5041304429247222	0.08770341693094433	LHCGR;PLCG2;ADRA1D;SLC25A5
Lysine degradation_Homo sapiens_hsa00310	2/52	0.1767931665960446319108001489439629949629306793212890625	0.943358984830205304916717068408615887165069580078125	0.1545284599374111278446974893086007796227931976318359375	0.81721592606876380937563908446463756263256072998046875	-1.501858265971965	0.0875709299624331	SUV39H1;NSD1
VEGF signaling pathway_Homo sapiens_hsa04370	2/61	0.224831098076531787910425919108092784881591796875	0.943358984830205304916717068408615887165069580078125	0.1962475678559680858370484202168881893157958984375	0.81721592606876380937563908446463756263256072998046875	-1.4841597523224315	0.08653895821492641	PLCG2;NFATC2
Hippo signaling pathway_Homo sapiens_hsa04390	4/153	0.187137028678244610180314566605375148355960845947265625	0.943358984830205304916717068408615887165069580078125	0.1458364778124207339349283074625418521463871002197265625	0.81721592606876380937563908446463756263256072998046875	-1.4478189338807235	0.0844199837826242	DLG3;WNT7B;BMP8B;PRKCZ
Glycosaminoglycan biosynthesis - heparan sulfate / heparin_Homo sapiens_hsa00534	2/24	0.047771000513622714767070220887035247869789600372314453125	0.943358984830205304916717068408615887165069580078125	0.044111700079133071838999313740714569576084613800048828125	0.81721592606876380937563908446463756263256072998046875	-1.4281521993113604	0.08327324825199219	NDST1;HS3ST2
Melanoma_Homo sapiens_hsa05218	2/71	0.279126925320553775922149952748441137373447418212890625	0.943358984830205304916717068408615887165069580078125	0.2439883552559000412518486200497136451303958892822265625	0.81721592606876380937563908446463756263256072998046875	-1.2432927409970609	0.07249439178882375	FGF13;FGF4
Proteoglycans in cancer_Homo sapiens_hsa05205	4/203	0.346835834990191049787000565629568882286548614501953125	0.943358984830205304916717068408615887165069580078125	0.2802612524723848697050243572448380291461944580078125	0.81721592606876380937563908446463756263256072998046875	-1.2368423937307285	0.07211828245714337	WNT7B;PLCG2;GPC3;ANK1
B cell receptor signaling pathway_Homo sapiens_hsa04662	2/73	0.2899897752905917780452682563918642699718475341796875	0.943358984830205304916717068408615887165069580078125	0.253620274831266367954185625421814620494842529296875	0.81721592606876380937563908446463756263256072998046875	-1.2230708462200053	0.07131528576307426	PLCG2;NFATC2
Axon guidance_Homo sapiens_hsa04360	3/127	0.285224223178327018768385414659860543906688690185546875	0.943358984830205304916717068408615887165069580078125	0.23720340975558429352787470634211786091327667236328125	0.81721592606876380937563908446463756263256072998046875	-1.2113482272797214	0.0706317587848933	EFNB1;FES;NFATC2
Adipocytokine signaling pathway_Homo sapiens_hsa04920	2/70	0.2736906816604209868870611899183131754398345947265625	0.943358984830205304916717068408615887165069580078125	0.2391784844069018978185425794436014257371425628662109375	0.81721592606876380937563908446463756263256072998046875	-1.1850507702885782	0.06909839653857566	IRS4;ACSL4
Spliceosome_Homo sapiens_hsa03040	3/134	0.31320971138458020277539617381989955902099609375	0.943358984830205304916717068408615887165069580078125	0.261584014659844876771188637576415203511714935302734375	0.81721592606876380937563908446463756263256072998046875	-1.180376402959252	0.06882584172878461	RBMXL2;THOC2;RBMX
PPAR signaling pathway_Homo sapiens_hsa03320	2/69	0.268252698068635997419306704614427872002124786376953125	0.943358984830205304916717068408615887165069580078125	0.23437390780869105100236993166618049144744873046875	0.81721592606876380937563908446463756263256072998046875	-1.1498683510094374	0.06704696649060861	GK;ACSL4
Parkinson's disease_Homo sapiens_hsa05012	3/142	0.3452657155086862328374763819738291203975677490234375	0.943358984830205304916717068408615887165069580078125	0.289829595466735201458874371382989920675754547119140625	0.81721592606876380937563908446463756263256072998046875	-1.0745530263814602	0.0626554515470689	NDUFA1;UBA1;SLC25A5
RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622	2/70	0.2736906816604209868870611899183131754398345947265625	0.943358984830205304916717068408615887165069580078125	0.2391784844069018978185425794436014257371425628662109375	0.81721592606876380937563908446463756263256072998046875	-1.0559457621903903	0.06157049202313265	OTUD5;TMEM173
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	5/277	0.382639695129442625187721205293200910091400146484375	0.943358984830205304916717068408615887165069580078125	0.3018438347533780596876340496237389743328094482421875	0.81721592606876380937563908446463756263256072998046875	-1.0478331084616856	0.06109745628628428	LHCGR;GPR50;ADRA1D;GABRE;CRHR1
