Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
HS-GAG biosynthesis_Homo sapiens_R-HSA-2022928	6/31	0.0003802336198240677798444731028126852834247983992099761962890625	0.2768100752319213597729685716331005096435546875	0.0003542067123469991806426759861636810455820523202419281005859375	0.043997083466141569119134402399140526540577411651611328125	-2.0889036655932878	2.6830372851604514	NDST1;NDST4;GPC3;GPC4;HS6ST2;HS6ST3
GPVI-mediated activation cascade_Homo sapiens_R-HSA-114604	7/53	0.0013894460171073740213654179598279370111413300037384033203125	0.5057583502270841524506295172614045441150665283203125	0.000909783783352636067458252266959561893600039184093475341796875	0.043997083466141569119134402399140526540577411651611328125	-1.8220679554697101	1.242096969905093	SHC1;PIK3CD;PTPN6;PIK3R1;VAV1;LAT;PIK3R5
TNFs bind their physiological receptors_Homo sapiens_R-HSA-5669034	4/24	0.00652151453516839306467911541176363243721425533294677734375	0.65485766326152894389878156289341859519481658935546875	0.00570381426184005287105538428704676334746181964874267578125	0.043997083466141569119134402399140526540577411651611328125	-2.1691509667491466	0.9182826761541308	EDA;TNFSF14;TNFSF15;TNFRSF25
SHC-mediated cascade:FGFR4_Homo sapiens_R-HSA-5654719	4/23	0.005572782075414621678899340651014426839537918567657470703125	0.65485766326152894389878156289341859519481658935546875	0.004989733096463320506652738828279325389303267002105712890625	0.043997083466141569119134402399140526540577411651611328125	-2.1031982489690635	0.8903624257376752	KLB;FGF16;SHC1;FGF20
Cell-Cell communication_Homo sapiens_R-HSA-1500931	11/131	0.0031575283736879657114915431748158880509436130523681640625	0.65485766326152894389878156289341859519481658935546875	0.00121962565923236791916306476224463040125556290149688720703125	0.043997083466141569119134402399140526540577411651611328125	-2.0070844796693716	0.8496738749448947	CLDN5;CLDN4;CLDN3;CDH3;CDH1;ITGB4;CLDN7;CASK;PTPN6;PIK3R1;PLEC
Heparan sulfate/heparin (HS-GAG) metabolism_Homo sapiens_R-HSA-1638091	6/54	0.007196238057818999354908751087123164325021207332611083984375	0.65485766326152894389878156289341859519481658935546875	0.004628032415561413211169128345545686897821724414825439453125	0.043997083466141569119134402399140526540577411651611328125	-1.9289259199294826	0.8165864354340061	NDST1;NDST4;GPC3;GPC4;HS6ST2;HS6ST3
Signaling by SCF-KIT_Homo sapiens_R-HSA-1433557	17/325	0.03193338980511750690993721946142613887786865234375	0.7064329959039017392541381923365406692028045654296875	0.008317933962016695048635739340170403011143207550048828125	0.043997083466141569119134402399140526540577411651611328125	-2.3329896929702802	0.8107767243494802	KLB;SHC1;RASGRF1;DAB2IP;PIK3CD;PIK3R1;FOXO4;DUSP9;VAV1;CNKSR2;FGF16;FER;FES;FGF20;GRB10;PTPN6;LAT
Developmental Biology_Homo sapiens_R-HSA-1266738	37/786	0.011854053210226984937936123287727241404354572296142578125	0.7054505078516670746324734864174388349056243896484375	0.0007331178864679716543351073454459765343926846981048583984375	0.043997083466141569119134402399140526540577411651611328125	-2.3048684256718017	0.804211607230834	KLB;SHC1;KMT2C;RASGRF1;AGAP2;CRMP1;ARHGAP39;MED12;EFNB1;RPS6KA3;DPYSL4;ZIC3;FGF20;SLIT3;SCN5A;RBBP7;TBL1X;PAK3;EPHB3;HOXA4;NKX2-2;TRPC5;EPHA6;LIMK2;CSNK2A2;FOXH1;DAB2IP;HNF1B;DUSP9;ANK1;CNKSR2;FGF16;DLG3;FES;HOXB3;PPARA;LAT
Cell junction organization_Homo sapiens_R-HSA-446728	8/86	0.006079041541021492668639414347353522316552698612213134765625	0.65485766326152894389878156289341859519481658935546875	0.0031322637566665186524550446023340555257163941860198974609375	0.043997083466141569119134402399140526540577411651611328125	-1.897197814364112	0.8031547425115287	CLDN5;CLDN4;CLDN3;CDH3;CDH1;ITGB4;CLDN7;PLEC
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers_Homo sapiens_R-HSA-983695	6/47	0.00360617408591337902656892566710666869767010211944580078125	0.65485766326152894389878156289341859519481658935546875	0.0024693557959454249216280086187680353759787976741790771484375	0.043997083466141569119134402399140526540577411651611328125	-1.890180078870798	0.8001838727896302	SHC1;SH3KBP1;PIK3CD;PTPN6;PIK3R1;VAV1
Axon guidance_Homo sapiens_R-HSA-422475	26/515	0.01453538134309753475370552422418768401257693767547607421875	0.7054505078516670746324734864174388349056243896484375	0.001904958635372578333588844401447204290889203548431396484375	0.043997083466141569119134402399140526540577411651611328125	-2.242169857758774	0.7823349068036888	KLB;SHC1;RASGRF1;AGAP2;CRMP1;ARHGAP39;EFNB1;RPS6KA3;DPYSL4;FGF20;SLIT3;SCN5A;PAK3;EPHB3;TRPC5;EPHA6;LIMK2;CSNK2A2;DAB2IP;DUSP9;ANK1;CNKSR2;FGF16;DLG3;FES;LAT
Cell-cell junction organization_Homo sapiens_R-HSA-421270	6/61	0.01284758569454608721771560198021688847802579402923583984375	0.7054505078516670746324734864174388349056243896484375	0.00793292675711615956346545175392748205922544002532958984375	0.043997083466141569119134402399140526540577411651611328125	-1.9275813045345545	0.6725690897240734	CLDN5;CLDN4;CLDN3;CDH3;CDH1;CLDN7
Interleukin-3, 5 and GM-CSF signaling_Homo sapiens_R-HSA-512988	13/261	0.07538668231762431226616882895541493780910968780517578125	0.7064329959039017392541381923365406692028045654296875	0.0277336116113856591403052931354977772571146488189697265625	0.043997083466141569119134402399140526540577411651611328125	-1.9101339326060167	0.6638229639906196	KLB;SHC1;RASGRF1;DAB2IP;PIK3CD;PIK3R1;DUSP9;VAV1;CNKSR2;FGF16;FGF20;PTPN6;LAT
SHC-mediated cascade:FGFR3_Homo sapiens_R-HSA-5654704	3/18	0.01836805686975974405417133539231144823133945465087890625	0.7064329959039017392541381923365406692028045654296875	0.0165942083805141783747760797496084705926477909088134765625	0.043997083466141569119134402399140526540577411651611328125	-1.8939907741130009	0.6582127818269092	FGF16;SHC1;FGF20
Constitutive Signaling by Aberrant PI3K in Cancer_Homo sapiens_R-HSA-2219530	6/61	0.01284758569454608721771560198021688847802579402923583984375	0.7054505078516670746324734864174388349056243896484375	0.00793292675711615956346545175392748205922544002532958984375	0.043997083466141569119134402399140526540577411651611328125	-1.870349208759291	0.6525997434412381	KLB;FGF16;FGF20;PIK3CD;PIK3R1;VAV1
PKMTs methylate histone lysines_Homo sapiens_R-HSA-3214841	4/40	0.037690613301881996377584727042631129734218120574951171875	0.7064329959039017392541381923365406692028045654296875	0.027357443400603913274959921864137868396937847137451171875	0.043997083466141569119134402399140526540577411651611328125	-1.8680635844427615	0.6492023854347757	SUV39H1;KMT2C;NSD1;RBBP7
FGFR4 ligand binding and activation_Homo sapiens_R-HSA-190322	3/14	0.00900359189334620259315133949939990998245775699615478515625	0.7054505078516670746324734864174388349056243896484375	0.00916072040087223538051830473705194890499114990234375	0.043997083466141569119134402399140526540577411651611328125	-1.8589253058800284	0.6486137305334935	KLB;FGF16;FGF20
Signaling by Interleukins_Homo sapiens_R-HSA-449147	18/392	0.07806028578501326975480623104886035434901714324951171875	0.7064329959039017392541381923365406692028045654296875	0.0217476322438402112913191643883692449890077114105224609375	0.043997083466141569119134402399140526540577411651611328125	-1.864488201692132	0.6479598436766248	KLB;SHC1;IL1R1;RASGRF1;DAB2IP;LIF;PIK3CD;PIK3R1;DUSP9;VAV1;IL22RA1;CNKSR2;FGF16;FGF20;TAB3;PTPN6;IL12A;LAT
