Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
EGFR1 Signaling Pathway_Mus musculus_WP572	14/171	0.0011814833014789187515258817029462079517543315887451171875	0.154924994644044300429186478140763938426971435546875	0.001800175820385917398180897208703754586167633533477783203125	0.1691111290516652820858922723346040584146976470947265625	-2.2025139330728605	4.1072792244052145	TGIF1;SH3KBP1;SHC1;KRT7;PIK3CD;PIK3R1;VAV1;RPS6KA3;GRB10;REPS2;PTPN6;RBBP7;BCAR1;PLEC
TGF Beta Signaling Pathway_Mus musculus_WP113	7/52	0.00123939995715235430628897717042491422034800052642822265625	0.154924994644044300429186478140763938426971435546875	0.0022192012980029908464363330722335376776754856109619140625	0.1691111290516652820858922723346040584146976470947265625	-2.142062219432694	3.994548011319292	TGIF1;FOXH1;LEF1;TFE3;LIF;LTBP1;ENG
TGF-beta Receptor Signaling_Homo sapiens_WP560	7/56	0.00192586603502792439064628116085486908559687435626983642578125	0.1604888362523270439741196469185524620115756988525390625	0.0032414644051564863759529178111051805899478495121002197265625	0.1691111290516652820858922723346040584146976470947265625	-2.1263406751374507	3.890205958228351	TGIF1;FOXH1;LEF1;TFE3;LIF;LTBP1;ENG
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	40/808	0.004017029595027261056061629318492123275063931941986083984375	0.1673762331261358926592919260656344704329967498779296875	0.004058667097239967123945003635299144661985337734222412109375	0.1691111290516652820858922723346040584146976470947265625	-2.09459505907376	3.7441119339194895	DDR1;COL18A1;TAGLN;RTKN;SHC1;ITGB4;LAMC3;SH3KBP1;LEF1;PIK3CD;PRKX;PIK3R1;LTBP1;FGD1;PIK3R5;EFNB1;CDH3;CDH1;NSD1;GRB10;PAK3;MYOZ1;UBQLN2;EPHA6;FBXW7;CASK;KRT7;CLDN5;CLDN4;CLDN3;NR4A3;CTTN;RNF128;CLDN7;SNAI1;PTPN6;PPARA;BCAR1;PLEC;ENG
Focal Adhesion_Homo sapiens_WP306	14/191	0.003310737961168572045245195312190844560973346233367919921875	0.165536898058428583180301529864664189517498016357421875	0.004616872395573142114078013520384047296829521656036376953125	0.1691111290516652820858922723346040584146976470947265625	-2.069828488099783	3.722713126601107	SHC1;LAMC3;ITGB4;COL11A2;XIAP;PIK3CD;PIK3R1;ITGAL;VAV1;THBS4;PIK3R5;CHAD;PAK3;BCAR1
Kit receptor signaling pathway_Homo sapiens_WP304	7/59	0.002610184180117440695678698858728239429183304309844970703125	0.1631365112573400499851317135835415683686733245849609375	0.004218812470514165559321018150740201235748827457427978515625	0.1691111290516652820858922723346040584146976470947265625	-2.0346156744264534	3.6890999035636782	RPS6KA3;SHC1;GRB10;SNAI1;PTPN6;PIK3R1;VAV1
Focal Adhesion_Mus musculus_WP85	13/185	0.006462319648028590213240107686942792497575283050537109375	0.2019474890008934320206890333793126046657562255859375	0.0086383613759483911243020060055641806684434413909912109375	0.269948792998387199215670761986984871327877044677734375	-1.9295591650841395	3.0868075870897314	SHC1;LAMC3;ITGB4;COL11A2;PIK3CD;PIK3R1;ITGAL;VAV1;THBS4;PIK3R5;CHAD;PAK3;BCAR1
Kit Receptor Signaling Pathway_Mus musculus_WP407	7/67	0.005352058214303134948963691641665718634612858295440673828125	0.1911449362251119443723013091585016809403896331787109375	0.00791434015212537193828534753947678836993873119354248046875	0.269948792998387199215670761986984871327877044677734375	-1.7675980257022144	2.9248856563635015	FES;SHC1;SH3KBP1;GRB10;PTPN6;PIK3R1;VAV1
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	11/150	0.00865956590931400878308199509092446533031761646270751953125	0.2164891477328502455979020169252180494368076324462890625	0.0115329502966436160671381827569348388351500034332275390625	0.288323757416090398209007616969756782054901123046875	-1.9085429939711356	2.920480847921056	FGF16;FGF20;PIK3CD;PIK3R1;PAK3;FGF13;FGF12;FGD1;VAV1;BCAR1;PIK3R5
Regulation of Actin Cytoskeleton_Mus musculus_WP523	11/148	0.00786304217690495486914326050964518799446523189544677734375	0.2164891477328502455979020169252180494368076324462890625	0.01055840743072446012706944173942247289232909679412841796875	0.288323757416090398209007616969756782054901123046875	-1.8606319216963012	2.8471666132278806	FGF16;FGF20;PIK3CD;PIK3R1;PAK3;FGF13;FGF12;FGD1;VAV1;BCAR1;PIK3R5
EGF/EGFR Signaling Pathway_Homo sapiens_WP437	11/163	0.0154582802699980426108794517858768813312053680419921875	0.3338465169661313236559863071306608617305755615234375	0.0196390971642407576036593042090316885150969028472900390625	0.444439239881882663940615429964964278042316436767578125	-1.8224817006502314	1.999397146491852	RPS6KA3;SH3KBP1;SHC1;NOS3;LIMK2;GRB10;REPS2;FOXO4;PIK3R1;VAV1;BCAR1
IL-3 Signaling Pathway_Homo sapiens_WP286	5/49	0.0194087082042977386586724009021054371260106563568115234375	0.37324438854418728883644007510156370699405670166015625	0.025722436958568330178653837947422289289534091949462890625	0.48706512889205921812418864647042937576770782470703125	-1.8560030198343787	1.829131579299364	SHC1;PIK3CD;PTPN6;PIK3R1;VAV1
Alpha6-Beta4 Integrin Signaling Pathway_Mus musculus_WP488	6/64	0.0160246328143743045624436405205415212549269199371337890625	0.3338465169661313236559863071306608617305755615234375	0.0213330835143303691736615945728772203437983989715576171875	0.444439239881882663940615429964964278042316436767578125	-1.5859844351616688	1.7399421639796806	RTKN;SHC1;ITGB4;PIK3CD;PIK3R1;PLEC
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway_Mus musculus_WP2841	16/303	0.034044565774831662963162415280748973600566387176513671875	0.42555707218539573499782591170514933764934539794921875	0.039879968945883692565956835096585564315319061279296875	0.498499611823546129318884823078406043350696563720703125	-1.842704960088043	1.5743264263426537	PFKFB3;CMC4;LAMC3;NOS3;ITGB4;COL11A2;PIK3CD;PIK3R1;ITGAL;THBS4;PIK3R5;FGF16;CHAD;FGF20;FGF13;FGF12
TCR Signaling Pathway_Homo sapiens_WP69	7/90	0.0247333241408699174013197108479289454407989978790283203125	0.38645818970109246937028046886553056538105010986328125	0.03117216824909178896074735121146659366786479949951171875	0.48706512889205921812418864647042937576770782470703125	-1.6301143943290963	1.5498012557362464	PSTPIP1;SHC1;LHB;NFATC2;PIK3R1;VAV1;LAT
G Protein Signaling Pathways_Mus musculus_WP232	7/88	0.0221718432608996006416557378315701498650014400482177734375	0.38645818970109246937028046886553056538105010986328125	0.0282284488347235539007495930263758054934442043304443359375	0.48706512889205921812418864647042937576770782470703125	-1.566361778818816	1.4891896300012517	AKAP12;ADCY9;GNAL;PDE4B;GNAS;AKAP6;AKAP2
IL-4 Signaling Pathway_Homo sapiens_WP395	5/54	0.0283135125009063882972615289190798648633062839508056640625	0.416375183836858620001208919347845949232578277587890625	0.035989402070577596048917001780864666216075420379638671875	0.498499611823546129318884823078406043350696563720703125	-1.6447649267533888	1.4410912860806777	FES;SHC1;PIK3CD;PTPN6;PIK3R1
G Protein Signaling Pathways_Homo sapiens_WP35	7/95	0.032006285808079439070272798062433139421045780181884765625	0.42555707218539573499782591170514933764934539794921875	0.039415942242065134248907298797348630614578723907470703125	0.498499611823546129318884823078406043350696563720703125	-1.495881375130521	1.2780155426668236	AKAP12;ADCY9;GNAL;PDE4B;GNAS;AKAP6;AKAP2
Ectoderm Differentiation_Homo sapiens_WP2858	9/139	0.0339513514833826024474916494000353850424289703369140625	0.42555707218539573499782591170514933764934539794921875	0.04110037439211529364246899831414339132606983184814453125	0.498499611823546129318884823078406043350696563720703125	-1.3874514773433295	1.1853777861136245	TTC14;EDA;ARX;ROR2;BCOR;TBL1X;HDAC6;WDR44;PHF8
