Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
EGFR1 Signaling Pathway_Mus musculus_WP572	8/171	0.036598149307875450786387006019140244461596012115478515625	0.9113041006141759936554080923087894916534423828125	0.0492409957132784736888453380743158049881458282470703125	0.94527563750768894834664024529047310352325439453125	-2.1216594949407632	0.19705682244064388	RPS6KA3;SH3KBP1;ARAF;GRB10;KRT7;RBBP7;PIK3R1;PLEC
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	25/808	0.057656093521941655100082613216727622784674167633056640625	0.9113041006141759936554080923087894916534423828125	0.0812141732869037513697918484467663802206516265869140625	0.94527563750768894834664024529047310352325439453125	-2.040624098108992	0.18953036598381676	DDR1;FOXC2;COL18A1;RTKN;LAMC3;SH3KBP1;PRKX;PIK3R1;LTBP1;FGD1;EFNB1;PORCN;TSPAN7;GRB10;PAK3;UBQLN2;CASK;KRT7;SORBS3;CLDN4;CLDN3;NR4A3;CTTN;RNF128;PLEC
Fatty Acid Beta Oxidation_Homo sapiens_WP143	3/34	0.03868519022216483638221262708611902780830860137939453125	0.9113041006141759936554080923087894916534423828125	0.050248869097988702048240838848869316279888153076171875	0.94527563750768894834664024529047310352325439453125	-2.038689731553671	0.1893507046725951	GK;ACSL4;CPT1B
TCA Cycle_Mus musculus_WP434	3/30	0.0279884300280329005594648350552233750931918621063232421875	0.9113041006141759936554080923087894916534423828125	0.03764119829169254582978965117945335805416107177734375	0.94527563750768894834664024529047310352325439453125	-2.001608323447925	0.18590663437273433	PDHA1;IDH3G;PDK3
Focal Adhesion_Homo sapiens_WP306	8/191	0.062325526719631339778171508214654750190675258636474609375	0.9113041006141759936554080923087894916534423828125	0.08074187897176744732608000276741222478449344635009765625	0.94527563750768894834664024529047310352325439453125	-1.9640442116014725	0.18241773121182747	COMP;LAMC3;COL11A2;ARAF;XIAP;PIK3R1;PAK3;ITGAL
Ectoderm Differentiation_Homo sapiens_WP2858	8/139	0.0122050986285185507351780387352846446447074413299560546875	0.9113041006141759936554080923087894916534423828125	0.0178355190938091455465919210610081790946424007415771484375	0.94527563750768894834664024529047310352325439453125	-1.848387204453858	0.1716756670984057	MECP2;EDA;ARX;BCOR;TBL1X;HDAC6;WDR44;PHF8
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	6/150	0.1158640112388112097807635336721432395279407501220703125	0.9113041006141759936554080923087894916534423828125	0.1410864475450224475583382854892988689243793487548828125	0.94527563750768894834664024529047310352325439453125	-1.7747147422396394	0.16483306990506216	FGF16;MSN;PIK3R1;PAK3;FGF13;FGD1
Serotonin and anxiety-related events_Mus musculus_WP2140	2/13	0.032357835048110981934765817413790500722825527191162109375	0.9113041006141759936554080923087894916534423828125	0.043956805147011814016710928854081430472433567047119140625	0.94527563750768894834664024529047310352325439453125	-1.7343014270311847	0.1610795366457148	HTR2C;CRHR1
Regulation of Actin Cytoskeleton_Mus musculus_WP523	6/148	0.110569969199813156190970175885013304650783538818359375	0.9113041006141759936554080923087894916534423828125	0.1350850943369193146725848464484442956745624542236328125	0.94527563750768894834664024529047310352325439453125	-1.7289204497046207	0.1605797588556753	FGF16;MSN;PIK3R1;PAK3;FGF13;FGD1
Apoptosis_Mus musculus_WP1254	4/79	0.09760258190799832311856931710281060077250003814697265625	0.9113041006141759936554080923087894916534423828125	0.11779379061807516981819077273030416108667850494384765625	0.94527563750768894834664024529047310352325439453125	-1.7034155112322105	0.15821089516953626	XIAP;TNFRSF25;IRF6;PIK3R1
IL-1 signaling pathway_Homo sapiens_WP195	3/55	0.12170526647632752548222612176687107421457767486572265625	0.9113041006141759936554080923087894916534423828125	0.142851155834953724710345568382763303816318511962890625	0.94527563750768894834664024529047310352325439453125	-1.6283705673909565	0.15124082376606302	IRAK1;TAB3;PIK3R1
NOTCH1 regulation of human endothelial cell calcification_Homo sapiens_WP3413	2/17	0.05325419904446455909852176091590081341564655303955078125	0.9113041006141759936554080923087894916534423828125	0.06753268312468641010326564355636946856975555419921875	0.94527563750768894834664024529047310352325439453125	-1.6200707713379845	0.15046995009806677	SOX6;SAT1
Serotonin and anxiety_Mus musculus_WP2141	2/17	0.05325419904446455909852176091590081341564655303955078125	0.9113041006141759936554080923087894916534423828125	0.06753268312468641010326564355636946856975555419921875	0.94527563750768894834664024529047310352325439453125	-1.5709812163736776	0.14591057959617493	FMR1;HTR2C
Apoptosis_Homo sapiens_WP254	4/86	0.1228686384122239794169928472911124117672443389892578125	0.9113041006141759936554080923087894916534423828125	0.145796754648365334272597237941226921975612640380859375	0.94527563750768894834664024529047310352325439453125	-1.5694395830206616	0.14576739480585477	XIAP;TNFRSF25;IRF6;PIK3R1
Kit receptor signaling pathway_Homo sapiens_WP304	3/59	0.1417233174828111674781183637605863623321056365966796875	0.9113041006141759936554080923087894916534423828125	0.164462600534913072625187169251148588955402374267578125	0.94527563750768894834664024529047310352325439453125	-1.5015859695815543	0.13946524430182228	RPS6KA3;GRB10;PIK3R1
EGF/EGFR Signaling Pathway_Homo sapiens_WP437	6/163	0.1532281479729226958408361269903252832591533660888671875	0.9113041006141759936554080923087894916534423828125	0.1829584612100072782414628136393730528652667999267578125	0.94527563750768894834664024529047310352325439453125	-1.4605819163496359	0.1356568441054965	RPS6KA3;SH3KBP1;LIMK2;GRB10;FOXO4;PIK3R1
Apoptosis Modulation and Signaling_Homo sapiens_WP1772	4/93	0.1505968357276789848508968816531705670058727264404296875	0.9113041006141759936554080923087894916534423828125	0.176122799972629751064090442014276050031185150146484375	0.94527563750768894834664024529047310352325439453125	-1.4284288597942092	0.13267051233469387	IRAK1;AIFM1;XIAP;TNFRSF25
Nucleotide Metabolism_Mus musculus_WP87	2/19	0.0650653384163739911816293215451878495514392852783203125	0.9113041006141759936554080923087894916534423828125	0.08056582758811926814335180324633256532251834869384765625	0.94527563750768894834664024529047310352325439453125	-1.4210062486722412	0.13198111039937133	PRPS2;SAT1
Imatinib Resistance in Chronic Myeloid Leukemia_Homo sapiens_WP2946	3/50	0.09831822702091268240121024746258626691997051239013671875	0.9113041006141759936554080923087894916534423828125	0.11734043316032928550018965552226291038095951080322265625	0.94527563750768894834664024529047310352325439453125	-1.3764237876470538	0.12784035259768053	LYL1;PIM2;SLC7A3
mRNA processing_Mus musculus_WP310	12/398	0.173270855552836611224165608291514217853546142578125	0.9113041006141759936554080923087894916534423828125	0.215425441291965447110356990378932096064090728759765625	0.94527563750768894834664024529047310352325439453125	-1.3483793559542163	0.12523562426605042	ENOX2;ZRSR2;SLC6A8;RBMX2;FMR1;CSTF2;HNRNPH2;SMC1A;HTATSF1;RPL39;ELAVL2;RBM10
Nucleotide Metabolism_Homo sapiens_WP404	2/19	0.0650653384163739911816293215451878495514392852783203125	0.9113041006141759936554080923087894916534423828125	0.08056582758811926814335180324633256532251834869384765625	0.94527563750768894834664024529047310352325439453125	-1.3171758364756696	0.12233748419594516	PRPS2;SAT1
Endochondral Ossification_Mus musculus_WP1270	3/59	0.1417233174828111674781183637605863623321056365966796875	0.9113041006141759936554080923087894916534423828125	0.164462600534913072625187169251148588955402374267578125	0.94527563750768894834664024529047310352325439453125	-1.3027292640126236	0.12099570636990156	ADAMTS4;ADAMTS5;SOX6
Proteasome Degradation_Mus musculus_WP519	3/56	0.12660757625714558205487492159591056406497955322265625	0.9113041006141759936554080923087894916534423828125	0.148161100022788094765502364680287428200244903564453125	0.94527563750768894834664024529047310352325439453125	-1.300338329111245	0.12077363961722443	PSMD10;UBA1;UBE2A
Metapathway biotransformation_Mus musculus_WP1251	5/132	0.168429190143843776628074238033150322735309600830078125	0.9113041006141759936554080923087894916534423828125	0.1976931446964538541255507198002305813133716583251953125	0.94527563750768894834664024529047310352325439453125	-1.2127227119814157	0.11263602132882786	NDST1;CHST7;CYP26C1;HS6ST2;GAL3ST4
BDNF signaling pathway_Homo sapiens_WP2380	5/144	0.2140801683138796318583985112127265892922878265380859375	0.9113041006141759936554080923087894916534423828125	0.2471269682577532933454023122976650483906269073486328125	0.94527563750768894834664024529047310352325439453125	-1.1962673682126985	0.11110767158045205	RPS6KA3;CDKL5;BDNF;PIK3R1;GRIA3
Regulation of toll-like receptor signaling pathway_Homo sapiens_WP1449	5/141	0.2023077596130153643638749372257734648883342742919921875	0.9113041006141759936554080923087894916534423828125	0.23445491754825120711558383845840580761432647705078125	0.94527563750768894834664024529047310352325439453125	-1.1397065781156348	0.10585438301183996	OTUD5;IRAK1;TAB3;IL12A;PIK3R1
PodNet: protein-protein interactions in the podocyte_Mus musculus_WP2310	9/305	0.23473935139240442726560331720975227653980255126953125	0.9113041006141759936554080923087894916534423828125	0.279199537851279211420063575133099220693111419677734375	0.94527563750768894834664024529047310352325439453125	-1.10761737387599	0.10287398175650572	DDR1;COL18A1;FOXC2;EFNB1;CTTN;SH3KBP1;KRT7;CASK;PIK3R1
Focal Adhesion_Mus musculus_WP85	6/185	0.2265090419381474429183498386919382028281688690185546875	0.9113041006141759936554080923087894916534423828125	0.263132089161064064430917142090038396418094635009765625	0.94527563750768894834664024529047310352325439453125	-1.095726537445832	0.10176957718608534	LAMC3;COL11A2;ARAF;PIK3R1;PAK3;ITGAL
Alpha6-Beta4 Integrin Signaling Pathway_Mus musculus_WP488	3/64	0.16814150167490538034797964428435079753398895263671875	0.9113041006141759936554080923087894916534423828125	0.1927255382065680422432052409931202419102191925048828125	0.94527563750768894834664024529047310352325439453125	-1.0544968346046513	0.09794021896369919	RTKN;PIK3R1;PLEC
Endochondral Ossification_Homo sapiens_WP474	3/64	0.16814150167490538034797964428435079753398895263671875	0.9113041006141759936554080923087894916534423828125	0.1927255382065680422432052409931202419102191925048828125	0.94527563750768894834664024529047310352325439453125	-1.0387165904940119	0.09647457154515944	ADAMTS4;ADAMTS5;SOX6
ESC Pluripotency Pathways_Mus musculus_WP339	4/117	0.259588117329958567580661110696382820606231689453125	0.9113041006141759936554080923087894916534423828125	0.2924309187083526939687772028264589607715606689453125	0.94527563750768894834664024529047310352325439453125	-1.0327740314605511	0.09592263481681443	FGF16;WNT7B;ARAF;FGF13
Signaling Pathways in Glioblastoma_Homo sapiens_WP2261	3/83	0.27796127474881948682394749994273297488689422607421875	0.9113041006141759936554080923087894916534423828125	0.30790852228635634535436338410363532602787017822265625	0.94527563750768894834664024529047310352325439453125	-0.9399844992165584	0.08730447039252476	ARAF;FOXO4;PIK3R1
Kit Receptor Signaling Pathway_Mus musculus_WP407	3/67	0.18462749074746842570249327764031477272510528564453125	0.9113041006141759936554080923087894916534423828125	0.210235004702227612494169761703233234584331512451171875	0.94527563750768894834664024529047310352325439453125	-0.9273208326409708	0.08612828641871384	SH3KBP1;GRB10;PIK3R1
Parkin-Ubiquitin Proteasomal System pathway_Homo sapiens_WP2359	3/70	0.2015160696337781331965999243038822896778583526611328125	0.9113041006141759936554080923087894916534423828125	0.2280821107137325498559476955051650293171405792236328125	0.94527563750768894834664024529047310352325439453125	-0.8812189496306481	0.0818464067880721	PSMD10;CASK;UBA1
Fatty Acid Beta Oxidation_Mus musculus_WP1269	2/33	0.1648754996703341857422486782525083981454372406005859375	0.9113041006141759936554080923087894916534423828125	0.186955690720955247652312891659676097333431243896484375	0.94527563750768894834664024529047310352325439453125	-0.7359676134443837	0.0683556620043894	ACSL4;CPT1B
Cytoplasmic Ribosomal Proteins_Homo sapiens_WP477	3/89	0.31421895989252901504329429371864534914493560791015625	0.9113041006141759936554080923087894916534423828125	0.345303539484169086382081559349899180233478546142578125	0.94527563750768894834664024529047310352325439453125	-0.3789546536403587	0.035196788209197916	RPS4X;RPS6KA3;RPL39
G13 Signaling Pathway_Mus musculus_WP298	2/35	0.1807092111187548477690967274611466564238071441650390625	0.9113041006141759936554080923087894916534423828125	0.20347524937178873560839065248728729784488677978515625	0.94527563750768894834664024529047310352325439453125	-0.3651178522964865	0.03391164508794414	RTKN;PAK3
Structural Pathway of Interleukin 1 (IL-1)_Homo sapiens_WP2637	2/47	0.278626797208807897021642929757945239543914794921875	0.9113041006141759936554080923087894916534423828125	0.304389819767976022024669191523571498692035675048828125	0.94527563750768894834664024529047310352325439453125	-0.34797915784833355	0.03231982666619102	IRAK1;TAB3
Metapathway biotransformation_Homo sapiens_WP702	5/178	0.35799928030014449564788492352818138897418975830078125	0.9113041006141759936554080923087894916534423828125	0.398595932149440390634964614946511574089527130126953125	0.94527563750768894834664024529047310352325439453125	-0.346663281505871	0.03219760987721578	NDST1;CHST7;CYP26C1;HS6ST2;GAL3ST4
G13 Signaling Pathway_Homo sapiens_WP524	2/40	0.22112411461824976743884008101304061710834503173828125	0.9113041006141759936554080923087894916534423828125	0.2453610876011213803860044890825520269572734832763671875	0.94527563750768894834664024529047310352325439453125	-0.3110311767704299	0.028888148885580892	RTKN;PAK3
TGF-beta Signaling Pathway_Homo sapiens_WP366	4/132	0.3339273087213407986695301588042639195919036865234375	0.9113041006141759936554080923087894916534423828125	0.3698075562999962873078629854717291891574859619140625	0.94527563750768894834664024529047310352325439453125	-0.2945624045939834	0.02735855192512233	CITED1;LIMK2;PIK3R1;PJA1
Heart Development_Homo sapiens_WP1591	2/47	0.278626797208807897021642929757945239543914794921875	0.9113041006141759936554080923087894916534423828125	0.304389819767976022024669191523571498692035675048828125	0.94527563750768894834664024529047310352325439453125	-0.21205018376163057	0.019694930081694473	TBX1;FOXC2
Retinoblastoma (RB) in Cancer_Homo sapiens_WP2446	3/90	0.32028055814762035335974132976843975484371185302734375	0.9113041006141759936554080923087894916534423828125	0.351529296831834814351935847298591397702693939208984375	0.94527563750768894834664024529047310352325439453125	-0.1965609746284879	0.018256313592491566	SUV39H1;RBBP7;SMC1A
Electron Transport Chain_Mus musculus_WP295	3/93	0.33846573862935735999002417884184978902339935302734375	0.9113041006141759936554080923087894916534423828125	0.370164325467362387289682601476670242846012115478515625	0.94527563750768894834664024529047310352325439453125	-0.15405550815005495	0.01430846419414541	NDUFA1;SLC25A5;SLC25A14
Mecp2 and Associated Rett Syndrome_Mus musculus_WP2910	2/46	0.27039867937598616176586574511020444333553314208984375	0.9113041006141759936554080923087894916534423828125	0.295978982571060811324059613980352878570556640625	0.94527563750768894834664024529047310352325439453125	-0.1304474922516721	0.012115784073628044	MECP2;BDNF
Hematopoietic Stem Cell Differentiation_Homo sapiens_WP2849	2/47	0.278626797208807897021642929757945239543914794921875	0.9113041006141759936554080923087894916534423828125	0.304389819767976022024669191523571498692035675048828125	0.94527563750768894834664024529047310352325439453125	-0.09803364656632245	0.009105230566306308	LYL1;CBFA2T3
Glycolysis and Gluconeogenesis_Mus musculus_WP157	2/48	0.2868483977554838748602605846826918423175811767578125	0.9113041006141759936554080923087894916534423828125	0.312783033102324470320354521390981972217559814453125	0.94527563750768894834664024529047310352325439453125	-0.09210849420370307	0.008554910545662727	PDHA1;PGK1
Glycolysis and Gluconeogenesis_Homo sapiens_WP534	2/49	0.2950597579190004093874222235172055661678314208984375	0.9113041006141759936554080923087894916534423828125	0.32115513932504702321324430158711038529872894287109375	0.94527563750768894834664024529047310352325439453125	-0.0876794862162475	0.008143550361498685	PDHA1;PGK1
Mecp2 and Associated Rett Syndrome_Homo sapiens_WP3584	2/48	0.2868483977554838748602605846826918423175811767578125	0.9113041006141759936554080923087894916534423828125	0.312783033102324470320354521390981972217559814453125	0.94527563750768894834664024529047310352325439453125	-0.030462016035594574	0.002829270247852756	MECP2;BDNF
Integrin-mediated Cell Adhesion_Mus musculus_WP6	3/99	0.37470776435843322627050611117738299071788787841796875	0.9113041006141759936554080923087894916534423828125	0.4071192514416870356086519677774049341678619384765625	0.94527563750768894834664024529047310352325439453125	0.10509425450654099	-0.009761010142867198	ARAF;PAK3;ITGAL
Neural Crest Differentiation_Homo sapiens_WP2064	3/101	0.386710957840986024880436389139504171907901763916015625	0.9113041006141759936554080923087894916534423828125	0.419306565538199060849677834994508884847164154052734375	0.94527563750768894834664024529047310352325439453125	0.13649272614741384	-0.012677257102286019	TLX2;COL11A2;HDAC6
TGF Beta Signaling Pathway_Mus musculus_WP113	2/52	0.3195976379792904165100253521814011037349700927734375	0.9113041006141759936554080923087894916534423828125	0.3461124129427195494912439244217239320278167724609375	0.94527563750768894834664024529047310352325439453125	0.14235603453138937	-0.013221833139058623	TFE3;LTBP1
Integrin-mediated Cell Adhesion_Homo sapiens_WP185	3/101	0.386710957840986024880436389139504171907901763916015625	0.9113041006141759936554080923087894916534423828125	0.419306565538199060849677834994508884847164154052734375	0.94527563750768894834664024529047310352325439453125	0.14256375990060877	-0.013241126386300366	ARAF;PAK3;ITGAL
Copper homeostasis_Homo sapiens_WP3286	2/54	0.33584403216831038019307698050397448241710662841796875	0.9113041006141759936554080923087894916534423828125	0.36258833857789174448527091954019851982593536376953125	0.94527563750768894834664024529047310352325439453125	0.17063991953718083	-0.015848801565805842	XIAP;ATP7A
Toll-like Receptor Signaling Pathway_Homo sapiens_WP75	3/102	0.392692419668152492562285260646604001522064208984375	0.9113041006141759936554080923087894916534423828125	0.42537036105115710871160672468249686062335968017578125	0.94527563750768894834664024529047310352325439453125	0.20663080854636548	-0.019191585948443942	IRAK1;IL12A;PIK3R1
TGF-beta Receptor Signaling_Homo sapiens_WP560	2/56	0.35197352419048655303157602247665636241436004638671875	0.9113041006141759936554080923087894916534423828125	0.37890940987117061045097443638951517641544342041015625	0.94527563750768894834664024529047310352325439453125	0.21843473514976536	-0.020287918453417132	TFE3;LTBP1
Electron Transport Chain_Homo sapiens_WP111	3/103	0.39865890528323133512600406902492977678775787353515625	0.9113041006141759936554080923087894916534423828125	0.4314127923443564771588398798485286533832550048828125	0.94527563750768894834664024529047310352325439453125	0.299089655987269	-0.027779036822005252	NDUFA1;SLC25A5;SLC25A14
