Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ectoderm Differentiation_Homo sapiens_WP2858	6/139	0.00177788931711170793137366530345389037393033504486083984375	0.1813447103453942055306669089986826293170452117919921875	0.00144113926427005107321066557091171489446423947811126708984375	0.14699620495554521770742439912282861769199371337890625	-1.848387204453858	3.1558542110129775	EDA;ARX;ROR2;BCOR;WDR44;PHF8
EGFR1 Signaling Pathway_Mus musculus_WP572	4/171	0.07230954765155013508337589200891670770943164825439453125	0.72445991864456527054016987676732242107391357421875	0.06355170477166594000806298936367966234683990478515625	0.68178681925315876011239879517233930528163909912109375	-2.148610974318129	0.6925592862583205	RPS6KA3;SH3KBP1;RBBP7;PLEC
Circadian rythm related genes_Homo sapiens_WP3594	4/200	0.11172007851317884707942340583031182177364826202392578125	0.72445991864456527054016987676732242107391357421875	0.09855748084627595495543772585733677260577678680419921875	0.68178681925315876011239879517233930528163909912109375	-1.9573749034045207	0.6309183850613017	RAI1;CLDN4;SUV39H1;SOX14
Retinoblastoma (RB) in Cancer_Homo sapiens_WP2446	3/90	0.049659500695336318554229393384957802481949329376220703125	0.72445991864456527054016987676732242107391357421875	0.045839592092250656951701870411852723918855190277099609375	0.68178681925315876011239879517233930528163909912109375	-1.9251018359331364	0.6205158446105151	CCNE2;SUV39H1;RBBP7
Metapathway biotransformation_Mus musculus_WP1251	3/132	0.120831508276498078569005656390800140798091888427734375	0.72445991864456527054016987676732242107391357421875	0.11051699564513760287720600672400905750691890716552734375	0.68178681925315876011239879517233930528163909912109375	-1.7746499220525462	0.572020853502873	NDST1;CHST7;HS6ST2
Imatinib Resistance in Chronic Myeloid Leukemia_Homo sapiens_WP2946	2/50	0.07667380607678385417980138072380213998258113861083984375	0.72445991864456527054016987676732242107391357421875	0.0738556600401153173773849403005442582070827484130859375	0.68178681925315876011239879517233930528163909912109375	-1.6842891708069003	0.542894977233759	LYL1;PIM2
Alpha6-Beta4 Integrin Signaling Pathway_Mus musculus_WP488	2/64	0.116334606001633533711725476678111590445041656494140625	0.72445991864456527054016987676732242107391357421875	0.11082578849386492958473127146135084331035614013671875	0.68178681925315876011239879517233930528163909912109375	-1.6797763646717307	0.5414403696601442	RTKN;PLEC
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	10/808	0.206891654472259489683239053192664869129657745361328125	0.72445991864456527054016987676732242107391357421875	0.16043527314287364671230307067162357270717620849609375	0.68178681925315876011239879517233930528163909912109375	-1.6358418908732288	0.5272790216172851	CLDN4;RTKN;EFNB3;SH3KBP1;CLDN7;CASK;PRKX;FGD1;UBQLN2;PLEC
Metapathway biotransformation_Homo sapiens_WP702	3/178	0.223189985609321517312508831309969536960124969482421875	0.72445991864456527054016987676732242107391357421875	0.2051071607152936959739264466406893916428089141845703125	0.68178681925315876011239879517233930528163909912109375	-1.5804680707391168	0.5094304423221675	NDST1;CHST7;HS6ST2
Corticotropin-releasing hormone_Homo sapiens_WP2355	2/92	0.20589669998521931137958063118276186287403106689453125	0.72445991864456527054016987676732242107391357421875	0.1947430357169910586367933547080610878765583038330078125	0.68178681925315876011239879517233930528163909912109375	-1.3150499496652432	0.4238785268344037	GNAS;CRHR1
Regulation of toll-like receptor signaling pathway_Homo sapiens_WP1449	2/141	0.3705099560733433605719255865551531314849853515625	0.72445991864456527054016987676732242107391357421875	0.351551951215878677459159007412381470203399658203125	0.68178681925315876011239879517233930528163909912109375	-1.1933247858669238	0.3846429958018049	OTUD5;IL12A
Estrogen signaling pathway_Homo sapiens_WP712	1/23	0.190659553792271563299465242380392737686634063720703125	0.72445991864456527054016987676732242107391357421875	0.1883449127486549190546583076866227202117443084716796875	0.68178681925315876011239879517233930528163909912109375	-1.1260206315858736	0.36294892572199594	GNAS
Serotonin and anxiety-related events_Mus musculus_WP2140	1/13	0.11266577908622378567660149428775184787809848785400390625	0.72445991864456527054016987676732242107391357421875	0.11452237125438381737385640235515893436968326568603515625	0.68178681925315876011239879517233930528163909912109375	-1.1237285353944149	0.3622101170119195	CRHR1
NOTCH1 regulation of human endothelial cell calcification_Homo sapiens_WP3413	1/17	0.14472210680027963736193896693293936550617218017578125	0.72445991864456527054016987676732242107391357421875	0.144809720060661450968808594552683643996715545654296875	0.68178681925315876011239879517233930528163909912109375	-1.1089057468396437	0.35743230474876275	SOX6
Regulation of Actin Cytoskeleton_Mus musculus_WP523	2/148	0.393272748239469727149497657592291943728923797607421875	0.72445991864456527054016987676732242107391357421875	0.3735391077467060672034904200700111687183380126953125	0.68178681925315876011239879517233930528163909912109375	-1.044020795347881	0.3365180135014597	FGF16;FGD1
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	2/150	0.3997093736417458575971295431372709572315216064453125	0.72445991864456527054016987676732242107391357421875	0.379770738721677159066558715494466014206409454345703125	0.68178681925315876011239879517233930528163909912109375	-1.0252765325432616	0.3304761969862456	FGF16;FGD1
Calcium Regulation in the Cardiac Cell_Homo sapiens_WP536	2/149	0.3964949642980155619653714893502183258533477783203125	0.72445991864456527054016987676732242107391357421875	0.37665790540898880234266243860474787652492523193359375	0.68178681925315876011239879517233930528163909912109375	-0.9605660633217111	0.30961814640696816	GNAS;ATP2B3
Interactome of polycomb repressive complex 2 (PRC2) _Homo sapiens_WP2916	1/16	0.1368176648676523721182007875540875829756259918212890625	0.72445991864456527054016987676732242107391357421875	0.1373345318678542981150059176798094995319843292236328125	0.68178681925315876011239879517233930528163909912109375	-0.9528781008890711	0.30714009438230155	RBBP7
Small Ligand GPCRs_Homo sapiens_WP247	1/19	0.1603156679107964333041991267236880958080291748046875	0.72445991864456527054016987676732242107391357421875	0.1595700087276934187041632640102761797606945037841796875	0.68178681925315876011239879517233930528163909912109375	-0.9156000012566755	0.29512428771321775	GPR50
Calcium Regulation in the Cardiac Cell_Mus musculus_WP553	2/150	0.3997093736417458575971295431372709572315216064453125	0.72445991864456527054016987676732242107391357421875	0.379770738721677159066558715494466014206409454345703125	0.68178681925315876011239879517233930528163909912109375	-0.9132539577977011	0.29436809024289906	GNAS;ATP2B3
Serotonin Receptor 4/6/7 and NR3C Signaling_Homo sapiens_WP734	1/19	0.1603156679107964333041991267236880958080291748046875	0.72445991864456527054016987676732242107391357421875	0.1595700087276934187041632640102761797606945037841796875	0.68178681925315876011239879517233930528163909912109375	-0.909585154347274	0.2931855290769085	GNAS
Serotonin and anxiety_Mus musculus_WP2141	1/17	0.14472210680027963736193896693293936550617218017578125	0.72445991864456527054016987676732242107391357421875	0.144809720060661450968808594552683643996715545654296875	0.68178681925315876011239879517233930528163909912109375	-0.9091045360351266	0.2930306119331342	FMR1
Mismatch repair_Mus musculus_WP1257	1/9	0.07941477049231630835901540876875515095889568328857421875	0.72445991864456527054016987676732242107391357421875	0.08318371016268931439352485313065699301660060882568359375	0.68178681925315876011239879517233930528163909912109375	-0.9018360242957962	0.29068776096452253	LIG1
Myometrial Relaxation and Contraction Pathways_Homo sapiens_WP289	2/156	0.418824980105673205788008317540516145527362823486328125	0.72445991864456527054016987676732242107391357421875	0.39831541940365078335872794923488982021808624267578125	0.68178681925315876011239879517233930528163909912109375	-0.8607656482410915	0.27744959422946064	GNAS;CRHR1
Urea cycle and metabolism of amino groups_Homo sapiens_WP497	1/20	0.16800608544336970151533705575275234878063201904296875	0.72445991864456527054016987676732242107391357421875	0.1668561640362369591361613174740341491997241973876953125	0.68178681925315876011239879517233930528163909912109375	-0.8496724549726951	0.2738739380943502	SMS
Myometrial Relaxation and Contraction Pathways_Mus musculus_WP385	2/151	0.402915849231117728646012210447224788367748260498046875	0.72445991864456527054016987676732242107391357421875	0.38287747825690321423763862185296602547168731689453125	0.68178681925315876011239879517233930528163909912109375	-0.8475330951060888	0.27318436070692353	GNAS;CRHR1
TGF Beta Signaling Pathway_Mus musculus_WP113	1/52	0.38035184887313666646235787993646226823329925537109375	0.72445991864456527054016987676732242107391357421875	0.36995057966076971833757625063299201428890228271484375	0.68178681925315876011239879517233930528163909912109375	-0.8313304343713346	0.26796177584252845	TFE3
GPCRs, Class B Secretin-like_Homo sapiens_WP334	1/23	0.190659553792271563299465242380392737686634063720703125	0.72445991864456527054016987676732242107391357421875	0.1883449127486549190546583076866227202117443084716796875	0.68178681925315876011239879517233930528163909912109375	-0.7933339460465814	0.25571441177846616	CRHR1
Aryl Hydrocarbon Receptor Pathway_Homo sapiens_WP2873	1/46	0.3451283780407063961348512748372741043567657470703125	0.72445991864456527054016987676732242107391357421875	0.33598698121175785136216518367291428148746490478515625	0.68178681925315876011239879517233930528163909912109375	-0.7885157503312237	0.2541613683352528	IL12A
Mismatch repair_Homo sapiens_WP531	1/9	0.07941477049231630835901540876875515095889568328857421875	0.72445991864456527054016987676732242107391357421875	0.08318371016268931439352485313065699301660060882568359375	0.68178681925315876011239879517233930528163909912109375	-0.7634228486416585	0.246073202402939	LIG1
Globo Sphingolipid Metabolism_Homo sapiens_WP1424	1/22	0.1831773965979823504124368582779425196349620819091796875	0.72445991864456527054016987676732242107391357421875	0.181243101456245059299732247382053174078464508056640625	0.68178681925315876011239879517233930528163909912109375	-0.7573283601174077	0.24410877297717748	ST6GALNAC2
GPCRs, Class B Secretin-like_Mus musculus_WP456	1/22	0.1831773965979823504124368582779425196349620819091796875	0.72445991864456527054016987676732242107391357421875	0.181243101456245059299732247382053174078464508056640625	0.68178681925315876011239879517233930528163909912109375	-0.7249340504999289	0.23366715268589508	CRHR1
Oxidation by Cytochrome P450_Mus musculus_WP1274	1/39	0.301510544436428273851191761423251591622829437255859375	0.72445991864456527054016987676732242107391357421875	0.29408918407287865104393631554557941854000091552734375	0.68178681925315876011239879517233930528163909912109375	-0.7143679798416382	0.23026140337104622	CYB5B
G13 Signaling Pathway_Homo sapiens_WP524	1/40	0.307914210090963369470529187310603447258472442626953125	0.72445991864456527054016987676732242107391357421875	0.3002295926449221052934035469661466777324676513671875	0.68178681925315876011239879517233930528163909912109375	-0.7099286609785062	0.22883048286469462	RTKN
Gastric Cancer Network 2_Homo sapiens_WP2363	1/31	0.2481140216076367088771092994647915475070476531982421875	0.72445991864456527054016987676732242107391357421875	0.2430259057124044830278108975107898004353046417236328125	0.68178681925315876011239879517233930528163909912109375	-0.7094224693867266	0.22866732271532228	OTUD5
Endothelin Pathways_Homo sapiens_WP2197	1/34	0.268597491170225521894820985835394822061061859130859375	0.72445991864456527054016987676732242107391357421875	0.262585628072313392866732328911894001066684722900390625	0.68178681925315876011239879517233930528163909912109375	-0.6998490866725667	0.22558154535550945	GNAS
Splicing factor NOVA regulated synpatic proteins_Mus musculus_WP1983	1/42	0.3205469005474952393086596202920190989971160888671875	0.72445991864456527054016987676732242107391357421875	0.312353665200560459691558889971929602324962615966796875	0.68178681925315876011239879517233930528163909912109375	-0.6961917118216956	0.22440266795677405	CASK
TCA Cycle_Mus musculus_WP434	1/30	0.2411602067698478124579963832729845307767391204833984375	0.72445991864456527054016987676732242107391357421875	0.236393613732920948589111276305629871785640716552734375	0.68178681925315876011239879517233930528163909912109375	-0.6950889585554454	0.22404721877396624	PDK3
