Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
EGFR1 Signaling Pathway_Mus musculus_WP572	10/171	0.000162715802006757463173125533018037458532489836215972900390625	0.0260345283210811941077000852828859933651983737945556640625	0.00022028004677252300039756727212392206638469360768795013427734375	0.035244807483603680930972501528231077827513217926025390625	-2.2025139330728605	8.035501202701914	RPS6KA3;SH3KBP1;SHC1;CAMK2A;ARAF;REPS2;PIK3CD;RBBP7;PRKCZ;PLEC
EGF/EGFR Signaling Pathway_Homo sapiens_WP437	8/163	0.00223934511309734941841842470466872327961027622222900390625	0.1791476090477879534734739763734978623688220977783203125	0.002803885996298382220215383853201274177990853786468505859375	0.224310879703870591495018516070558689534664154052734375	-2.0551315619863284	3.5338915745798416	RPS6KA3;SH3KBP1;SHC1;LIMK2;CAMK2A;REPS2;FOXO4;PRKCZ
Ectoderm Differentiation_Homo sapiens_WP2858	7/139	0.0036144188460023492226458330378591199405491352081298828125	0.19276900512012529187444442868581973016262054443359375	0.004509560056253194941511264204336839611642062664031982421875	0.240509869666837072799125962774269282817840576171875	-1.7971721236637994	2.9586173815457446	ARHGEF9;EDA;BCOR;TBL1X;HDAC6;WDR44;PHF8
TCA Cycle_Mus musculus_WP434	3/30	0.00849890766931522302629620213565431185998022556304931640625	0.33995630677260890717406027761171571910381317138671875	0.011116181907917944970964896356235840357840061187744140625	0.444647276316717798838595854249433614313602447509765625	-1.887997943892057	2.0370330637695595	PDHA1;IDH3G;PDK3
AGE/RAGE pathway_Homo sapiens_WP2324	4/66	0.0140770713351830757675831051756176748313009738922119140625	0.375388568938215316794781983844586648046970367431640625	0.0171159029594296907550443620493751950562000274658203125	0.456424078918125086801182987983338534832000732421875	-1.8885040092106977	1.8503441524584572	SHC1;MSN;FOXO4;PRKCZ
Alpha6-Beta4 Integrin Signaling Pathway_Mus musculus_WP488	4/64	0.01268284779478879263636681429261443554423749446868896484375	0.375388568938215316794781983844586648046970367431640625	0.01552954708749309901960611313143090228550136089324951171875	0.456424078918125086801182987983338534832000732421875	-1.8048322706851467	1.768363118077972	RTKN;SHC1;PIK3CD;PLEC
Signaling Pathways in Glioblastoma_Homo sapiens_WP2261	4/83	0.0298650300184941548675698896886387956328690052032470703125	0.434400436632642217293920339216128922998905181884765625	0.03469715344535297119055172743173898197710514068603515625	0.50468586829604322741005262287217192351818084716796875	-1.966061284630061	1.639279299689132	ARAF;PIK3CD;FOXO4;PRKCZ
Nucleotide Metabolism_Mus musculus_WP87	2/19	0.028927833554833283502549790000557550229132175445556640625	0.434400436632642217293920339216128922998905181884765625	0.035189420654570389979109990008510067127645015716552734375	0.50468586829604322741005262287217192351818084716796875	-1.6271236187813964	1.3566769699172943	PRPS2;SAT1
Nucleotide Metabolism_Homo sapiens_WP404	2/19	0.028927833554833283502549790000557550229132175445556640625	0.434400436632642217293920339216128922998905181884765625	0.035189420654570389979109990008510067127645015716552734375	0.50468586829604322741005262287217192351818084716796875	-1.5225862970302135	1.2695149526743266	PRPS2;SAT1
TCA Cycle and PDHc_Homo sapiens_WP2453	2/16	0.0208692371279446120535538966578315012156963348388671875	0.434400436632642217293920339216128922998905181884765625	0.026349927564996711293332509740139357745647430419921875	0.50468586829604322741005262287217192351818084716796875	-1.3546720659986273	1.1295099969767777	PDHA1;PCK1
Small Ligand GPCRs_Homo sapiens_WP247	2/19	0.028927833554833283502549790000557550229132175445556640625	0.434400436632642217293920339216128922998905181884765625	0.035189420654570389979109990008510067127645015716552734375	0.50468586829604322741005262287217192351818084716796875	-1.2385030179411645	1.03264958004373	GPR50;S1PR4
Type II diabetes mellitus_Homo sapiens_WP1584	2/22	0.0380162805729313546532210921213845722377300262451171875	0.5068837409724180620429478949517942965030670166015625	0.045003540486247085861126748795868479646742343902587890625	0.6000472064832944596446395735256373882293701171875	-1.2407248776082251	0.843039810901412	GK;PRKCZ
ESC Pluripotency Pathways_Mus musculus_WP339	4/117	0.08385561572173709510291672586390632204711437225341796875	0.647709418747878462596645476878620684146881103515625	0.09273510266748115349333403401033137924969196319580078125	0.686465567499719764299470625701360404491424560546875	-1.7677510724164527	0.7677574678442253	FGF16;ARAF;LIF;PIK3CD
PluriNetWork_Mus musculus_WP1763	7/284	0.1081512675414350310720834613675833679735660552978515625	0.647709418747878462596645476878620684146881103515625	0.118559441253801522986321970165590755641460418701171875	0.686465567499719764299470625701360404491424560546875	-1.7139670107122793	0.7443983446799398	MED12;ZIC3;TFE3;LIF;PIK3CD;RBBP7;ZFX
Insulin Signaling_Homo sapiens_WP481	5/160	0.07649518856381183617987318257291917689144611358642578125	0.647709418747878462596645476878620684146881103515625	0.084844814822769176743122443440370261669158935546875	0.686465567499719764299470625701360404491424560546875	-1.7102633546701134	0.7427897983019635	RPS6KA3;SHC1;IRS4;PIK3CD;PRKCZ
Focal Adhesion_Homo sapiens_WP306	5/191	0.133742513733306200851558287467923946678638458251953125	0.647709418747878462596645476878620684146881103515625	0.145507918328335150714991641507367603480815887451171875	0.686465567499719764299470625701360404491424560546875	-1.6202453129819623	0.7036937825646814	SHC1;ARAF;XIAP;PIK3CD;ITGAL
PodNet: protein-protein interactions in the podocyte_Mus musculus_WP2310	7/305	0.14125294888407957660803049293463118374347686767578125	0.647709418747878462596645476878620684146881103515625	0.1538078833109724763428260985165252350270748138427734375	0.686465567499719764299470625701360404491424560546875	-1.5297163343960023	0.6643758602337557	EFNB1;CTTN;SH3KBP1;SHC1;CAMK2A;CASK;PIK3CD
BDNF signaling pathway_Homo sapiens_WP2380	4/144	0.1464817994688038249595507522826665081083774566650390625	0.647709418747878462596645476878620684146881103515625	0.1585614990235615084923637141400831751525402069091796875	0.686465567499719764299470625701360404491424560546875	-1.502289253104319	0.6524639192306168	RPS6KA3;CDKL5;SHC1;CAMK2A
