Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	4/98	0.005254492734250856660060957636915190960280597209930419921875	0.369027275475308835783749827896826900541782379150390625	0.003589756637537783352798204106193225015886127948760986328125	0.288584368475412078591801900984137319028377532958984375	-2.014733043677574	2.008456586919297	ADCY9;GNAS;PIK3CD;ASIC3
Ovarian steroidogenesis_Homo sapiens_hsa04913	3/50	0.005382133755307217694296983978574644424952566623687744140625	0.369027275475308835783749827896826900541782379150390625	0.004268472054167545166880604057269010809250175952911376953125	0.288584368475412078591801900984137319028377532958984375	-1.9875906263355547	1.9813987257964236	ADCY9;LHB;GNAS
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	3/56	0.00738054550950617734017544790958709199912846088409423828125	0.369027275475308835783749827896826900541782379150390625	0.005771687369508241884086263695508023374713957309722900390625	0.288584368475412078591801900984137319028377532958984375	-1.8702659495665102	1.864439548199952	ADCY9;GNAS;PIK3CD
Phospholipase D signaling pathway_Homo sapiens_hsa04072	4/144	0.0194913807443407860464645864340127445757389068603515625	0.43166795822727699327714390165056101977825164794921875	0.01317963312594178613978979086596154957078397274017333984375	0.32876067197965619381960777900530956685543060302734375	-1.7947765993125924	1.5077893110673024	ADCY9;SPHK1;GNAS;PIK3CD
GnRH signaling pathway_Homo sapiens_hsa04912	3/91	0.0270511636381049747068772148850257508456707000732421875	0.43166795822727699327714390165056101977825164794921875	0.0204671450373347003914847874739280086942017078399658203125	0.32876067197965619381960777900530956685543060302734375	-1.780116739987303	1.4954735837501045	ADCY9;LHB;GNAS
Dilated cardiomyopathy_Homo sapiens_hsa05414	3/90	0.026292502929575585490784561670807306654751300811767578125	0.43166795822727699327714390165056101977825164794921875	0.0198991740293714657050738736643324955366551876068115234375	0.32876067197965619381960777900530956685543060302734375	-1.7454371169808562	1.4663392809622302	ADCY9;LMNA;GNAS
Estrogen signaling pathway_Homo sapiens_hsa04915	3/99	0.0335379333019845404795233889672090299427509307861328125	0.43166795822727699327714390165056101977825164794921875	0.0253326857455632714621884815642260946333408355712890625	0.32876067197965619381960777900530956685543060302734375	-1.6988516796838482	1.4272029202392704	ADCY9;GNAS;PIK3CD
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	3/93	0.0286033703587145297919658304408585536293685436248779296875	0.43166795822727699327714390165056101977825164794921875	0.0216298788205098770076606484735748381353914737701416015625	0.32876067197965619381960777900530956685543060302734375	-1.6617787383554437	1.3960579940762021	LIMK2;SPHK1;PIK3CD
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514	4/142	0.0186188882520353198024576357738624210469424724578857421875	0.43166795822727699327714390165056101977825164794921875	0.01258699835103802532054739771183449192903935909271240234375	0.32876067197965619381960777900530956685543060302734375	-1.6535745669054749	1.389165681114709	NLGN3;CLDN4;NLGN2;ITGAL
Glutamatergic synapse_Homo sapiens_hsa04724	3/114	0.04766810911101869441264256010981625877320766448974609375	0.43166795822727699327714390165056101977825164794921875	0.035994732683951501106545123320756829343736171722412109375	0.32876067197965619381960777900530956685543060302734375	-1.6373012796138717	1.3754945152194082	ADCY9;GNAS;SHANK2
