Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Wnt signaling pathway_Homo sapiens_hsa04310	6/142	0.020656786825888458214439680205032345838844776153564453125	0.94589530552947442831879243385628797113895416259765625	0.01339130056282559176616953067195936455391347408294677734375	0.805214831743151560061733107431791722774505615234375	-1.8795088194352707	0.104544645949144	PORCN;WNT7B;NFATC2;GPC4;TBL1X;NOTUM
Calcium signaling pathway_Homo sapiens_hsa04020	5/180	0.1360800002878545800211185223815846256911754608154296875	0.94589530552947442831879243385628797113895416259765625	0.09795606678770558961577563650280353613197803497314453125	0.805214831743151560061733107431791722774505615234375	-1.8318226438709302	0.10189217936346412	LHCGR;PLCG2;PHKA1;ADRA1D;SLC25A5
Inositol phosphate metabolism_Homo sapiens_hsa00562	3/71	0.09160929059526111417621763166607706807553768157958984375	0.94589530552947442831879243385628797113895416259765625	0.07430734551703190027271972439848468638956546783447265625	0.805214831743151560061733107431791722774505615234375	-1.8152726596925572	0.10097161319293038	MTMR1;PLCG2;SYNJ2
Type II diabetes mellitus_Homo sapiens_hsa04930	2/48	0.1627529764094013120523385396154480986297130584716796875	0.94589530552947442831879243385628797113895416259765625	0.14136520422023546306178332088165916502475738525390625	0.805214831743151560061733107431791722774505615234375	-1.6647424275957603	0.09259861187659146	IRS4;PRKCZ
Tight junction_Homo sapiens_hsa04530	5/139	0.059251550250741746861393721701460890471935272216796875	0.94589530552947442831879243385628797113895416259765625	0.041651650301056504510643918592904810793697834014892578125	0.805214831743151560061733107431791722774505615234375	-1.649537477894085	0.09175286107893689	CLDN4;SHROOM2;CASK;PRKCZ;SHROOM4
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	3/98	0.1835463116285191154108957789503620006144046783447265625	0.94589530552947442831879243385628797113895416259765625	0.1491648997147817234942834829780622385442256927490234375	0.805214831743151560061733107431791722774505615234375	-1.5825235719632602	0.0880253206722298	MTMR1;PLCG2;SYNJ2
Arginine and proline metabolism_Homo sapiens_hsa00330	2/50	0.1734502203333198877555076933276723138988018035888671875	0.94589530552947442831879243385628797113895416259765625	0.1505210699142038865971926497877575457096099853515625	0.805214831743151560061733107431791722774505615234375	-1.5329441422968793	0.08526754488143054	SMS;SAT1
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	4/167	0.2440271103123916873745002931173075921833515167236328125	0.94589530552947442831879243385628797113895416259765625	0.1902487199713356336161496074055321514606475830078125	0.805214831743151560061733107431791722774505615234375	-1.5266457205767319	0.08491720533422424	IRS4;NFATC2;ADRA1D;SLC25A5
Mucin type O-Glycan biosynthesis_Homo sapiens_hsa00512	2/31	0.078912279021278453061682967017986811697483062744140625	0.94589530552947442831879243385628797113895416259765625	0.07019356578506112664950222779225441627204418182373046875	0.805214831743151560061733107431791722774505615234375	-1.5239785224842073	0.08476884674320523	GALNT6;GALNT13
Lysine degradation_Homo sapiens_hsa00310	2/52	0.1842572510899344317980563801029347814619541168212890625	0.94589530552947442831879243385628797113895416259765625	0.1597928320982608119127377221957431174814701080322265625	0.805214831743151560061733107431791722774505615234375	-1.457375692652964	0.0810641717813657	SUV39H1;NSD1
