Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
HS-GAG biosynthesis_Homo sapiens_R-HSA-2022928	4/31	0.00114844550569423269059665670965841854922473430633544921875	0.5604414067787855113778050508699379861354827880859375	0.000911381986003428489102884402228710314375348389148712158203125	0.281979277675693140725599050711025483906269073486328125	-2.0889036655932878	1.2095390996938378	NDST1;GPC3;GPC4;HS3ST2
POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation_Homo sapiens_R-HSA-2892247	2/13	0.015782757159506714816910033505337196402251720428466796875	0.76765796413423326161051818417035974562168121337890625	0.0147250306437945628623698013370812986977398395538330078125	0.281979277675693140725599050711025483906269073486328125	-2.250873308961466	0.595155672031737	SALL1;ZIC3
Diseases of signal transduction_Homo sapiens_R-HSA-5663202	8/288	0.0706267050921255690187905429411330260336399078369140625	0.76765796413423326161051818417035974562168121337890625	0.0323957915449188671441760334346326999366283416748046875	0.281979277675693140725599050711025483906269073486328125	-2.1715161129154166	0.5741727561318047	AMER1;KLB;PORCN;TBL1X;FOXO4;MAMLD1;HDAC6;FGF4
Metabolism of polyamines_Homo sapiens_R-HSA-351202	4/84	0.038011866840847903514788441725613665767014026641845703125	0.76765796413423326161051818417035974562168121337890625	0.0244784871915333691883009947787286364473402500152587890625	0.281979277675693140725599050711025483906269073486328125	-2.08187463611473	0.5504705632296881	SLC6A8;SMS;SAT1;NMRAL1
Heparan sulfate/heparin (HS-GAG) metabolism_Homo sapiens_R-HSA-1638091	4/54	0.00881321143168949279467216939565332722850143909454345703125	0.76765796413423326161051818417035974562168121337890625	0.00592221112072435600104380881703036720864474773406982421875	0.281979277675693140725599050711025483906269073486328125	-1.9852080402670818	0.5249108515454832	NDST1;GPC3;GPC4;HS3ST2
Chondroitin sulfate/dermatan sulfate metabolism_Homo sapiens_R-HSA-1793185	3/50	0.03936567520781068807433911160842399112880229949951171875	0.76765796413423326161051818417035974562168121337890625	0.028614240029367833673124010829269536770880222320556640625	0.281979277675693140725599050711025483906269073486328125	-1.9543873176147153	0.516761513317675	CHST7;GPC3;GPC4
NOTCH1 Intracellular Domain Regulates Transcription_Homo sapiens_R-HSA-2122947	3/47	0.033644954062413114093121890846305177547037601470947265625	0.76765796413423326161051818417035974562168121337890625	0.0245928440214218772819076974656127276830375194549560546875	0.281979277675693140725599050711025483906269073486328125	-1.9419099449368273	0.513462358677681	TBL1X;MAMLD1;HDAC6
FGFR4 ligand binding and activation_Homo sapiens_R-HSA-190322	2/14	0.0182321726301157456540114054632795159704983234405517578125	0.76765796413423326161051818417035974562168121337890625	0.01669203466167527849517426830061594955623149871826171875	0.281979277675693140725599050711025483906269073486328125	-1.8868919438868204	0.4989149937689613	KLB;FGF4
Miscellaneous transport and binding events_Homo sapiens_R-HSA-5223345	2/18	0.0294698750141615707642817056921558105386793613433837890625	0.76765796413423326161051818417035974562168121337890625	0.0255835898417468669829855087982650729827582836151123046875	0.281979277675693140725599050711025483906269073486328125	-1.8379966039529534	0.4859865278345603	DMTN;MMGT1
SHC-mediated cascade:FGFR4_Homo sapiens_R-HSA-5654719	2/23	0.046402758012233542850299983228978817351162433624267578125	0.76765796413423326161051818417035974562168121337890625	0.038793507338663164862868626414638129062950611114501953125	0.281979277675693140725599050711025483906269073486328125	-1.8364916129238154	0.4855885916451789	KLB;FGF4
Glycosaminoglycan metabolism_Homo sapiens_R-HSA-1630316	5/121	0.036242856412001235588693504041657433845102787017822265625	0.76765796413423326161051818417035974562168121337890625	0.020941294605700509767753914047716534696519374847412109375	0.281979277675693140725599050711025483906269073486328125	-1.8349833726363625	0.4851897963161435	NDST1;CHST7;GPC3;GPC4;HS3ST2
Negative regulation of FGFR4 signaling_Homo sapiens_R-HSA-5654733	2/31	0.078912279021278453061682967017986811697483062744140625	0.76765796413423326161051818417035974562168121337890625	0.0640245861157776874339475625674822367727756500244140625	0.281979277675693140725599050711025483906269073486328125	-1.7947220265968895	0.4745442533779314	KLB;FGF4
CRMPs in Sema3A signaling_Homo sapiens_R-HSA-399956	2/16	0.023572856527328885090089016784986597485840320587158203125	0.76765796413423326161051818417035974562168121337890625	0.020938824763318840405101894930339767597615718841552734375	0.281979277675693140725599050711025483906269073486328125	-1.794316445160735	0.47443701318309806	DPYSL4;FES
WNT ligand biogenesis and trafficking_Homo sapiens_R-HSA-3238698	2/26	0.057891554302881807758662802143589942716062068939208984375	0.76765796413423326161051818417035974562168121337890625	0.047712326933673852857875630206763162277638912200927734375	0.281979277675693140725599050711025483906269073486328125	-1.7750550004607162	0.4693440752469194	PORCN;WNT7B
Defective B4GALT7 causes EDS, progeroid type_Homo sapiens_R-HSA-3560783	2/19	0.03261513536279801728223759482716559432446956634521484375	0.76765796413423326161051818417035974562168121337890625	0.02804826588933284625682063051499426364898681640625	0.281979277675693140725599050711025483906269073486328125	-1.7677619896919916	0.46741572294565303	GPC3;GPC4
Golgi Associated Vesicle Biogenesis_Homo sapiens_R-HSA-432722	3/54	0.0477071774785752522607396031162352301180362701416015625	0.76765796413423326161051818417035974562168121337890625	0.034485319391246278819540549420707975514233112335205078125	0.281979277675693140725599050711025483906269073486328125	-1.7653912748666871	0.46678887985793577	YIPF6;AP1S2;IGF2R
Regulation of pyruvate dehydrogenase (PDH) complex_Homo sapiens_R-HSA-204174	2/14	0.0182321726301157456540114054632795159704983234405517578125	0.76765796413423326161051818417035974562168121337890625	0.01669203466167527849517426830061594955623149871826171875	0.281979277675693140725599050711025483906269073486328125	-1.7652454792101209	0.4667503298819698	PDHA1;PDK3
HS-GAG degradation_Homo sapiens_R-HSA-2024096	2/21	0.039276373047621084000358138155206688679754734039306640625	0.76765796413423326161051818417035974562168121337890625	0.03324877273968766810963160196479293517768383026123046875	0.281979277675693140725599050711025483906269073486328125	-1.747312797212049	0.46200873142620497	GPC3;GPC4
Metabolism of carbohydrates_Homo sapiens_R-HSA-71387	7/282	0.134601472105861430517137478091171942651271820068359375	0.76765796413423326161051818417035974562168121337890625	0.07093113305675481650158786806059652008116245269775390625	0.281979277675693140725599050711025483906269073486328125	-1.7465689730443812	0.4618120561310565	PRPS2;NDST1;CHST7;GPC3;PHKA1;GPC4;HS3ST2
Defective B3GALT6 causes EDSP2 and SEMDJL1_Homo sapiens_R-HSA-4420332	2/19	0.03261513536279801728223759482716559432446956634521484375	0.76765796413423326161051818417035974562168121337890625	0.02804826588933284625682063051499426364898681640625	0.281979277675693140725599050711025483906269073486328125	-1.7429611294221412	0.46085810257577164	GPC3;GPC4
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants_Homo sapiens_R-HSA-2894862	3/57	0.05448520268267294242026110850929399020969867706298828125	0.76765796413423326161051818417035974562168121337890625	0.0392665315309182194614123773135361261665821075439453125	0.281979277675693140725599050711025483906269073486328125	-1.7390117367958084	0.4598138397053186	TBL1X;MAMLD1;HDAC6
Defective EXT1 causes exostoses 1, TRPS2 and CHDS_Homo sapiens_R-HSA-3656253	2/12	0.0134874206638163907090444126879447139799594879150390625	0.76765796413423326161051818417035974562168121337890625	0.01286621184770750901671387822489123209379613399505615234375	0.281979277675693140725599050711025483906269073486328125	-1.7303108183009304	0.45751322110830756	GPC3;GPC4
Signaling by NOTCH1 in Cancer_Homo sapiens_R-HSA-2644603	3/57	0.05448520268267294242026110850929399020969867706298828125	0.76765796413423326161051818417035974562168121337890625	0.0392665315309182194614123773135361261665821075439453125	0.281979277675693140725599050711025483906269073486328125	-1.7254402674056364	0.45622539385489763	TBL1X;MAMLD1;HDAC6
NrCAM interactions_Homo sapiens_R-HSA-447038	2/7	0.004509923573082355759134021155887239729054272174835205078125	0.76765796413423326161051818417035974562168121337890625	0.00530244720070249288268460219342159689404070377349853515625	0.281979277675693140725599050711025483906269073486328125	-1.7224055262765092	0.45542297490534717	DLG3;ANK1
Defective B3GAT3 causes JDSSDHD_Homo sapiens_R-HSA-3560801	2/19	0.03261513536279801728223759482716559432446956634521484375	0.76765796413423326161051818417035974562168121337890625	0.02804826588933284625682063051499426364898681640625	0.281979277675693140725599050711025483906269073486328125	-1.721142536792288	0.455089026587484	GPC3;GPC4
Signaling by NOTCH1 PEST Domain Mutants in Cancer_Homo sapiens_R-HSA-2644602	3/57	0.05448520268267294242026110850929399020969867706298828125	0.76765796413423326161051818417035974562168121337890625	0.0392665315309182194614123773135361261665821075439453125	0.281979277675693140725599050711025483906269073486328125	-1.7210841831620913	0.45507359724552293	TBL1X;MAMLD1;HDAC6
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer_Homo sapiens_R-HSA-2894858	3/57	0.05448520268267294242026110850929399020969867706298828125	0.76765796413423326161051818417035974562168121337890625	0.0392665315309182194614123773135361261665821075439453125	0.281979277675693140725599050711025483906269073486328125	-1.7069171017616998	0.4513276650253445	TBL1X;MAMLD1;HDAC6
Defective EXT2 causes exostoses 2_Homo sapiens_R-HSA-3656237	2/12	0.0134874206638163907090444126879447139799594879150390625	0.76765796413423326161051818417035974562168121337890625	0.01286621184770750901671387822489123209379613399505615234375	0.281979277675693140725599050711025483906269073486328125	-1.700012071353007	0.44950189900069815	GPC3;GPC4
