Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Leukocyte transendothelial migration_Homo sapiens_hsa04670	12/118	0.00043251058911047989864739893306477824808098375797271728515625	0.09644986137163701067631649266331805847585201263427734375	0.000567456150276930367838679192260542549774982035160064697265625	0.1265427215117554682333178561748354695737361907958984375	-1.7261775044681553	4.037066527573298	CLDN5;CLDN4;CLDN3;CLDN7;RHOH;PIK3CD;ESAM;PIK3R1;ITGAL;VAV1;BCAR1;PIK3R5
Melanoma_Homo sapiens_hsa05218	8/71	0.0019933459393824300154296480513949063606560230255126953125	0.20273847627495289458465776988305151462554931640625	0.002633355740338860946636589943636863608844578266143798828125	0.212002041427182097432790897073573432862758636474609375	-1.9236803875279496	3.069883079291226	FGF16;CDH1;FGF20;PIK3CD;PIK3R1;FGF13;FGF12;PIK3R5
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	15/214	0.004126152837122372407652193260219064541161060333251953125	0.20273847627495289458465776988305151462554931640625	0.004115768681474139822906721519757411442697048187255859375	0.212002041427182097432790897073573432862758636474609375	-1.846716546156202	2.947061223916382	ITGB4;LIMK2;PIK3CD;PIK3R1;ITGAL;VAV1;FGD1;PIK3R5;FGF16;DIAPH2;FGF20;PAK3;FGF13;FGF12;BCAR1
Focal adhesion_Homo sapiens_hsa04510	14/202	0.006041444855253453975751920523862281697802245616912841796875	0.20273847627495289458465776988305151462554931640625	0.006036961833337677052480074735285597853362560272216796875	0.212002041427182097432790897073573432862758636474609375	-1.7962800576082396	2.866572737483754	SHC1;LAMC3;ITGB4;RASGRF1;XIAP;PIK3CD;PIK3R1;VAV1;THBS4;PIK3R5;PARVG;CHAD;PAK3;BCAR1
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	12/167	0.00805296013145117596521149749833057285286486148834228515625	0.20273847627495289458465776988305151462554931640625	0.00828502766954244095065629238661131239496171474456787109375	0.212002041427182097432790897073573432862758636474609375	-1.7606395003220143	2.809696166688075	ADCY9;NOS3;NPR2;IRS4;NFATC2;ATP2B3;PIK3CD;GTF2IRD1;SLC25A31;PIK3R1;SLC25A5;PIK3R5
Rap1 signaling pathway_Homo sapiens_hsa04015	14/211	0.00873851967857398360950416105197291471995413303375244140625	0.20273847627495289458465776988305151462554931640625	0.00855613620109703550131730054317813483066856861114501953125	0.212002041427182097432790897073573432862758636474609375	-1.7603419917949599	2.8092213911489208	PIK3CD;PIK3R1;ITGAL;PIK3R5;FGF16;ADCY9;CDH1;FGF20;GNAS;FGF13;DRD2;FGF12;LAT;BCAR1
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	8/78	0.003611287556420854187588798112074073287658393383026123046875	0.20273847627495289458465776988305151462554931640625	0.00446810879758749272816498177007815684191882610321044921875	0.212002041427182097432790897073573432862758636474609375	-1.730288754325312	2.761261280007718	SEPT6;CTTN;SHC1;CDH1;PIK3CD;PIK3R1;BCAR1;PIK3R5
Tight junction_Homo sapiens_hsa04530	11/139	0.005432717779997688935245125918527264730073511600494384765625	0.20273847627495289458465776988305151462554931640625	0.0058901717809264377001543522283100173808634281158447265625	0.212002041427182097432790897073573432862758636474609375	-1.601917020794309	2.5564007349914357	CLDN5;CLDN4;CLDN3;CTTN;CSNK2A2;CLDN7;SHROOM2;CASK;SHROOM3;SHROOM4;TJP3
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	6/56	0.00909141149215035408726048871130842599086463451385498046875	0.20273847627495289458465776988305151462554931640625	0.0110222204652855142181788750121995690278708934783935546875	0.2313932940352636802305852370409411378204822540283203125	-1.5958292026962602	2.546685560947883	ADCY9;GNAS;IRS4;PIK3CD;PIK3R1;PIK3R5
cAMP signaling pathway_Homo sapiens_hsa04024	13/199	0.012701120999197589023221866000312729738652706146240234375	0.2213868147203845726522786208079196512699127197265625	0.0124516570781307810145133174728471203707158565521240234375	0.2313932940352636802305852370409411378204822540283203125	-1.660230677142568	2.5033685573211377	ATP2B3;PIK3CD;PIK3R1;VAV1;PIK3R5;ADCY9;GNAS;PDE4B;FFAR2;CNGA3;PPARA;DRD2;HCN2
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	8/93	0.01033072575901101790296632287891043233685195446014404296875	0.2094319858417688362539621493851882405579090118408203125	0.011560396133836962906382694882267969660460948944091796875	0.2313932940352636802305852370409411378204822540283203125	-1.5766325787904638	2.464838383786938	LIMK2;SPHK1;PIK3CD;PIK3R1;DOCK2;VAV1;LAT;PIK3R5
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	8/98	0.01389872379410486170903116232011598185636103153228759765625	0.2213868147203845726522786208079196512699127197265625	0.015172844951337215169129279956905520521104335784912109375	0.2413157440254865282458496267281589098274707794189453125	-1.6343192381445375	2.464298154300845	ADCY9;IL1R1;GNAS;HTR2C;PIK3CD;PIK3R1;ASIC3;PIK3R5
VEGF signaling pathway_Homo sapiens_hsa04370	6/61	0.01359419230202700730469889123241955530829727649688720703125	0.2213868147203845726522786208079196512699127197265625	0.015795109666190132458041261998005211353302001953125	0.2413157440254865282458496267281589098274707794189453125	-1.5612118695601207	2.354063660779918	NOS3;SPHK1;NFATC2;PIK3CD;PIK3R1;PIK3R5
Amoebiasis_Homo sapiens_hsa05146	8/100	0.01555138543934334906249095098473844700492918491363525390625	0.2311972635315711344095035428836126811802387237548828125	0.0168256697601134840025505212679490796290338039398193359375	0.2413157440254865282458496267281589098274707794189453125	-1.480690622632072	2.16844769350095	GNAL;IL1R1;LAMC3;GNAS;PIK3CD;IL12A;PIK3R1;PIK3R5
T cell receptor signaling pathway_Homo sapiens_hsa04660	8/104	0.01927576409518076683280440875023487024009227752685546875	0.252852670189724182403523400353151373565196990966796875	0.020514696742627770709166412643753574229776859283447265625	0.26910455138858779822186306773801334202289581298828125	-1.4383611809749062	1.9776722478253348	NFATC2;PIK3CD;PTPN6;PIK3R1;PAK3;VAV1;LAT;PIK3R5
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514	10/142	0.0168658615884469641199583378465831629000604152679443359375	0.235067945888979557000908471309230662882328033447265625	0.01731413410048333878510362637825892306864261627197265625	0.2413157440254865282458496267281589098274707794189453125	-1.3646968502953083	1.9759181970297135	NLGN3;CLDN5;CLDN4;CLDN3;CDH3;NLGN2;CDH1;CLDN7;ESAM;ITGAL
Axon guidance_Homo sapiens_hsa04360	9/127	0.021913283483934127560122107070128549821674823760986328125	0.271481234273183880123525568706099875271320343017578125	0.0225973565494658294727781111532749491743743419647216796875	0.279956139473937770656419843362527899444103240966796875	-1.3398201801576053	1.7469409690265416	EFNB1;EPHA6;FES;LIMK2;SEMA3B;NFATC2;SLIT3;PAK3;EPHB3
