Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Prostacyclin signalling through prostacyclin receptor_Homo sapiens_R-HSA-392851	1/19	0.01134372680030057596589632140648973290808498859405517578125	0.0875296766216473454136348664178512990474700927734375	0.00667035042647023089512625659835975966416299343109130859375	0.0281592965408862215548335683479308499954640865325927734375	-2.448770532014165	5.964659874928354	GNAS
Glucagon signaling in metabolic regulation_Homo sapiens_R-HSA-163359	1/33	0.0196266486312824083027006594193153432570397853851318359375	0.0875296766216473454136348664178512990474700927734375	0.01132190329769886157074143540057775680907070636749267578125	0.0281592965408862215548335683479308499954640865325927734375	-2.3838549162488794	5.806539886326162	GNAS
Glucagon-type ligand receptors_Homo sapiens_R-HSA-420092	1/30	0.01785711079174508164602031001777504570782184600830078125	0.0875296766216473454136348664178512990474700927734375	0.0103263671289774740247313644658788689412176609039306640625	0.0281592965408862215548335683479308499954640865325927734375	-2.3041052222050418	5.612287385374251	GNAS
Vasopressin regulates renal water homeostasis via Aquaporins_Homo sapiens_R-HSA-432040	1/43	0.0255040225338415658951074505012002191506326198577880859375	0.0875296766216473454136348664178512990474700927734375	0.0146355351184024699839891781039113993756473064422607421875	0.0281592965408862215548335683479308499954640865325927734375	-2.2208182918168373	5.409418964140897	GNAS
Pre-NOTCH Transcription and Translation_Homo sapiens_R-HSA-1912408	1/41	0.02433113813476982245642687985309748910367488861083984375	0.0875296766216473454136348664178512990474700927734375	0.01397340199707387299599137264749515452422201633453369140625	0.0281592965408862215548335683479308499954640865325927734375	-2.2013574165860166	5.362016604424984	MIR200C
PKA activation in glucagon signalling_Homo sapiens_R-HSA-164378	1/17	0.0101552297965470210427962882704377989284694194793701171875	0.0875296766216473454136348664178512990474700927734375	0.006004654263132237247690969894620138802565634250640869140625	0.0281592965408862215548335683479308499954640865325927734375	-2.125024436807685	5.176086458800829	GNAS
Pre-NOTCH Expression and Processing_Homo sapiens_R-HSA-1912422	1/57	0.033678093074550767560548791834662551991641521453857421875	0.0887876999238156605631644424647674895823001861572265625	0.01926216900580268731602018306148238480091094970703125	0.0281592965408862215548335683479308499954640865325927734375	-2.1329506657472295	5.164955293995227	MIR200C
Aquaporin-mediated transport_Homo sapiens_R-HSA-445717	1/51	0.030182647110912876053934184028548770584166049957275390625	0.0875296766216473454136348664178512990474700927734375	0.01728110338211068242042500742172705940902233123779296875	0.0281592965408862215548335683479308499954640865325927734375	-2.1102252266142356	5.14003887734415	GNAS
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion_Homo sapiens_R-HSA-381676	1/42	0.024917741989031093330364541316157556138932704925537109375	0.0875296766216473454136348664178512990474700927734375	0.01430450562305844199040283371004989021457731723785400390625	0.0281592965408862215548335683479308499954640865325927734375	-2.0557539816065673	5.007359050799769	GNAS
G alpha (z) signalling events_Homo sapiens_R-HSA-418597	1/46	0.0272609259183876455334694099974512937478721141815185546875	0.0875296766216473454136348664178512990474700927734375	0.0156281789052297760689302918990506441332399845123291015625	0.0281592965408862215548335683479308499954640865325927734375	-2.000921360219877	4.873798991845074	GNAS
