Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Signalling by NGF_Homo sapiens_R-HSA-166520	4/450	0.0989818064272114106483257955915178172290325164794921875	0.4879232606160279761553510979865677654743194580078125	0.04468678858017356703147271446141530759632587432861328125	0.2306024608785405549671310154735692776739597320556640625	-2.1865215184704545	1.5690415845525052	CNKSR2;FGF16;RPS6KA3;FGD1
Metabolism of polyamines_Homo sapiens_R-HSA-351202	2/84	0.04261673407860022688709022986586205661296844482421875	0.4879232606160279761553510979865677654743194580078125	0.0271383509944021217297205339491483755409717559814453125	0.2306024608785405549671310154735692776739597320556640625	-2.1759925105928786	1.5614859986300973	SLC6A8;SMS
Signaling by EGFR_Homo sapiens_R-HSA-177929	3/355	0.161133187483443462983956351308734156191349029541015625	0.4879232606160279761553510979865677654743194580078125	0.09035027734718147074399752227691351436078548431396484375	0.2306024608785405549671310154735692776739597320556640625	-2.0408168852817137	1.4644843567347665	CNKSR2;FGF16;SH3KBP1
FGFR3c ligand binding and activation_Homo sapiens_R-HSA-190372	1/13	0.04954494017199935484985218181464006192982196807861328125	0.4879232606160279761553510979865677654743194580078125	0.0412199476015588095467734319754526950418949127197265625	0.2306024608785405549671310154735692776739597320556640625	-1.9687069501497203	1.4127384736388484	FGF16
FGFR3 ligand binding and activation_Homo sapiens_R-HSA-190239	1/13	0.04954494017199935484985218181464006192982196807861328125	0.4879232606160279761553510979865677654743194580078125	0.0412199476015588095467734319754526950418949127197265625	0.2306024608785405549671310154735692776739597320556640625	-1.9659364498195588	1.4107503705301807	FGF16
NGF signalling via TRKA from the plasma membrane_Homo sapiens_R-HSA-187037	3/374	0.179282685307263600638094658279442228376865386962890625	0.4879232606160279761553510979865677654743194580078125	0.10170763469194514516669158865624922327697277069091796875	0.2306024608785405549671310154735692776739597320556640625	-1.9516583058206234	1.4005044152558737	CNKSR2;FGF16;RPS6KA3
SHC-mediated cascade:FGFR3_Homo sapiens_R-HSA-5654704	1/18	0.06794850743194247311151912072091363370418548583984375	0.4879232606160279761553510979865677654743194580078125	0.05554092377252838053092176551217562519013881683349609375	0.2306024608785405549671310154735692776739597320556640625	-1.9391793506737882	1.3915495527531498	FGF16
Activated point mutants of FGFR2_Homo sapiens_R-HSA-2033519	1/17	0.0642961579531819149568860893850796855986118316650390625	0.4879232606160279761553510979865677654743194580078125	0.05269330846835697246266505544554092921316623687744140625	0.2306024608785405549671310154735692776739597320556640625	-1.8936397631156459	1.3588704750406746	FGF16
Signaling by activated point mutants of FGFR3_Homo sapiens_R-HSA-1839130	1/12	0.045821409550229473539584290620041429065167903900146484375	0.4879232606160279761553510979865677654743194580078125	0.038330766638992326555968048751310561783611774444580078125	0.2306024608785405549671310154735692776739597320556640625	-1.8757655375074114	1.3460439818943313	FGF16
FGFR3 mutant receptor activation_Homo sapiens_R-HSA-2033514	1/12	0.045821409550229473539584290620041429065167903900146484375	0.4879232606160279761553510979865677654743194580078125	0.038330766638992326555968048751310561783611774444580078125	0.2306024608785405549671310154735692776739597320556640625	-1.843996227369207	1.323246415852421	FGF16
Chondroitin sulfate biosynthesis_Homo sapiens_R-HSA-2022870	1/20	0.07521103729062873777255759932813816703855991363525390625	0.4879232606160279761553510979865677654743194580078125	0.061211445790537714894963272627137484960258007049560546875	0.2306024608785405549671310154735692776739597320556640625	-1.8117861858957702	1.3001325822655754	CHST7
RNA Polymerase II Transcription_Homo sapiens_R-HSA-73857	2/124	0.0844856680360476508528932981789694167673587799072265625	0.4879232606160279761553510979865677654743194580078125	0.054358093290710000899945697483417461626231670379638671875	0.2306024608785405549671310154735692776739597320556640625	-1.8085350447839295	1.2977995727074099	THOC2;TAF9B
SHC-mediated cascade:FGFR2_Homo sapiens_R-HSA-5654699	1/26	0.09666510316924335766142206693984917365014553070068359375	0.4879232606160279761553510979865677654743194580078125	0.07802698782810761624073592201966675929725170135498046875	0.2306024608785405549671310154735692776739597320556640625	-1.7835063162822105	1.2798390287585246	FGF16
Signaling by FGFR3 point mutants in cancer_Homo sapiens_R-HSA-8853338	1/22	0.082417697558729463569449080750928260385990142822265625	0.4879232606160279761553510979865677654743194580078125	0.0668491757143989395739680503538693301379680633544921875	0.2306024608785405549671310154735692776739597320556640625	-1.7795598758327704	1.2770070743854147	FGF16
Cell-Cell communication_Homo sapiens_R-HSA-1500931	2/131	0.0927345796242461106739796150577603839337825775146484375	0.4879232606160279761553510979865677654743194580078125	0.059825585532506657393536642075559939257800579071044921875	0.2306024608785405549671310154735692776739597320556640625	-1.7735694069051233	1.2727083310256773	CLDN4;CASK
Signaling by FGFR3 in disease_Homo sapiens_R-HSA-5655332	1/22	0.082417697558729463569449080750928260385990142822265625	0.4879232606160279761553510979865677654743194580078125	0.0668491757143989395739680503538693301379680633544921875	0.2306024608785405549671310154735692776739597320556640625	-1.7727207190618164	1.2720993150579842	FGF16
Glycosaminoglycan metabolism_Homo sapiens_R-HSA-1630316	2/121	0.08102365884081219604695434099994599819183349609375	0.4879232606160279761553510979865677654743194580078125	0.05207356737289252357481217359236325137317180633544921875	0.2306024608785405549671310154735692776739597320556640625	-1.7633033382009948	1.26534142950169	NDST1;CHST7
FGFR2c ligand binding and activation_Homo sapiens_R-HSA-190375	1/13	0.04954494017199935484985218181464006192982196807861328125	0.4879232606160279761553510979865677654743194580078125	0.0412199476015588095467734319754526950418949127197265625	0.2306024608785405549671310154735692776739597320556640625	-1.7610295862127494	1.2637097915816518	FGF16
FGFR4 ligand binding and activation_Homo sapiens_R-HSA-190322	1/14	0.053254125876601311750935252575800404883921146392822265625	0.4879232606160279761553510979865677654743194580078125	0.0441007690351942482909208820274216122925281524658203125	0.2306024608785405549671310154735692776739597320556640625	-1.7470587538528606	1.2536843622601002	FGF16
FGFR2 ligand binding and activation_Homo sapiens_R-HSA-190241	1/20	0.07521103729062873777255759932813816703855991363525390625	0.4879232606160279761553510979865677654743194580078125	0.061211445790537714894963272627137484960258007049560546875	0.2306024608785405549671310154735692776739597320556640625	-1.7283841644312874	1.2402835303316817	FGF16
Negative regulation of FGFR3 signaling_Homo sapiens_R-HSA-5654732	1/29	0.10720713205760319663983892723990720696747303009033203125	0.4879232606160279761553510979865677654743194580078125	0.0863256170557575586155252267417381517589092254638671875	0.2306024608785405549671310154735692776739597320556640625	-1.7198346993649172	1.2341484586657978	FGF16
ERK/MAPK targets_Homo sapiens_R-HSA-198753	1/21	0.07882132453807495775510716384815168567001819610595703125	0.4879232606160279761553510979865677654743194580078125	0.06403439834405454111898592373108840547502040863037109375	0.2306024608785405549671310154735692776739597320556640625	-1.7085942585594744	1.2260823505102385	RPS6KA3
Signaling by the B Cell Receptor (BCR)_Homo sapiens_R-HSA-983705	2/233	0.230426819990833975371202768656075932085514068603515625	0.4879232606160279761553510979865677654743194580078125	0.15597781570690993913075317323091439902782440185546875	0.2306024608785405549671310154735692776739597320556640625	-1.6989140299918664	1.2191358461917374	FGF16;SH3KBP1
Negative regulation of FGFR2 signaling_Homo sapiens_R-HSA-5654727	1/34	0.1245079349152863612548713945216150023043155670166015625	0.4879232606160279761553510979865677654743194580078125	0.0999970667053945716507001861828030087053775787353515625	0.2306024608785405549671310154735692776739597320556640625	-1.6969006801535407	1.2176910721092968	FGF16
