Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
PKMTs methylate histone lysines_Homo sapiens_R-HSA-3214841	2/40	0.0101245541907886670018879016197388409636914730072021484375	0.392453839679514915328439883523969911038875579833984375	0.0064378462975164772730263251787619083188474178314208984375	0.08088240551581744874898305397437070496380329132080078125	-2.2697826378932877	2.123010218233914	SUV39H1;RBBP7
Metabolism of polyamines_Homo sapiens_R-HSA-351202	2/84	0.04066226958461893747909243757021613419055938720703125	0.392453839679514915328439883523969911038875579833984375	0.0252879597448486259647637552916421554982662200927734375	0.08088240551581744874898305397437070496380329132080078125	-2.10069821101036	1.9648594067756593	SLC6A8;SMS
MAP kinase activation in TLR cascade_Homo sapiens_R-HSA-450294	2/60	0.0218817899188550636646599656387479626573622226715087890625	0.392453839679514915328439883523969911038875579833984375	0.01364828774357382777659974948392118676565587520599365234375	0.08088240551581744874898305397437070496380329132080078125	-2.0456128304482957	1.9133360477296535	RPS6KA3;TAB3
TRAF6 Mediated Induction of proinflammatory cytokines_Homo sapiens_R-HSA-168180	2/72	0.0306920342274760137024625095136798336170613765716552734375	0.392453839679514915328439883523969911038875579833984375	0.0190863434771065022810265787711614393629133701324462890625	0.08088240551581744874898305397437070496380329132080078125	-2.035959116757303	1.9043065783576856	RPS6KA3;TAB3
Signalling by NGF_Homo sapiens_R-HSA-166520	4/450	0.0920900645946694240695507005511899478733539581298828125	0.392453839679514915328439883523969911038875579833984375	0.03960102196760263704167215337292873300611972808837890625	0.08088240551581744874898305397437070496380329132080078125	-1.9866254386681508	1.8581629957353671	CNKSR2;FGF16;RPS6KA3;FGD1
Toll Like Receptor 9 (TLR9) Cascade_Homo sapiens_R-HSA-168138	2/88	0.044222759703925425267545534779856097884476184844970703125	0.392453839679514915328439883523969911038875579833984375	0.02751537534732094447686989724388695321977138519287109375	0.08088240551581744874898305397437070496380329132080078125	-1.9677671134362265	1.8405241185593069	RPS6KA3;TAB3
Toll Like Receptor 10 (TLR10) Cascade_Homo sapiens_R-HSA-168142	2/82	0.038925134739031384822904868769910535775125026702880859375	0.392453839679514915328439883523969911038875579833984375	0.0242036711977615150159781620686771930195391178131103515625	0.08088240551581744874898305397437070496380329132080078125	-1.951796843775191	1.8255865447527688	RPS6KA3;TAB3
Toll Like Receptor 7/8 (TLR7/8) Cascade_Homo sapiens_R-HSA-168181	2/85	0.04154171330903684566937528188645956106483936309814453125	0.392453839679514915328439883523969911038875579833984375	0.0258375047334055384096185292719383141957223415374755859375	0.08088240551581744874898305397437070496380329132080078125	-1.9487984307129864	1.8227820200096179	RPS6KA3;TAB3
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation_Homo sapiens_R-HSA-975138	2/83	0.03979005462618857846823772206334979273378849029541015625	0.392453839679514915328439883523969911038875579833984375	0.0247433383149093487352043752025565481744706630706787109375	0.08088240551581744874898305397437070496380329132080078125	-1.9441476468508039	1.8184319727859881	RPS6KA3;TAB3
Toll Like Receptor 5 (TLR5) Cascade_Homo sapiens_R-HSA-168176	2/82	0.038925134739031384822904868769910535775125026702880859375	0.392453839679514915328439883523969911038875579833984375	0.0242036711977615150159781620686771930195391178131103515625	0.08088240551581744874898305397437070496380329132080078125	-1.9425554292561964	1.8169427137853373	RPS6KA3;TAB3
MyD88 dependent cascade initiated on endosome_Homo sapiens_R-HSA-975155	2/85	0.04154171330903684566937528188645956106483936309814453125	0.392453839679514915328439883523969911038875579833984375	0.0258375047334055384096185292719383141957223415374755859375	0.08088240551581744874898305397437070496380329132080078125	-1.9376465798635039	1.8123512884891555	RPS6KA3;TAB3
MyD88 cascade initiated on plasma membrane_Homo sapiens_R-HSA-975871	2/82	0.038925134739031384822904868769910535775125026702880859375	0.392453839679514915328439883523969911038875579833984375	0.0242036711977615150159781620686771930195391178131103515625	0.08088240551581744874898305397437070496380329132080078125	-1.9312264617661468	1.80634631863195	RPS6KA3;TAB3
Toll Like Receptor 3 (TLR3) Cascade_Homo sapiens_R-HSA-168164	2/97	0.052635265734689407057800281108939088881015777587890625	0.392453839679514915328439883523969911038875579833984375	0.03280505523858300021000644619562081061303615570068359375	0.08088240551581744874898305397437070496380329132080078125	-1.8932771079606838	1.7708509083845834	RPS6KA3;TAB3
TRIF-mediated TLR3/TLR4 signaling_Homo sapiens_R-HSA-937061	2/97	0.052635265734689407057800281108939088881015777587890625	0.392453839679514915328439883523969911038875579833984375	0.03280505523858300021000644619562081061303615570068359375	0.08088240551581744874898305397437070496380329132080078125	-1.8854713181670757	1.763549869414351	RPS6KA3;TAB3
MyD88-independent TLR3/TLR4 cascade_Homo sapiens_R-HSA-166166	2/97	0.052635265734689407057800281108939088881015777587890625	0.392453839679514915328439883523969911038875579833984375	0.03280505523858300021000644619562081061303615570068359375	0.08088240551581744874898305397437070496380329132080078125	-1.8767023339188211	1.7553479196541502	RPS6KA3;TAB3
Toll Like Receptor 2 (TLR2) Cascade_Homo sapiens_R-HSA-181438	2/92	0.04789473514299151524209463559600408188998699188232421875	0.392453839679514915328439883523969911038875579833984375	0.0298196217431799630304123382984471390955150127410888671875	0.08088240551581744874898305397437070496380329132080078125	-1.8212149921585392	1.7034485916863176	RPS6KA3;TAB3
Host Interactions of HIV factors_Homo sapiens_R-HSA-162909	2/129	0.08645322093403577656811620499865966849029064178466796875	0.392453839679514915328439883523969911038875579833984375	0.054446471147795404144087427766862674616277217864990234375	0.08088240551581744874898305397437070496380329132080078125	-1.8164176024602934	1.698961418694423	AP1S2;SLC25A5
Toll Like Receptor TLR1:TLR2 Cascade_Homo sapiens_R-HSA-168179	2/92	0.04789473514299151524209463559600408188998699188232421875	0.392453839679514915328439883523969911038875579833984375	0.0298196217431799630304123382984471390955150127410888671875	0.08088240551581744874898305397437070496380329132080078125	-1.8155413126774247	1.698141793003352	RPS6KA3;TAB3
Nef mediated downregulation of MHC class I complex cell surface expression_Homo sapiens_R-HSA-164940	1/10	0.03736500563219564974293263048821245320141315460205078125	0.392453839679514915328439883523969911038875579833984375	0.03134331906622922492289262663689441978931427001953125	0.08088240551581744874898305397437070496380329132080078125	-1.809117670974508	1.6921335273897675	AP1S2
Toll Like Receptor TLR6:TLR2 Cascade_Homo sapiens_R-HSA-168188	2/92	0.04789473514299151524209463559600408188998699188232421875	0.392453839679514915328439883523969911038875579833984375	0.0298196217431799630304123382984471390955150127410888671875	0.08088240551581744874898305397437070496380329132080078125	-1.8035561580969734	1.686931642208901	RPS6KA3;TAB3
MyD88:Mal cascade initiated on plasma membrane_Homo sapiens_R-HSA-166058	2/92	0.04789473514299151524209463559600408188998699188232421875	0.392453839679514915328439883523969911038875579833984375	0.0298196217431799630304123382984471390955150127410888671875	0.08088240551581744874898305397437070496380329132080078125	-1.799255103761963	1.682908709726308	RPS6KA3;TAB3
Activated TLR4 signalling_Homo sapiens_R-HSA-166054	2/112	0.067787190260246654727183113209321163594722747802734375	0.392453839679514915328439883523969911038875579833984375	0.0424272886395094805944694371646619401872158050537109375	0.08088240551581744874898305397437070496380329132080078125	-1.7497186697515357	1.636575482119713	RPS6KA3;TAB3
Toll Like Receptor 4 (TLR4) Cascade_Homo sapiens_R-HSA-166016	2/122	0.07859103672148469443836660275337635539472103118896484375	0.392453839679514915328439883523969911038875579833984375	0.04936193925350544631225346847713808529078960418701171875	0.08088240551581744874898305397437070496380329132080078125	-1.701459006756456	1.5914364648602566	RPS6KA3;TAB3
Epigenetic regulation of gene expression_Homo sapiens_R-HSA-212165	2/115	0.0709728690925663652233623679421725682914257049560546875	0.392453839679514915328439883523969911038875579833984375	0.044465746489724011780708678998053073883056640625	0.08088240551581744874898305397437070496380329132080078125	-1.6649861450361618	1.5573220713374099	SUV39H1;RBBP7
Signaling by EGFR_Homo sapiens_R-HSA-177929	3/355	0.1526237227425002729308545212916214950382709503173828125	0.417008724465282032412005719379521906375885009765625	0.0826599855186784804317312591592781245708465576171875	0.172569320696621952837546132286661304533481597900390625	-1.7774236359290798	1.554620269022323	CNKSR2;FGF16;SH3KBP1
Toll-Like Receptors Cascades_Homo sapiens_R-HSA-168898	2/140	0.0992587532263364547002737481307121925055980682373046875	0.392453839679514915328439883523969911038875579833984375	0.06279570652227443872117618184347520582377910614013671875	0.08088240551581744874898305397437070496380329132080078125	-1.6256316545606189	1.520512385679353	RPS6KA3;TAB3
Glycosaminoglycan metabolism_Homo sapiens_R-HSA-1630316	2/121	0.07748736474318784761550205075764097273349761962890625	0.392453839679514915328439883523969911038875579833984375	0.048650741863143172338812547650377382524311542510986328125	0.08088240551581744874898305397437070496380329132080078125	-1.59604992451847	1.4928435181393276	CHST7;HS6ST2
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation_Homo sapiens_R-HSA-975163	1/10	0.03736500563219564974293263048821245320141315460205078125	0.392453839679514915328439883523969911038875579833984375	0.03134331906622922492289262663689441978931427001953125	0.08088240551581744874898305397437070496380329132080078125	-1.5911651911552185	1.48827464944221	TAB3
Infectious disease_Homo sapiens_R-HSA-5663205	3/348	0.1463676255908039625097671887488104403018951416015625	0.417008724465282032412005719379521906375885009765625	0.07892464495731772722297847622030531056225299835205078125	0.172569320696621952837546132286661304533481597900390625	-1.6607280139439242	1.4525526608409673	AP1S2;SLC25A5;FGD1
IRAK2 mediated activation of TAK1 complex_Homo sapiens_R-HSA-937042	1/10	0.03736500563219564974293263048821245320141315460205078125	0.392453839679514915328439883523969911038875579833984375	0.03134331906622922492289262663689441978931427001953125	0.08088240551581744874898305397437070496380329132080078125	-1.5499908452910651	1.4497627868790934	TAB3
NGF signalling via TRKA from the plasma membrane_Homo sapiens_R-HSA-187037	3/374	0.17002181232785107400928836796083487570285797119140625	0.417008724465282032412005719379521906375885009765625	0.0931859052897518747027305607844027690589427947998046875	0.172569320696621952837546132286661304533481597900390625	-1.6481409082235954	1.4415433722923081	CNKSR2;FGF16;RPS6KA3
Cellular Senescence_Homo sapiens_R-HSA-2559583	2/161	0.1250262155360233606860020927342702634632587432861328125	0.401646717409475051407952150839264504611492156982421875	0.07984714249078748993238008324624388478696346282958984375	0.08088240551581744874898305397437070496380329132080078125	-1.5725056273402163	1.4344119401137603	RPS6KA3;RBBP7
Creatine metabolism_Homo sapiens_R-HSA-71288	1/10	0.03736500563219564974293263048821245320141315460205078125	0.392453839679514915328439883523969911038875579833984375	0.03134331906622922492289262663689441978931427001953125	0.08088240551581744874898305397437070496380329132080078125	-1.532976669385747	1.4338488096114965	SLC6A8
FGFR3c ligand binding and activation_Homo sapiens_R-HSA-190372	1/13	0.04830338928131860942727371366345323622226715087890625	0.392453839679514915328439883523969911038875579833984375	0.039726188337032168618190297593173454515635967254638671875	0.08088240551581744874898305397437070496380329132080078125	-1.5197488776385129	1.4214763750993913	FGF16
FGFR3 mutant receptor activation_Homo sapiens_R-HSA-2033514	1/12	0.044670959469932471075370727930931025184690952301025390625	0.392453839679514915328439883523969911038875579833984375	0.03693967951076869427051718730581342242658138275146484375	0.08088240551581744874898305397437070496380329132080078125	-1.5172726088638593	1.419160230890727	FGF16
Signaling by activated point mutants of FGFR3_Homo sapiens_R-HSA-1839130	1/12	0.044670959469932471075370727930931025184690952301025390625	0.392453839679514915328439883523969911038875579833984375	0.03693967951076869427051718730581342242658138275146484375	0.08088240551581744874898305397437070496380329132080078125	-1.4846332448803097	1.3886314471662877	FGF16
FGFR3 ligand binding and activation_Homo sapiens_R-HSA-190239	1/13	0.04830338928131860942727371366345323622226715087890625	0.392453839679514915328439883523969911038875579833984375	0.039726188337032168618190297593173454515635967254638671875	0.08088240551581744874898305397437070496380329132080078125	-1.4601919408288315	1.3657706069334046	FGF16
Immune System_Homo sapiens_R-HSA-168256	9/1547	0.131489807018454751830205395890516228973865509033203125	0.417008724465282032412005719379521906375885009765625	0.025492120026386046183208833326716558076441287994384765625	0.08088240551581744874898305397437070496380329132080078125	-1.5544125441670384	1.359564033433983	CNKSR2;OTUD5;FGF16;RPS6KA3;EDA;SH3KBP1;AP1S2;TAB3;UBE2A
Rho GTPase cycle_Homo sapiens_R-HSA-194840	2/122	0.07859103672148469443836660275337635539472103118896484375	0.392453839679514915328439883523969911038875579833984375	0.04936193925350544631225346847713808529078960418701171875	0.08088240551581744874898305397437070496380329132080078125	-1.4517101990052266	1.3578373254555587	OPHN1;FGD1
SHC-mediated cascade:FGFR3_Homo sapiens_R-HSA-5654704	1/18	0.0662620878646738298289875501723145134747028350830078125	0.392453839679514915328439883523969911038875579833984375	0.053542847563373248409579474582642433233559131622314453125	0.08088240551581744874898305397437070496380329132080078125	-1.4421050085051272	1.3488532415880738	FGF16
