Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ectoderm Differentiation_Homo sapiens_WP2858	4/139	0.001946227870514564105286492434743195190094411373138427734375	0.108988760748815582957149672438390552997589111328125	0.0066313389318184458309790585417431429959833621978759765625	0.3713549801818329942904028939665295183658599853515625	-1.848387204453858	4.096969673475707	EDA;ARX;BCOR;WDR44
EGFR1 Signaling Pathway_Mus musculus_WP572	3/171	0.0274002590784153086944652244483222602866590023040771484375	0.41513949504487313024725381183088757097721099853515625	0.06439151026613192108083438824905897490680217742919921875	0.5621376884883069191545246212626807391643524169921875	-2.148610974318129	1.8889313185890857	RPS6KA3;SH3KBP1;RBBP7
PluriNetWork_Mus musculus_WP1763	3/284	0.0937678632955072088872583435659180395305156707763671875	0.41513949504487313024725381183088757097721099853515625	0.195647661263153971322736879301373846828937530517578125	0.5621376884883069191545246212626807391643524169921875	-1.9523442213027773	1.7163852313728363	TFE3;RBBP7;ZFX
Retinoblastoma (RB) in Cancer_Homo sapiens_WP2446	2/90	0.046045069354776924086536382674239575862884521484375	0.41513949504487313024725381183088757097721099853515625	0.08581635387235032885744345776402042247354984283447265625	0.5621376884883069191545246212626807391643524169921875	-1.869342453310406	1.6434150004035881	SUV39H1;RBBP7
Regulation of toll-like receptor signaling pathway_Homo sapiens_WP1449	2/141	0.100448331736509299805248929260415025055408477783203125	0.41513949504487313024725381183088757097721099853515625	0.17664765253200676031752891503856517374515533447265625	0.5621376884883069191545246212626807391643524169921875	-1.836743278882392	1.6147557399449721	OTUD5;TAB3
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	2/150	0.11133045170859301453702983053517527878284454345703125	0.41513949504487313024725381183088757097721099853515625	0.1940298638522867935574112152607995085418224334716796875	0.5621376884883069191545246212626807391643524169921875	-1.8014803925859388	1.583754702016105	FGF16;FGD1
Metapathway biotransformation_Mus musculus_WP1251	2/132	0.0898930120849783242942265815145219676196575164794921875	0.41513949504487313024725381183088757097721099853515625	0.1595577747933434320515289073227904736995697021484375	0.5621376884883069191545246212626807391643524169921875	-1.8014083606273619	1.583691375790873	CHST7;HS6ST2
Metapathway biotransformation_Homo sapiens_WP702	2/178	0.1469235059268305665369780399487353861331939697265625	0.41513949504487313024725381183088757097721099853515625	0.2493235706124095063529466642648912966251373291015625	0.5621376884883069191545246212626807391643524169921875	-1.7642262308376853	1.5510030528273113	CHST7;HS6ST2
Regulation of Actin Cytoskeleton_Mus musculus_WP523	2/148	0.10888569468604425427571413820260204374790191650390625	0.41513949504487313024725381183088757097721099853515625	0.19014516932376945845817317604087293148040771484375	0.5621376884883069191545246212626807391643524169921875	-1.7552627441029567	1.5431228869809277	FGF16;FGD1
Imatinib Resistance in Chronic Myeloid Leukemia_Homo sapiens_WP2946	2/50	0.01551730981204595648248467654184423736296594142913818359375	0.41513949504487313024725381183088757097721099853515625	0.0309812930747808967790746237369603477418422698974609375	0.5621376884883069191545246212626807391643524169921875	-1.7527037003979775	1.5408731275513468	PIM2;SLC7A3
EGF/EGFR Signaling Pathway_Homo sapiens_WP437	2/163	0.127558948417052786528103069940698333084583282470703125	0.41513949504487313024725381183088757097721099853515625	0.219527907168595159959068041644059121608734130859375	0.5621376884883069191545246212626807391643524169921875	-1.6932317776857329	1.4885889408229793	RPS6KA3;SH3KBP1
Interactome of polycomb repressive complex 2 (PRC2) _Homo sapiens_WP2916	1/16	0.05911909757428567002701669252928695641458034515380859375	0.41513949504487313024725381183088757097721099853515625	0.0870384785483117318083401414696709252893924713134765625	0.5621376884883069191545246212626807391643524169921875	-1.6193482697394843	1.4236349432147408	RBBP7
Serotonin and anxiety_Mus musculus_WP2141	1/17	0.06269730757220363936976781360499444417655467987060546875	0.41513949504487313024725381183088757097721099853515625	0.0919230745515665914613379072761745192110538482666015625	0.5621376884883069191545246212626807391643524169921875	-1.5709812163736776	1.3811134989037082	FMR1
mRNA processing_Mus musculus_WP310	3/398	0.1927745401556028859157976285132463090121746063232421875	0.41513949504487313024725381183088757097721099853515625	0.362265328808860032072658441393286921083927154541015625	0.5621376884883069191545246212626807391643524169921875	-1.5262583327456853	1.341795792463463	ZRSR2;SLC6A8;FMR1
Urea cycle and metabolism of amino groups_Homo sapiens_WP497	1/20	0.07335155810760339567533350191297358833253383636474609375	0.41513949504487313024725381183088757097721099853515625	0.1064254412414283035293038892632466740906238555908203125	0.5621376884883069191545246212626807391643524169921875	-1.523550608916557	1.3394153222880494	SMS
Small Ligand GPCRs_Homo sapiens_WP247	1/19	0.06981348820106043906452697456188616342842578887939453125	0.41513949504487313024725381183088757097721099853515625	0.101616429152810938685291830552159808576107025146484375	0.5621376884883069191545246212626807391643524169921875	-1.480680280454531	1.301726272460953	GPR50
TCA Cycle_Mus musculus_WP434	1/30	0.10800985742069520167962792811522376723587512969970703125	0.41513949504487313024725381183088757097721099853515625	0.1531642032464113345469058913295157253742218017578125	0.5621376884883069191545246212626807391643524169921875	-1.433556425668586	1.2602977745980188	PDK3
