Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	6/214	0.06976417078828058004891232712907367385923862457275390625	0.88079237151389333515538737628958187997341156005859375	0.07078202892396169565447650029454962350428104400634765625	0.88099524535807616221205762485624291002750396728515625	-1.846716546156202	0.23440992596232135	FGF16;DIAPH2;ARAF;MSN;FGF13;FGD1
FoxO signaling pathway_Homo sapiens_hsa04068	5/133	0.034022812269761108783239222930205869488418102264404296875	0.88079237151389333515538737628958187997341156005859375	0.035673475077946596722977545823596301488578319549560546875	0.88099524535807616221205762485624291002750396728515625	-1.8262560285717904	0.2318128038311012	ARAF;IRS4;AGAP2;FOXO4;S1PR4
Melanoma_Homo sapiens_hsa05218	3/71	0.07062839422572698977464966674233437515795230865478515625	0.88079237151389333515538737628958187997341156005859375	0.07430734551703190027271972439848468638956546783447265625	0.88099524535807616221205762485624291002750396728515625	-1.8216222405483162	0.23122462157337004	FGF16;ARAF;FGF13
Lysosome_Homo sapiens_hsa04142	4/123	0.0845595640509899382220027064249734394252300262451171875	0.88079237151389333515538737628958187997341156005859375	0.08721948129989769149528200387067045085132122039794921875	0.88099524535807616221205762485624291002750396728515625	-1.649005388767983	0.20931378553851793	LAMP2;AP1S2;IDS;IGF2R
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	5/137	0.0379047444504706787515857513426453806459903717041015625	0.88079237151389333515538737628958187997341156005859375	0.039595452913826843788225318121476448141038417816162109375	0.88099524535807616221205762485624291002750396728515625	-1.6212437803134108	0.20578991145184433	HUWE1;XIAP;UBA1;UBE2A;KLHL13
Citrate cycle (TCA cycle)_Homo sapiens_hsa00020	2/30	0.0612694275158536527658981185595621354877948760986328125	0.88079237151389333515538737628958187997341156005859375	0.06649613887842163728603139816186740063130855560302734375	0.88099524535807616221205762485624291002750396728515625	-1.5324986890245111	0.19452519932163156	PDHA1;IDH3G
Ovarian steroidogenesis_Homo sapiens_hsa04913	2/50	0.145385587855688225289441106724552810192108154296875	0.88079237151389333515538737628958187997341156005859375	0.1505210699142038865971926497877575457096099853515625	0.88099524535807616221205762485624291002750396728515625	-1.516836904805498	0.19253719651369752	LHB;GNAS
NF-kappa B signaling pathway_Homo sapiens_hsa04064	3/93	0.1301795804802999001470453777073998935520648956298828125	0.88079237151389333515538737628958187997341156005859375	0.133834764486145341155776122832321561872959136962890625	0.88099524535807616221205762485624291002750396728515625	-1.5113134907987942	0.1918360910456897	IRAK1;XIAP;TAB3
Tight junction_Homo sapiens_hsa04530	4/139	0.1181759101426258784517386857260135002434253692626953125	0.88079237151389333515538737628958187997341156005859375	0.120749663818800090364646848684060387313365936279296875	0.88099524535807616221205762485624291002750396728515625	-1.5066761065947571	0.19124745231269638	CLDN14;SHROOM2;CASK;SHROOM4
ABC transporters_Homo sapiens_hsa02010	2/44	0.1181399057421311515891915178144699893891811370849609375	0.88079237151389333515538737628958187997341156005859375	0.12345296283573246876041906716636731289327144622802734375	0.88099524535807616221205762485624291002750396728515625	-1.4444326713152476	0.1833466842788152	ABCB7;ABCD1
