Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ectoderm Differentiation_Homo sapiens_WP2858	8/139	0.000595947848575042473349971938745284205651842057704925537109375	0.08522054234623106794277447306740214116871356964111328125	0.0014371553428851615262507035453154458082281053066253662109375	0.205513214032578106493787117869942449033260345458984375	-1.848387204453858	4.5516770890654135	ARHGEF9;EDA;ARX;BCOR;TBL1X;HDAC6;WDR44;PHF8
mRNA processing_Mus musculus_WP310	11/398	0.019386759669443885678585814957841648720204830169677734375	0.50736041190137848300167888737632893025875091552734375	0.0389022984904432711505961606235359795391559600830078125	0.7802772606217798223582349237403832376003265380859375	-2.0853065455188733	1.414950674920944	ZRSR2;RBMXL2;SLC6A8;DDX4;RBMX2;FMR1;CSTF2;HNRNPH2;HTATSF1;RBMX;RBM10
EGFR1 Signaling Pathway_Mus musculus_WP572	6/171	0.028383799267209984529269917175042792223393917083740234375	0.50736041190137848300167888737632893025875091552734375	0.047343745332832080918716854966987739317119121551513671875	0.811847050605289499713990153395570814609527587890625	-2.0138535774313	1.3664674312281275	RPS6KA3;SH3KBP1;ARAF;REPS2;RBBP7;PLEC
TCA Cycle_Mus musculus_WP434	3/30	0.00746998453325467721974906254445158992893993854522705078125	0.50736041190137848300167888737632893025875091552734375	0.01255172795179752311123255736902137869037687778472900390625	0.7802772606217798223582349237403832376003265380859375	-2.001608323447925	1.3581586142699744	PDHA1;IDH3G;PDK3
Nucleotide Metabolism_Homo sapiens_WP404	2/19	0.026510429790549495943086100169239216484129428863525390625	0.50736041190137848300167888737632893025875091552734375	0.0381953903800871241713821291341446340084075927734375	0.7802772606217798223582349237403832376003265380859375	-1.9334072181393012	1.3118818689184752	PRPS2;SAT1
Nucleotide Metabolism_Mus musculus_WP87	2/19	0.026510429790549495943086100169239216484129428863525390625	0.50736041190137848300167888737632893025875091552734375	0.0381953903800871241713821291341446340084075927734375	0.7802772606217798223582349237403832376003265380859375	-1.8332409888905516	1.2439157111445167	PRPS2;SAT1
Serotonin and anxiety_Mus musculus_WP2141	2/17	0.0214581505011335327282040452701039612293243408203125	0.50736041190137848300167888737632893025875091552734375	0.0317014144085936144801252112301881425082683563232421875	0.7802772606217798223582349237403832376003265380859375	-1.7600888393275493	1.194279515632392	FMR1;HTR2C
Small Ligand GPCRs_Homo sapiens_WP247	2/19	0.026510429790549495943086100169239216484129428863525390625	0.50736041190137848300167888737632893025875091552734375	0.0381953903800871241713821291341446340084075927734375	0.7802772606217798223582349237403832376003265380859375	-1.480680280454531	1.0046914045675541	GPR50;S1PR4
Fatty Acid Beta Oxidation_Homo sapiens_WP143	2/34	0.07633068393279170138487899066603858955204486846923828125	0.73329680497536864347551954779191873967647552490234375	0.09944489121450150737047124493983574211597442626953125	0.811847050605289499713990153395570814609527587890625	-1.8285362647745258	0.5672206183168726	GK;ACSL4
Regulation of toll-like receptor signaling pathway_Homo sapiens_WP1449	4/141	0.122735182801702980004421306148287840187549591064453125	0.73329680497536864347551954779191873967647552490234375	0.168578460452415479498000649982714094221591949462890625	0.811847050605289499713990153395570814609527587890625	-1.7563159672554587	0.5448175396342384	OTUD5;IRAK1;TAB3;IL12A
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	4/150	0.1441458516986646731794508013990707695484161376953125	0.73329680497536864347551954779191873967647552490234375	0.195333411129562595220932053052820265293121337890625	0.811847050605289499713990153395570814609527587890625	-1.6676521408544427	0.517313600334612	FGF16;MSN;FGF13;FGD1
Apoptosis Modulation and Signaling_Homo sapiens_WP1772	3/93	0.1301795804802999001470453777073998935520648956298828125	0.73329680497536864347551954779191873967647552490234375	0.170765886923533061203528404803364537656307220458984375	0.811847050605289499713990153395570814609527587890625	-1.6575199340275435	0.5141705417407061	IRAK1;AIFM1;XIAP
Electron Transport Chain_Mus musculus_WP295	3/93	0.1301795804802999001470453777073998935520648956298828125	0.73329680497536864347551954779191873967647552490234375	0.170765886923533061203528404803364537656307220458984375	0.811847050605289499713990153395570814609527587890625	-1.627619126243682	0.504895169408166	NDUFA1;SLC25A5;SLC25A14
Regulation of Actin Cytoskeleton_Mus musculus_WP523	4/148	0.13926599430212627250824652946903370320796966552734375	0.73329680497536864347551954779191873967647552490234375	0.1892731049741601390135059546082629822194576263427734375	0.811847050605289499713990153395570814609527587890625	-1.623551272111276	0.5036333017708343	FGF16;MSN;FGF13;FGD1
Structural Pathway of Interleukin 1 (IL-1)_Homo sapiens_WP2637	2/47	0.131598356845774588919084635563194751739501953125	0.73329680497536864347551954779191873967647552490234375	0.1645241536068986765162236451942590065300464630126953125	0.811847050605289499713990153395570814609527587890625	-1.5105823349913832	0.4685898018970996	IRAK1;TAB3
Electron Transport Chain_Homo sapiens_WP111	3/103	0.1615742439538417618560828259433037601411342620849609375	0.73329680497536864347551954779191873967647552490234375	0.208438726511482264047714352273033000528812408447265625	0.811847050605289499713990153395570814609527587890625	-1.4708379105055367	0.4562608929955909	NDUFA1;SLC25A5;SLC25A14
EGF/EGFR Signaling Pathway_Homo sapiens_WP437	4/163	0.1774032153105689901817498821401386521756649017333984375	0.73329680497536864347551954779191873967647552490234375	0.23609208415859506136058598713134415447711944580078125	0.811847050605289499713990153395570814609527587890625	-1.4605819163496359	0.4530794349853602	RPS6KA3;SH3KBP1;REPS2;FOXO4
IL-1 signaling pathway_Homo sapiens_WP195	2/55	0.16896806461052349401796845995704643428325653076171875	0.73329680497536864347551954779191873967647552490234375	0.207507967386134029030841929852613247931003570556640625	0.811847050605289499713990153395570814609527587890625	-1.400428195059437	0.4344194654558553	IRAK1;TAB3
ESC Pluripotency Pathways_Mus musculus_WP339	3/117	0.208772721362408597567394963334663771092891693115234375	0.73329680497536864347551954779191873967647552490234375	0.2638492323255301474915768267237581312656402587890625	0.811847050605289499713990153395570814609527587890625	-1.2505450065585961	0.387924989795437	FGF16;ARAF;FGF13
Imatinib Resistance in Chronic Myeloid Leukemia_Homo sapiens_WP2946	2/50	0.145385587855688225289441106724552810192108154296875	0.73329680497536864347551954779191873967647552490234375	0.1804652852374320215478320506008458323776721954345703125	0.811847050605289499713990153395570814609527587890625	-1.136972934078284	0.35269439447347056	PIM2;SLC7A3
