Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Tight junction_Homo sapiens_hsa04530	3/139	0.00767015655141224661495158443358377553522586822509765625	0.283795792402253110875420816228142939507961273193359375	0.011951994683102852568001850386281148530542850494384765625	0.442223803274805538077174560385174117982387542724609375	-1.697157934993861	2.137570996653895	SHROOM2;CASK;SHROOM4
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	2/214	0.1278526526139464880582607975156861357390880584716796875	0.460338332144876460905180692861904390156269073486328125	0.1670840075004324798424448772493633441627025604248046875	0.54050136662586700797561434228555299341678619384765625	-1.7972517514439976	1.394296325819199	FGF13;FGD1
MAPK signaling pathway_Homo sapiens_hsa04010	2/255	0.16890577680352947265163265910814516246318817138671875	0.460338332144876460905180692861904390156269073486328125	0.218077157413400557484095543259172700345516204833984375	0.54050136662586700797561434228555299341678619384765625	-1.743190574236827	1.3523560129560415	RPS6KA3;FGF13
beta-Alanine metabolism_Homo sapiens_hsa00410	1/31	0.08615864754593920149527974672309937886893749237060546875	0.460338332144876460905180692861904390156269073486328125	0.10381893074604038595953880985689465887844562530517578125	0.54050136662586700797561434228555299341678619384765625	-1.713635239303802	1.329427174593601	SMS
Cysteine and methionine metabolism_Homo sapiens_hsa00270	1/45	0.12263639652019941994609553148620761930942535400390625	0.460338332144876460905180692861904390156269073486328125	0.14591646495861232413204788826988078653812408447265625	0.54050136662586700797561434228555299341678619384765625	-1.700375134018058	1.3191400703718168	SMS
mTOR signaling pathway_Homo sapiens_hsa04150	1/60	0.1601321304560184566323499666395946405827999114990234375	0.460338332144876460905180692861904390156269073486328125	0.1889160242708642079012548720129416324198246002197265625	0.54050136662586700797561434228555299341678619384765625	-1.6415567472037018	1.2735091449547302	RPS6KA3
Glycerolipid metabolism_Homo sapiens_hsa00561	1/59	0.1576821814455064141302642610753537155687808990478515625	0.460338332144876460905180692861904390156269073486328125	0.186115158743265507457209650965523906052112579345703125	0.54050136662586700797561434228555299341678619384765625	-1.6369128312633592	1.2699064248973813	GK
Arginine and proline metabolism_Homo sapiens_hsa00330	1/50	0.135314216309789625558579473363352008163928985595703125	0.460338332144876460905180692861904390156269073486328125	0.16048678363605428653926310289534740149974822998046875	0.54050136662586700797561434228555299341678619384765625	-1.6249666383416181	1.2606386454196714	SMS
Glutathione metabolism_Homo sapiens_hsa00480	1/52	0.1403347803585633657430520315756439231336116790771484375	0.460338332144876460905180692861904390156269073486328125	0.166247955354710985620414476215955801308155059814453125	0.54050136662586700797561434228555299341678619384765625	-1.5691558972517892	1.2173410321719593	SMS
Long-term potentiation_Homo sapiens_hsa04720	1/66	0.17468544048153400449763239521416835486888885498046875	0.460338332144876460905180692861904390156269073486328125	0.2055282266459099727029524729005061089992523193359375	0.54050136662586700797561434228555299341678619384765625	-1.5035552771027665	1.1664484938440627	RPS6KA3
Melanoma_Homo sapiens_hsa05218	1/71	0.1866236481668418212276350232059485279023647308349609375	0.460338332144876460905180692861904390156269073486328125	0.219122175659135276504230205318890511989593505859375	0.54050136662586700797561434228555299341678619384765625	-1.481428417282872	1.1492826185992575	FGF13
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	1/98	0.2482160792571641294568252078533987514674663543701171875	0.4822909603673826151037928866571746766567230224609375	0.288762540282101853872376295839785598218441009521484375	0.5545341436037227733635290860547684133052825927734375	-1.5206356764080249	1.108859236287634	RPS6KA3
Glycosaminoglycan biosynthesis - heparan sulfate / heparin_Homo sapiens_hsa00534	1/24	0.0673649231741576259846482344073592685163021087646484375	0.460338332144876460905180692861904390156269073486328125	0.0820314843164720031154502066783607006072998046875	0.54050136662586700797561434228555299341678619384765625	-1.3519912839925625	1.048866124790726	HS6ST2
Insulin resistance_Homo sapiens_hsa04931	1/109	0.271973840591604953953464018923114053905010223388671875	0.4822909603673826151037928866571746766567230224609375	0.31539297370479635329587608794099651277065277099609375	0.5545341436037227733635290860547684133052825927734375	-1.4108735265329053	1.0288198319963224	RPS6KA3
