Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ectoderm Differentiation_Homo sapiens_WP2858	4/139	0.002140855662416292493066549695868161506950855255126953125	0.119887917095312379611726782968617044389247894287109375	0.0066313389318184458309790585417431429959833621978759765625	0.3713549801818329942904028939665295183658599853515625	-1.848387204453858	3.9207952355428835	EDA;ARX;BCOR;WDR44
EGFR1 Signaling Pathway_Mus musculus_WP572	3/171	0.0292901563665356919063942342518203076906502246856689453125	0.42463644328767546909375596442259848117828369140625	0.06439151026613192108083438824905897490680217742919921875	0.5621376884883069191545246212626807391643524169921875	-2.148610974318129	1.8403323620402796	RPS6KA3;SH3KBP1;RBBP7
PluriNetWork_Mus musculus_WP1763	3/284	0.09945897639615873531138134922002791427075862884521484375	0.42463644328767546909375596442259848117828369140625	0.195647661263153971322736879301373846828937530517578125	0.5621376884883069191545246212626807391643524169921875	-1.9523442213027773	1.6722255891139495	TFE3;RBBP7;ZFX
Retinoblastoma (RB) in Cancer_Homo sapiens_WP2446	2/90	0.04823991689314173492153514644087408669292926788330078125	0.42463644328767546909375596442259848117828369140625	0.08581635387235032885744345776402042247354984283447265625	0.5621376884883069191545246212626807391643524169921875	-1.869342453310406	1.6011327567824027	SUV39H1;RBBP7
Regulation of toll-like receptor signaling pathway_Homo sapiens_WP1449	2/141	0.10490346530094464549964783373070531524717807769775390625	0.42463644328767546909375596442259848117828369140625	0.17664765253200676031752891503856517374515533447265625	0.5621376884883069191545246212626807391643524169921875	-1.836743278882392	1.5732108498421717	OTUD5;TAB3
Metapathway biotransformation_Mus musculus_WP1251	2/132	0.0939317307471594087342481316227349452674388885498046875	0.42463644328767546909375596442259848117828369140625	0.1595577747933434320515289073227904736995697021484375	0.5621376884883069191545246212626807391643524169921875	-1.8014083606273619	1.5429457183911808	CHST7;HS6ST2
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	2/150	0.116204609406390435566436281078495085239410400390625	0.42463644328767546909375596442259848117828369140625	0.1940298638522867935574112152607995085418224334716796875	0.5621376884883069191545246212626807391643524169921875	-1.7747147422396394	1.5200820495530054	FGF16;FGD1
Regulation of Actin Cytoskeleton_Mus musculus_WP523	2/148	0.11366660845175154126440730806280043907463550567626953125	0.42463644328767546909375596442259848117828369140625	0.19014516932376945845817317604087293148040771484375	0.5621376884883069191545246212626807391643524169921875	-1.7552627441029567	1.5034209870781454	FGF16;FGD1
Imatinib Resistance in Chronic Myeloid Leukemia_Homo sapiens_WP2946	2/50	0.01629870759098615839999268928295350633561611175537109375	0.42463644328767546909375596442259848117828369140625	0.0309812930747808967790746237369603477418422698974609375	0.5621376884883069191545246212626807391643524169921875	-1.7527037003979775	1.5012291100922972	PIM2;SLC7A3
Metapathway biotransformation_Homo sapiens_WP702	2/178	0.1530985911192473125641555498077650554478168487548828125	0.42463644328767546909375596442259848117828369140625	0.2493235706124095063529466642648912966251373291015625	0.5621376884883069191545246212626807391643524169921875	-1.7117238993809514	1.4661290129118207	CHST7;HS6ST2
EGF/EGFR Signaling Pathway_Homo sapiens_WP437	2/163	0.133039228694309008549367945306585170328617095947265625	0.42463644328767546909375596442259848117828369140625	0.219527907168595159959068041644059121608734130859375	0.5621376884883069191545246212626807391643524169921875	-1.6932317776857329	1.4502901056339235	RPS6KA3;SH3KBP1
Interactome of polycomb repressive complex 2 (PRC2) _Homo sapiens_WP2916	1/16	0.060629680527434948178466811441467143595218658447265625	0.42463644328767546909375596442259848117828369140625	0.0870384785483117318083401414696709252893924713134765625	0.5621376884883069191545246212626807391643524169921875	-1.6193482697394843	1.3870072627555414	RBBP7
Serotonin and anxiety_Mus musculus_WP2141	1/17	0.0642961579531819149568860893850796855986118316650390625	0.42463644328767546909375596442259848117828369140625	0.0919230745515665914613379072761745192110538482666015625	0.5621376884883069191545246212626807391643524169921875	-1.5709812163736776	1.3455798221301525	FMR1
mRNA processing_Mus musculus_WP310	3/398	0.2029658970317402832961306557990610599517822265625	0.42463644328767546909375596442259848117828369140625	0.362265328808860032072658441393286921083927154541015625	0.5621376884883069191545246212626807391643524169921875	-1.5262583327456853	1.3072736927060136	ZRSR2;SLC6A8;FMR1
Urea cycle and metabolism of amino groups_Homo sapiens_WP497	1/20	0.07521103729062873777255759932813816703855991363525390625	0.42463644328767546909375596442259848117828369140625	0.1064254412414283035293038892632466740906238555908203125	0.5621376884883069191545246212626807391643524169921875	-1.523550608916557	1.3049544679371863	SMS
Gastric Cancer Network 2_Homo sapiens_WP2363	1/31	0.114167583656522075852279840546543709933757781982421875	0.42463644328767546909375596442259848117828369140625	0.157705638725589347703959219870739616453647613525390625	0.5621376884883069191545246212626807391643524169921875	-1.4811454955751204	1.2686335595312346	OTUD5
Small Ligand GPCRs_Homo sapiens_WP247	1/19	0.07158678270516820318913886467271368019282817840576171875	0.42463644328767546909375596442259848117828369140625	0.101616429152810938685291830552159808576107025146484375	0.5621376884883069191545246212626807391643524169921875	-1.480680280454531	1.2682350925905157	GPR50
TCA Cycle_Mus musculus_WP434	1/30	0.11069408032272683162222648434180882759392261505126953125	0.42463644328767546909375596442259848117828369140625	0.1531642032464113345469058913295157253742218017578125	0.5621376884883069191545246212626807391643524169921875	-1.433556425668586	1.227872478779431	PDK3
IL-1 signaling pathway_Homo sapiens_WP195	1/55	0.1936284033508042512483626751418341882526874542236328125	0.42463644328767546909375596442259848117828369140625	0.259886557637271808918200122207053937017917633056640625	0.5621376884883069191545246212626807391643524169921875	-1.432991391106797	1.2273885143009096	TAB3
TGF Beta Signaling Pathway_Mus musculus_WP113	1/52	0.1840943216193442755201914451390621252357959747314453125	0.42463644328767546909375596442259848117828369140625	0.2478033092820521032795255678138346411287784576416015625	0.5621376884883069191545246212626807391643524169921875	-1.4305221075422416	1.2252735188414137	TFE3
TGF-beta Receptor Signaling_Homo sapiens_WP560	1/56	0.1967819247644432001376202379105961881577968597412109375	0.42463644328767546909375596442259848117828369140625	0.263872358738640289121946125305839814245700836181640625	0.5621376884883069191545246212626807391643524169921875	-1.4264077168427594	1.221749453086915	TFE3
Structural Pathway of Interleukin 1 (IL-1)_Homo sapiens_WP2637	1/47	0.1679563009089147518348994481129921041429042816162109375	0.42463644328767546909375596442259848117828369140625	0.2272386514465137563600904968552640639245510101318359375	0.5621376884883069191545246212626807391643524169921875	-1.394322017277078	1.1942673486132727	TAB3
Splicing factor NOVA regulated synpatic proteins_Mus musculus_WP1983	1/42	0.151503253916299540637879772475571371614933013916015625	0.42463644328767546909375596442259848117828369140625	0.2061298002717321387056159665007726289331912994384765625	0.5621376884883069191545246212626807391643524169921875	-1.3108181945756343	1.1227444954265482	CASK
Hair Follicle Development: Induction (Part 1 of 3)_Homo sapiens_WP2804	1/42	0.151503253916299540637879772475571371614933013916015625	0.42463644328767546909375596442259848117828369140625	0.2061298002717321387056159665007726289331912994384765625	0.5621376884883069191545246212626807391643524169921875	-1.305615222321509	1.1182880357265306	EDA
Kit receptor signaling pathway_Homo sapiens_WP304	1/59	0.2061696235316754777233683171289158053696155548095703125	0.42463644328767546909375596442259848117828369140625	0.2757053947867316168185425340197980403900146484375	0.5621376884883069191545246212626807391643524169921875	-1.3016998302647171	1.1149344166683033	RPS6KA3
Notch Signaling Pathway_Homo sapiens_WP61	1/62	0.215448992943752581918914756897720508277416229248046875	0.42463644328767546909375596442259848117828369140625	0.2873540696704524055604679233510978519916534423828125	0.5621376884883069191545246212626807391643524169921875	-1.2069803971741	1.033805147519852	FHL1
