Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Chondroitin sulfate/dermatan sulfate metabolism_Homo sapiens_R-HSA-1793185	2/50	0.01020330138983123469120783965990995056927204132080078125	0.233065387722083905419623306443099863827228546142578125	0.010479355285863578561844633441069163382053375244140625	0.20230741300353383138599383528344333171844482421875	-2.132655710136057	3.1060770440357195	CHST7;GPC3
Developmental Biology_Homo sapiens_R-HSA-1266738	6/786	0.032181966462262880102063178355820127762854099273681640625	0.233065387722083905419623306443099863827228546142578125	0.0271387993053520994168881230734768905676901340484619140625	0.20230741300353383138599383528344333171844482421875	-2.101622290905839	3.0608788479036457	CNKSR2;RPS6KA3;MED14;ZIC3;RBBP7;TBL1X
HS-GAG biosynthesis_Homo sapiens_R-HSA-2022928	2/31	0.004019505636824135565154936244880445883609354496002197265625	0.233065387722083905419623306443099863827228546142578125	0.0043214570396716868450059934048113063909113407135009765625	0.20230741300353383138599383528344333171844482421875	-2.0889036655932878	3.042354981192649	GPC3;HS6ST2
Fatty acid, triacylglycerol, and ketone body metabolism_Homo sapiens_R-HSA-535734	3/217	0.0286113468794712937082191928084284882061183452606201171875	0.233065387722083905419623306443099863827228546142578125	0.0273652578108325682249013510727309039793908596038818359375	0.20230741300353383138599383528344333171844482421875	-2.058953283102464	2.9987341590071015	MED14;GK;TBL1X
MAP kinase activation in TLR cascade_Homo sapiens_R-HSA-450294	2/60	0.0144584904228748055421416296439929283224046230316162109375	0.233065387722083905419623306443099863827228546142578125	0.0146722956887638082690283880538117955438792705535888671875	0.20230741300353383138599383528344333171844482421875	-2.0059563620066485	2.921547523003026	RPS6KA3;TAB3
TRAF6 Mediated Induction of proinflammatory cytokines_Homo sapiens_R-HSA-168180	2/72	0.0203980707800592575562603769867564551532268524169921875	0.233065387722083905419623306443099863827228546142578125	0.02050060073307737040781972837066859938204288482666015625	0.20230741300353383138599383528344333171844482421875	-1.9702047921529624	2.8694776413606258	RPS6KA3;TAB3
Chromatin modifying enzymes_Homo sapiens_R-HSA-3247509	3/226	0.031726996735016492479086736011595348827540874481201171875	0.233065387722083905419623306443099863827228546142578125	0.03033490762792766248789888550163595937192440032958984375	0.20230741300353383138599383528344333171844482421875	-1.969934748812256	2.8690843404553386	MSL3;TBL1X;RBBP7
Heparan sulfate/heparin (HS-GAG) metabolism_Homo sapiens_R-HSA-1638091	2/54	0.01182660428987535213007920020800156635232269763946533203125	0.233065387722083905419623306443099863827228546142578125	0.01208137705714165503756429842496800119988620281219482421875	0.20230741300353383138599383528344333171844482421875	-1.9626951921320421	2.858540387811443	GPC3;HS6ST2
Chromatin organization_Homo sapiens_R-HSA-4839726	3/226	0.031726996735016492479086736011595348827540874481201171875	0.233065387722083905419623306443099863827228546142578125	0.03033490762792766248789888550163595937192440032958984375	0.20230741300353383138599383528344333171844482421875	-1.9623278599767027	2.8580053919516737	MSL3;TBL1X;RBBP7
HDACs deacetylate histones_Homo sapiens_R-HSA-3214815	2/60	0.0144584904228748055421416296439929283224046230316162109375	0.233065387722083905419623306443099863827228546142578125	0.0146722956887638082690283880538117955438792705535888671875	0.20230741300353383138599383528344333171844482421875	-1.9465290631831902	2.8349954518987697	RBBP7;TBL1X
