Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Calcium signaling pathway_Homo sapiens_hsa04020	23/180	0.0000375646226190482998043285167710791938588954508304595947265625	0.00785100612738109417121368238667855621315538883209228515625	0.00001642318279427086143910756443897724921043845824897289276123046875	0.003432445204002610057714139912832251866348087787628173828125	-1.9578581057733178	9.489960624556396	CAMK2B;CHRNA7;SPHK1;ADCY2;PHKA1;ADRA1D;ATP2B2;AVPR1A;GRIN2C;ADCY7;ADRA1A;EGFR;CACNA1H;CACNA1I;HTR6;HRH1;GNAL;P2RX2;GNAS;SLC25A31;SLC25A5;NTSR1;DRD5
Rap1 signaling pathway_Homo sapiens_hsa04015	24/211	0.00016509401176563196834458369099962737891473807394504547119140625	0.010540519163164348281913618166072410531342029571533203125	0.0000600804338536004258939336730716007650698884390294551849365234375	0.004185603558467496619621694975421632989309728145599365234375	-1.911107417788556	8.70037094899656	EGF;ADCY2;ADCY7;PRKCZ;EGFR;FGF3;ADCY5;FGF4;FGF5;FGF16;FGF8;CNR1;PARD3;FGF20;GNAS;RAC3;FGF13;FGFR4;DRD2;FGF12;RALGDS;RAPGEF3;FGF11;BCAR1
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	29/277	0.00015956716391992247492705170319737817408167757093906402587890625	0.010540519163164348281913618166072410531342029571533203125	0.0000414769463063650628727174751730899515678174793720245361328125	0.004185603558467496619621694975421632989309728145599365234375	-1.8692253116485371	8.509701467965995	GABRB3;OPRD1;PTGER4;NPFFR1;CHRNA7;LHB;GRIK3;GPR83;ADRA1D;ADRA1A;CRHR1;HTR6;HRH1;CNR1;S1PR5;DRD2;NTSR1;DRD5;GABBR2;GABRA5;GRID1;GPR50;AVPR1A;GRIN2C;SSTR4;GRIN3B;GRIN3A;P2RX2;PARD3
Melanoma_Homo sapiens_hsa05218	12/71	0.0002017324241753942304193614187823868633131496608257293701171875	0.010540519163164348281913618166072410531342029571533203125	0.0001900635520354099238828082807373220930458046495914459228515625	0.00993082059385016861774442276100671733729541301727294921875	-1.8556416228748607	8.447861337952025	FGF5;FGF16;FGF8;EGF;CDKN2A;FGF20;FGF13;FGF12;EGFR;FGF11;FGF3;FGF4
MAPK signaling pathway_Homo sapiens_hsa04010	25/255	0.00114290087244730653552593491184552476624958217144012451171875	0.0477732564682974147896032945936894975602626800537109375	0.0003605445946332300481869392871914214993012137711048126220703125	0.01507076405566901665389334397104903473518788814544677734375	-1.8959490688636031	5.766129586462293	RASGRF1;EGFR;FGF3;CACNA1H;FGF4;FGF5;CACNA1I;RPS6KA3;FGF8;FGF20;RAC3;CACNG4;EGF;BDNF;CACNA2D3;CACNA2D2;HSPA2;MAPK8IP2;MAPK8IP1;FGF16;CACNB3;FGF13;FGFR4;FGF12;FGF11
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	21/214	0.0027022496400968820662313873981474898755550384521484375	0.08068145354003548874732842932644416578114032745361328125	0.00105040020172247373919649504614426405169069766998291015625	0.0313619488799995738137482703677960671484470367431640625	-1.7725193540878954	4.461868228788379	GSN;EGF;MSN;FGD1;EGFR;FGF3;FGF4;FGF5;FGF16;DIAPH2;FGF8;SCIN;FGF20;RAC3;MYH14;ARHGEF7;FGF13;FGFR4;FGF12;FGF11;BCAR1
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	16/148	0.0032208418279376454206042179606583886197768151760101318359375	0.0841444927548709864506548683493747375905513763427734375	0.00166617195209773044477230552473656643996946513652801513671875	0.038212463973600833966326462132201413623988628387451171875	-1.6843464387567348	4.169127665480482	CAMK2B;CACNA2D3;CACNA2D2;ADCY2;ADRA1D;ATP2B2;ADCY7;ADRA1A;ADCY5;CACNB3;PPP2R2C;PPP2R2B;GNAS;SCN5A;RAPGEF3;CACNG4
Maturity onset diabetes of the young_Homo sapiens_hsa04950	6/26	0.00154274713670216295606507639348592419992201030254364013671875	0.053739025261792007504002555151600972749292850494384765625	0.002053334992344669519825917092248346307314932346343994140625	0.0313619488799995738137482703677960671484470367431640625	-1.4239079945873925	4.162959930654081	HNF1B;MAFA;NKX6-1;MNX1;NEUROG3;NKX2-2
cAMP signaling pathway_Homo sapiens_hsa04024	19/199	0.00563562449768997657251201616190883214585483074188232421875	0.107076865456109560081898735006689094007015228271484375	0.002402475776640884685964039135797065682709217071533203125	0.038212463973600833966326462132201413623988628387451171875	-1.6860784565720919	3.767050538903025	CAMK2B;GABBR2;BDNF;NPR1;ADCY2;ATP2B2;GRIN2C;ADCY7;GLI3;ADCY5;GRIN3B;HTR6;GRIN3A;GNAS;RAC3;PPARA;DRD2;RAPGEF3;DRD5
Salivary secretion_Homo sapiens_hsa04970	11/89	0.0049773169182956746026125216530999750830233097076416015625	0.10402592359237960994988725360599346458911895751953125	0.0034544739588304863679713019308792354422621428966522216796875	0.038212463973600833966326462132201413623988628387451171875	-1.586370257916882	3.590138557206571	KCNMA1;GNAS;PRKG2;ADCY2;ADRA1D;ATP2B2;AQP5;SLC4A2;ADCY7;ADRA1A;ADCY5
Hippo signaling pathway_Homo sapiens_hsa04390	16/153	0.0044707909996316297362994873765273950994014739990234375	0.10382170210255674269728132230738992802798748016357421875	0.0022733423102937679212420807317585058626718819141387939453125	0.038212463973600833966326462132201413623988628387451171875	-1.5440376679112748	3.4973692329735484	WNT7B;WNT5A;BMP8A;BMP8B;WNT7A;FZD10;WTIP;PRKCZ;BMP6;GLI2;BMP2;DLG3;PPP2R2C;PPP2R2B;PARD3;AJUBA
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	10/81	0.00729765534562602270762798895020750933326780796051025390625	0.1271008306029865753128405003735679201781749725341796875	0.005246609801652012301798055915469376486726105213165283203125	0.038212463973600833966326462132201413623988628387451171875	-1.6727609644501358	3.4505287720852897	CAMK2B;CACNA1I;DAGLA;KCNK9;NPR1;GNAS;ADCY2;ADCY7;CACNA1H;ADCY5
Pathways in cancer_Homo sapiens_hsa05200	31/397	0.01047596506001462202117835431636194698512554168701171875	0.1506686706232270023253505542015773244202136993408203125	0.002559686581963691899554991238119328045286238193511962890625	0.038212463973600833966326462132201413623988628387451171875	-1.7627649059508665	3.33633593398254	PTGER4;LAMA5;ADCY2;LAMC2;FZD10;ADCY7;CSF2RA;GLI3;EGFR;FGF3;ADCY5;GLI2;FGF4;FGF5;FGF8;FGF20;RAC3;RALGDS;EGF;CDKN2A;WNT7B;WNT5A;WNT7A;FGF16;BMP2;COL4A2;CCNE2;GNAS;FGF13;FGF12;FGF11
