Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	30/277	0.00000036485908325614615959676424739033251398723223246634006500244140625	0.000073701534817741530167777008752949541303678415715694427490234375	0.000000128097482636606921507996660440642511247233414906077086925506591796875	0.00002587569149259459798579664779882847369663068093359470367431640625	-1.8933839058599151	18.016469816837507	OPRD1;CHRNA4;CHRNA7;LHB;GRIK3;GPR83;ADRA1D;CRHR1;HTR6;HTR7;CALCR;GRM7;DRD2;NTSR1;DRD5;GABBR2;LHCGR;GABRA5;GRID1;TACR3;GPR50;AVPR1A;GRIN2C;ADRA2B;GABRG3;ADRA2A;SSTR5;GRIN3B;GRIN3A;PARD3
Calcium signaling pathway_Homo sapiens_hsa04020	22/180	0.000001785269008195512249924309829129942528425090131349861621856689453125	0.00018031216982774674550092652847155250128707848489284515380859375	0.000001113072427849761468517781302922653452469603507779538631439208984375	0.00011242031521282590429688941213726138812489807605743408203125	-1.9326510133928403	16.6610383112324	MYLK2;LHCGR;CHRNA7;SPHK1;TACR3;ATP2B3;ADCY2;ADRA1D;ATP2B2;ADCY1;AVPR1A;GRIN2C;CACNA1H;CACNA1I;HTR6;GNAL;HTR7;GNAS;SLC25A31;PLCD3;NTSR1;DRD5
Rap1 signaling pathway_Homo sapiens_hsa04015	22/211	0.0000234834211238941508348605780032158918402274139225482940673828125	0.001299835070948739124130355548913939855992794036865234375	0.00001180911638765300944627079093862676018034107983112335205078125	0.000795147170101969356925675214142756885848939418792724609375	-1.911107417788556	12.700298536659172	FLT1;PIK3CD;ADCY2;ADCY1;NGF;PRKCZ;FGF3;RAP1GAP;ADCY5;FGF4;FGF16;FGF8;PARD3;FGF20;GNAS;RAC3;FGFR4;DRD2;FGF12;FGFR3;LAT;BCAR1
Hippo signaling pathway_Homo sapiens_hsa04390	18/153	0.00002573930833561859541041942633921024707888136617839336395263671875	0.001299835070948739124130355548913939855992794036865234375	0.00001753962374810764764305505425401321417666622437536716461181640625	0.000885750999279436251714059391559885625611059367656707763671875	-1.664311085449464	11.060209094650734	TCF7L1;WNT7B;WNT5A;TCF7;BMP8B;FZD10;GDF6;PRKCZ;BMP7;GDF7;BMP2;PPP2R2C;PARD3;AJUBA;TEAD1;TEAD2;WNT3;WNT4
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	16/142	0.00011962603387965980235481400217878444891539402306079864501953125	0.0048328917687382559609243770637476700358092784881591796875	0.000082968415072774364771128474682626574576715938746929168701171875	0.0033519239689400841253341667425047489814460277557373046875	-1.7290248164027444	9.219696803898236	WNT7B;WNT5A;ESRRB;ONECUT1;PIK3CD;INHBB;PAX6;FZD10;BMP2;HAND1;LHX5;OTX1;FGFR4;FGFR3;WNT3;WNT4
cAMP signaling pathway_Homo sapiens_hsa04024	19/199	0.000263343741844457583829719471424368748557753860950469970703125	0.00886590597543007209735410611983752460218966007232666015625	0.000139998527581151302641437883522712581907398998737335205078125	0.004713283761898760630681959327148433658294379711151123046875	-1.8153173537197114	8.578358666612905	GABBR2;BDNF;NPR1;ATP2B3;PIK3CD;ADCY2;ATP2B2;ADCY1;GRIN2C;ADCY5;SSTR5;GRIN3B;HTR6;GRIN3A;GNAS;RAC3;SOX9;DRD2;DRD5
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	16/167	0.000754034191558964977074308588811391018680296838283538818359375	0.016954900892396616851609536524847499094903469085693359375	0.00045579395326533441758221076867130250320769846439361572265625	0.01150879731994969464026201677597782691009342670440673828125	-1.7606395003220143	7.178476463463244	OPRD1;MYLK2;NPR1;NPR2;ATP2B3;PIK3CD;ADCY2;GATA4;ADRA1D;ATP2B2;ADCY1;ADRA2B;ADRA2A;ADCY5;KCNMA1;SLC25A31
Hedgehog signaling pathway_Homo sapiens_hsa04340	8/50	0.00060112607773056699576874617463317918009124696254730224609375	0.016954900892396616851609536524847499094903469085693359375	0.000687943313838432668645694878506446912069804966449737548828125	0.01150879731994969464026201677597782691009342670440673828125	-1.5445904239954258	6.2976015262147405	BMP2;ZIC2;WNT7B;WNT5A;IHH;GAS1;WNT3;WNT4
Nicotine addiction_Homo sapiens_hsa05033	7/40	0.0007554163763939087360144153393548549502156674861907958984375	0.016954900892396616851609536524847499094903469085693359375	0.000932091996075086470785464598520775325596332550048828125	0.01566155381113816524862869528078590519726276397705078125	-1.459009486146803	5.948671067733553	GRIN3B;GRIN3A;GABRA5;CHRNA4;CHRNA7;GRIN2C;GABRG3
Melanogenesis_Homo sapiens_hsa04916	11/100	0.0016275471829542641731547458761042435071431100368499755859375	0.0273970442463967768509380817931742058135569095611572265625	0.00128751079053942012360434166140521483612246811389923095703125	0.01566155381113816524862869528078590519726276397705078125	-1.6267113056766862	5.851801351028399	TCF7L1;WNT7B;WNT5A;TCF7;GNAS;ADCY2;ADCY1;FZD10;WNT3;ADCY5;WNT4
Basal cell carcinoma_Homo sapiens_hsa05217	8/55	0.0011512240110912812761367884917262927046976983547210693359375	0.0230220480135562184653696959912849706597626209259033203125	0.0012015342415740933902645881659054793999530375003814697265625	0.01566155381113816524862869528078590519726276397705078125	-1.5241421372817698	5.7480016820659365	BMP2;TCF7L1;WNT7B;WNT5A;TCF7;FZD10;WNT3;WNT4
