Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	37/277	0.000000452876593097120207456643230237158803674901719205081462860107421875	0.00010687887597092036811273485508166913859895430505275726318359375	0.00000020623563085345933571589202744356317253959787194617092609405517578125	0.000048671608881416405134774649798856671623070724308490753173828125	-1.8933839058599151	17.312750956805623	GABRB3;CHRNA3;LHB;GRIK3;LPAR3;ADRA1D;PTH1R;ADRA1B;CRHR1;HTR6;GRIN2A;HRH1;EDNRA;HRH3;GRM7;CNR1;S1PR5;DRD2;S1PR4;NTSR1;DRD5;GABBR2;LHCGR;GRID2;GABRA5;GRID1;GPR50;AVPR1A;GRIN2C;ADRA2C;ADRA2B;GABRG3;SSTR4;GRIN3B;GRIN3A;P2RX2;PARD3
Pathways in cancer_Homo sapiens_hsa05200	41/397	0.000069767793102813835501470329791828817178611643612384796142578125	0.00524053550310235420617299695322799379937350749969482421875	0.00001809025560724128648781676431678278049730579368770122528076171875	0.00142310010776964808269784423799819705891422927379608154296875	-2.056392342253971	10.798798069591909	SPI1;LAMA1;ADCY3;PIK3CD;CBLC;LPAR3;FZD10;PLD1;ADCY7;CSF2RA;GLI3;RELA;ADCY5;GLI2;FGF4;FGF5;EDNRA;RXRA;MECOM;RASSF5;RAC3;RALGDS;FGF22;RUNX1T1;WNT4;WNT10B;CDKN2A;WNT7B;DAPK2;WNT5A;NFKB1;NFKBIA;FGF16;BMP2;COL4A2;RARA;GNAS;FGF13;FGF12;FGF11;FGF10
Rap1 signaling pathway_Homo sapiens_hsa04015	27/211	0.00003412365993465030070998234013046612744801677763462066650390625	0.00402659187228873553798802475967022473923861980438232421875	0.00001991644565102109802026859874946040918075595982372760772705078125	0.00142310010776964808269784423799819705891422927379608154296875	-1.9362349887874888	10.67801638773072	ADCY3;PIK3CD;LPAR3;EFNA5;ITGAL;ADCY7;PRKCZ;ADCY5;FGF4;FGF5;GRIN2A;CNR1;RASSF5;RAC3;DRD2;RALGDS;FGF22;MAGI2;FGF16;PARD3;GNAS;FGF13;FGF12;RAPGEF3;FGF11;BCAR1;FGF10
cAMP signaling pathway_Homo sapiens_hsa04024	25/199	0.000088822635645802619865953053679419326726929284632205963134765625	0.00524053550310235420617299695322799379937350749969482421875	0.000053447754490161663849627504685457779487478546798229217529296875	0.0031534175149195383704159301174740903661586344242095947265625	-1.8670129125787593	9.804303887924448	HCN4;NPR1;ADCY3;PIK3CD;PLD1;ADCY7;GLI3;RELA;ADCY5;HTR6;GRIN2A;EDNRA;RAC3;DRD2;DRD5;GABBR2;BDNF;ATP2B2;GRIN2C;NFKB1;NFKBIA;GRIN3B;GRIN3A;GNAS;RAPGEF3
Calcium signaling pathway_Homo sapiens_hsa04020	23/180	0.00012943548727463089257315453917129843830480240285396575927734375	0.00610935499936257793429650320149448816664516925811767578125	0.000084487025243893231342233451908185770662385039031505584716796875	0.00398778759151176102892843999825345235876739025115966796875	-1.8570297362514077	9.46701517281055	LHCGR;SPHK1;ADCY3;ADRA1D;ATP2B2;AVPR1A;GRIN2C;ADRA1B;ADCY7;CACNA1H;CACNA1I;HTR6;GRIN2A;HRH1;EDNRA;GNAL;ERBB4;P2RX2;GNAS;PLCD3;PLCD1;NTSR1;DRD5
Hippo signaling pathway_Homo sapiens_hsa04390	20/153	0.0002558521227954662215046954809594126345473341643810272216796875	0.00891285857638446886441752070595612167380750179290771484375	0.000186020410889545652170784517664969826000742614269256591796875	0.007316802828322129491345204854724215692840516567230224609375	-1.6162017184341884	7.628892745408665	WNT10B;WWC1;WNT7B;WNT5A;BMP8B;FZD10;LIMD1;WTIP;PRKCZ;BMP6;GDF7;GLI2;BMP2;PPP2R2C;PPP2R2B;PARD3;AJUBA;TEAD1;TEAD3;WNT4
Cocaine addiction_Homo sapiens_hsa05030	10/49	0.0002643644492995393647204183107390917939483188092708587646484375	0.00891285857638446886441752070595612167380750179290771484375	0.000397212146626855599866601220782058589975349605083465576171875	0.01339172380056256016211957415862343623302876949310302734375	-1.614826154216811	7.62239972429682	GRIN3B;GRIN2A;GRIN3A;BDNF;GNAS;GRIN2C;DRD2;RELA;NFKB1;ADCY5
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	18/148	0.00120045054572771848176715447920059887110255658626556396484375	0.03541329109896769467002997089366544969379901885986328125	0.0008398332778062635693705484385418458259664475917816162109375	0.0247750816952847750795907444398835650645196437835693359375	-1.6843464387567348	5.626842374411035	CACNA2D1;CACNA2D2;ADCY3;PIK3CD;ADRA1D;ATP2B2;ADRA1B;ADCY7;ADCY5;CACNB3;PPP2R2C;PPP2R2B;KCNQ1;GNAS;SCN5A;CACNG2;SCN1B;RAPGEF3
Axon guidance_Homo sapiens_hsa04360	16/127	0.00151648678728034491496046154423993357340805232524871826171875	0.039765653533129045882343888251853059045970439910888671875	0.00115443092240793596624237604686413760646246373653411865234375	0.030271744187585873653301149488470400683581829071044921875	-1.5710696953377965	5.066309695721102	SEMA5B;EPHA6;SEMA4B;NTN4;UNC5C;EFNA5;NTN1;NTN3;EFNB1;EFNB3;FES;SLIT1;PAK6;PLXNA1;RAC3;EPHB1
MAPK signaling pathway_Homo sapiens_hsa04010	25/255	0.0034270959808969958006186207200016724527813494205474853515625	0.07242780785403224452778658815077506005764007568359375	0.00163354215680639185299949378560313562047667801380157470703125	0.035046904455118953192194197754361084662377834320068359375	-1.743190574236827	4.576162826205886	RASGRF1;RELA;CACNA1H;FGF4;FGF5;CACNA1I;RPS6KA3;MECOM;RAC3;CACNG2;FGF22;NTRK2;BDNF;CACNA2D1;CACNA2D2;HSPA2;MAPK8IP2;NFKB1;MAPK8IP1;FGF16;CACNB3;FGF13;FGF12;FGF11;FGF10
Glutamatergic synapse_Homo sapiens_hsa04724	14/114	0.003682769890882995646175235293640071176923811435699462890625	0.07242780785403224452778658815077506005764007568359375	0.002859559170820120434231004225011929520405828952789306640625	0.041095412789300227174305035759971360675990581512451171875	-1.6373012796138717	4.29818595958654	SLC1A2;GRIK3;ADCY3;GRIN2C;PLD1;ADCY7;ADCY5;GRIN3B;GRIN2A;GRIN3A;GRM7;GNAS;SLC38A3;SHANK2
Melanoma_Homo sapiens_hsa05218	10/71	0.00502794811028996202484364630436175502836704254150390625	0.074644696357349105131362421161611564457416534423828125	0.004714253498317684705487540242074828711338341236114501953125	0.041095412789300227174305035759971360675990581512451171875	-1.5154477996094164	3.932610990590064	FGF5;FGF16;CDKN2A;PIK3CD;FGF13;FGF12;FGF22;FGF11;FGF10;FGF4
Phospholipase D signaling pathway_Homo sapiens_hsa04072	16/144	0.005403003170729486943912878160745094646699726581573486328125	0.074644696357349105131362421161611564457416534423828125	0.0036877127819817186356321503382105220225639641284942626953125	0.041095412789300227174305035759971360675990581512451171875	-1.5144200444555884	3.929943949722922	SHC2;SHC3;SPHK1;ADCY3;PIK3CD;LPAR3;AVPR1A;GAB2;PLD1;ADCY7;ADCY5;GRM7;GNAS;RALGDS;RAPGEF3;DGKH
Ras signaling pathway_Homo sapiens_hsa04014	22/227	0.0066268846091013071386566224418857018463313579559326171875	0.0781972383873954235422587544235284440219402313232421875	0.00348266210078815481587799496310253744013607501983642578125	0.041095412789300227174305035759971360675990581512451171875	-1.5171321804577347	3.8664431409512465	SHC2;SHC3;RASGRF1;PIK3CD;GAB2;EFNA5;PLD1;RELA;NFKB1;FGF4;FGF5;FGF16;GRIN2A;RASSF5;RAC3;PAK6;FGF13;FGF12;RALGDS;FGF22;FGF11;FGF10
Bile secretion_Homo sapiens_hsa04976	10/71	0.00502794811028996202484364630436175502836704254150390625	0.074644696357349105131362421161611564457416534423828125	0.004714253498317684705487540242074828711338341236114501953125	0.041095412789300227174305035759971360675990581512451171875	-1.362651584550661	3.5361023976741657	ABCC3;SLC9A3;RXRA;NCEH1;GNAS;ADCY3;KCNN2;SLC4A2;ADCY7;ADCY5
Chronic myeloid leukemia_Homo sapiens_hsa05220	10/73	0.006135764813167435445528941073689566110260784626007080078125	0.07621265767934289059315489112123032100498676300048828125	0.005615296322089145808487131716901785694062709808349609375	0.041095412789300227174305035759971360675990581512451171875	-1.3482107943845145	3.470601597699451	NFKBIA;SHC2;SHC3;MECOM;CDKN2A;CBLC;PIK3CD;GAB2;RELA;NFKB1
Maturity onset diabetes of the young_Homo sapiens_hsa04950	6/26	0.0023427235043172677485256993890061494312249124050140380859375	0.055288274701887518691734157982864417135715484619140625	0.003462434973126013275368517696506387437693774700164794921875	0.035046904455118953192194197754361084662377834320068359375	-1.0908631118097665	3.158260798269284	HNF1B;PAX6;MAFA;NKX6-1;MNX1;NEUROG3
Hedgehog signaling pathway_Homo sapiens_hsa04340	8/50	0.005350695674648892237457165066416564513929188251495361328125	0.074644696357349105131362421161611564457416534423828125	0.00567461302998677370734714742184223723597824573516845703125	0.041095412789300227174305035759971360675990581512451171875	-1.1762466323216327	3.0523786006385785	WNT10B;BMP2;WNT7B;WNT5A;IHH;GLI3;WNT4;GLI2
Salivary secretion_Homo sapiens_hsa04970	11/89	0.00902408581889409082410491436121446895413100719451904296875	0.09625363946672294002127046042005531489849090576171875	0.007496334271878899065122414668849160079844295978546142578125	0.0793254184550964414057716567185707390308380126953125	-1.258928305424556	2.9468597134014156	KCNMA1;GNAS;ADCY3;PRKG2;ADRA1D;ATP2B2;AQP5;SLC4A2;ADRA1B;ADCY7;ADCY5
