Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Developmental Biology_Homo sapiens_R-HSA-1266738	81/786	0.000000025408794400255208435987779209963566273700052988715469837188720703125	0.000020835211408209270388114386918232412426732480525970458984375	0.00000000002857077947105489420272971662272619951250529624076079926453530788421630859375	0.000000023428039166265012677551696500428957126160867119324393570423126220703125	-2.38439952188457	25.701123285836257	RARG;ONECUT3;RASGRF1;FGF4;FGF5;RPS6KA3;CDH4;DPYSL4;CDH2;SALL4;HOXA2;SCN5A;EPHB1;SCN1B;FOXD3;TRPC5;EPHA6;UNC5C;HNF1B;PAX6;NRG2;RGMB;ANK1;CNKSR2;CACNB3;NRG3;COL4A2;SCN8A;MYOD1;KCNQ3;RARA;ARHGEF7;AJUBA;DOCK1;SPTBN4;SHC2;CEBPB;SHC3;EPHA10;LAMA1;HOXD1;NTN4;AGAP2;CRMP1;PRDM14;EFNA5;NTN1;CSF2RA;RELA;CACNA1H;NTN3;CACNA1I;EFNB1;GRIN2A;RXRA;EFNB3;ERBB4;SLIT1;PAK6;PLXNA1;RBBP7;NKX6-1;CACNG2;FGF22;KL;WNT10B;EGR2;CDX2;NR2F2;GRIN2C;MAFA;NFKB1;FGF16;MAFB;GDNF;FES;CNTN2;COL9A3;COL9A2;FGF10;NEUROG3
Neuronal System_Homo sapiens_R-HSA-112316	40/301	0.000000179579796334769653873078012161490502052174633718095719814300537109375	0.00007362771649725556068200038595250589423812925815582275390625	0.0000000117240985040684990219986904105321789959504030775860883295536041259765625	0.0000048068803866680848339387570333780530518197338096797466278076171875	-2.218236424574725	21.10982257884126	HCN4;GABRB3;KCNG3;CHRNA3;KCNK9;KCNC4;RASGRF1;GRIK3;SLC1A2;ADCY3;LIN7A;KCNA7;ADCY7;ADCY5;RPS6KA3;GRIN2A;KCNN2;CACNG2;SLC18A3;KCNJ4;GABBR2;KCNF1;KCNH3;KCNH5;KCNB1;GABRA5;KCNJ12;CACNA2D1;CACNA2D2;GRIN2C;GABRG3;CACNB3;GNAL;KCNQ1;KCNMA1;KCNQ3;KCNQ4;KCNK1;KCNK2;HCN1
Potassium Channels_Homo sapiens_R-HSA-1296071	20/99	0.00000032452561914619613772444600176270146363322055549360811710357666015625	0.000088703669233293613448528003306847722342354245483875274658203125	0.000000213103495402957999438242251387387593553057740791700780391693115234375	0.000049292764475581120581053340412580610063741914927959442138671875	-1.942917086973344	18.127823079302757	HCN4;KCNJ4;KCNF1;GABBR2;KCNH3;KCNG3;KCNH5;KCNK9;KCNB1;KCNJ12;KCNC4;KCNA7;KCNQ1;KCNMA1;KCNQ3;KCNQ4;KCNN2;KCNK1;KCNK2;HCN1
Cardiac conduction_Homo sapiens_R-HSA-5576891	23/135	0.00000107168192296139690945148796596964047012079390697181224822998046875	0.000219694794207086368555137401159527144045569002628326416015625	0.00000039152024787956684475859008530418403637440860620699822902679443359375	0.000049292764475581120581053340412580610063741914927959442138671875	-1.8888970418107638	15.91069219156539	KCNJ4;KCNIP1;KCNK9;KCNJ12;NPR1;CACNA2D1;NPR2;KCNK12;KCNIP4;CACNA2D2;GATA4;ATP2B2;CACNB3;SCN8A;KCNQ1;SCN5A;FGF13;KCNK1;CACNG2;FGF12;KCNK2;FGF11;SCN1B
Axon guidance_Homo sapiens_R-HSA-422475	52/515	0.000014685379687377049667015675715742162310561980120837688446044921875	0.0024084022687298361521668343954161173314787447452545166015625	0.00000030056563704622634629763156845216887091964963474310934543609619140625	0.000049292764475581120581053340412580610063741914927959442138671875	-2.330060422627923	14.04744896059427	RASGRF1;FGF4;FGF5;RPS6KA3;DPYSL4;SCN5A;EPHB1;SCN1B;TRPC5;EPHA6;UNC5C;NRG2;RGMB;ANK1;CNKSR2;CACNB3;COL4A2;NRG3;SCN8A;KCNQ3;ARHGEF7;DOCK1;SPTBN4;SHC2;SHC3;EPHA10;LAMA1;NTN4;AGAP2;CRMP1;EFNA5;NTN1;CSF2RA;CACNA1H;EFNB1;CACNA1I;GRIN2A;EFNB3;ERBB4;SLIT1;PLXNA1;PAK6;FGF22;KL;GRIN2C;FGF16;GDNF;FES;CNTN2;COL9A3;COL9A2;FGF10
Muscle contraction_Homo sapiens_R-HSA-397014	26/196	0.000025331924254285090726372675629107789063709788024425506591796875	0.0034620296480856291472527619390575637225992977619171142578125	0.000004820181941044030950291494896919886059549753554165363311767578125	0.000658758198609350927033023737067196634598076343536376953125	-2.0597344870174705	11.670250162236167	KCNK9;NPR1;NPR2;GATA4;SCN5A;CACNG2;SCN1B;KCNJ4;KCNIP1;KCNJ12;CACNA2D1;KCNK12;TMOD2;KCNIP4;CACNA2D2;ATP2B2;SORBS3;CACNB3;DES;KCNQ1;SCN8A;FGF13;KCNK1;FGF12;KCNK2;FGF11
Voltage gated Potassium channels_Homo sapiens_R-HSA-1296072	10/43	0.00008307890963052684649321755205875206229393370449542999267578125	0.009732100842433144549659118638373911380767822265625	0.000088608425308560521634938800250580470674321986734867095947265625	0.00803763850864263988682534289864634047262370586395263671875	-1.9331017400611492	8.954756469445666	KCNF1;KCNH3;KCNG3;KCNH5;KCNB1;KCNQ1;KCNC4;KCNQ3;KCNQ4;KCNA7
Phase 0 - rapid depolarisation_Homo sapiens_R-HSA-5576892	10/44	0.0001023005668986477008537694377565685499575920403003692626953125	0.01048580810711139017776805104631421272642910480499267578125	0.00010454058759208750676618360220260228743427433073520660400390625	0.00803763850864263988682534289864634047262370586395263671875	-1.8567288709326386	8.462473602128005	CACNB3;CACNA2D1;SCN8A;CACNA2D2;SCN5A;FGF13;CACNG2;FGF12;FGF11;SCN1B
Amine ligand-binding receptors_Homo sapiens_R-HSA-375280	9/43	0.000437286309396719996035740596340701813460327684879302978515625	0.03585747737053103512128160446081892587244510650634765625	0.0003934430547375519955644040948072870378382503986358642578125	0.00803763850864263988682534289864634047262370586395263671875	-2.0891910740229864	6.95325233417843	HTR6;HRH1;HRH3;ADRA1D;ADRA2C;ADRA1B;DRD2;ADRA2B;DRD5
Transmission across Chemical Synapses_Homo sapiens_R-HSA-112315	23/211	0.0012580356429529285407220573489439630066044628620147705078125	0.055992447180010292140384109416118008084595203399658203125	0.0002589464834435941005541526038769006845541298389434814453125	0.00803763850864263988682534289864634047262370586395263671875	-2.064179804934817	5.950077694922846	GABRB3;KCNJ4;GABBR2;CHRNA3;GABRA5;KCNJ12;CACNA2D1;RASGRF1;GRIK3;SLC1A2;CACNA2D2;ADCY3;LIN7A;GRIN2C;ADCY7;GABRG3;ADCY5;RPS6KA3;GRIN2A;CACNB3;GNAL;CACNG2;SLC18A3
GABA receptor activation_Homo sapiens_R-HSA-977443	10/55	0.000699249801601299647048348706590559231699444353580474853515625	0.045404094783660982337369915740055148489773273468017578125	0.0005072109137096015955836758593022750574164092540740966796875	0.00803763850864263988682534289864634047262370586395263671875	-1.888048493640182	5.838134784545562	GABRB3;KCNJ4;GABBR2;GNAL;KCNJ12;GABRA5;ADCY3;ADCY7;GABRG3;ADCY5
NCAM1 interactions_Homo sapiens_R-HSA-419037	8/37	0.000719821014862917908476436235076789671438746154308319091796875	0.045404094783660982337369915740055148489773273468017578125	0.000685088507442361172201927832503542958875186741352081298828125	0.00803763850864263988682534289864634047262370586395263671875	-1.87865012695098	5.8090735969378455	CACNA1I;CACNB3;GDNF;COL4A2;CNTN2;COL9A3;COL9A2;CACNA1H
FGFR1 ligand binding and activation_Homo sapiens_R-HSA-190242	5/15	0.000911295207732008036120852079164933456922881305217742919921875	0.04670387939626541307092111310339532792568206787109375	0.00145693989972130980188602666913766370271332561969757080078125	0.00803763850864263988682534289864634047262370586395263671875	-1.8931872403754608	5.800589484337588	FGF5;KL;FGF22;FGF4;FGF10
Chondroitin sulfate/dermatan sulfate metabolism_Homo sapiens_R-HSA-1793185	9/50	0.00137930215987424839053920866405178458080627024173736572265625	0.055992447180010292140384109416118008084595203399658203125	0.001023175708875401386521719615529946167953312397003173828125	0.00803763850864263988682534289864634047262370586395263671875	-1.941653861006048	5.5968919480818835	BCAN;CHST7;B3GAT2;HEXA;GPC3;SDC1;GPC4;HSPG2;CHST3
Extracellular matrix organization_Homo sapiens_R-HSA-1474244	28/283	0.00177691948254520026319325243235880407155491411685943603515625	0.05604130675719477816532076985822641290724277496337890625	0.000254851952713059325648925490526153225800953805446624755859375	0.00803763850864263988682534289864634047262370586395263671875	-1.9174382179424658	5.525416978955003	DDR1;FBN2;COL18A1;COL15A1;COL13A1;LAMA1;COL11A2;NTN4;HTRA1;LTBP4;ICAM4;LTBP2;ITGAL;ADAMTS5;HSPG2;BCAN;BMP2;ADAM15;COL4A2;LOX;COL5A3;COL8A2;SDC1;ITGA7;COL9A3;COL9A2;MATN3;PLEC
