Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Developmental Biology_Homo sapiens_R-HSA-1266738	93/786	0.000000007126945970840435065409780210875234640610642600222490727901458740234375	0.000006670821428706647353572452285863647603036952205002307891845703125	0.00000000000827188135924368968872659146273092060398790525965750930481590330600738525390625	0.0000000077424809522520929153379331232043281119103994569741189479827880859375	-2.38439952188457	28.416719255041844	SEMA5A;RARG;ONECUT3;RASGRF1;ARAF;FGF3;FGF4;MED12;FGF5;RPS6KA4;RPS6KA3;MED14;CDH4;SALL1;DPYSL4;CDH2;ZIC3;SCN5A;PKNOX1;EPHB2;EPHB1;NEO1;SCN1B;EPHB3;FOXD3;TRPC5;EPHA6;UNC5A;TSC22D1;EPHA8;SEMA6D;PPP2R5A;UNC5C;HNF1B;PAX6;RGMB;IL17RD;ANK1;CNKSR2;NRG3;SCN8A;RARA;PPARA;ARHGEF7;PFN1;AJUBA;DOCK1;CAMK2B;CEBPA;SPTBN4;SHC2;SHC3;EPHA10;HOXD1;ARHGEF28;CRMP1;PRDM14;EFNA5;CSF2RA;EGFR;CACNA1H;NTN3;EFNB2;CACNA1I;EFNB1;EFNB3;FGF20;SLIT1;PLXNA1;SLIT3;TBL1X;NKX6-1;CACNG4;NKX2-2;KL;ST8SIA2;MSN;NR2F2;ARPC5;GRIN2C;MAFA;KLF4;FGF17;FGF16;MAFB;KLF5;GDNF;COL9A3;INSM1;PTF1A;FGFR4;FGFR2;FGFR1
Neuronal System_Homo sapiens_R-HSA-112316	46/301	0.00000003768929683311298903792183035386942346889327382086776196956634521484375	0.0000176385909178968791079754330208828605464077554643154144287109375	0.00000000308208381113149703587311865828242407605586095087346620857715606689453125	0.000001442415223609540583010117480167178172223430010490119457244873046875	-2.218236424574725	24.27953241075753	GABRB3;CAMK2B;KCNG3;PTPRS;KCNC1;KCNK9;CHRNA4;KCNC4;KCNA2;SLC1A1;RASGRF1;GRIK3;SLC1A2;ADCY2;KCNA7;ADCY7;PTPRF;ADCY5;GJC1;RPS6KA3;CACNG4;SLC18A3;UNC13B;KCNJ4;GABBR2;KCNF1;KCNH3;KCNJ6;KCNH5;KCNB1;GABRA5;KCNJ12;CACNA2D1;GAD1;CACNA2D3;CACNA2D2;CASK;GRIN2C;GABRG3;GNG13;ADCY9;GNAL;KCNS2;KCNMA1;KCNK2;HCN2
Axon guidance_Homo sapiens_R-HSA-422475	62/515	0.000001344899428626416726501014396732980316073735593818128108978271484375	0.0004196086217314420169742505972720891804783605039119720458984375	0.00000002331866361317928724639197946531810057280154069303534924983978271484375	0.0000072754230473119377796929752033605609540245495736598968505859375	-2.3476385356017526	18.25567892382474	SEMA5A;RASGRF1;ARAF;FGF3;FGF4;FGF5;RPS6KA4;RPS6KA3;DPYSL4;SCN5A;EPHB2;EPHB1;NEO1;SCN1B;EPHB3;TRPC5;EPHA6;UNC5A;EPHA8;SEMA6D;PPP2R5A;UNC5C;IL17RD;RGMB;ANK1;CNKSR2;NRG3;SCN8A;PFN1;ARHGEF7;DOCK1;CAMK2B;SPTBN4;SHC2;SHC3;EPHA10;ARHGEF28;CRMP1;EFNA5;CSF2RA;EGFR;CACNA1H;EFNB2;EFNB1;CACNA1I;EFNB3;FGF20;SLIT1;PLXNA1;SLIT3;KL;ST8SIA2;MSN;ARPC5;GRIN2C;FGF17;FGF16;GDNF;COL9A3;FGFR4;FGFR2;FGFR1
Cardiac conduction_Homo sapiens_R-HSA-5576891	24/135	0.000004915428461888165918261713038805993392088566906750202178955078125	0.00115021026008183088924774484240742822294123470783233642578125	0.00000207893686803972798973739154193562939099138020537793636322021484375	0.0004864712271212963639981097241360430416534654796123504638671875	-1.8888970418107638	12.783697267865191	CAMK2B;KCNJ4;KCNIP1;KCNK9;KCNJ12;NPR1;CACNA2D1;NPR2;KCNK12;CACNA2D3;CACNA2D2;KCNK15;ATP2B3;GATA4;ATP2B2;TBX5;SCN8A;SCN5A;FGF13;FGF12;KCNK2;FGF11;SCN1B;CACNG4
FGFR1 ligand binding and activation_Homo sapiens_R-HSA-190242	7/15	0.00001810059463023316124637152046972232710686512291431427001953125	0.0028236927623163728291733054476253528264351189136505126953125	0.000083595181514722457431602886668287055726977996528148651123046875	0.00126112021040303300990770285494591007591225206851959228515625	-2.134255225143134	12.527458726385603	FGF5;FGF17;KL;FGF20;FGF3;FGF4;FGFR1
HS-GAG biosynthesis_Homo sapiens_R-HSA-2022928	10/31	0.000014770492543705678422489256662597512104184716008603572845458984375	0.00276503620418170302508453772816210403107106685638427734375	0.000033686241785832013082534197589978930409415625035762786865234375	0.00126112021040303300990770285494591007591225206851959228515625	-2.023192586521425	11.918023706092466	HS3ST3B1;SDC4;SDC1;GPC5;GPC4;HS3ST4;HS6ST1;HS6ST2;HS3ST2;HS6ST3
Phospholipase C-mediated cascade: FGFR1_Homo sapiens_R-HSA-5654219	12/47	0.0000299566000487332109920336764563586484655388630926609039306640625	0.00400562537794489810505371707449739915318787097930908203125	0.0000398641188902226889490508499047649593194364570081233978271484375	0.00126112021040303300990770285494591007591225206851959228515625	-1.9615518064994433	10.827874958347799	FGF17;FGF5;KL;ADCY9;PRKCE;FGF20;ADCY2;ADCY7;FGF3;FGFR1;ADCY5;FGF4
Transmission across Chemical Synapses_Homo sapiens_R-HSA-112315	29/211	0.000088080305934700963668877726764350200028275139629840850830078125	0.006341782027298468842058110084280997398309409618377685546875	0.0000175155584778199021624665865370928941047168336808681488037109375	0.00126112021040303300990770285494591007591225206851959228515625	-2.105931744261436	10.657268651807572	GABRB3;CAMK2B;CHRNA4;SLC1A1;RASGRF1;GRIK3;SLC1A2;ADCY2;ADCY7;ADCY5;RPS6KA3;CACNG4;SLC18A3;UNC13B;KCNJ4;GABBR2;KCNJ6;GABRA5;KCNJ12;CACNA2D1;GAD1;CACNA2D3;CACNA2D2;CASK;GRIN2C;GABRG3;GNG13;ADCY9;GNAL
Activated point mutants of FGFR2_Homo sapiens_R-HSA-2033519	7/17	0.0000488015926310294442217081745116757929281448014080524444580078125	0.00501440832645728799821238652612009900622069835662841796875	0.0001549520711940699838581048108920867889537476003170013427734375	0.00126112021040303300990770285494591007591225206851959228515625	-2.0116780260825684	10.652719975221544	FGF5;FGF17;FGF16;FGF20;FGF3;FGFR2;FGF4
Phospholipase C-mediated cascade; FGFR2_Homo sapiens_R-HSA-5654221	12/49	0.0000469390695884326443932006711623472483552177436649799346923828125	0.00501440832645728799821238652612009900622069835662841796875	0.000056429617645704517581682624349781463024555705487728118896484375	0.00126112021040303300990770285494591007591225206851959228515625	-1.9698262973990912	10.431096663556593	FGF17;FGF5;FGF16;ADCY9;PRKCE;FGF20;ADCY2;ADCY7;FGFR2;FGF3;ADCY5;FGF4
