Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Nicotine addiction_Homo sapiens_hsa05033	1/40	0.089901651926101333600627185660414397716522216796875	0.471677974671548316809577272579190321266651153564453125	0.07876067206811411536282463430325151421129703521728515625	0.413040373769002544523942788146086968481540679931640625	-1.735216320570983	1.303943545004068	GRIN3B
Glycine, serine and threonine metabolism_Homo sapiens_hsa00260	1/40	0.089901651926101333600627185660414397716522216796875	0.471677974671548316809577272579190321266651153564453125	0.07876067206811411536282463430325151421129703521728515625	0.413040373769002544523942788146086968481540679931640625	-1.7127768020946135	1.287081171752165	PSAT1
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	2/180	0.0669044297678248744976059469991014339029788970947265625	0.471677974671548316809577272579190321266651153564453125	0.049533361227851131769472914356811088509857654571533203125	0.413040373769002544523942788146086968481540679931640625	-1.7026306508405271	1.2794567572756763	FLT1;TLX3
Cocaine addiction_Homo sapiens_hsa05030	1/49	0.10901193233924146019919731998015777207911014556884765625	0.471677974671548316809577272579190321266651153564453125	0.0952600436182393373041321638083900325000286102294921875	0.413040373769002544523942788146086968481540679931640625	-1.614826154216811	1.2134752970752836	GRIN3B
Amphetamine addiction_Homo sapiens_hsa05031	1/67	0.14606165035411422525868374577839858829975128173828125	0.471677974671548316809577272579190321266651153564453125	0.1274387714508435909266381713678129017353057861328125	0.413040373769002544523942788146086968481540679931640625	-1.6116862110382721	1.211115759194734	GRIN3B
Lysine degradation_Homo sapiens_hsa00310	1/52	0.11529431736516926321201026439666748046875	0.471677974671548316809577272579190321266651153564453125	0.10069856897630113934383189189247786998748779296875	0.413040373769002544523942788146086968481540679931640625	-1.5908234126099672	1.195438226071741	SUV39H1
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	1/81	0.1738315877195699410417972785580786876380443572998046875	0.471677974671548316809577272579190321266651153564453125	0.151728369414561414796338567612110637128353118896484375	0.413040373769002544523942788146086968481540679931640625	-1.5739177197769445	1.1827342947047357	CACNA1I
Notch signaling pathway_Homo sapiens_hsa04330	1/48	0.10690811725672043352997064857845543883740901947021484375	0.471677974671548316809577272579190321266651153564453125	0.0934404258343433380407105914855492301285266876220703125	0.413040373769002544523942788146086968481540679931640625	-1.5445591006881318	1.1606725025251339	DTX1
Basal cell carcinoma_Homo sapiens_hsa05217	1/55	0.1215333410877900977009602456746506504714488983154296875	0.471677974671548316809577272579190321266651153564453125	0.1061067246366481364727718528229161165654659271240234375	0.413040373769002544523942788146086968481540679931640625	-1.5241421372817698	1.1453299960452792	WNT7B
Hedgehog signaling pathway_Homo sapiens_hsa04340	1/50	0.1111108967617919773829271434806287288665771484375	0.471677974671548316809577272579190321266651153564453125	0.09707626951123089764639217946751159615814685821533203125	0.413040373769002544523942788146086968481540679931640625	-1.4985474500362017	1.1260966435089945	WNT7B
Retinol metabolism_Homo sapiens_hsa00830	1/65	0.1420206670240464486010267819438013248145580291748046875	0.471677974671548316809577272579190321266651153564453125	0.12391657874483617829408643729038885794579982757568359375	0.413040373769002544523942788146086968481540679931640625	-1.4842519316714624	1.115354150672104	ALDH1A2
Circadian entrainment_Homo sapiens_hsa04713	1/95	0.2007170518670675918304624474330921657383441925048828125	0.471677974671548316809577272579190321266651153564453125	0.1753888573691069208138060275814495980739593505859375	0.413040373769002544523942788146086968481540679931640625	-1.4779185734792037	1.1105948930307994	CACNA1I
