Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Crosslinking of collagen fibrils_Homo sapiens_R-HSA-2243919	1/9	0.0209564286053628111294866442904094583354890346527099609375	0.2491951800131995409248730766194057650864124298095703125	0.017666411934147203954825755545243737287819385528564453125	0.2080378623593816811432333224729518406093120574951171875	-1.963888158773975	2.7288595846764943	LOX
CDO in myogenesis_Homo sapiens_R-HSA-375170	1/29	0.06599927528179276581266066159514593891799449920654296875	0.300987179148709316223175846971571445465087890625	0.052125014853900385192186917038270621560513973236083984375	0.2361506008032297765364404540378018282353878021240234375	-2.1636210279511787	2.5978329595484495	CDH4
Myogenesis_Homo sapiens_R-HSA-525793	1/29	0.06599927528179276581266066159514593891799449920654296875	0.300987179148709316223175846971571445465087890625	0.052125014853900385192186917038270621560513973236083984375	0.2361506008032297765364404540378018282353878021240234375	-2.141177044453993	2.5708847466593543	CDH4
WNT ligand biogenesis and trafficking_Homo sapiens_R-HSA-3238698	1/26	0.05937451481326261326643134452751837670803070068359375	0.300987179148709316223175846971571445465087890625	0.047029494355310473563402950958334258757531642913818359375	0.2361506008032297765364404540378018282353878021240234375	-2.069282614898581	2.4845619959122685	WNT7B
Amino acid synthesis and interconversion (transamination)_Homo sapiens_R-HSA-70614	1/25	0.057156058482167038103938239146373234689235687255859375	0.300987179148709316223175846971571445465087890625	0.045325288687908991958064319760524085722863674163818359375	0.2361506008032297765364404540378018282353878021240234375	-2.059940390166898	2.473344902433354	PSAT1
PKMTs methylate histone lysines_Homo sapiens_R-HSA-3214841	1/40	0.089901651926101333600627185660414397716522216796875	0.300987179148709316223175846971571445465087890625	0.07059089196378971753365050290085491724312305450439453125	0.2361506008032297765364404540378018282353878021240234375	-1.9828404568571976	2.380771967828169	SUV39H1
SIRT1 negatively regulates rRNA Expression_Homo sapiens_R-HSA-427359	1/35	0.079112088700947602593060992148821242153644561767578125	0.300987179148709316223175846971571445465087890625	0.062239521371163196439280085314749157987534999847412109375	0.2361506008032297765364404540378018282353878021240234375	-1.9567750978744782	2.34947561426486	SUV39H1
Molybdenum cofactor biosynthesis_Homo sapiens_R-HSA-947581	1/6	0.0140191638059124733250992989042060798965394496917724609375	0.2491951800131995409248730766194057650864124298095703125	0.01239745312300215285272741994049283675849437713623046875	0.2080378623593816811432333224729518406093120574951171875	-1.6844358519123543	2.340555341060422	MOCS3
Activated NOTCH1 Transmits Signal to the Nucleus_Homo sapiens_R-HSA-2122948	1/30	0.06819736421072257470665789469421724788844585418701171875	0.300987179148709316223175846971571445465087890625	0.053817837685787024704087144755249028094112873077392578125	0.2361506008032297765364404540378018282353878021240234375	-1.8516673226549043	2.223274010914395	DTX1
Multifunctional anion exchangers_Homo sapiens_R-HSA-427601	1/7	0.016336914097509459831147893282832228578627109527587890625	0.2491951800131995409248730766194057650864124298095703125	0.0141567094967579541753277538873589946888387203216552734375	0.2080378623593816811432333224729518406093120574951171875	-1.5983725126964905	2.220968710294701	SLC26A4
CRMPs in Sema3A signaling_Homo sapiens_R-HSA-399956	1/16	0.036958130430489684326023080984668922610580921173095703125	0.300987179148709316223175846971571445465087890625	0.02985834180911590973739322407709551043808460235595703125	0.2361506008032297765364404540378018282353878021240234375	-1.794316445160735	2.1544135229229	CRMP1
NCAM1 interactions_Homo sapiens_R-HSA-419037	1/37	0.08344285435053082344847297235901351086795330047607421875	0.300987179148709316223175846971571445465087890625	0.0655884763911510348943778581087826751172542572021484375	0.2361506008032297765364404540378018282353878021240234375	-1.775621963848315	2.131967290848212	CACNA1I
Adherens junctions interactions_Homo sapiens_R-HSA-418990	1/31	0.07039038994549300098935162850466440431773662567138671875	0.300987179148709316223175846971571445465087890625	0.055507825918866056380540641157494974322617053985595703125	0.2361506008032297765364404540378018282353878021240234375	-1.7410232882496726	2.0904250897576677	CDH4
Downregulation of TGF-beta receptor signaling_Homo sapiens_R-HSA-2173788	1/26	0.05937451481326261326643134452751837670803070068359375	0.300987179148709316223175846971571445465087890625	0.047029494355310473563402950958334258757531642913818359375	0.2361506008032297765364404540378018282353878021240234375	-1.730996112132181	2.0783855836368184	UCHL5
VEGF ligand-receptor interactions_Homo sapiens_R-HSA-194313	1/8	0.018649331694543892778970217705136747099459171295166015625	0.2491951800131995409248730766194057650864124298095703125	0.0159130275734669368592477667334605939686298370361328125	0.2080378623593816811432333224729518406093120574951171875	-1.4890525647342847	2.069066583658713	FLT1
Signaling by Retinoic Acid_Homo sapiens_R-HSA-5362517	1/42	0.09418274716469814122898895902835647575557231903076171875	0.300987179148709316223175846971571445465087890625	0.0739118754674033262563881407913868315517902374267578125	0.2361506008032297765364404540378018282353878021240234375	-1.7208810088018096	2.066240504400941	ALDH1A2
