Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
beta-Alanine metabolism_Homo sapiens_hsa00410	2/31	0.03552933820529712016789147810413851402699947357177734375	0.83657882254546855893551082772319205105304718017578125	0.034538379143846296981390509017728618346154689788818359375	0.7872858092617527336898319845204241573810577392578125	-1.9280901756845117	0.34403787202773467	GAD1;SMS
Nicotine addiction_Homo sapiens_hsa05033	2/40	0.056367914597204270277241988651439896784722805023193359375	0.83657882254546855893551082772319205105304718017578125	0.053534166973357055763216294508310966193675994873046875	0.7872858092617527336898319845204241573810577392578125	-1.8456990543406548	0.3293364506841732	GRIN3B;GABRA5
Cocaine addiction_Homo sapiens_hsa05030	2/49	0.080413189685470898293573327464400790631771087646484375	0.83657882254546855893551082772319205105304718017578125	0.0753759255812922746020632303043385036289691925048828125	0.7872858092617527336898319845204241573810577392578125	-1.7541120651161737	0.3129941689405141	GRIN3B;BDNF
RNA transport_Homo sapiens_hsa03013	4/172	0.084245997418024354264076691833906807005405426025390625	0.83657882254546855893551082772319205105304718017578125	0.07112842645612500735996519551918026991188526153564453125	0.7872858092617527336898319845204241573810577392578125	-1.7458838409754025	0.3115259696002249	FMR1;THOC2;GEMIN8;NXT2
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	5/277	0.1287566329401606812776748256510472856462001800537109375	0.83657882254546855893551082772319205105304718017578125	0.1053776794594437904439843123327591456472873687744140625	0.7872858092617527336898319845204241573810577392578125	-1.724273746380269	0.30766998244122784	GRIN3B;GABRA5;GRIK3;GPR50;ADRA1D
Arginine and proline metabolism_Homo sapiens_hsa00330	2/50	0.0832527564845196577092423240173957310616970062255859375	0.83657882254546855893551082772319205105304718017578125	0.07795436981154246769420979035203345119953155517578125	0.7872858092617527336898319845204241573810577392578125	-1.716989134386357	0.3063701560946497	SMS;SAT1
mRNA surveillance pathway_Homo sapiens_hsa03015	3/91	0.057302651476356374071752242116417619399726390838623046875	0.83657882254546855893551082772319205105304718017578125	0.05095569221686668814896847834461368620395660400390625	0.7872858092617527336898319845204241573810577392578125	-1.6711871239910134	0.2981974957130304	CSTF2;NXT2;GSPT2
Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008	2/89	0.2104950997650590627241484753540134988725185394287109375	0.83657882254546855893551082772319205105304718017578125	0.1942229767318199573633563659313949756324291229248046875	0.7872858092617527336898319845204241573810577392578125	-1.6141941888453157	0.2880279878884395	GNL3L;NXT2
Calcium signaling pathway_Homo sapiens_hsa04020	3/180	0.249492899858050787287311322870664298534393310546875	0.83657882254546855893551082772319205105304718017578125	0.222666028230626478201514828469953499734401702880859375	0.7872858092617527336898319845204241573810577392578125	-1.5797517200661548	0.2818822620216722	ATP2B3;PHKA1;ADRA1D
GABAergic synapse_Homo sapiens_hsa04727	2/88	0.206985149645369903570468750331201590597629547119140625	0.83657882254546855893551082772319205105304718017578125	0.1909883269190148225025183137404383160173892974853515625	0.7872858092617527336898319845204241573810577392578125	-1.5542252439119928	0.27732745714418416	GABRA5;GAD1
Salivary secretion_Homo sapiens_hsa04970	2/89	0.2104950997650590627241484753540134988725185394287109375	0.83657882254546855893551082772319205105304718017578125	0.1942229767318199573633563659313949756324291229248046875	0.7872858092617527336898319845204241573810577392578125	-1.5268353574637317	0.27244015551919887	ATP2B3;ADRA1D
Tight junction_Homo sapiens_hsa04530	3/139	0.1495700053526612671728202030863030813634395599365234375	0.83657882254546855893551082772319205105304718017578125	0.13239353641401108152564347619772888720035552978515625	0.7872858092617527336898319845204241573810577392578125	-1.5066761065947571	0.26884304898440053	SHROOM2;CASK;SHROOM4
Glucagon signaling pathway_Homo sapiens_hsa04922	2/101	0.25296409251406026807984517290606163442134857177734375	0.83657882254546855893551082772319205105304718017578125	0.233508918677086507731388564934604801237583160400390625	0.7872858092617527336898319845204241573810577392578125	-1.4402284047956384	0.2569864842778321	PDHA1;PHKA1
cAMP signaling pathway_Homo sapiens_hsa04024	3/199	0.29883163310018712177651423189672641456127166748046875	0.83657882254546855893551082772319205105304718017578125	0.26808842170997737586191078662523068487644195556640625	0.7872858092617527336898319845204241573810577392578125	-1.4276006622768527	0.25473325892589294	GRIN3B;BDNF;ATP2B3
Glutamatergic synapse_Homo sapiens_hsa04724	2/114	0.299172792580292445929757150224759243428707122802734375	0.83657882254546855893551082772319205105304718017578125	0.276580645985809336906413591350428760051727294921875	0.7872858092617527336898319845204241573810577392578125	-1.3628846312620286	0.24318568408877905	GRIN3B;GRIK3
Neurotrophin signaling pathway_Homo sapiens_hsa04722	2/120	0.320380256058625800807959649318945594131946563720703125	0.83657882254546855893551082772319205105304718017578125	0.296468125789760839072783937808708287775516510009765625	0.7872858092617527336898319845204241573810577392578125	-1.300938335951224	0.23213232575134304	RPS6KA3;BDNF
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	3/214	0.3381767466612417560867243082611821591854095458984375	0.83657882254546855893551082772319205105304718017578125	0.304723242728855370220486520338454283773899078369140625	0.7872858092617527336898319845204241573810577392578125	-1.2531390096097488	0.2236032752296048	FGF16;DIAPH2;FGD1
Oocyte meiosis_Homo sapiens_hsa04114	2/123	0.330928678799308484403951524654985405504703521728515625	0.83657882254546855893551082772319205105304718017578125	0.306388960782930819259917143426719121634960174560546875	0.7872858092617527336898319845204241573810577392578125	-1.2214100168607693	0.2179417271938305	RPS6KA3;SMC1A
Carbon metabolism_Homo sapiens_hsa01200	2/113	0.29562686275172167515989940511644817888736724853515625	0.83657882254546855893551082772319205105304718017578125	0.27326290205431347235531802652985788881778717041015625	0.7872858092617527336898319845204241573810577392578125	-1.2206571118861533	0.217807382945531	PRPS2;PDHA1
Lysosome_Homo sapiens_hsa04142	2/123	0.330928678799308484403951524654985405504703521728515625	0.83657882254546855893551082772319205105304718017578125	0.306388960782930819259917143426719121634960174560546875	0.7872858092617527336898319845204241573810577392578125	-1.1716901703027194	0.20906998954219078	LAMP2;AP1S2
Cell cycle_Homo sapiens_hsa04110	2/124	0.33443501315228252313005441465065814554691314697265625	0.83657882254546855893551082772319205105304718017578125	0.309691003281867771601554295557434670627117156982421875	0.7872858092617527336898319845204241573810577392578125	-1.0759230602644057	0.19198182988900944	STAG2;SMC1A
Axon guidance_Homo sapiens_hsa04360	2/127	0.344921434373912483284385643855785019695758819580078125	0.83657882254546855893551082772319205105304718017578125	0.31957943629290463949388367836945690214633941650390625	0.7872858092617527336898319845204241573810577392578125	-1.0314874932506837	0.184052990195441	EFNB1;SEMA4B
Spliceosome_Homo sapiens_hsa03040	2/134	0.369172788219953418309415837939013727009296417236328125	0.83657882254546855893551082772319205105304718017578125	0.342523556428602382606385390317882411181926727294921875	0.7872858092617527336898319845204241573810577392578125	-1.0078284133035553	0.17983139328996725	THOC2;RBMX
Insulin signaling pathway_Homo sapiens_hsa04910	2/139	0.386280408394652940984315137029625475406646728515625	0.83657882254546855893551082772319205105304718017578125	0.35877390104587514318978946903371252119541168212890625	0.7872858092617527336898319845204241573810577392578125	-0.9116869719063188	0.16267643999519116	PPP1R3F;PHKA1
Wnt signaling pathway_Homo sapiens_hsa04310	2/142	0.396448667715666613897695924606523476541042327880859375	0.83657882254546855893551082772319205105304718017578125	0.368458578092527300196223905004444532096385955810546875	0.7872858092617527336898319845204241573810577392578125	-0.8891268237776272	0.15865093047664905	WNT7B;GPC4
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	2/142	0.396448667715666613897695924606523476541042327880859375	0.83657882254546855893551082772319205105304718017578125	0.368458578092527300196223905004444532096385955810546875	0.7872858092617527336898319845204241573810577392578125	-0.8809290364990968	0.15718816212369047	ZIC3;WNT7B
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	2/137	0.379460621478741322309957695324555970728397369384765625	0.83657882254546855893551082772319205105304718017578125	0.352289336798476904188959224484278820455074310302734375	0.7872858092617527336898319845204241573810577392578125	-0.8602198710831048	0.15349293184294968	HUWE1;UBE2A
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	2/148	0.416549190621995857330972512500011362135410308837890625	0.83657882254546855893551082772319205105304718017578125	0.387661196786628081678571788870613090693950653076171875	0.7872858092617527336898319845204241573810577392578125	-0.8349557465793436	0.14898493955994768	ATP2B3;ADRA1D
MAPK signaling pathway_Homo sapiens_hsa04010	3/255	0.44407154607200116647192089658346958458423614501953125	0.83657882254546855893551082772319205105304718017578125	0.405210744763519203903712195824482478201389312744140625	0.7872858092617527336898319845204241573810577392578125	-0.8266396064761695	0.14750105297587504	FGF16;RPS6KA3;BDNF
Butanoate metabolism_Homo sapiens_hsa00650	1/28	0.23683569115894009815548315600608475506305694580078125	0.83657882254546855893551082772319205105304718017578125	0.228933582848558747624423403976834379136562347412109375	0.7872858092617527336898319845204241573810577392578125	-0.7873939946856958	0.14049828052410024	GAD1
