Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
NOD1/2 Signaling Pathway_Homo sapiens_R-HSA-168638	1/31	0.00464302802289670406288291104601739789359271526336669921875	0.01985706273917882402901824434593436308205127716064453125	0.0071186026111693563589444266881400835700333118438720703125	0.0297791189399652135583185241785031394101679325103759765625	-2.1744624851026084	8.522143650967744	TAB3
TAK1 activates NFkB by phosphorylation and activation of IKKs complex_Homo sapiens_R-HSA-445989	1/26	0.003895126706544074605964578239536422188393771648406982421875	0.01985706273917882402901824434593436308205127716064453125	0.006007997104587668550645940257481925073079764842987060546875	0.0297791189399652135583185241785031394101679325103759765625	-2.1707978347122108	8.507781169540031	TAB3
TRAF6 mediated induction of TAK1 complex_Homo sapiens_R-HSA-937072	1/16	0.0023982003300879405592593851537230875692330300807952880859375	0.01985706273917882402901824434593436308205127716064453125	0.003784923700957862867377823334891218109987676143646240234375	0.0297791189399652135583185241785031394101679325103759765625	-2.0531328340299178	8.046629024871782	TAB3
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1_Homo sapiens_R-HSA-450321	1/16	0.0023982003300879405592593851537230875692330300807952880859375	0.01985706273917882402901824434593436308205127716064453125	0.003784923700957862867377823334891218109987676143646240234375	0.0297791189399652135583185241785031394101679325103759765625	-2.0112652691492032	7.882541851754687	TAB3
Interleukin-1 signaling_Homo sapiens_R-HSA-446652	1/44	0.0065858192249090875824979463004638091661036014556884765625	0.01985706273917882402901824434593436308205127716064453125	0.01000327159966264527202195466770717757754027843475341796875	0.0297791189399652135583185241785031394101679325103759765625	-1.991795157285116	7.806234676375512	TAB3
TNF signaling_Homo sapiens_R-HSA-75893	1/41	0.00613770738118701690566592077402674476616084575653076171875	0.01985706273917882402901824434593436308205127716064453125	0.00933795123401301961629794590180608793161809444427490234375	0.0297791189399652135583185241785031394101679325103759765625	-1.9883881881740222	7.792882098265717	TAB3
TRAF6 Mediated Induction of proinflammatory cytokines_Homo sapiens_R-HSA-168180	1/72	0.01076170282040729737904616314381200936622917652130126953125	0.01985706273917882402901824434593436308205127716064453125	0.016202151309780775390034790461868396960198879241943359375	0.0297791189399652135583185241785031394101679325103759765625	-1.9326308923790536	7.574358353841678	TAB3
MAP kinase activation in TLR cascade_Homo sapiens_R-HSA-450294	1/60	0.0089734743409678428827103147114030434750020503997802734375	0.01985706273917882402901824434593436308205127716064453125	0.013547872436169949850182092632167041301727294921875	0.0297791189399652135583185241785031394101679325103759765625	-1.9167293080129426	7.512036935479942	TAB3
Death Receptor Signalling_Homo sapiens_R-HSA-73887	1/48	0.007183092127858438542820085359608128783293068408966064453125	0.01985706273917882402901824434593436308205127716064453125	0.01089001777315974466009418364365046727471053600311279296875	0.0297791189399652135583185241785031394101679325103759765625	-1.9107300362412665	7.488524616371338	TAB3
Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways_Homo sapiens_R-HSA-168643	1/47	0.0070337963521945913447641629545614705421030521392822265625	0.01985706273917882402901824434593436308205127716064453125	0.0106683684777096020324105296595007530413568019866943359375	0.0297791189399652135583185241785031394101679325103759765625	-1.910052677040926	7.485869913221409	TAB3
Toll Like Receptor 9 (TLR9) Cascade_Homo sapiens_R-HSA-168138	1/88	0.01314265944384325479621367094296147115528583526611328125	0.01985706273917882402901824434593436308205127716064453125	0.0197356274673772293104523356532808975316584110260009765625	0.0297791189399652135583185241785031394101679325103759765625	-1.9052960154772538	7.467227626485089	TAB3
MyD88-independent TLR3/TLR4 cascade_Homo sapiens_R-HSA-166166	1/97	0.01448026710371333632132451185725585673935711383819580078125	0.01985706273917882402901824434593436308205127716064453125	0.021720414220485366463275767046070541255176067352294921875	0.0297791189399652135583185241785031394101679325103759765625	-1.9025817974274275	7.456590075237762	TAB3
