Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Amphetamine addiction_Homo sapiens_hsa05031	3/67	0.022230769759609907143538265472670900635421276092529296875	0.70478726083859777329365670084371231496334075927734375	0.0194696919651469145529087967361192568205296993255615234375	0.575233809572365917262004586518742144107818603515625	-1.9447272516114558	0.6803808748464812	CAMK2B;GRIN3B;GNAS
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	3/81	0.03618914079390440907690873473256942816078662872314453125	0.70478726083859777329365670084371231496334075927734375	0.0312802376694516770516685255643096752464771270751953125	0.575233809572365917262004586518742144107818603515625	-1.903395202020915	0.6659204737612864	CAMK2B;CACNA1I;GNAS
Cocaine addiction_Homo sapiens_hsa05030	3/49	0.009605785918401159306778680502247880212962627410888671875	0.70478726083859777329365670084371231496334075927734375	0.00871833875963778405504545077064904035069048404693603515625	0.575233809572365917262004586518742144107818603515625	-1.8933979760155362	0.6624228514752093	GRIN3B;GNAS;DRD2
Thyroid hormone synthesis_Homo sapiens_hsa04918	3/71	0.0258491103215066943266098320464152493514120578765869140625	0.70478726083859777329365670084371231496334075927734375	0.0225335275142338718745715908653437509201467037200927734375	0.575233809572365917262004586518742144107818603515625	-1.7824060467627316	0.6235912950894249	GNAS;GPX7;SLC26A4
GnRH signaling pathway_Homo sapiens_hsa04912	3/91	0.04834136930933737030802177514487993903458118438720703125	0.70478726083859777329365670084371231496334075927734375	0.041566168119667949720774657862421008758246898651123046875	0.575233809572365917262004586518742144107818603515625	-1.780116739987303	0.6227903598706853	CAMK2B;LHB;GNAS
Circadian entrainment_Homo sapiens_hsa04713	3/95	0.05369386402931942969818379651769646443426609039306640625	0.70478726083859777329365670084371231496334075927734375	0.046103286166806374535287460503241163678467273712158203125	0.575233809572365917262004586518742144107818603515625	-1.7427596679092285	0.6097206415535681	CAMK2B;CACNA1I;GNAS
Melanogenesis_Homo sapiens_hsa04916	3/100	0.060766413862286781932819934581857523880898952484130859375	0.70478726083859777329365670084371231496334075927734375	0.052106677813609385274684626665475661866366863250732421875	0.575233809572365917262004586518742144107818603515625	-1.7113937664105434	0.5987469898580203	CAMK2B;WNT7B;GNAS
Calcium signaling pathway_Homo sapiens_hsa04020	4/180	0.07858923516891340443901725620889919809997081756591796875	0.70478726083859777329365670084371231496334075927734375	0.06361176255264823498070114737856783904135227203369140625	0.575233809572365917262004586518742144107818603515625	-1.680580089588065	0.5879665390897482	CAMK2B;CACNA1I;GNAS;SLC25A5
Glucagon signaling pathway_Homo sapiens_hsa04922	3/101	0.0622308051216375612835207675743731670081615447998046875	0.70478726083859777329365670084371231496334075927734375	0.053350977494048844318452751167569658719003200531005859375	0.575233809572365917262004586518742144107818603515625	-1.6643158065142465	0.5822763287338507	CAMK2B;PDHA1;GNAS
Parkinson's disease_Homo sapiens_hsa05012	4/142	0.03891366069015340933834323777773533947765827178955078125	0.70478726083859777329365670084371231496334075927734375	0.03135168006335044277310686311466270126402378082275390625	0.575233809572365917262004586518742144107818603515625	-1.6485404077111292	0.5767571590766029	ATP5E;NDUFA1;DRD2;SLC25A5
