Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
HS-GAG biosynthesis_Homo sapiens_R-HSA-2022928	5/31	0.000007639700020939405660197300818037291492146323435008525848388671875	0.0028266890077475802060813503402414426091127097606658935546875	0.000004838012986719574375104636898559107294204295612871646881103515625	0.001790064805086242528953111019518473767675459384918212890625	-2.0889036655932878	12.259042855609726	GPC3;GPC4;HS3ST4;HS6ST2;HS6ST3
Heparan sulfate/heparin (HS-GAG) metabolism_Homo sapiens_R-HSA-1638091	5/54	0.000120406997241888783834774800940436989549198187887668609619140625	0.0222752944897494260800829835034164716489613056182861328125	0.00005668765459947803782118913584753272516536526381969451904296875	0.01048721610090343724086547894103205180726945400238037109375	-1.9964644643346017	7.59510401283057	GPC3;GPC4;HS3ST4;HS6ST2;HS6ST3
Glycosaminoglycan metabolism_Homo sapiens_R-HSA-1630316	6/121	0.00077624339818145354948086822588493305374868214130401611328125	0.09573668577571260718261925148908630944788455963134765625	0.0002634028032852395238665177412684670343878678977489471435546875	0.03248634573851287565826595482576522044837474822998046875	-1.9305567518835196	4.529382890702194	CHST7;GPC3;GPC4;HS3ST4;HS6ST2;HS6ST3
Chondroitin sulfate/dermatan sulfate metabolism_Homo sapiens_R-HSA-1793185	3/50	0.0101527686215511815659429117886247695423662662506103515625	0.325731814052579060625447482379968278110027313232421875	0.00616788949428364978444516708577793906442821025848388671875	0.038182472617035549677932948497982579283416271209716796875	-2.056254970484053	2.3064619104245163	CHST7;GPC3;GPC4
Defective EXT1 causes exostoses 1, TRPS2 and CHDS_Homo sapiens_R-HSA-3656253	2/12	0.004956314897419892596952539776111734681762754917144775390625	0.261976644577908646116526369951316155493259429931640625	0.004253339651824182381101291383629359188489615917205810546875	0.038182472617035549677932948497982579283416271209716796875	-1.6566108780988085	2.219030142042282	GPC3;GPC4
Defective EXT2 causes exostoses 2_Homo sapiens_R-HSA-3656237	2/12	0.004956314897419892596952539776111734681762754917144775390625	0.261976644577908646116526369951316155493259429931640625	0.004253339651824182381101291383629359188489615917205810546875	0.038182472617035549677932948497982579283416271209716796875	-1.6256855780706312	2.17760570506588	GPC3;GPC4
Regulation of pyruvate dehydrogenase (PDH) complex_Homo sapiens_R-HSA-204174	2/14	0.006753896134032045563133639376474093296565115451812744140625	0.27766017439909518316198955290019512176513671875	0.0055579152924611456565440192889582249335944652557373046875	0.038182472617035549677932948497982579283416271209716796875	-1.6993900973651572	2.1775259191655727	PDHA1;PDK3
The citric acid (TCA) cycle and respiratory electron transport_Homo sapiens_R-HSA-1428517	5/153	0.012274359928452098500439859662947128526866436004638671875	0.325731814052579060625447482379968278110027313232421875	0.0050985448148763538867012101718501071445643901824951171875	0.038182472617035549677932948497982579283416271209716796875	-1.9002305045581689	2.131452248238671	PDHA1;ATP5E;NDUFA1;PDK3;SLC25A14
Cohesin Loading onto Chromatin_Homo sapiens_R-HSA-2470946	2/9	0.0027515930302544557191357643688434109208174049854278564453125	0.253027961705854786966796154956682585179805755615234375	0.0026061285378928566482115147806553068221546709537506103515625	0.038182472617035549677932948497982579283416271209716796875	-1.51489856637204	2.081857347116007	STAG2;SMC1A
Mitotic Telophase/Cytokinesis_Homo sapiens_R-HSA-68884	2/13	0.005823145640420070330567359206952460226602852344512939453125	0.269320485869428249969814714859239757061004638671875	0.00488538139972061712101858432788503705523908138275146484375	0.038182472617035549677932948497982579283416271209716796875	-1.5426896696713985	2.0237823971155735	STAG2;SMC1A
Defective B4GALT7 causes EDS, progeroid type_Homo sapiens_R-HSA-3560783	2/19	0.0123249875587462358328405542806649464182555675506591796875	0.325731814052579060625447482379968278110027313232421875	0.0095076353428502798081911606686844606883823871612548828125	0.038182472617035549677932948497982579283416271209716796875	-1.742627932966513	1.9546724550812413	GPC3;GPC4
Establishment of Sister Chromatid Cohesion_Homo sapiens_R-HSA-2468052	2/10	0.0034192967798088486248986317406206580926664173603057861328125	0.253027961705854786966796154956682585179805755615234375	0.00311311090647625569871603801175297121517360210418701171875	0.038182472617035549677932948497982579283416271209716796875	-1.4072816928380567	1.9339642908984362	STAG2;SMC1A
Defective B3GALT6 causes EDSP2 and SEMDJL1_Homo sapiens_R-HSA-4420332	2/19	0.0123249875587462358328405542806649464182555675506591796875	0.325731814052579060625447482379968278110027313232421875	0.0095076353428502798081911606686844606883823871612548828125	0.038182472617035549677932948497982579283416271209716796875	-1.7177684364379884	1.926788032828939	GPC3;GPC4
Defective B3GAT3 causes JDSSDHD_Homo sapiens_R-HSA-3560801	2/19	0.0123249875587462358328405542806649464182555675506591796875	0.325731814052579060625447482379968278110027313232421875	0.0095076353428502798081911606686844606883823871612548828125	0.038182472617035549677932948497982579283416271209716796875	-1.6959741829722101	1.902341835150875	GPC3;GPC4
HS-GAG degradation_Homo sapiens_R-HSA-2024096	2/21	0.0149600695509502466806761589168672799132764339447021484375	0.369015048923439448191885503547382541000843048095703125	0.011350887096537719267441701731513603590428829193115234375	0.038182472617035549677932948497982579283416271209716796875	-1.7950112935293263	1.7894788044662446	GPC3;GPC4
Downregulation of SMAD2/3:SMAD4 transcriptional activity_Homo sapiens_R-HSA-2173795	2/23	0.0178141959714742080522764666739021777175366878509521484375	0.4119532818403410789898089205962605774402618408203125	0.013337997777647526975730585263590910471975803375244140625	0.038182472617035549677932948497982579283416271209716796875	-1.6086414028663305	1.4266161152193482	NCOR2;USP9X
A tetrasaccharide linker sequence is required for GAG synthesis_Homo sapiens_R-HSA-1971475	2/26	0.0224874470412754108583630596740476903505623340606689453125	0.4622419669595501101611034755478613078594207763671875	0.01657902342644636262125601433581323362886905670166015625	0.038182472617035549677932948497982579283416271209716796875	-1.80561707427131	1.39333472624733	GPC3;GPC4
Diseases associated with glycosaminoglycan metabolism_Homo sapiens_R-HSA-3560782	2/26	0.0224874470412754108583630596740476903505623340606689453125	0.4622419669595501101611034755478613078594207763671875	0.01657902342644636262125601433581323362886905670166015625	0.038182472617035549677932948497982579283416271209716796875	-1.7658814428169576	1.3626720591937085	GPC3;GPC4
Metabolism of carbohydrates_Homo sapiens_R-HSA-71387	6/282	0.041685342017741995601642912561146658845245838165283203125	0.53017577058861686811752633730066008865833282470703125	0.015862481186061018478827833178002038039267063140869140625	0.038182472617035549677932948497982579283416271209716796875	-2.07178947541295	1.3146471432210087	CHST7;GPC3;GPC4;HS3ST4;HS6ST2;HS6ST3
Pyruvate metabolism_Homo sapiens_R-HSA-70268	2/27	0.0241456008606815326900107976371145923621952533721923828125	0.4702038062343245616858666835469193756580352783203125	0.0177266960858694748448538547336283954791724681854248046875	0.038182472617035549677932948497982579283416271209716796875	-1.6998018287096341	1.2826518436852177	PDHA1;PDK3
Metabolism_Homo sapiens_R-HSA-1430728	23/1908	0.08680442212096055321080001476730103604495525360107421875	0.53017577058861686811752633730066008865833282470703125	0.005159793596896695457021397857033662148751318454742431640625	0.038182472617035549677932948497982579283416271209716796875	-1.8399249077573379	1.1675182504932047	MTMR1;CHST7;MOCS3;PDHA1;LHB;NDUFA1;HS3ST4;HS6ST2;HS6ST3;MED12;NCOR2;MED14;SLC6A8;ATP5E;SMS;GNAS;GPC3;PDK3;GPC4;SLC25A5;ABCD1;SLC25A14;MBTPS2
Transcriptional regulation of white adipocyte differentiation_Homo sapiens_R-HSA-381340	3/79	0.03397432421691627679738445522161782719194889068603515625	0.53017577058861686811752633730066008865833282470703125	0.0201758140073773628575537486540270037949085235595703125	0.038182472617035549677932948497982579283416271209716796875	-1.824792442081014	1.1579159945654862	NCOR2;MED12;MED14
Signaling by TGF-beta Receptor Complex_Homo sapiens_R-HSA-170834	3/73	0.027769656947351083198238796967416419647634029388427734375	0.51373865352599501488128908022190444171428680419921875	0.0165008982044711725867269791478975093923509120941162109375	0.038182472617035549677932948497982579283416271209716796875	-1.7238343652239307	1.1481436732073447	NCOR2;USP9X;UCHL5
Transmembrane transport of small molecules_Homo sapiens_R-HSA-382551	9/594	0.0866242792812037532002022999222390353679656982421875	0.53017577058861686811752633730066008865833282470703125	0.0253009404819431980848687402385621680878102779388427734375	0.038182472617035549677932948497982579283416271209716796875	-1.7497207596326676	1.11027950734574	CAMK2B;CLCN5;SLC9A6;MMGT1;TSC22D3;GNAS;ATP11C;SLC26A4;ABCD1
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)_Homo sapiens_R-HSA-400206	3/116	0.0860940087141272847315320859706844203174114227294921875	0.53017577058861686811752633730066008865833282470703125	0.051959868108983280066137666608483414165675640106201171875	0.038182472617035549677932948497982579283416271209716796875	-1.712027441601155	1.0863613373498373	NCOR2;MED12;MED14
NOTCH1 Intracellular Domain Regulates Transcription_Homo sapiens_R-HSA-2122947	2/47	0.0662576656096145466534608203801326453685760498046875	0.53017577058861686811752633730066008865833282470703125	0.046926420691814574315259278591838665306568145751953125	0.038182472617035549677932948497982579283416271209716796875	-1.6941296832783752	1.0750043741408162	NCOR2;MAMLD1
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins._Homo sapiens_R-HSA-163200	3/109	0.07452543588809300290076720330034731887280941009521484375	0.53017577058861686811752633730066008865833282470703125	0.044764714074792287534787504910127609036862850189208984375	0.038182472617035549677932948497982579283416271209716796875	-1.6857505035735165	1.069687393437778	ATP5E;NDUFA1;SLC25A14
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer_Homo sapiens_R-HSA-2173793	2/44	0.05898899835483152609416634959416114725172519683837890625	0.53017577058861686811752633730066008865833282470703125	0.04185889570734092901549416865236707963049411773681640625	0.038182472617035549677932948497982579283416271209716796875	-1.6372991431012067	1.03894274327616	NCOR2;USP9X
Muscle contraction_Homo sapiens_R-HSA-397014	4/196	0.09962677550129521442112690010617370717227458953857421875	0.53017577058861686811752633730066008865833282470703125	0.0529090560628575901080949961396981962025165557861328125	0.1847816868669388268298092725672177039086818695068359375	-1.6254693719437103	1.0314362012062612	CAMK2B;KCNIP1;LMOD1;FGF13
Signaling by Retinoic Acid_Homo sapiens_R-HSA-5362517	2/42	0.054309057056788408168745974080593441613018512725830078125	0.53017577058861686811752633730066008865833282470703125	0.038604267171051816209814688818369177170097827911376953125	0.038182472617035549677932948497982579283416271209716796875	-1.6119315532662792	1.0228458232451116	PDHA1;PDK3
Retinoid metabolism and transport_Homo sapiens_R-HSA-975634	2/42	0.054309057056788408168745974080593441613018512725830078125	0.53017577058861686811752633730066008865833282470703125	0.038604267171051816209814688818369177170097827911376953125	0.038182472617035549677932948497982579283416271209716796875	-1.5960360116136731	1.0127593599863949	GPC3;GPC4
Phase 0 - rapid depolarisation_Homo sapiens_R-HSA-5576892	2/44	0.05898899835483152609416634959416114725172519683837890625	0.53017577058861686811752633730066008865833282470703125	0.04185889570734092901549416865236707963049411773681640625	0.038182472617035549677932948497982579283416271209716796875	-1.5450435839801262	0.9804022840817667	CAMK2B;FGF13
