Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Serotonin and anxiety_Mus musculus_WP2141	2/17	0.0099177413204929489032313227880877093411982059478759765625	0.459287910604117277646452066619531251490116119384765625	0.0122489698798173250737786332820178358815610408782958984375	0.51128361349222528620117600439698435366153717041015625	-2.043750273758357	1.5901971446071177	CAMK2B;FMR1
Electron Transport Chain_Homo sapiens_WP111	4/103	0.0138109998736459065049597683128013159148395061492919921875	0.459287910604117277646452066619531251490116119384765625	0.01510155848107339569830198655608910485170781612396240234375	0.51128361349222528620117600439698435366153717041015625	-2.0154310078879383	1.56816254659251	ATP5E;NDUFA1;SLC25A5;SLC25A14
Gastric Cancer Network 2_Homo sapiens_WP2363	2/31	0.031253530178280530815726478977012448012828826904296875	0.459287910604117277646452066619531251490116119384765625	0.034923679895098251602103545110367122106254100799560546875	0.51128361349222528620117600439698435366153717041015625	-1.9956275130340497	1.5527538827384941	OTUD5;SNURF
Metapathway biotransformation_Mus musculus_WP1251	4/132	0.03098706834922269892640400712480186484754085540771484375	0.459287910604117277646452066619531251490116119384765625	0.033010151970666083698358050924070994369685649871826171875	0.51128361349222528620117600439698435366153717041015625	-1.9084421149266249	1.4849168417349934	CHST7;HS3ST4;HS6ST2;HS6ST3
TCA Cycle_Mus musculus_WP434	2/30	0.029407205273802992928633415203876211307942867279052734375	0.459287910604117277646452066619531251490116119384765625	0.032993630939066313778607053563973749987781047821044921875	0.51128361349222528620117600439698435366153717041015625	-1.887997943892057	1.469009681833679	PDHA1;PDK3
Hypothetical Network for Drug Addiction_Mus musculus_WP1246	2/30	0.029407205273802992928633415203876211307942867279052734375	0.459287910604117277646452066619531251490116119384765625	0.032993630939066313778607053563973749987781047821044921875	0.51128361349222528620117600439698435366153717041015625	-1.666235862428571	1.2964614829400494	CAMK2B;DRD2
Hypothetical Network for Drug Addiction_Homo sapiens_WP666	2/32	0.033144488394111555618071207618413609452545642852783203125	0.459287910604117277646452066619531251490116119384765625	0.036896755612840996529921966384790721349418163299560546875	0.51128361349222528620117600439698435366153717041015625	-1.5528940089867949	1.208272679238438	CAMK2B;DRD2
Electron Transport Chain_Mus musculus_WP295	3/93	0.05098320180093011966260263534422847442328929901123046875	0.56603944271871819982067108867340721189975738525390625	0.054362915283555086898292785235753399319946765899658203125	0.64251719475640578504993527531041763722896575927734375	-1.8259834594485933	1.0391516959041611	NDUFA1;SLC25A5;SLC25A14
Metapathway biotransformation_Homo sapiens_WP702	4/178	0.0761328803509684071126883964097942225635051727294921875	0.61540744950366133014796332645346410572528839111328125	0.07948666326883370436551246029921458102762699127197265625	0.64251719475640578504993527531041763722896575927734375	-1.8954820594795199	0.9202010231537645	CHST7;HS3ST4;HS6ST2;HS6ST3
Cell Differentiation - Index_Homo sapiens_WP2029	2/49	0.07126031645394433067242090373838436789810657501220703125	0.61540744950366133014796332645346410572528839111328125	0.07619921919487705752604966846774914301931858062744140625	0.64251719475640578504993527531041763722896575927734375	-1.6488319905518538	0.8004596388166804	TLX3;TLX2
ESC Pluripotency Pathways_Mus musculus_WP339	3/117	0.0878056862266743121114842551833135075867176055908203125	0.655165504922108343777154004783369600772857666015625	0.09219015705773860036575939602698781527578830718994140625	0.68374741392188820299224971677176654338836669921875	-1.8221938161909639	0.7705463540499917	FGF16;WNT7B;FGF13
mRNA processing_Mus musculus_WP310	6/398	0.1478392437903808531718397034637746401131153106689453125	0.67387870305796726544400598868378438055515289306640625	0.1514955879059040333434182912242249585688114166259765625	0.68374741392188820299224971677176654338836669921875	-1.7549598743347168	0.6926917005397566	RBMXL2;SLC6A8;DDX4;FMR1;CSTF2;SMC1A
Primary Focal Segmental Glomerulosclerosis FSGS_Homo sapiens_WP2572	2/72	0.1359582245486133100786929617243004031479358673095703125	0.67387870305796726544400598868378438055515289306640625	0.14205832706646293051022666986682452261447906494140625	0.68374741392188820299224971677176654338836669921875	-1.518350887274471	0.599300914797785	CDKN1C;CAMK2B
GPCRs, Other_Mus musculus_WP41	2/76	0.1482357580889286097214352366790990345180034637451171875	0.67387870305796726544400598868378438055515289306640625	0.1545032168869750199835522153080091811716556549072265625	0.68374741392188820299224971677176654338836669921875	-1.4949066615803652	0.5900473581772702	CELSR1;DRD2
PodNet: protein-protein interactions in the podocyte_Mus musculus_WP2310	4/305	0.2917234141604729824592823206330649554729461669921875	0.67387870305796726544400598868378438055515289306640625	0.30008949741080837014806093065999448299407958984375	0.68374741392188820299224971677176654338836669921875	-1.4505727792985	0.5725485465186866	CAMK2B;EFNB1;CASK;FKTN
Amino Acid metabolism_Mus musculus_WP662	2/92	0.199196166066389512838696873586741276085376739501953125	0.67387870305796726544400598868378438055515289306640625	0.206064025193641364719354669432505033910274505615234375	0.68374741392188820299224971677176654338836669921875	-1.4427188474310237	0.5694485591624128	PDHA1;SMS
mRNA Processing_Homo sapiens_WP411	2/127	0.314736262228317575928571159238344989717006683349609375	0.67387870305796726544400598868378438055515289306640625	0.3226642169507092372526813051081262528896331787109375	0.68374741392188820299224971677176654338836669921875	-1.1952461454274002	0.4717698091835607	CSTF2;SMC1A
TGF-beta Signaling Pathway_Homo sapiens_WP366	2/132	0.331141307997382561278953971850569359958171844482421875	0.67387870305796726544400598868378438055515289306640625	0.3392010328953876108215581552940420806407928466796875	0.68374741392188820299224971677176654338836669921875	-1.1810989092540884	0.46618582220691046	CITED1;UCHL5
Estrogen signaling pathway_Homo sapiens_WP712	1/23	0.18689175724478890305846334740635938942432403564453125	0.67387870305796726544400598868378438055515289306640625	0.1948042163431320250577272190639632754027843475341796875	0.68374741392188820299224971677176654338836669921875	-1.063488568153968	0.41976441487496985	GNAS
Regulation of toll-like receptor signaling pathway_Homo sapiens_WP1449	2/141	0.360379030613439288455168707514530979096889495849609375	0.67387870305796726544400598868378438055515289306640625	0.36866570972430567909583487562485970556735992431640625	0.68374741392188820299224971677176654338836669921875	-1.0056610587374122	0.39693959909340226	OTUD5;TAB3
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	2/150	0.38913918113168077805852362871519289910793304443359375	0.67387870305796726544400598868378438055515289306640625	0.3976400503168340261339608332491479814052581787109375	0.68374741392188820299224971677176654338836669921875	-0.9182139311580648	0.3624237674803188	FGF16;FGF13
Regulation of Actin Cytoskeleton_Mus musculus_WP523	2/148	0.382794855713210979697436187052517198026180267333984375	0.67387870305796726544400598868378438055515289306640625	0.3912492200411257226022598842973820865154266357421875	0.68374741392188820299224971677176654338836669921875	-0.9123093233562004	0.3600931883718681	FGF16;FGF13
NRF2 pathway_Homo sapiens_WP2884	2/146	0.376422858431184448324557934029144234955310821533203125	0.67387870305796726544400598868378438055515289306640625	0.38483009377100518833003661711700260639190673828125	0.68374741392188820299224971677176654338836669921875	-0.877321584831227	0.346283347787284	SLC6A8;FGF13
Ectoderm Differentiation_Homo sapiens_WP2858	2/139	0.353919033651527492612132164140348322689533233642578125	0.67387870305796726544400598868378438055515289306640625	0.362156392138493765653350919819786213338375091552734375	0.68374741392188820299224971677176654338836669921875	-0.849693129047713	0.33537825400146465	BCOR;PHF8
Calcium Regulation in the Cardiac Cell_Homo sapiens_WP536	2/149	0.385970543315142189388922133730375207960605621337890625	0.67387870305796726544400598868378438055515289306640625	0.39444823809274531800639351786230690777301788330078125	0.68374741392188820299224971677176654338836669921875	-0.8291093279911793	0.32725372171674366	CAMK2B;GNAS
Calcium Regulation in the Cardiac Cell_Mus musculus_WP553	2/150	0.38913918113168077805852362871519289910793304443359375	0.67387870305796726544400598868378438055515289306640625	0.3976400503168340261339608332491479814052581787109375	0.68374741392188820299224971677176654338836669921875	-0.8083043727687613	0.31904189874379196	CAMK2B;GNAS
Monoamine GPCRs_Mus musculus_WP570	1/32	0.250173580423823371798874859450734220445156097412109375	0.67387870305796726544400598868378438055515289306640625	0.257806780259794920961979869389324449002742767333984375	0.68374741392188820299224971677176654338836669921875	-0.7785456500108636	0.30729597761219135	DRD2
Structural Pathway of Interleukin 1 (IL-1)_Homo sapiens_WP2637	1/47	0.344942718108615320460330622154287993907928466796875	0.67387870305796726544400598868378438055515289306640625	0.35222542393266731419743109654518775641918182373046875	0.68374741392188820299224971677176654338836669921875	-0.7742669894674518	0.30560716826036965	TAB3
Monoamine GPCRs_Homo sapiens_WP58	1/33	0.256895281611431158808045438490808010101318359375	0.67387870305796726544400598868378438055515289306640625	0.264501023432169135585212416117428801953792572021484375	0.68374741392188820299224971677176654338836669921875	-0.7659309846189807	0.3023169042157948	DRD2
Aryl Hydrocarbon Receptor_Homo sapiens_WP2586	1/46	0.33901324890618422802646136915427632629871368408203125	0.67387870305796726544400598868378438055515289306640625	0.34631567108238370256145799430669285356998443603515625	0.68374741392188820299224971677176654338836669921875	-0.7621254416727798	0.30081483681617394	NCOR2
ATM Signaling Pathway_Homo sapiens_WP2516	1/40	0.302298795936414121943158761496306397020816802978515625	0.67387870305796726544400598868378438055515289306640625	0.309729676797503017393609070495585910975933074951171875	0.68374741392188820299224971677176654338836669921875	-0.7537248767972279	0.2974990905964226	SMC1A
Myometrial Relaxation and Contraction Pathways_Mus musculus_WP385	2/151	0.39230064102478479082236617614398710429668426513671875	0.67387870305796726544400598868378438055515289306640625	0.4008245284135083519316822275868616998195648193359375	0.68374741392188820299224971677176654338836669921875	-0.7411081810200737	0.29251921579650286	CAMK2B;GNAS
Myometrial Relaxation and Contraction Pathways_Homo sapiens_WP289	2/156	0.407995980340263575403270124297705478966236114501953125	0.67387870305796726544400598868378438055515289306640625	0.416632609806092346627082179111312143504619598388671875	0.68374741392188820299224971677176654338836669921875	-0.7036104360986997	0.2777186627605885	CAMK2B;GNAS
Endothelin Pathways_Homo sapiens_WP2197	1/34	0.263557060771395790244042700578575022518634796142578125	0.67387870305796726544400598868378438055515289306640625	0.271135995823819697658763061554054729640483856201171875	0.68374741392188820299224971677176654338836669921875	-0.6998490866725667	0.2762340387709375	GNAS
