Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regionalization (GO:0003002)	65/247	0.00000000012231447986319669890933831550333850402001445445421268232166767120361328125	0.000000560925216104679075725569954713467524243242223747074604034423828125	0.000000002381928812825632570565622013404778745115919491581735201179981231689453125	0.000005499873628814385868065865714537920894144917838275432586669921875	-2.408319410152967	34.66457470077539	RARG;PGAP1;HOXC13;HOXC11;HOXC10;FGF8;SOX17;ZIC3;SIX3;HOXA6;FEZF1;MNX1;HOXA5;HOXA4;HES7;TGIF1;EMX1;FOXD1;MSX2;ATP6AP2;FOXH1;WNT5A;EN1;TBR1;PAX6;HNF1B;OVOL2;ARC;CYP26C1;PAX7;ALDH1A2;HOXB3;ROR2;LMX1B;NBL1;HOXB7;CRB2;FOXC2;DLX2;FOXC1;LRP5;LRP4;GATA4;HOXD13;HOXD11;DLL3;NKX2-1;ALX4;NKX2-5;HOXC9;TBX1;CDX4;CDX1;FOXF1;WNT7B;GSX2;FOXJ1;NR2F2;BMP2;LHX2;WT1;SNAI1;CTNNB1;HOXD9;FOXA2
pattern specification process (GO:0007389)	88/385	0.000000000242929933349796058126696777175793605374476413771844818256795406341552734375	0.000000560925216104679075725569954713467524243242223747074604034423828125	0.0000000016040618146248674507789850113737180337114551775812287814915180206298828125	0.000005499873628814385868065865714537920894144917838275432586669921875	-2.377099561671213	34.21520624687338	MESP2;RARG;PGAP1;FLT1;CITED1;RAX;IHH;HOXC13;PKD2;HOXC11;HOXC10;FGF8;SOX17;ZIC3;SIX3;SOSTDC1;HOXA6;FEZF1;MNX1;HOXA5;NKX3-2;HOXA4;HES7;TGIF1;EMX1;FOXD1;MSX2;ATP6AP2;FOXH1;WNT5A;SHROOM3;EN1;HNF1B;TBR1;PAX6;OOEP;OVOL2;ARC;CYP26C1;NRG3;PAX7;ALDH1A2;HOXB3;ROR2;LMX1B;NBL1;HOXB7;MDFI;CRB2;FOXC2;FOXC1;DLX2;LRP5;LRP4;GATA4;HOXD13;HOXD12;HOXD11;DLL3;EFNB1;GBX2;ERBB4;NKX2-1;GPC3;ALX4;NKX2-5;HOXC9;TBX1;CDX4;FOXF1;CDX1;WNT7B;IRX4;GSX2;FOXJ1;UNCX;NR2F2;GDF3;SMAD5;BMP2;LHX2;WT1;SNAI1;CTNNB1;BCOR;SIM2;HOXD9;FOXA2
synaptic transmission (GO:0007268)	94/434	0.0000000012224206589761148522792288145691168288475836334328050725162029266357421875	0.000001881712867717232881003565879429739737815907574258744716644287109375	0.0000000046111030856448633065260028795519231525901204804540611803531646728515625	0.0000070980246831693264605010230960946415734724723733961582183837890625	-2.3470201715737655	30.941536969957	KCNG1;GABRB3;MYLK2;KCNG3;VIPR1;KCNG4;KCNK9;GRIK5;KCNC4;GRIK3;HTR2C;SLC6A2;CDH8;SLC6A3;RPS6KA3;GPR176;HTR6;HTR7;GNGT2;BSN;DLGAP2;SCN1B;KCNH5;KCND1;NPY5R;GRID1;SLC6A12;CARTPT;KCNK18;GABRG3;SYN2;SYN1;ARHGEF9;CACNB3;ADCY9;CACNB4;KCNQ1;KCNQ3;NAPB;CHRNA3;SHC3;CNP;CAMK2A;KCNA2;SLC1A3;ADCY3;LPAR3;KCNA5;KCNA7;CPLX1;ADCY7;ADCY6;ADCY5;GRIN2A;NPY;GNG7;KCNMB1;MBP;KCNN3;NPTX2;DRD2;ASIC2;SNCB;GRIA3;DRD5;SYT5;KCNJ4;KCNF1;GABRA1;KCNIP1;GABRA5;KCNIP2;KCNB1;KCNB2;HTR1D;GRIN2C;HCRTR1;SLC6A5;DLG1;DLG2;GRIN3A;GNAL;DLG3;KCNS2;P2RX2;MDM2;KCNK1;APBA2;CNIH3;FGF12;KCNK2;HCN2;HCN1;CBLN1
organ morphogenesis (GO:0009887)	85/405	0.0000000345450761385607402291690148747604904855279528419487178325653076171875	0.000031905832321574699342141279156948030504281632602214813232421875	0.0000000851268794942635932826649892805892516634003186482004821300506591796875	0.0000982789823761273141633498795499690459109842777252197265625	-2.354135076795295	24.371705373104557	COL18A1;CNTF;RARG;EDA;SPEF2;ONECUT2;FOXE1;SYCP2;ITGB4;FHL1;IHH;HCCS;HOXC13;AQP5;HOXC11;TGM1;SOX3;FGF8;SOSTDC1;SCN5A;PHLDA2;HOXA6;HOXA5;NKX3-2;HOXA4;EMX1;TLE1;SHROOM2;SOX11;HNF1B;PAX6;OVOL2;ALDH1A2;HAND1;COL8A2;HOXB3;FAM20C;EVL;ROR2;LY6H;HOXB7;MDFI;FOXC1;DLX2;DLX3;COL11A2;KLHL10;CUL1;LRP5;LRP4;GATA4;PRKX;HOXD11;FGD1;PERP;CTNNA1;ALX4;SLIT3;BAK1;NKX2-5;HOXC9;NKX2-3;JAG2;TBX1;TCF7L2;FOXF2;FOXF1;CDX1;WNT7B;LIF;IGF2;PDX1;CELA1;GRHL2;FGF16;DLG1;BMP2;GJB6;GNAS;CTNNB1;DCHS1;LHX4;FAT4;BCOR;HOXD9
anterior/posterior pattern specification (GO:0009952)	42/150	0.000000033379721632313449036536206863956532941983823548071086406707763671875	0.000031905832321574699342141279156948030504281632602214813232421875	0.00000040151679913095086367700301856198397132402533316053450107574462890625	0.000370840915677346223515431500317163227009586989879608154296875	-2.3104110351143086	23.919042536517882	CRB2;FOXC2;RARG;FOXC1;LRP5;GATA4;HOXD13;HOXC13;HOXD11;HOXC11;HOXC10;DLL3;SOX17;ZIC3;SIX3;ALX4;HOXC9;HOXA6;FEZF1;HOXA5;HOXA4;TBX1;HES7;CDX4;MSX2;CDX1;FOXF1;FOXH1;ATP6AP2;WNT5A;PAX6;HNF1B;NR2F2;BMP2;ARC;CYP26C1;WT1;ALDH1A2;HOXB3;ROR2;HOXD9;HOXB7
cell fate commitment (GO:0045165)	38/134	0.0000001027250222293255963338111358927606797664111581980250775814056396484375	0.000079064025442504264474911923610278563501196913421154022216796875	0.000001090896439163898871041306383455893325162833207286894321441650390625	0.000839626626009814191163582730581538271508179605007171630859375	-2.201761900775017	20.79619728505698	FOXC2;DLX2;ONECUT2;ARX;IHH;PRDM14;GATA4;NR2E1;GATA2;ERBB4;GBX1;NKX2-1;NKX2-5;PITX1;TBX1;MYOG;JAG2;TCF7L2;TFAP2C;WNT5B;WNT7B;GSX2;WNT5A;OLIG1;PAX6;FOXN4;OLIG2;SMAD5;POU5F1;GDF7;BMP2;WT1;PAX7;RARA;LHX6;CTNNB1;PTF1A;VSX2
neuron fate commitment (GO:0048663)	15/34	0.000001906985544623774531637562697217180840425498900003731250762939453125	0.00125806560643894164985834294157029944472014904022216796875	0.0000404256067506183219980274434757205881396657787263393402099609375	0.0109814971749620828023186192012872197665274143218994140625	-2.4774543657002943	16.544886123296944	JAG2;DLX2;TFAP2C;GSX2;IHH;FOXN4;PAX6;OLIG1;OLIG2;GATA2;GBX1;PAX7;NKX2-1;LHX6;PTF1A
neuron differentiation (GO:0030182)	50/222	0.0000027541751375719985414571196191690916066363570280373096466064453125	0.00136254457541727831693112449329419177956879138946533203125	0.000007679456081617004365065526361178172010113485157489776611328125	0.003940414242767480319795669885252209496684372425079345703125	-2.3082096805849863	15.23049379411311	BARHL2;CHD5;RORA;NR2E1;NRBP2;FGF8;PSD2;AIFM1;ATP7A;EMX1;WNT5B;WNT5A;SOX11;UNC5D;OLIG2;DICER1;PAX7;ALDH1A2;LMX1B;BRSK2;HOXD1;CEND1;GATA2;ERBB4;GBX1;NNAT;FGF20;NKX2-1;SPOCK1;PROM1;SKOR2;HELT;BDNF;WNT7B;GSX2;UNCX;ATP2B2;FOXN4;SMARCA1;POU4F2;GDF7;USH1G;ID4;CTNNB1;LHX4;PTF1A;CDK5R1;FOXA2;VSX2;CBLN1
embryonic morphogenesis (GO:0048598)	77/403	0.0000066420149562278685265366041934331775564714916981756687164306640625	0.0023252928306810595991682699690272784209810197353363037109375	0.000007415334474484686948171814624419795336507377214729785919189453125	0.003940414242767480319795669885252209496684372425079345703125	-2.4039755450786497	14.577489662836573	CDKN1C;RARG;FLT1;SPEF2;FOXE1;FOXI1;IHH;PKD2;HOXC11;HOXC10;NDST1;FGF8;SOX17;ZIC3;SIX3;HOXA6;PITX1;HOXA5;NKX3-2;HOXA4;OFD1;MSX2;FOXH1;ESX1;WNT5A;EN1;SOX11;HNF1B;PAX6;DICER1;OVOL2;SPINT1;ALDH1A2;HAND1;HOXB3;ROR2;HOXB7;MDFI;YAP1;FOXC2;DLX2;HPN;LRP5;LRP4;GATA4;HOXD13;HOXD12;GATA3;GATA2;HOXD11;ABR;GBX2;NSD1;GPC3;ALX4;HES3;NKX2-5;HOXC9;JAG2;TBX1;TCF7L2;CREBBP;FOXF2;FOXF1;WNT7B;KDF1;PDX1;FOXN4;GRHL2;DLG1;USH1G;GJB6;MAB21L2;GNAS;CTNNB1;B9D1;HOXD9
negative regulation of cell development (GO:0010721)	52/239	0.00000512644668104509263297820231830570492093102075159549713134765625	0.0019728275644221864200400506916821541381068527698516845703125	0.0000116865169838838739327195603845410687426920048892498016357421875	0.00521522238612582948735774124315867084078490734100341796875	-2.33422244656156	14.53820837740682	CNTF;CITED1;AATK;NR2E1;PTPRG;SOX3;SIX3;WNT5A;SOX11;PAX6;HNF1B;DICER1;OLIG2;OVOL2;OLFM1;ADCYAP1;KCTD11;ARHGEF2;FOXC2;FOXC1;DLX2;NPR2;HPN;SEZ6;LRP4;DTX1;ASCL2;ADCY6;DLL3;SPP1;SLIT1;NKX2-1;CTNNA1;SPOCK1;MBP;S1PR3;RAP1GAP2;DMTN;CAV3;BDNF;RCC2;DAB2IP;VAX1;TLX3;TLX2;TRPV4;ID4;CTNNB1;CNTN2;FGF13;FOXA2;CDK5R1
