Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	53/111	0.0000000000000000000028821501725495911493147415429311685467620901753839333472883600661962333333576680161058902740478515625	0.00000000000000000454515082211070524359782198999184880589380328231381873937966275889266398735344409942626953125	0.0000000000014446424412479981536373139079144990227533684734595453846850432455539703369140625	0.000000002278201129848092953788415136219536183403988616191782057285308837890625	-2.0928581235265966	83.572995828061	EDA;FHL1;TAZ;PHF6;CHRDL1;SAT1;RPGR;AFF2;MECP2;MED12;AIFM1;OPHN1;IDS;IKBKG;ATP7A;ABCD1;EMD;GPR179;OFD1;ATP6AP2;PHKA1;SYN1;HCFC1;ARHGEF9;DKC1;PIGA;SMS;ABCB7;IGSF1;ARX;FGD1;MTM1;PGK1;GPC3;PAK3;GRIA3;TRAPPC2;IGBP1;BCAP31;PDHA1;GK;IQSEC2;NAA10;ATP2B3;UPF3B;UBE2A;FGF16;CLCN5;SLC6A8;UBA1;MAMLD1;MBTPS2;BRWD3
X-linked dominant inheritance (HP:0001423)	28/62	0.0000000000362611926642850485178436224117351667495245948202864383347332477569580078125	0.00000002859195041578875991621438664748444669072569013223983347415924072265625	0.0000008965402848203807686648550250019251706135037238709628582000732421875	0.000706922014580870275955726267369527704431675374507904052734375	-1.9176835215642711	33.31043242028589	AMER1;EDA;FMR1;FHL1;HCCS;WDR45;HDAC6;MECP2;EFNB1;RPS6KA3;PORCN;LAMP2;NHS;PLS3;PDK3;IKBKG;SLC16A2;OFD1;SLC35A2;CDKL5;PDHA1;GK;NDUFA1;CASK;SYN1;SLC9A6;NDUFS6;BCOR
Camptodactyly of finger (HP:0100490)	33/121	0.000001814468613191958542944781651584662540699355304241180419921875	0.000953805667667906157715373982597384383552707731723785400390625	0.00050047066070167656702538661050994051038287580013275146484375	0.263080743975514674826143846075865440070629119873046875	-2.299847739314375	15.995557422042443	MESP2;ITGB4;COL11A2;WISP3;LAMC2;HOXD13;FGD1;DLL3;MED12;EFNB1;PORCN;NSD1;LMNA;PIEZO2;GPC3;IKBKG;GPC4;SCARF2;SLC16A2;HES7;NAA10;WNT5A;UPF3B;ZDHHC9;KAT6B;TRPV4;UBA1;ROR2;FAT4;BCOR;CRLF1;MBTPS2;CHST3
Pectus excavatum (HP:0000767)	34/135	0.000008681186039339693947896291204013863307409337721765041351318359375	0.003422557596009674456272176001903062569908797740936279296875	0.00135770951420523255936956275036209262907505035400390625	0.5073537137228301130420504705398343503475189208984375	-2.325786665144848	13.204344862481348	AMER1;CHRM3;CUL7;FMR1;COL11A2;IHH;ZBTB20;FGD1;MED12;MECP2;RPS6KA3;EFNB1;EFEMP2;PIEZO2;GPC3;MGAT2;GPC4;ATP7A;SCARF2;SLC16A2;EMD;IGBP1;CREBBP;NAA10;WNT5A;UPF3B;SOX10;ZDHHC9;SLC9A6;KAT6B;SMS;FAM20C;ROR2;LMX1B
Delayed eruption of teeth (HP:0000684)	24/86	0.0000294856222655123651464094403085169915357255376875400543212890625	0.007749804385452166606562673933922269497998058795928955078125	0.0022455462514708070254076943683685385622084140777587890625	0.5073537137228301130420504705398343503475189208984375	-2.1479958926162435	10.43944836692461	AMER1;CUL7;DLX3;EDA;NAA10;MMP2;WNT5A;PIK3R1;TCIRG1;FGD1;PTHLH;RPS6KA3;PORCN;KAT6B;GJB6;LMNA;GNAS;ACP5;IDS;IKBKG;FAT4;BCOR;ROR2;CHST3
Patent ductus arteriosus (HP:0001643)	30/125	0.000075543714153786080205653374886054507442167960107326507568359375	0.01489155465256508138749413916457342565990984439849853515625	0.004728926520845559873518215709964351844973862171173095703125	0.70968700386803573731953065362176857888698577880859375	-2.255943468865717	9.490666256163543	AMER1;COL18A1;CHRM3;FOXC2;FOXC1;ARX;GATA4;HOXD13;ARVCF;PORCN;ZIC3;NSD1;LMNA;GPC3;KCNE1L;NKX2-5;TBX1;IGBP1;TFAP2B;CREBBP;FOXF1;GP1BB;AMMECR1;ACSL4;DHCR24;ANK1;KAT6B;WT1;EOGT;BCOR
Ventricular septal defect (HP:0001629)	38/176	0.000107349975393092173761751262350827573754941113293170928955078125	0.0183903947090160897748223334247086313553154468536376953125	0.00725018926245494903237709394261401030234992504119873046875	0.70968700386803573731953065362176857888698577880859375	-2.34514156033077	9.371013957612574	AMER1;FOXC2;CHRM3;COL11A2;ARX;LRP5;GATA4;HCCS;HOXD13;LTBP2;GATA3;MED12;PORCN;ARVCF;ZIC3;NSD1;PIEZO2;GPC3;MGAT2;GPC4;NKX2-5;TBX1;IGBP1;TFAP2B;CREBBP;NAA10;FOXF1;GP1BB;NR2F2;GDF3;WT1;KAT6B;MGP;EOGT;ROR2;CCDC22;BCOR;CHST3
Tapered finger (HP:0001182)	15/42	0.00004101820523636008522343210369598409670288674533367156982421875	0.00924081566539140808469454668738762848079204559326171875	0.002252045653810913657111303365354615380056202411651611328125	0.5073537137228301130420504705398343503475189208984375	-1.9904284761471382	9.323416028166056	OFD1;CDKL5;ARX;HUWE1;AMMECR1;ACSL4;GATA2;PHF6;RPS6KA3;FAM134B;GJB4;KCNE1L;SIM1;SLC12A6;CRLF1
Macroorchidism (HP:0000053)	8/13	0.00002438674429140435707280033794663864910035044886171817779541015625	0.007691579149508934350187860928826921735890209674835205078125	0.0019998774405854129361526094754708537948317825794219970703125	0.5073537137228301130420504705398343503475189208984375	-1.8993272954896891	9.245220938364868	MECP2;MED12;LHCGR;ZDHHC9;FMR1;HUWE1;GNAS;UPF3B
Cryptorchidism (HP:0000028)	67/379	0.000284735838701606798484267102367084589786827564239501953125	0.0261714811780886791314770789540489204227924346923828125	0.024501696235124749423395229541711159981787204742431640625	0.91689852864496168560748401432647369801998138427734375	-2.4083696355282154	8.773895211088513	CDKN1C;MESP2;CHRM3;FMR1;ZBTB20;PHF6;PHF8;MECP2;MED12;SOX3;FGF8;OPHN1;AP1S2;PIEZO2;FEZF1;OFD1;HES7;GP1BB;WNT5A;TACR3;SOX11;HNF1B;PAX6;POMGNT2;SOX10;ANK1;KAT6B;DKC1;SMS;IRF6;ROR2;ARX;GATA5;GATA4;HOXD13;FGD1;DLL3;MTM1;EFNB1;PORCN;ARVCF;TBX22;NSD1;GPC3;ALX4;GPC4;NKX2-5;RBM10;TBX1;CREBBP;GK;NAA10;BDNF;SPRY4;IGF2;TMEM231;FGF17;POLA1;WT1;GJB6;B9D1;UBA1;LHX4;FAT4;BCOR;BRWD3;MBTPS2
Macrotia (HP:0000400)	26/105	0.00012848049922516453368211142294086357651394791901111602783203125	0.018419431570734952352541569098320906050503253936767578125	0.005912055198396931089688255411829231888987123966217041015625	0.70968700386803573731953065362176857888698577880859375	-2.115193339416337	8.448820628509655	PGAP1;FMR1;ZBTB20;PIK3R1;TAZ;PHF6;MECP2;OPHN1;TBX22;NSD1;NHS;PIEZO2;MGAT2;SLC12A6;PAK3;SCARF2;SLC16A2;NAA10;CASK;SLC9A6;PSAT1;MGP;UBA1;SIM1;MBTPS2;BRWD3
Abnormality of the tricuspid valve (HP:0001702)	9/19	0.000116616326626608040055617376840046972574782557785511016845703125	0.0183903947090160897748223334247086313553154468536376953125	0.004067613055203679606197653129129321314394474029541015625	0.70968700386803573731953065362176857888698577880859375	-2.0811906700709613	8.316285527316852	TBX1;RPS6KA3;ARVCF;GP1BB;HCCS;CCDC22;ROR2;SCN5A;CHST3
Aplasia/Hypoplasia of the clavicles (HP:0006710)	9/21	0.0002987233108469221289256456675076378814992494881153106689453125	0.0261714811780886791314770789540489204227924346923828125	0.00676867151985690619631075293227695510722696781158447265625	0.70968700386803573731953065362176857888698577880859375	-2.015036034688171	7.34094748335578	EFNB1;PORCN;MSX2;NAA10;LMNA;DCHS1;HOXD13;FAT4;ATP7A
Increased number of teeth (HP:0011069)	9/20	0.00019023038538420883867587074522731427350663580000400543212890625	0.0230764090577613330268480495988114853389561176300048828125	0.00528587695956879606573597385477114585228264331817626953125	0.70968700386803573731953065362176857888698577880859375	-1.9383722003460655	7.305617119777545	OFD1;WNT5A;NHS;AMMECR1;ACSL4;KCNE1L;BCOR;FAT4;ROR2
Broad toe (HP:0001837)	10/25	0.000272520816058956683210212634804747722228057682514190673828125	0.0261714811780886791314770789540489204227924346923828125	0.0064162760922629770432568108162740827538073062896728515625	0.70968700386803573731953065362176857888698577880859375	-2.0002477021919076	7.287072331570581	MED12;EFNB1;BMP2;CREBBP;NAA10;NPR2;WNT5A;GPC3;ROR2;UBE2A
