Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regionalization (GO:0003002)	65/247	0.00000000009629042782787016329498341055199614989257295150082427426241338253021240234375	0.0000004193967610515319624259374109431774968470563180744647979736328125	0.0000000018338371523123772696335469562151955502660172214746125973761081695556640625	0.0000042242438803515611027428189316879070247523486614227294921875	-2.408319410152967	35.364842208628836	RARG;PGAP1;HOXC13;HOXC11;HOXC10;FGF8;SOX17;ZIC3;SIX3;HOXA6;FEZF1;MNX1;HOXA5;HOXA4;HES7;TGIF1;EMX1;FOXD1;MSX2;ATP6AP2;FOXH1;WNT5A;EN1;TBR1;PAX6;HNF1B;OVOL2;ARC;CYP26C1;PAX7;ALDH1A2;HOXB3;ROR2;LMX1B;NBL1;HOXB7;CRB2;FOXC2;DLX2;FOXC1;LRP5;LRP4;GATA4;HOXD13;HOXD11;DLL3;NKX2-1;ALX4;NKX2-5;HOXC9;TBX1;CDX4;CDX1;FOXF1;WNT7B;GSX2;FOXJ1;NR2F2;BMP2;LHX2;WT1;SNAI1;CTNNB1;HOXD9;FOXA2
pattern specification process (GO:0007389)	88/385	0.0000000001820693557853405444262176110241011582624448550404849811457097530364990234375	0.0000004193967610515319624259374109431774968470563180744647979736328125	0.00000000116306678523624551827201994112781502366260610870085656642913818359375	0.0000042242438803515611027428189316879070247523486614227294921875	-2.377099561671213	34.9063959532526	MESP2;RARG;PGAP1;FLT1;CITED1;RAX;IHH;HOXC13;PKD2;HOXC11;HOXC10;FGF8;SOX17;ZIC3;SIX3;SOSTDC1;HOXA6;FEZF1;MNX1;HOXA5;NKX3-2;HOXA4;HES7;TGIF1;EMX1;FOXD1;MSX2;ATP6AP2;FOXH1;WNT5A;SHROOM3;EN1;HNF1B;TBR1;PAX6;OOEP;OVOL2;ARC;CYP26C1;NRG3;PAX7;ALDH1A2;HOXB3;ROR2;LMX1B;NBL1;HOXB7;MDFI;CRB2;FOXC2;FOXC1;DLX2;LRP5;LRP4;GATA4;HOXD13;HOXD12;HOXD11;DLL3;EFNB1;GBX2;ERBB4;NKX2-1;GPC3;ALX4;NKX2-5;HOXC9;TBX1;CDX4;FOXF1;CDX1;WNT7B;IRX4;GSX2;FOXJ1;UNCX;NR2F2;GDF3;SMAD5;BMP2;LHX2;WT1;SNAI1;CTNNB1;BCOR;SIM2;HOXD9;FOXA2
synaptic transmission (GO:0007268)	94/434	0.00000000091295856903273454959148238224372375049231465027332887984812259674072265625	0.0000014020000425112693262226330748188019015287864021956920623779296875	0.000000003320636828748095607053640492879222068101086051683523692190647125244140625	0.0000050993912900141592127868477024588145241068559698760509490966796875	-2.3470201715737655	31.632224269122617	KCNG1;GABRB3;MYLK2;KCNG3;VIPR1;KCNG4;KCNK9;GRIK5;KCNC4;GRIK3;HTR2C;SLC6A2;CDH8;SLC6A3;RPS6KA3;GPR176;HTR6;HTR7;GNGT2;BSN;DLGAP2;SCN1B;KCNH5;KCND1;NPY5R;GRID1;SLC6A12;CARTPT;KCNK18;GABRG3;SYN2;SYN1;ARHGEF9;CACNB3;ADCY9;CACNB4;KCNQ1;KCNQ3;NAPB;CHRNA3;SHC3;CNP;CAMK2A;KCNA2;SLC1A3;ADCY3;LPAR3;KCNA5;KCNA7;CPLX1;ADCY7;ADCY6;ADCY5;GRIN2A;NPY;GNG7;KCNMB1;MBP;KCNN3;NPTX2;DRD2;ASIC2;SNCB;GRIA3;DRD5;SYT5;KCNJ4;KCNF1;GABRA1;KCNIP1;GABRA5;KCNIP2;KCNB1;KCNB2;HTR1D;GRIN2C;HCRTR1;SLC6A5;DLG1;DLG2;GRIN3A;GNAL;DLG3;KCNS2;P2RX2;MDM2;KCNK1;APBA2;CNIH3;FGF12;KCNK2;HCN2;HCN1;CBLN1
organ morphogenesis (GO:0009887)	85/405	0.000000026778228827585474304116925302853002843761487383744679391384124755859375	0.0000261727372281543371203803294289258474236703477799892425537109375	0.0000000638584826564826187295263932620914548721202663728035986423492431640625	0.00007354900739960386194839225826314077494316734373569488525390625	-2.356642448995133	24.864444893407963	COL18A1;CNTF;RARG;EDA;SPEF2;ONECUT2;FOXE1;SYCP2;ITGB4;FHL1;IHH;HCCS;HOXC13;AQP5;HOXC11;TGM1;SOX3;FGF8;SOSTDC1;SCN5A;PHLDA2;HOXA6;HOXA5;NKX3-2;HOXA4;EMX1;TLE1;SHROOM2;SOX11;HNF1B;PAX6;OVOL2;ALDH1A2;HAND1;COL8A2;HOXB3;FAM20C;EVL;ROR2;LY6H;HOXB7;MDFI;FOXC1;DLX2;DLX3;COL11A2;KLHL10;CUL1;LRP5;LRP4;GATA4;PRKX;HOXD11;FGD1;PERP;CTNNA1;ALX4;SLIT3;BAK1;NKX2-5;HOXC9;NKX2-3;JAG2;TBX1;TCF7L2;FOXF2;FOXF1;CDX1;WNT7B;LIF;IGF2;PDX1;CELA1;GRHL2;FGF16;DLG1;BMP2;GJB6;GNAS;CTNNB1;DCHS1;LHX4;FAT4;BCOR;HOXD9
anterior/posterior pattern specification (GO:0009952)	42/150	0.0000000284054018104561925383463026097141668202539221965707838535308837890625	0.0000261727372281543371203803294289258474236703477799892425537109375	0.0000003370681747707775161024333458736901292240872862748801708221435546875	0.000310574616233794446006066802823397665633819997310638427734375	-2.3078219450689876	24.349349898807635	CRB2;FOXC2;RARG;FOXC1;LRP5;GATA4;HOXD13;HOXC13;HOXD11;HOXC11;HOXC10;DLL3;SOX17;ZIC3;SIX3;ALX4;HOXC9;HOXA6;FEZF1;HOXA5;HOXA4;TBX1;HES7;CDX4;MSX2;CDX1;FOXF1;FOXH1;ATP6AP2;WNT5A;PAX6;HNF1B;NR2F2;BMP2;ARC;CYP26C1;WT1;ALDH1A2;HOXB3;ROR2;HOXD9;HOXB7
cell fate commitment (GO:0045165)	38/134	0.000000088656253438309627264789333951633398811509323422797024250030517578125	0.0000680732265983820770960388557568876422010362148284912109375	0.00000093007430187355572014963611682247801581979729235172271728515625	0.000714142051455245196502075177846791120828129351139068603515625	-2.201761900775017	21.125743763543973	FOXC2;DLX2;ONECUT2;ARX;IHH;PRDM14;GATA4;NR2E1;GATA2;ERBB4;GBX1;NKX2-1;NKX2-5;PITX1;TBX1;MYOG;JAG2;TCF7L2;TFAP2C;WNT5B;WNT7B;GSX2;WNT5A;OLIG1;PAX6;FOXN4;OLIG2;SMAD5;POU5F1;GDF7;BMP2;WT1;PAX7;RARA;LHX6;CTNNB1;PTF1A;VSX2
neuron fate commitment (GO:0048663)	15/34	0.000001775125988187675176851131574051745332099017105065286159515380859375	0.0011682864896543740558521040640016508405096828937530517578125	0.00003747000490964585615004389662630046586855314671993255615234375	0.01015437133051402644745575543083759839646518230438232421875	-2.4774543657002943	16.72830983763126	JAG2;DLX2;TFAP2C;GSX2;IHH;FOXN4;PAX6;OLIG1;OLIG2;GATA2;GBX1;PAX7;NKX2-1;LHX6;PTF1A
embryonic morphogenesis (GO:0048598)	77/403	0.00000541074685746532492284545379224169892040663398802280426025390625	0.0020772758976952293043238828573748833150602877140045166015625	0.00000585972197935537202702523107422649673026171512901782989501953125	0.0038404682183649841743788844183882247307337820529937744140625	-2.4065458157079527	14.864506505867595	CDKN1C;RARG;FLT1;SPEF2;FOXE1;FOXI1;IHH;PKD2;HOXC11;HOXC10;NDST1;FGF8;SOX17;ZIC3;SIX3;HOXA6;PITX1;HOXA5;NKX3-2;HOXA4;OFD1;MSX2;FOXH1;ESX1;WNT5A;EN1;SOX11;HNF1B;PAX6;DICER1;OVOL2;SPINT1;ALDH1A2;HAND1;HOXB3;ROR2;HOXB7;MDFI;YAP1;FOXC2;DLX2;HPN;LRP5;LRP4;GATA4;HOXD13;HOXD12;GATA3;GATA2;HOXD11;ABR;GBX2;NSD1;GPC3;ALX4;HES3;NKX2-5;HOXC9;JAG2;TBX1;TCF7L2;CREBBP;FOXF2;FOXF1;WNT7B;KDF1;PDX1;FOXN4;GRHL2;DLG1;USH1G;GJB6;MAB21L2;GNAS;CTNNB1;B9D1;HOXD9
negative regulation of cell development (GO:0010721)	52/239	0.0000043586431791661718856468500649103958721752860583364963531494140625	0.0020080269126418553125856814034477793029509484767913818359375	0.000009750311340282498729389697167402317745654727332293987274169921875	0.004537262228432669720901149190694923163391649723052978515625	-2.3393310877142004	14.52865590997456	CNTF;CITED1;AATK;NR2E1;PTPRG;SOX3;SIX3;WNT5A;SOX11;PAX6;HNF1B;DICER1;OLIG2;OVOL2;OLFM1;ADCYAP1;KCTD11;ARHGEF2;FOXC2;FOXC1;DLX2;NPR2;HPN;SEZ6;LRP4;DTX1;ASCL2;ADCY6;DLL3;SPP1;SLIT1;NKX2-1;CTNNA1;SPOCK1;MBP;S1PR3;RAP1GAP2;DMTN;CAV3;BDNF;RCC2;DAB2IP;VAX1;TLX3;TLX2;TRPV4;ID4;CTNNB1;CNTN2;FGF13;FOXA2;CDK5R1
potassium ion transmembrane transport (GO:0071805)	34/129	0.00000260217827164871066456908015041005199918799917213618755340576171875	0.001332026144165067947644498502768328762613236904144287109375	0.0000128032144496689187355455141759108528276556171476840972900390625	0.004537262228432669720901149190694923163391649723052978515625	-2.1463938436605243	14.211389714363673	KCNG1;KCNE1;KCNG3;KCNG4;KCNK9;KCNA2;KCNC4;HPN;KCNA5;KCNA7;PKD2;KCNMB1;KCNE1L;KCNN3;SLC12A6;KCNJ4;KCNF1;KCND1;KCNH5;KCNIP1;KCNIP2;KCNB1;KCNIP3;KCNB2;KCNK15;KCNK18;SLC9A7;KCNS2;KCNQ1;KCNQ3;KCNK1;KCNK2;HCN2;HCN1
