Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003635_abnormal_synaptic_transmissio_	96/453	0.00000000201344467433195515323740893321065315024753772377152927219867706298828125	0.0000003127550727462303820254618802465529370238073170185089111328125	0.0000000000000168819797794539566808517882530893373669634606459855064031216898001730442047119140625	0.0000000000019667506443063860385162110953541827877179282157982243006699718534946441650390625	-1.5289566532648167	22.900476479746796	GABRB3;CHRM3;GRIK5;FMR1;GRIK3;HTR2C;RORA;ADRA1D;DOC2B;ZDHHC8;SLC7A10;SLC6A2;SLC6A3;CDH8;AFF2;MECP2;EPS8;CALB2;OPHN1;RAVER1;DPYSL4;HNF4A;NOS1;BSN;SYNPO;SLC12A6;PRKG1;SNTA1;EMX1;TRPC5;MUSK;CACNA2D1;CACNA2D2;EN1;CASK;SYN2;SEPT5;SYN1;MAPK8IP1;NPAS4;BCAN;ARC;ARHGEF9;CACNB3;CACNB4;VGF;SCN8A;LMX1B;CHST3;NLGN3;CHRNA3;NLGN2;COL13A1;SHC1;CAMK2A;KCNA2;SEZ6;SLC1A3;CRMP1;KCNA5;CPLX2;CPLX1;CACNA1H;GRIN2A;EFNB3;GRK5;HRH3;ERBB4;MBP;SLC17A8;MGAT2;DRD2;PAK3;FGF22;GRIA3;SYT5;TBX1;GABRA1;ARPP21;BDNF;GABRA5;NOS3;KCNIP3;ATP2B2;GRIN2C;SLC6A5;CPEB1;DLG2;GRIN3A;DLG3;NOVA2;SIM1;FGF12;HCN2;CBLN1;CDK5R1
MP0002873_normal_phenotype_	240/1375	0.0000000000118653957594051048351252724531395654587739851848482430796138942241668701171875	0.000000003240184552623747084125404248865220946385079514584504067897796630859375	0.00000000000000000000000007189340082606570490075451928347826585890396336141989005089390375583847936358239394394331611692905426025390625	0.0000000000000000000000158174606556104117600080559128360548914375238424816710354950236895599235964482431882061064243316650390625	-1.0812799841946958	21.13646705646949	OXTR;ACSM3;RAX;CBLC;SCX;SLC4A2;HS6ST2;EPS8;PEG12;CREB3L3;SOX17;SOX15;SOX6;JUNB;SLC12A8;HOXA5;SCN1B;MNX1;EBF2;ACSL4;DICER1;SOX10;IL23A;KCNQ1;NBL1;ALDH7A1;CFB;8430408G22RIK;MTMR1;IGSF5;IGSF1;ARX;TWIST2;GATA3;PIK3R1;GATA2;CRHR1;CD79B;ABR;SNX1;TERT;ALX4;NKX2-5;PROM1;RBM10;ZRSR1;CREBBP;RABGAP1L;SRMS;ST8SIA1;TNFSF13;XRCC1;PARVB;GRIN2C;NR0B2;GADD45G;POLA1;GRIN3A;SNAI1;SIM1;ACVRL1;GABRB3;RAB9;RARG;SNX12;HCCS;PRPF19;ARHGAP6;SLC6A3;WDR44;AKAP12;MED12;HINT1;MED14;NKRF;HNF4A;ZFP385A;IKBKG;MYOG;APOBEC2;TPI1;ARG1;SPHK1;EN1;PAX6;KREMEN2;IL17RC;POU5F1;KIF4;ITPKC;PAX7;RARA;TAGLN;SEZ6;XIAP;ADCY3;TXLNG;IL6RA;LRRC10;ASCL2;FSTL4;GBX2;LMNA;PAK6;HAS2;TAF9B;RHBG;GDF10;GABRA1;CDX4;BIK;GDF15;CDX1;USP9X;GSX2;POU4F2;WT1;KCNS2;ZYX;RLIM;CTNNB1;TACC2;APBA2;CDK5R2;LIMS2;TJP3;FOXA2;GPHB5;GALNT13;SYAP1;DACH2;SAT1;RIMS2;FGF6;EFEMP2;FGF8;CAPN3;PIM3;MAP3K9;PCDHAC2;PCDHAC1;MSX2;FBXW7;ATP11C;SHISA3;ZBTB33;FTSJ1;ALPPL2;DKC1;PKP3;LMX1B;SLC27A2;BRSK2;PKDCC;UBA7;SHC1;DTX1;GPR83;FOXO4;LIN7B;MTM1;PDZD4;BCL2L10;EFNB3;GRK5;MBP;KIF3C;DRD5;BDNF;HTR1D;MSN;HPRT;SMAD5;SSH3;IGF2R;FER;BMP2;LRCH2;FES;NOXA1;MDM2;GNAS;LHX6;TAB3;CIITA;PPP1R13B;FLT1;KCNK9;SH2D4A;LECT1;WISP3;HMGB3;TCIRG1;PKD2;ADAMTS4;CALB2;TRO;THBD;ADAMTS5;SEPT6;SCN5A;ABCD1;SCARF1;PRKG1;TGIF1;EMX1;EGFL7;VBP1;MMP2;PCDHGA1;CTPS2;CYP26C1;ALDH1A2;HAND1;NUMB;EVL;B4GALT6;PLEC;NLGN3;CEBPA;LUZP2;SEMA3B;THBS4;HDAC6;CACNG6;CECR2;GNA15;TBX22;FAM120C;SPOCK1;BAK1;SNCB;HES3;E2F7;TBX1;PDX1;CLCN5;HCN1;CBLN1;A830080D01RIK
MP0002169_no_abnormal_phenotype_	239/1370	0.00000000001390637147048818402981046456867353822324517853559200375457294285297393798828125	0.000000003240184552623747084125404248865220946385079514584504067897796630859375	0.00000000000000000000000010182914585156917816501844364880082471117139263243764188533638820224717924656232526103849522769451141357421875	0.0000000000000000000000158174606556104117600080559128360548914375238424816710354950236895599235964482431882061064243316650390625	-1.0554201375762615	20.630968199443135	OXTR;ACSM3;RAX;CBLC;SCX;SLC4A2;HS6ST2;EPS8;PEG12;CREB3L3;SOX17;SOX15;SOX6;JUNB;SLC12A8;HOXA5;SCN1B;MNX1;EBF2;ACSL4;DICER1;SOX10;IL23A;KCNQ1;NBL1;ALDH7A1;CFB;8430408G22RIK;MTMR1;IGSF5;IGSF1;ARX;TWIST2;GATA3;PIK3R1;GATA2;CRHR1;CD79B;ABR;SNX1;TERT;ALX4;NKX2-5;PROM1;RBM10;ZRSR1;CREBBP;RABGAP1L;SRMS;ST8SIA1;TNFSF13;XRCC1;PARVB;GRIN2C;NR0B2;GADD45G;POLA1;GRIN3A;SNAI1;SIM1;ACVRL1;GABRB3;RAB9;RARG;SNX12;HCCS;PRPF19;ARHGAP6;SLC6A3;WDR44;AKAP12;MED12;HINT1;MED14;NKRF;HNF4A;ZFP385A;IKBKG;MYOG;APOBEC2;TPI1;ARG1;SPHK1;EN1;PAX6;KREMEN2;IL17RC;POU5F1;KIF4;ITPKC;PAX7;RARA;TAGLN;SEZ6;XIAP;ADCY3;TXLNG;IL6RA;LRRC10;ASCL2;FSTL4;GBX2;LMNA;PAK6;HAS2;TAF9B;RHBG;GDF10;GABRA1;CDX4;BIK;GDF15;CDX1;USP9X;GSX2;POU4F2;WT1;KCNS2;ZYX;RLIM;CTNNB1;TACC2;APBA2;CDK5R2;LIMS2;TJP3;FOXA2;GPHB5;GALNT13;SYAP1;DACH2;SAT1;RIMS2;FGF6;EFEMP2;FGF8;CAPN3;PIM3;MAP3K9;PCDHAC2;PCDHAC1;MSX2;FBXW7;ATP11C;SHISA3;ZBTB33;FTSJ1;ALPPL2;DKC1;PKP3;LMX1B;SLC27A2;BRSK2;PKDCC;UBA7;SHC1;DTX1;GPR83;FOXO4;LIN7B;MTM1;PDZD4;BCL2L10;EFNB3;GRK5;KIF3C;DRD5;BDNF;HTR1D;MSN;HPRT;SMAD5;SSH3;IGF2R;FER;BMP2;LRCH2;FES;NOXA1;MDM2;GNAS;LHX6;TAB3;CIITA;PPP1R13B;FLT1;KCNK9;SH2D4A;LECT1;WISP3;HMGB3;TCIRG1;PKD2;ADAMTS4;CALB2;TRO;THBD;ADAMTS5;SEPT6;SCN5A;ABCD1;SCARF1;PRKG1;TGIF1;EMX1;EGFL7;VBP1;MMP2;PCDHGA1;CTPS2;CYP26C1;ALDH1A2;HAND1;NUMB;EVL;B4GALT6;PLEC;NLGN3;CEBPA;LUZP2;SEMA3B;THBS4;HDAC6;CACNG6;CECR2;GNA15;TBX22;FAM120C;SPOCK1;BAK1;SNCB;HES3;E2F7;TBX1;PDX1;CLCN5;HCN1;CBLN1;A830080D01RIK
MP0002116_abnormal_craniofacial_bone_	81/467	0.00011205662061375526428706750348140985806821845471858978271484375	0.00853039428714845969492497346209347597323358058929443359375	0.0000000104003980665697122643126784212637414572810712343198247253894805908203125	0.000000605823187377685772069847713883206097307265736162662506103515625	-2.056333420270843	9.796618546928153	CDKN1C;DDR1;RARG;EDA;PGAP1;IHH;FOXI1;SLC4A4;MECP2;MED12;NDST1;RPS6KA3;FGF8;BMPER;ZIC3;SIX3;IDS;SOSTDC1;PITX1;NKX3-2;OFD1;FOXD3;EMX1;MSX2;WNT5A;TRP73;SHROOM3;CASK;PAX6;SOX11;HIC1;POU3F3;RGMA;MN1;PAX7;PIGA;RARA;HOXB3;IRF6;ROR2;LMX1B;HMX1;FOXC2;FOXC1;DLX2;PKDCC;HOXD1;NPR2;COL11A2;LRP5;GATA3;LTBP1;PTHLH;DLL3;RAI1;EFNB1;SCUBE1;GBX2;TBX22;LMNA;GPC3;ALX4;TBX1;JAG2;CREBBP;FOXF2;CDX1;SPRY4;NFATC2;DMRT3;NFATC1;VAX1;GRHL2;NELL1;DLG1;GNAS;SNAI1;CTNNB1;HOXD4;SIM2;FOXA2
MP0003123_paternal_imprinting_	8/14	0.0000490319334795417171375848941483610587965813465416431427001953125	0.00456977620029328825135284120051437639631330966949462890625	0.00015711334063228348640293974280979227842180989682674407958984375	0.0015577620581839171816362910050202117417939007282257080078125	-1.7679684261025423	9.526328441330831	CDKN1C;MEG3;CITED1;GRB10;GNAS;GPC3;PHLDA2;ASCL2
MP0002064_seizures_	60/323	0.00012813896997862492580476379000486986114992760121822357177734375	0.00853039428714845969492497346209347597323358058929443359375	0.00000011948855125955705174041108183879966730955857201479375362396240234375	0.0000048281257097268842561239854394017356753465719521045684814453125	-1.8596354631769194	8.859525935577507	GABRB3;FMR1;GRIK5;HTR2C;SLC7A10;MECP2;ADAMTS4;HTR7;AIFM1;TRIM2;SCN5A;NOS1;BSN;SLC12A6;SCN1B;EMX1;MSX2;CACNA2D2;SYN2;SYN1;NPAS4;CACNB4;SLC9A6;SCN8A;KCNQ3;OPRD1;CNP;CAMK2A;KCNA2;ARX;SEZ6;SLC1A3;CPLX1;RAI1;NEUROD2;GRIN2A;NPY;CHN1;MBP;BAK1;CKB;SLC17A8;DRD2;GRIA3;FGF22;GABRA1;CREBBP;HELT;NOS3;BDNF;HPRT;HCRTR1;MAPK10;NR4A3;CTNNB1;CNTN2;KCNK2;HCN2;CDK5R1;FOXA2
MP0002572_abnormal_emotion/affect_behav_	66/372	0.00024244052356953542663904610510172688009333796799182891845703125	0.014122160497925438649158280668416409753262996673583984375	0.00000012432941741785967496220811911999959420427330769598484039306640625	0.0000048281257097268842561239854394017356753465719521045684814453125	-1.8441259217695114	7.855994958089804	GABRB3;OXTR;SH3KBP1;FMR1;ARAF;HTR2C;OXT;NR2E1;ZDHHC8;SLC6A2;SLC6A3;PTPRG;MECP2;MMP24;OPHN1;IDS;NOS1;SLC12A6;SYNPO;RGS7;EMX1;TRPC5;KCNH5;TRP73;EN1;TACR3;TACR1;ADRA2C;SEPT5;NPAS4;ADCYAP1;ARHGEF9;ARC;CACNB4;SCN8A;LMX1B;CHST3;OPRD1;NLGN3;CAMK2A;ARX;LRP5;CPLX2;ADCY7;CRHR1;RAI1;GRIN2A;HRH3;IGF2BP1;NKX2-1;PAK6;CKB;DRD2;GABRA1;BDNF;NOS3;KCNIP3;NFATC2;HPRT;GNAL;GJB6;GNAS;APBA2;FGF12;HCN2;HCN1
MP0002882_abnormal_neuron_morphology_	159/1006	0.00001904868946346766959390635343130071532868896611034870147705078125	0.0022191723224939834992197607022035299451090395450592041015625	0.000000000000260656546223513930778094264659286403442405022357064581228769384324550628662109375	0.0000000000242931901080314979042319236457716439929466201164132144185714423656463623046875	-1.2478423388953446	7.625091576186583	FMR1;IHH;RORA;ESPN;CLU;CELSR3;GLDN;DPYSL4;OPHN1;LRAT;SLC12A6;SBF2;MNX1;SCN1B;EPHB3;MUSK;SLC30A3;FBXW7;MAGI2;WNT5A;TRP73;CACNA2D2;EBF2;SOX11;EBF3;SOX10;ANK1;MAPK8IP1;NPAS4;CACNB3;CACNB4;SCN8A;KCNQ1;LMX1B;FSCN2;ROR2;DLX2;KCNE1;SEMA7A;CNP;COL13A1;SHC1;NPR2;ARX;HPCA;SLC1A3;CEND1;GATA3;GRK1;EFNB3;MBP;DRD2;PROM1;FGF22;PRPH;JAG2;PDHA1;HELT;BDNF;ABCA4;NFATC2;FOXN4;HPRT;KY;FGF17;FA2H;DLG1;NR4A3;GRIN3A;TLX3;TLX2;PRPH2;LHX2;GJB6;MDM2;ID4;CNTN2;FAT4;SIM1;SLC26A5;BARHL1;GABRB3;MESP2;BARHL2;PTPRS;ITGB4;NR2E1;SLC6A3;HOXC10;MECP2;MMP24;AIFM1;TRIM2;IDS;NOS1;FEZF1;NKX3-2;SNTA1;OFD1;EMX1;GRID1;OLIG1;PAX6;OLIG2;GFRA3;SYN2;SYN1;ARHGEF9;MFRP;CLDN14;ALDH1A2;NUMB;PLEC;FOXC1;GUCY2E;OAT;CAMK2A;DBX1;LRP5;SEZ6;CRMP1;ADCY3;LRP4;TULP1;TYMP;EGFLAM;SH3TC2;GBX2;ERBB4;UCP2;CHN1;LMNA;SPP1;CTNNA1;SLIT1;PAK6;SLC17A8;BAK1;TBX1;SLC12A2;NOS3;GDF15;GABRA5;GSX2;HUWE1;ATP2B2;VAX1;POU4F2;MAPK10;USH1G;KIF26A;LEP;CROCC;PTF1A;CRLF1;CDK5R1;FOXA2;CBLN1;HCN1
MP0003935_abnormal_craniofacial_develop_	50/268	0.0004030464720902317645769008525036269929842092096805572509765625	0.020868850666005335503516704420690075494349002838134765625	0.00000123215330261590861804705566984186049239724525250494480133056640625	0.0000279977115378941053915919090488984011244610883295536041259765625	-1.74047844662821	6.734777225192189	ACVRL1;CDKN1C;PGAP1;FOXE1;MED12;NDST1;FGF8;BMPER;PITX1;SLC39A4;FOXD3;MSX2;FOXH1;CASK;PAX6;SOX11;DICER1;HIC1;OVOL2;MN1;PAX7;ALDH1A2;RARA;ROR2;IRF6;FOXC2;FOXC1;DLX2;PKDCC;LRP4;LTBP1;PTHLH;EFNB1;GBX2;NKX2-5;TRPM6;NKX2-3;JAG2;TBX1;TCF7L2;FOXF2;SMAD5;FGF16;BMP2;CLCN5;DLG1;SNAI1;CTNNB1;SIM2;FOXA2
MP0000163_abnormal_cartilage_morphology_	51/282	0.00074725995866745998676139439709231737651862204074859619140625	0.0290185950615863656742998699655800010077655315399169921875	0.00000214136526747372038127358202797001496264783781953155994415283203125	0.0000415781756101147345443258540598208128358237445354461669921875	-1.7545592585090162	6.210821226926542	CDKN1C;MESP2;RARG;IRS1;IHH;LAMC2;TCIRG1;HOXC10;ADAMTS5;FGF8;BMPER;ZIC3;ACP5;NKX3-2;HOXA5;HES7;MSX2;EBF2;PAX6;DICER1;PAX7;PIGA;ALDH1A2;RARA;HOXB3;ROR2;LMX1B;ANK;FOXC2;FOXC1;DLX2;PKDCC;NPR2;COL11A2;TWIST2;LRP4;PTHLH;CNN1;EFNB1;RAI1;IGF2BP1;HAS2;NOS3;NFATC1;NELL1;BMP2;LEP;MGP;SNAI1;GNAS;CTNNB1
