Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
organ morphogenesis (GO:0009887)	32/405	0.000022498638508928713573321866991960860104882158339023590087890625	0.0728505914919111707828136559328413568437099456787109375	0.000014337889152768814549575825123550743001032969914376735687255859375	0.046426085076665422890496159880058257840573787689208984375	-2.364164565594647	6.192561752379395	CNTF;EDA;ONECUT2;FOXE1;FHL1;PRKX;AQP5;FGD1;FGF4;SOX3;T;ALX3;SCN5A;HOXA5;CDX1;WNT7B;SHROOM2;LIF;PAX6;CELA1;TBX4;FGF16;DLC1;GNAS;HOXB3;FAM20C;DCHS1;ROR2;BCOR;LY6H;NODAL;MDFI
trophoblast giant cell differentiation (GO:0060707)	4/12	0.000620645507576383557123145262579555492266081273555755615234375	0.543611929685435146808458739542402327060699462890625	0.0014345488402077951652080489708396271453239023685455322265625	0.5373780612237692988486514877877198159694671630859375	-2.5334383186484244	1.5441804404221322	LIF;SNAI1;ERF;MDFI
gamete generation (GO:0007276)	26/390	0.00166301343647144391803271989971335642621852457523345947265625	0.543611929685435146808458739542402327060699462890625	0.001044676370975328172363560952362604439258575439453125	0.5373780612237692988486514877877198159694671630859375	-2.497862400361511	1.522496219115329	SPAG16;DDX4;SPIN4;SPO11;CETN2;CELF3;RPL10L;YBX2;BOLL;SOHLH2;HORMAD1;INSL3;TCFL5;USP9X;LIMK2;OVOL1;ZFX;IGF2R;ELL3;SOX30;DAZL;DIAPH2;ZGLP1;DZIP1;CDK16;FAM50A
ephrin receptor signaling pathway (GO:0048013)	6/34	0.00112667860377038664930482436687952940701507031917572021484375	0.543611929685435146808458739542402327060699462890625	0.00165959870668242544418380379767086196807213127613067626953125	0.5373780612237692988486514877877198159694671630859375	-2.42233463012721	1.4764605589431388	EFNB1;CD63;EPHA10;CHN1;CDK5R1;EPHB3
regulation of metal ion transport (GO:0010959)	19/250	0.00157562457857081221479500499071946251206099987030029296875	0.543611929685435146808458739542402327060699462890625	0.0012074206197950523682116408252795736189000308513641357421875	0.5373780612237692988486514877877198159694671630859375	-2.418569183786327	1.4741654454026782	CD63;TESC;CAMK2A;FHL1;AKAP7;CASK;ATP2B2;AKAP6;GIMAP5;CRHR1;P2RX7;DPP6;JPH3;PDE4B;PTPN6;NOS1;SCN5A;DRD2;F2RL3
positive regulation of ion transport (GO:0043270)	16/186	0.0010069136157581713535147382998502507689408957958221435546875	0.543611929685435146808458739542402327060699462890625	0.000877266883333158056616774000957548196311108767986297607421875	0.5373780612237692988486514877877198159694671630859375	-2.3781305724965653	1.4495173171526892	NLGN3;TESC;CAMK2A;FHL1;AKAP7;CASK;AKAP6;ATP2B2;GIMAP5;P2RX7;DPP6;HTR6;NOS1;SCN5A;DRD2;F2RL3
cognition (GO:0050890)	18/227	0.0012894853998720507727571149558798424550332129001617431640625	0.543611929685435146808458739542402327060699462890625	0.00103183967461991450871583442250312145915813744068145751953125	0.5373780612237692988486514877877198159694671630859375	-2.311402593073162	1.408845302406547	NLGN3;BHLHB9;SLC12A5;BDNF;SORCS3;MAPK8IP2;PRKCZ;SHROOM4;CRHR1;AFF2;HTR6;JPH3;PTCHD1;RCAN2;GNAS;DRD2;FGF13;SHANK2
multicellular organismal development (GO:0007275)	29/453	0.0017127683926827894263233975635785100166685879230499267578125	0.543611929685435146808458739542402327060699462890625	0.00099634016708186078949138764215831542969681322574615478515625	0.5373780612237692988486514877877198159694671630859375	-2.2879964645223527	1.3945788070953655	DDX4;TWIST2;HMGB3;FGD1;RPS4X;BOLL;ZMYM3;TMEM88;SOHLH2;RBBP7;MBNL3;TCFL5;AMN;SEMA4B;WNT7B;LIF;MSL3;PCOLCE;PAX6;TBX4;HIC1;DAZL;DIAPH2;ZGLP1;FES;GTF2IRD1;ROR2;DZIP1;HMX1
multicellular organism growth (GO:0035264)	9/79	0.00190735892824262062879292489725457926397211849689483642578125	0.543611929685435146808458739542402327060699462890625	0.00211130082150370705640352042564700241200625896453857421875	0.6137452129161877767415944617823697626590728759765625	-2.2399106907736352	1.3652695830504133	CDKN1C;PKDCC;SLC12A5;GNAS;CELA1;ZFX;APBA2;SLC25A25;HOXA5
negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948)	3/8	0.00218250620318426701016445434788693091832101345062255859375	0.543611929685435146808458739542402327060699462890625	0.00454970687355058488188230825244318111799657344818115234375	0.67265082041336132778752698868629522621631622314453125	-2.17035559742061	1.3228743868078707	MEG3;PTPN1;DAB2IP
cyclic nucleotide metabolic process (GO:0009187)	8/58	0.0009683114618057619450708362052182565093971788883209228515625	0.543611929685435146808458739542402327060699462890625	0.00123804310724837628165939662494565709494054317474365234375	0.5373780612237692988486514877877198159694671630859375	-2.105025410837142	1.2830543542660326	CNP;PDE4B;GNAS;HTR2C;ATP2B2;ADCY7;PDE8A;ADCY5
positive regulation of synapse assembly (GO:0051965)	4/25	0.01099958465416312099194318108175139059312641620635986328125	0.62139391626939255441897103082737885415554046630859375	0.01344939639412990294020655568374422728084027767181396484375	0.67265082041336132778752698868629522621631622314453125	-2.56823163704158	1.2219391166116307	NLGN3;BHLHB9;BDNF;EPHB3
long-term synaptic potentiation (GO:0060291)	5/30	0.003790328399337734681384670665238445508293807506561279296875	0.62139391626939255441897103082737885415554046630859375	0.005015194275894832749707052954590835724957287311553955078125	0.67265082041336132778752698868629522621631622314453125	-2.50829850585218	1.1934235277819154	HTR6;LRRTM2;PRKCZ;SHANK2;CRHR1
multicellular organismal reproductive process (GO:0048609)	30/491	0.00289536962064991694465465599250819650478661060333251953125	0.62139391626939255441897103082737885415554046630859375	0.001628546021934109723494632504525725380517542362213134765625	0.5373780612237692988486514877877198159694671630859375	-2.505359930856206	1.1920253829717322	SPAG16;DDX4;SPIN4;SPO11;CETN2;CELF3;RPL10L;YBX2;ADCY7;BOLL;T;SOHLH2;HORMAD1;INSL3;TCFL5;USP9X;LIMK2;UBE2A;OVOL1;ZFX;IGF2R;ELL3;SOX30;DAZL;DIAPH2;ZGLP1;DZIP1;NODAL;FAM50A;CDK16
male gamete generation (GO:0048232)	23/354	0.004108073540105651455522917103735380806028842926025390625	0.62139391626939255441897103082737885415554046630859375	0.002708764731408388505562445658370052115060389041900634765625	0.62649858573574024322994091562577523291110992431640625	-2.4770273555795996	1.1785450249286746	SPAG16;DDX4;SPO11;CETN2;LIMK2;CELF3;RPL10L;YBX2;OVOL1;ZFX;IGF2R;ELL3;SOX30;DAZL;BOLL;ZGLP1;SOHLH2;HORMAD1;INSL3;DZIP1;TCFL5;CDK16;FAM50A
spermatogenesis (GO:0007283)	23/353	0.0039696724271252488425165694252427783794701099395751953125	0.62139391626939255441897103082737885415554046630859375	0.002620128847355545319286473926467806450091302394866943359375	0.62649858573574024322994091562577523291110992431640625	-2.475262138355907	1.1777051520979547	SPAG16;DDX4;SPO11;CETN2;LIMK2;CELF3;RPL10L;YBX2;OVOL1;ZFX;IGF2R;ELL3;SOX30;DAZL;BOLL;ZGLP1;SOHLH2;HORMAD1;INSL3;DZIP1;TCFL5;CDK16;FAM50A
substrate-independent telencephalic tangential migration (GO:0021826)	3/8	0.00218250620318426701016445434788693091832101345062255859375	0.543611929685435146808458739542402327060699462890625	0.00454970687355058488188230825244318111799657344818115234375	0.67265082041336132778752698868629522621631622314453125	-1.9315862785808795	1.1773397948617252	ARX;FEZF2;DRD2
substrate-independent telencephalic tangential interneuron migration (GO:0021843)	3/8	0.00218250620318426701016445434788693091832101345062255859375	0.543611929685435146808458739542402327060699462890625	0.00454970687355058488188230825244318111799657344818115234375	0.67265082041336132778752698868629522621631622314453125	-1.9205326492789798	1.1706023905846885	ARX;FEZF2;DRD2
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230)	4/25	0.01099958465416312099194318108175139059312641620635986328125	0.62139391626939255441897103082737885415554046630859375	0.01344939639412990294020655568374422728084027767181396484375	0.67265082041336132778752698868629522621631622314453125	-2.413822942173404	1.1484729924960826	SNAI1;TAF9B;CLU;ELL3
female gamete generation (GO:0007292)	5/37	0.009459748278882192107364090816190582700073719024658203125	0.62139391626939255441897103082737885415554046630859375	0.010933868225124952766602604015133692882955074310302734375	0.67265082041336132778752698868629522621631622314453125	-2.401326425326523	1.1425272738403502	DIAPH2;USP9X;SPO11;SOHLH2;HORMAD1
positive regulation of potassium ion transport (GO:0043268)	4/23	0.00814234984125265966181661525524759781546890735626220703125	0.62139391626939255441897103082737885415554046630859375	0.0104531584128110532905253649005317129194736480712890625	0.67265082041336132778752698868629522621631622314453125	-2.3780082782881373	1.1314327309719636	DPP6;FHL1;AKAP7;AKAP6
negative regulation of cellular component organization (GO:0051129)	27/474	0.0111305889881484765258079505656496621668338775634765625	0.62139391626939255441897103082737885415554046630859375	0.006610518643704981801845210753754145116545259952545166015625	0.67265082041336132778752698868629522621631622314453125	-2.3595711045292376	1.1226605067337647	PSMD10;PKDCC;CITED1;HPN;AATK;ESPN;ARHGAP6;PRKCZ;CLU;HDAC6;LRRTM2;LMNA;SPOCK1;HORMAD1;RAP1GAP2;USP44;MID1IP1;SHROOM2;LIF;DAB2IP;HSPA2;TLX2;DLC1;BCOR;SLC25A5;FGF13;CDK5R1
negative regulation of signal transduction by p53 class mediator (GO:1901797)	4/25	0.01099958465416312099194318108175139059312641620635986328125	0.62139391626939255441897103082737885415554046630859375	0.01344939639412990294020655568374422728084027767181396484375	0.67265082041336132778752698868629522621631622314453125	-2.35678177354986	1.1213333707450481	PSMD10;SNAI1;TAF9B;ELL3
growth (GO:0040007)	21/329	0.007216058515561458129583538578799561946652829647064208984375	0.62139391626939255441897103082737885415554046630859375	0.004916644431675331293474240368368555209599435329437255859375	0.67265082041336132778752698868629522621631622314453125	-2.3544759053369204	1.1202362615409938	CDKN1C;NLGN3;CNTF;PKDCC;SLC12A5;USP9X;BDNF;WNT7B;KDF1;GDF2;CELA1;EMP3;ZFX;PRKCZ;MED12;PAX7;GNAS;APBA2;SLC25A25;NODAL;HOXA5
