Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	38/111	0.000000000000000000000000002019473932971588064392588079041822273770539381429245736473089036845481232008980843062317944713868200778961181640625	0.0000000000000000000000023163366011184114069020977557880103131065487270226268623112277317104001905789800730417482554912567138671875	0.000000000000000000040929597571880370450869097959356718071024222769212623528924110960502957823337055742740631103515625	0.00000000000000004694624841494678216871521568378117706349614640334334814131267421544180251657962799072265625	-2.0928581235265966	113.89764062871043	EDA;ABCB7;IGSF1;FHL1;ARX;PHF6;SAT1;FGD1;RPGR;AFF2;MED12;AIFM1;OPHN1;PGK1;GPC3;IDS;PAK3;ABCD1;EMD;TRAPPC2;PDHA1;GK;IQSEC2;NAA10;ALG13;UBE2A;PHKA2;SYN1;HCFC1;FGF16;ARHGEF9;CLCN5;SLC6A8;PIGA;SMS;UBA1;MAMLD1;MBTPS2
X-linked dominant inheritance (HP:0001423)	22/62	0.000000000000000083392119540131413354605976591746212473645134453069382995948899406357668340206146240234375	0.00000000000004782538055626536367299592603138510554122188322967446083566755987703800201416015625	0.00000000000436032873336282985142414113872557442259936255624097611871547996997833251953125	0.000000002500648528583582975529501062354927054531827934624743647873401641845703125	-1.9176835215642711	58.817693031363675	AMER1;SLC35A2;CDKL5;PDHA1;EDA;GK;FMR1;FHL1;NDUFA1;CASK;WDR45;HDAC6;SYN1;EFNB1;RPS6KA3;PORCN;LAMP2;NHS;PLS3;PDK3;BCOR;SLC16A2
Coarse facial features (HP:0000280)	17/129	0.00000323618028237392552854735129630459056215840973891317844390869140625	0.0009279746959707231394876014718420265126042068004608154296875	0.000224937112005379503953950148797957808710634708404541015625	0.05160057349403406046217668290410074405372142791748046875	-2.265600881486251	15.819571958882365	SLC35A2;CDKN1C;FOXE1;FMR1;ARX;PHF6;SLC5A5;MED12;RPS6KA3;PIGA;NSD1;GNAS;AP1S2;GPC3;IDS;GTF2IRD1;GPC4
Mandibular prognathia (HP:0000303)	15/97	0.00000160361578699709083828590407139191853502779849804937839508056640625	0.000613115769228554457169477753808450870565138757228851318359375	0.000111327460335776387751784144430899914368637837469577789306640625	0.042564199001711842951234388010561815463006496429443359375	-2.102639152368907	15.553130940406344	CDKL5;FMR1;ANTXR1;RPS6KA3;RAI1;SLC6A8;OPHN1;NSD1;GNAS;SMS;AP1S2;NHS;GPC3;FAM20C;GPC4
Open mouth (HP:0000194)	9/39	0.000006933124389239952588444293457570211103302426636219024658203125	0.00159045873489164525660388704864089959301054477691650390625	0.000221530359847518375400465817648409938556142151355743408203125	0.05160057349403406046217668290410074405372142791748046875	-2.0057768898067048	12.924690317984894	MED12;SLC35A2;RAI1;RPS6KA3;SLC6A8;LMNA;UBA1;SLC16A2;PAK3
Cryptorchidism (HP:0000028)	29/379	0.000095082241095226907915370639923224871381535194814205169677734375	0.00825429187538968302251252140422366210259497165679931640625	0.007053638887156716240356413294421145110391080379486083984375	0.25282886886152355909729294580756686627864837646484375	-2.451077479276389	11.757872558916848	CDKN1C;FMR1;ARX;PHF6;FGD1;PHF8;MED12;EFNB1;SOX3;PORCN;OPHN1;NSD1;AP1S2;GPC3;GPC4;INSL3;RBM10;GK;NAA10;BDNF;GP1BB;PAX6;ANK1;SMS;GTF2IRD1;UBA1;ROR2;BCOR;MBTPS2
Dental malocclusion (HP:0000689)	12/81	0.000027361895897363170001258259045329168657190166413784027099609375	0.005230682432379258652022091524713687249459326267242431640625	0.0007858559843577327119756859019616967998445034027099609375	0.150229469009719895922216892358846962451934814453125	-2.141543127860352	11.249983324107438	FAM83H;AMER1;RAI1;RPS6KA3;PORCN;GNAS;GPC3;DCHS1;GTF2IRD1;PAX6;BCOR;ROR2
Pectus excavatum (HP:0000767)	15/135	0.000091792072042444145039789826778786618888261727988719940185546875	0.00825429187538968302251252140422366210259497165679931640625	0.0026010387361339493313139303865000329096801578998565673828125	0.175493613549743521229373754977132193744182586669921875	-2.2576987333948346	10.83023046318443	AMER1;NAA10;FMR1;FGD1;MED12;RPS6KA3;EFNB1;SMS;GPC3;FAM20C;GTF2IRD1;ROR2;GPC4;SLC16A2;EMD
Short nose (HP:0003196)	16/146	0.000063983174558100721859323078977155319080338813364505767822265625	0.00815430013534905982763856258088708273135125637054443359375	0.0021319961685181084733164968980645426199771463871002197265625	0.175493613549743521229373754977132193744182586669921875	-2.250227257000456	10.82181512714458	CDKN1C;EDA;CASK;HDAC6;HIC1;FGD1;RAI1;LMNA;ERF;GPC3;FAM20C;UBA1;ROR2;GPC4;SLC12A6;PAK3
Delayed eruption of teeth (HP:0000684)	12/86	0.0000503263356644524089832277990996800554057699628174304962158203125	0.0072155383758908640812190782298785052262246608734130859375	0.0012610616646280005913316468735274611390195786952972412109375	0.175493613549743521229373754977132193744182586669921875	-2.1383771553280053	10.545446438538722	AMER1;RPS6KA3;PORCN;EDA;NAA10;LMNA;GNAS;IDS;BCOR;ROR2;ANTXR1;FGD1
Camptodactyly of finger (HP:0100490)	14/121	0.00010074985724102490376556662265983277393388561904430389404296875	0.00825429187538968302251252140422366210259497165679931640625	0.0025720588222496129117422558607586324797011911869049072265625	0.175493613549743521229373754977132193744182586669921875	-2.1928673142997277	10.519232720363572	NAA10;FGD1;MED12;EFNB1;PORCN;NSD1;LMNA;GPC3;UBA1;ROR2;BCOR;GPC4;SLC16A2;MBTPS2
Wide mouth (HP:0000154)	12/86	0.0000503263356644524089832277990996800554057699628174304962158203125	0.0072155383758908640812190782298785052262246608734130859375	0.0012610616646280005913316468735274611390195786952972412109375	0.175493613549743521229373754977132193744182586669921875	-2.07503239414242	10.233060578738346	MED12;RPS6KA3;RAI1;CDKL5;AP1S2;GPC3;FAM20C;GTF2IRD1;ROR2;GPC4;UBE2A;HDAC6
Macrotia (HP:0000400)	13/105	0.0000881918858090821144828097555290469244937412440776824951171875	0.00825429187538968302251252140422366210259497165679931640625	0.0021285640928897608774306160484002248267643153667449951171875	0.175493613549743521229373754977132193744182586669921875	-2.1247155725495226	10.192307316763646	NAA10;FMR1;CASK;PHF6;OPHN1;NSD1;NHS;GTF2IRD1;UBA1;SLC12A6;PAK3;SLC16A2;MBTPS2
Frontal bossing (HP:0002007)	19/213	0.0002234418835874093524872241456336041665053926408290863037109375	0.01281439202373792739242386318210265017114579677581787109375	0.007046591994456042305772225375903872190974652767181396484375	0.25282886886152355909729294580756686627864837646484375	-2.2339365228009607	9.733677752599167	CDKN1C;AMER1;PDHA1;EDA;GK;FMR1;ARX;TBX4;ANTXR1;HDAC6;MED12;EFNB1;RAI1;RPS6KA3;OPHN1;NSD1;ERF;ROR2;MBTPS2
Low-set, posteriorly rotated ears (HP:0000368)	22/276	0.00036783463192358446629259827176383623736910521984100341796875	0.020090777276969111475590779036792810074985027313232421875	0.01261387860230961215080025539236885379068553447723388671875	0.344479018020217242490588205328094772994518280029296875	-2.340033350366582	9.143667238483365	CDKN1C;AMER1;NAA10;GP1BB;TBX4;ANTXR1;HDAC6;FGD1;MED12;RAI1;PORCN;NSD1;LMNA;ERF;GPC3;FAM20C;GTF2IRD1;ROR2;BCOR;GPC4;MBTPS2;RBM10
Ptosis (HP:0000508)	25/338	0.0004684026328378916061156989059099942096509039402008056640625	0.0214903127946024681549364032662197132594883441925048828125	0.018172272081745828586907265389527310617268085479736328125	0.366265199917814754382305864055524580180644989013671875	-2.364110379757218	9.078545598072596	HMGB3;PHF6;FGD1;MED12;SEPT9;CHN1;LMNA;ALX3;IDS;SLC12A6;SLC16A2;PDHA1;NAA10;BDNF;GP1BB;NDUFA1;PAX6;SLC6A8;ERF;UBA1;DCHS1;ROR2;BCOR;MAMLD1;PLEC
Narrow face (HP:0000275)	9/53	0.000093032731449370622222282134483606341746053658425807952880859375	0.00825429187538968302251252140422366210259497165679931640625	0.00156230991037605427933232515869121925788931548595428466796875	0.175493613549743521229373754977132193744182586669921875	-1.871141424420657	8.975906552959431	MED12;SLC6A8;FMR1;LMNA;NHS;GTF2IRD1;BCOR;SLC16A2;TUBB4A
