Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
behavioral response to pain (GO:0048266)	5/16	0.0000326477196770624857329219647983364893661928363144397735595703125	0.057495269649615078633164699795088381506502628326416015625	0.000077322009135697233428267949317813645393471233546733856201171875	0.09840595352366675319100153274121112190186977386474609375	-2.792879223249949	7.976609971311379	KCNIP3;OSM;TACR1;THBS4;CRHR1
tyrosine phosphorylation of STAT protein (GO:0007260)	4/9	0.0000433288410809919992861156956553969621381838805973529815673828125	0.057495269649615078633164699795088381506502628326416015625	0.00014237710542569869775868240946437026650528423488140106201171875	0.09840595352366675319100153274121112190186977386474609375	-2.7216213933964353	7.7730938609791425	FER;LEP;LIF;OSM
negative regulation of meiotic cell cycle (GO:0051447)	5/18	0.000061452086352449896799847450790110769958118908107280731201171875	0.057495269649615078633164699795088381506502628326416015625	0.00012330475170876245365712831070226229712716303765773773193359375	0.09840595352366675319100153274121112190186977386474609375	-2.644641575592276	7.553235452074564	NPR2;LIF;OSM;HORMAD1;OVOL1
thyroid gland development (GO:0030878)	5/19	0.000081698429342259433721777639458849762377212755382061004638671875	0.057495269649615078633164699795088381506502628326416015625	0.00015295627977255873454487389295763932750560343265533447265625	0.09840595352366675319100153274121112190186977386474609375	-2.5984362470565268	7.421270603305667	FOXE1;NKX2-1;HOXB3;NKX2-5;HOXA5
regulation of meiotic cell cycle (GO:0051445)	6/38	0.0003244284026748371911781643195382685007643885910511016845703125	0.152210992254944443846653712171246297657489776611328125	0.0003845348095063354600976757158292684835032559931278228759765625	0.09840595352366675319100153274121112190186977386474609375	-2.341038155637016	4.406975331244884	DAZL;NPR2;LIF;OSM;HORMAD1;OVOL1
positive regulation of synaptic transmission (GO:0050806)	9/85	0.0002633515609362082287268902458521324660978280007839202880859375	0.1482669288070852242622521544035407714545726776123046875	0.0002283341900679644186251959769862196480971761047840118408203125	0.09840595352366675319100153274121112190186977386474609375	-2.2759485321672943	4.344196406242936	NLGN3;HTR6;NLGN2;SYT1;SPHK1;LRRTM2;TACR1;SHANK2;CRHR1
regulation of mast cell activation involved in immune response (GO:0033006)	4/19	0.001093392614430255260771218672743998467922210693359375	0.2051933473080778946862068323753192089498043060302734375	0.0014812141955820785389763560857545598992146551609039306640625	0.2279389664306441243279977015845361165702342987060546875	-2.7012833409413504	4.278299542892517	FER;FES;UNC13D;CRHR1
regulation of protein localization to nucleus (GO:1900180)	12/156	0.000547656163092708164578936713695611615548841655254364013671875	0.1712946776784415037209186039035557769238948822021484375	0.0003564686166053929682571987935801871572039090096950531005859375	0.09840595352366675319100153274121112190186977386474609375	-2.3707832724128948	4.182938750325668	WWTR1;MAVS;MDFIC;TNFSF14;RASSF5;LEP;SPHK1;TRIP6;LMNA;LIF;DAB2IP;AKAP6
embryonic hindlimb morphogenesis (GO:0035116)	5/30	0.000798858201230713354211443455454855211428366601467132568359375	0.201526563829676153005721062072552740573883056640625	0.000957700010528762129581592521532229511649347841739654541015625	0.1925661092598904000627868526862584985792636871337890625	-2.4983360036032183	4.001919743529611	RARG;ALX3;GPC3;GNAS;FGF4
negative regulation of cellular component organization (GO:0051129)	24/474	0.000869203777291835638467432101350595985422842204570770263671875	0.201526563829676153005721062072552740573883056640625	0.00029512987475501764773888613291319416020996868610382080078125	0.09840595352366675319100153274121112190186977386474609375	-2.4807728882539033	3.973786546884748	MID1IP1;HPN;SEZ6;LIF;OSM;DAB2IP;TMC8;TET1;AATK;HSPA2;ESPN;ARHGAP6;LIMA1;APOC2;LRRTM2;TBC1D30;LMNA;NKX2-1;EVL;MBP;ARHGEF2;HORMAD1;GAS2L2;PROM2
