Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Macroorchidism (HP:0000053)	4/13	0.00022710124754343104518279627956900412755203433334827423095703125	0.1932631616594598089609036151159671135246753692626953125	0.0009847301511652271042984718718571457429789006710052490234375	0.71290948700425094131105652195401489734649658203125	-2.01528302833447	3.312525725538008	ZDHHC9;FMR1;HUWE1;GNAS
Scapular winging (HP:0003691)	4/23	0.002308778835725376100962424885665313922800123691558837890625	0.46237292846895616804658857290633022785186767578125	0.00588004392560226817054935821715844213031232357025146484375	0.71290948700425094131105652195401489734649658203125	-2.0922008072346707	1.613889200293594	DES;SGCD;FHL1;LMNA
Abnormality of the shoulder girdle musculature (HP:0001435)	5/36	0.00186965627014013349195542534886271823779679834842681884765625	0.46237292846895616804658857290633022785186767578125	0.00492013858092130336452374450573188369162380695343017578125	0.71290948700425094131105652195401489734649658203125	-2.0816465668798796	1.6057478333335011	DES;SGCD;FHL1;LMNA;ALX3
Neck muscle weakness (HP:0000467)	4/24	0.0027166447031078504170675813611524063162505626678466796875	0.46237292846895616804658857290633022785186767578125	0.00671741079057382693695554820578763610683381557464599609375	0.71290948700425094131105652195401489734649658203125	-2.0595644727857696	1.5887140701043132	DES;SLC52A3;LMNA;SYNE1
Difficulty climbing stairs (HP:0003551)	3/13	0.00364317188110387622790309336551217711530625820159912109375	0.50338110758304843717070298225735314190387725830078125	0.00880385973366091915959241731570728006772696971893310546875	0.71290948700425094131105652195401489734649658203125	-2.002352957402333	1.3744305413765208	LMNA;DYSF;PLEC
Bronchiectasis (HP:0002110)	5/43	0.00414062015638230231096006406232845620252192020416259765625	0.50338110758304843717070298225735314190387725830078125	0.00966340767854369404876724303221635636873543262481689453125	0.71290948700425094131105652195401489734649658203125	-1.9842576005731158	1.3620097486330438	DNAAF3;CCDC114;SCNN1A;PIK3CD;TAPBP
Increased connective tissue (HP:0009025)	3/9	0.0011525021665833470700668339503636161680333316326141357421875	0.46237292846895616804658857290633022785186767578125	0.0037466804625310885790145931650840793736279010772705078125	0.71290948700425094131105652195401489734649658203125	-1.7642727593317	1.3609309119907242	LMNA;DYSF;PLEC
Patent ductus arteriosus (HP:0001643)	8/125	0.01303656161196713701710958588364519528113305568695068359375	0.586324430558100129218246365780942142009735107421875	0.0289543895131336888326689660289048333652317523956298828125	0.71290948700425094131105652195401489734649658203125	-2.178821384103637	1.1632335330915626	COL18A1;EOGT;LMNA;GPC3;AMMECR1;GTF2IRD1;NKX2-5;ANK1
Abnormal ventriculo-arterial connection (HP:0011563)	3/19	0.011050405030351796720200496793040656484663486480712890625	0.586324430558100129218246365780942142009735107421875	0.0214892083842905534663003663808922283351421356201171875	0.71290948700425094131105652195401489734649658203125	-2.1208864447491846	1.132303111402843	GPC3;NKX2-5;CFC1
Pectus excavatum (HP:0000767)	8/135	0.0198611635034695206691868207826701109297573566436767578125	0.586324430558100129218246365780942142009735107421875	0.04200897531607052093338694476187811233103275299072265625	0.71290948700425094131105652195401489734649658203125	-2.1117960225019483	1.1274498985304637	EFNB1;ZDHHC9;FMR1;COL11A2;IHH;SMS;GPC3;GTF2IRD1
Abnormal connection of the cardiac segments (HP:0011545)	3/19	0.011050405030351796720200496793040656484663486480712890625	0.586324430558100129218246365780942142009735107421875	0.0214892083842905534663003663808922283351421356201171875	0.71290948700425094131105652195401489734649658203125	-2.091903729690875	1.1168297613238354	GPC3;NKX2-5;CFC1
Transposition of the great arteries (HP:0001669)	3/19	0.011050405030351796720200496793040656484663486480712890625	0.586324430558100129218246365780942142009735107421875	0.0214892083842905534663003663808922283351421356201171875	0.71290948700425094131105652195401489734649658203125	-2.07203110461466	1.1062201243669632	GPC3;NKX2-5;CFC1
