Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0000428_abnormal_craniofacial_morphol_	33/896	0.0165353581096607006595267108650659793056547641754150390625	0.347242520302874668747250552769401110708713531494140625	0.00012649145109340598843068737000550072480109520256519317626953125	0.0019922403547211441077191551585201523266732692718505859375	-1.93459029584256	2.0462777482072045	DDR1;RARG;FOXE1;HOXD1;NPR2;COL11A2;IHH;AKAP6;LTBP1;NDST1;EFNB1;FGF6;LMNA;ALX3;GPC3;NKX2-5;TRPM6;HOXA5;TGIF1;FOXD3;GSX1;HUWE1;NFATC2;SHROOM3;EBF2;DMRT3;HIC1;FES;GNAS;HOXB3;GTF2IRD1;IRF6;HMX1
MP0002164_abnormal_gland_physiology_	16/397	0.041147654566092851935454888234744430519640445709228515625	0.397433982681510367118704607491963542997837066650390625	0.0034095367632333574946235099645264199352823197841644287109375	0.0195273469167001369195535431799726211465895175933837890625	-1.6665403469370716	1.5377608414208674	DDR1;GSX1;HPN;RASGRF1;LHB;AGAP2;LIF;AQP5;MAFA;FUT1;ZGLP1;LEP;NKX2-1;PTPN6;NKX2-2;RAPGEF4
MP0002133_abnormal_respiratory_system_	24/622	0.0233355956915855221323052859361268929205834865570068359375	0.36753563214247197965534041941282339394092559814453125	0.0006188175143594311540529151471901059267111122608184814453125	0.00510754750476042317097746803256086423061788082122802734375	-1.5033372018213438	1.5047428323556735	WWTR1;FOXD3;TRAF3IP2;MUSK;CEBPE;IHH;DBX1;DTX1;NFATC2;TACR1;AQP5;CRHR1;SYNE1;NDST1;CROCC;LEP;SCNN1A;LMNA;GPC3;NKX2-1;GNAS;PTPN6;IL12A;HOXA5
MP0002102_abnormal_ear_morphology_	15/369	0.044159331409056708228622056822132435627281665802001953125	0.397433982681510367118704607491963542997837066650390625	0.00420661115040606679860157868233727640472352504730224609375	0.0220847085396318511263391570764724747277796268463134765625	-1.613449157985724	1.4887721976452113	DDR1;GABRA5;COL11A2;HPN;ESPN;HIC1;EFNB1;NR4A3;LMNA;GNAS;IRF6;SLC12A6;HOXA5;ANK;HMX1
MP0002169_no_abnormal_phenotype_	47/1371	0.01626493660657514495060382841984392143785953521728515625	0.347242520302874668747250552769401110708713531494140625	0.00002056062277895820809988335076123888711663312278687953948974609375	0.00064765961753718358055731396660803511622361838817596435546875	-1.1585655079500647	1.2254516234539874	NLGN3;RARG;SEMA3B;RASGRF1;SEZ6;DTX1;ADCY3;SCX;FOXO4;LRRC10;ARHGAP6;LIN7B;CRHR1;CENPB;THBS4;HS6ST2;FGF4;ADAMTS4;FGF6;ADAMTS5;LMNA;ALX3;SCN5A;NKX2-5;CER1;HOXA5;TGIF1;SYT1;FBXW7;ST8SIA1;SPHK1;EBF2;SHISA4;ATP11C;ZBTB33;VAV1;FER;CYP26C1;FES;SCNN1A;GNAS;EVL;PKP3;APBA2;TJP3;HCN1;PLEC
MP0005508_abnormal_skeleton_morphology_	39/1244	0.0820429323869433790861194211174733936786651611328125	0.431734287216866297054451706571853719651699066162109375	0.00072964964353720331013963829036583774723112583160400390625	0.00510754750476042317097746803256086423061788082122802734375	-1.4233396416070667	1.1955269524458332	DDR1;RARG;CEBPE;NPR2;COL11A2;IHH;SCX;HOXD12;LIMD1;LTBP1;SYNE1;EFNB1;ADAMTS5;NDST1;LMNA;GPC3;ALX3;TRPM6;HOXA6;HOXA5;WWTR1;PTPN1;FOXD3;GSX1;MUSK;LIF;EBF2;NFATC2;SHROOM3;DMRT3;ANK1;UNC13D;HIC1;GNAS;HOXB3;GTF2IRD1;IRF6;ANK;HMX1
MP0002873_normal_phenotype_	47/1371	0.01626493660657514495060382841984392143785953521728515625	0.347242520302874668747250552769401110708713531494140625	0.00002056062277895820809988335076123888711663312278687953948974609375	0.00064765961753718358055731396660803511622361838817596435546875	-1.090174008979759	1.1531117575866658	NLGN3;RARG;SEMA3B;RASGRF1;SEZ6;DTX1;ADCY3;SCX;FOXO4;LRRC10;ARHGAP6;LIN7B;CRHR1;CENPB;THBS4;HS6ST2;FGF4;ADAMTS4;FGF6;ADAMTS5;LMNA;ALX3;SCN5A;NKX2-5;CER1;HOXA5;TGIF1;SYT1;FBXW7;ST8SIA1;SPHK1;EBF2;SHISA4;ATP11C;ZBTB33;VAV1;FER;CYP26C1;FES;SCNN1A;GNAS;EVL;PKP3;APBA2;TJP3;HCN1;PLEC
MP0001968_abnormal_touch/_nociception_	9/211	0.08223510232702214983735444775447831489145755767822265625	0.431734287216866297054451706571853719651699066162109375	0.01869523231300078414118814862376893870532512664794921875	0.0841285454085035355742405727141886018216609954833984375	-1.312957352348179	1.102811905366365	MUSK;KCNIP3;LEP;GRIK5;FMR1;OSM;TACR1;CDH8;PIRT
MP0002163_abnormal_gland_morphology_	37/1129	0.053847401912130742063222754723028629086911678314208984375	0.424048290058029575533282695687375962734222412109375	0.000455398666430883764140447045321025143493898212909698486328125	0.00478168599752427925242415085449465550482273101806640625	-1.0190322210565397	0.8742358321224312	KLB;DDR1;RARG;FOXE1;NPR2;FMR1;LHB;RASGRF1;IHH;AGAP2;PIK3CD;CRHR1;CENPB;EFNB1;NDST1;LMNA;SOHLH2;NKX2-1;MOV10L1;HOXA5;NKX2-2;PTPN1;GSX1;LIMK2;TNK1;LIF;EBF2;BMP8B;HSPA2;MAFA;OVOL1;DAZL;ZGLP1;MAB21L1;GNAS;HOXB3;FKBP6
MP0000001_mammalian_phenotype_	47/1459	0.041754840309990555458075078831825521774590015411376953125	0.397433982681510367118704607491963542997837066650390625	0.000094731828722088441793909574517584815112059004604816436767578125	0.001989368403163857372539791157350919093005359172821044921875	-0.846228781064164	0.7808376705643123	NLGN3;RARG;SEMA3B;RASGRF1;SEZ6;DTX1;ADCY3;SCX;FOXO4;LRRC10;ARHGAP6;LIN7B;CRHR1;CENPB;THBS4;HS6ST2;FGF4;ADAMTS4;FGF6;ADAMTS5;LMNA;ALX3;SCN5A;NKX2-5;CER1;HOXA5;TGIF1;SYT1;FBXW7;ST8SIA1;SPHK1;EBF2;SHISA4;ATP11C;ZBTB33;VAV1;FER;CYP26C1;FES;SCNN1A;GNAS;EVL;PKP3;APBA2;TJP3;HCN1;PLEC
