Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	35/111	0.00000000000000000000824659332020065376789780850706678565624773090314734587369903395792647415873943828046321868896484375	0.000000000000000010687584942980047210973186910637209720897886403544185807135136201395653188228607177734375	0.00000000000001966179845701214159943387898524972274213475607884671347846960998140275478363037109375	0.0000000000254816908002877351594566216258703518493522466314971097745001316070556640625	-2.0928581235265966	81.78355635985793	EDA;IGSF1;FHL1;ARX;PHF6;SAT1;FGD1;RPGR;MED12;AIFM1;OPHN1;PGK1;GPC3;IDS;ATP7A;EMD;GPR179;TRAPPC2;IGBP1;PDHA1;GK;IQSEC2;ATP6AP2;ALG13;PHKA1;UBE2A;POU3F4;FGF16;CLCN5;SLC6A8;SMS;UBA1;MAMLD1;MBTPS2;BRWD3
X-linked dominant inheritance (HP:0001423)	19/62	0.000000000011379246270352429865322410430520847467172895761677864356897771358489990234375	0.00000000737375158318837439763255710528482012033890669044922105967998504638671875	0.00000004418608571012829580942839376167530218708634492941200733184814453125	0.000028632583540163136955059020039016104419715702533721923828125	-1.9176835215642711	35.909274469219625	AMER1;SLC35A2;CDKL5;PDHA1;EDA;GK;FMR1;FHL1;NDUFA1;CASK;HCCS;HDAC6;EFNB1;RPS6KA3;PORCN;SLC9A6;NHS;PDK3;BCOR
Patent ductus arteriosus (HP:0001643)	20/125	0.0000006095101356367923517385882907493321880565417814068496227264404296875	0.0001974812839463207223868190798299337984644807875156402587890625	0.0001151712088922376129619673523762912736856378614902496337890625	0.037315471681084989852283939626431674696505069732666015625	-2.2945045112467573	19.571817722014845	AMER1;TBX1;IGBP1;COL18A1;FOXC2;FOXF1;LIMK1;ARX;AMMECR1;ACSL4;ANK1;PORCN;SALL1;ZIC3;NSD1;LMNA;GPC3;ANKS6;KCNE1L;BCOR
Tapered finger (HP:0001182)	12/42	0.000000173659951745132119789208585518280880677366440067999064922332763671875	0.00007502109915389707363135574080814649278181605041027069091796875	0.00002768444628825195735657808959739867304961080662906169891357421875	0.0119596807965248463911933640702045522630214691162109375	-2.03292175956727	19.3081646748448	RPS6KA3;FAM134B;CDKL5;GJB4;ARX;HUWE1;AMMECR1;KCNE1L;ACSL4;SLC12A6;GATA2;PHF6
Cryptorchidism (HP:0000028)	37/379	0.000006350798722628745417162487996165509684942662715911865234375	0.00091451501605853934007139827144783339463174343109130859375	0.002042889312711401901545560377826404874213039875030517578125	0.27094335007098047096718573811813257634639739990234375	-2.4937853230245626	17.449306855891027	MESP2;ANKRD11;FMR1;ARX;PHF6;FGD1;PHF8;MED12;LFNG;EFNB1;SOX3;PORCN;SALL1;FGF8;OPHN1;TBX22;NSD1;TCTN2;AP1S2;GPC3;GPC4;RBM10;TBX1;GK;SPRY4;LIMK1;HNF1B;PAX6;SOX10;ANK1;POLA1;SMS;UBA1;ROR2;BCOR;BRWD3;MBTPS2
Pectus excavatum (HP:0000767)	20/135	0.00000211892458007633668884612566929437349472209461964666843414306640625	0.00054922525115578646297265219544669889728538691997528076171875	0.0002918907292387013245778260017715410867822356522083282470703125	0.0638280591641718630935287137617706321179866790771484375	-2.3160598177519893	17.386665468724324	IGBP1;AMER1;CUL7;FMR1;LIMK1;IHH;SOX10;FGD1;MED12;RPS6KA3;EFNB1;EFEMP2;SLC9A6;SMS;GPC3;ROR2;GPC4;ATP7A;SCARF2;EMD
Macrotia (HP:0000400)	17/105	0.000003552049919468836512194409582576781758689321577548980712890625	0.000746382736821388052816939051581357489340007305145263671875	0.0003396323507567553770698787207749091976438648998737335205078125	0.0638280591641718630935287137617706321179866790771484375	-2.1628045050822653	15.572780800062873	FMR1;ANKRD11;LIMK1;CASK;PIK3R1;PHF6;SALL1;OPHN1;SLC9A6;TBX22;NSD1;NHS;UBA1;SLC12A6;SCARF2;MBTPS2;BRWD3
Long face (HP:0000276)	16/95	0.0000040313882390044107791038374699610358220525085926055908203125	0.000746382736821388052816939051581357489340007305145263671875	0.0003447503195595702702759555169365057736285962164402008056640625	0.0638280591641718630935287137617706321179866790771484375	-2.0697135668892512	14.902500720866872	TBX1;MUSK;FMR1;ANKRD11;PHF8;MED12;SLC6A8;OPHN1;SLC9A6;TCTN2;AP1S2;NHS;BCOR;SLC12A6;ATP7A;BRWD3
Mandibular prognathia (HP:0000303)	16/97	0.0000053324862185332105876472107153229984533027163706719875335693359375	0.00086386276740238010334038687432212100247852504253387451171875	0.0004242986228467184105055121090543934769812040030956268310546875	0.0687363769011683778398236199791426770389080047607421875	-2.0554501258757543	14.499343817996285	CUL7;CDKL5;MUSK;FMR1;LRP5;HNF1B;RPS6KA3;SLC6A8;SLC9A6;OPHN1;NSD1;SMS;AP1S2;NHS;GPC3;GPC4
Ventricular septal defect (HP:0001629)	20/176	0.00011028581136929269438350098564427526071085594594478607177734375	0.0109946470411233336583745057168925995938479900360107421875	0.005485706495962381322450962528591844602487981319427490234375	0.355473780938362293735366392866126261651515960693359375	-2.305391874029961	10.398116763228453	AMER1;TBX1;IGBP1;FOXC2;FOXF1;ANKRD11;LIMK1;ARX;LRP5;HCCS;GDF3;MED12;PORCN;SALL1;ZIC3;NSD1;GPC3;ROR2;BCOR;GPC4
Hypospadias (HP:0000047)	13/84	0.000079486048614175637007893404639702339409268461167812347412109375	0.0103013919003971630983240714840576401911675930023193359375	0.0024661026800546445060524636261334308073855936527252197265625	0.27094335007098047096718573811813257634639739990234375	-2.069627402379577	9.469531040249867	CUL7;ARX;HCCS;HNF1B;MED12;EFNB1;POLA1;SALL1;TBX22;LMNA;GPC3;UBA1;MAMLD1
Delayed eruption of teeth (HP:0000684)	13/86	0.000101886290468463971948219481955533183281659148633480072021484375	0.0109946470411233336583745057168925995938479900360107421875	0.00296618856117314595721712322529128869064152240753173828125	0.2957061827138767196032631545676849782466888427734375	-2.0902834688868137	9.427903265633194	AMER1;CUL7;EDA;PIK3R1;TCIRG1;FGD1;RPS6KA3;PORCN;LMNA;IDS;BCOR;FAM20A;ROR2
Short neck (HP:0000470)	20/182	0.000174576825713769674154607347560386187979020178318023681640625	0.0141407228828153430644221089096390642225742340087890625	0.007673798744382744584091593509356243885122239589691162109375	0.3763392528803617409494108869694173336029052734375	-2.2031918241316184	9.382725302692602	TRAPPC2;TBX1;MESP2;IGBP1;CUL7;ANKRD11;FHL1;HNF1B;UBE2A;GDF3;FGD1;MED12;LFNG;EFNB1;TCTN2;GPC3;IDS;UBA1;ROR2;GPC4
Broad forehead (HP:0000337)	12/77	0.00013852332512598170802427255399180694439564831554889678955078125	0.0128233020973765911298958286579363630153238773345947265625	0.003420984151831840680557661471539177000522613525390625	0.314540377233015921998315889140940271317958831787109375	-1.9531251045999787	8.508772500137615	TBX1;MESP2;LFNG;CUL7;SLC6A8;CDKL5;TCTN2;NSD1;LIMK1;LRP5;CASK;FGD1
Camptodactyly of finger (HP:0100490)	15/121	0.0003015423377603712877699504435469179952633567154407501220703125	0.0186915101680580099385853287685677059926092624664306640625	0.00784040110167420235820490148626049631275236606597900390625	0.3763392528803617409494108869694173336029052734375	-2.1345143552008294	8.494696597188362	MESP2;FGD1;LFNG;MED12;EFNB1;PORCN;NSD1;LMNA;GPC3;UBA1;ROR2;BCOR;GPC4;SCARF2;MBTPS2
Narrow face (HP:0000275)	10/53	0.0000961905215688279072693001037208659909083507955074310302734375	0.0109946470411233336583745057168925995938479900360107421875	0.0021994800478141334799941919442289872677065432071685791015625	0.27094335007098047096718573811813257634639739990234375	-1.8806938567138853	8.482581438015112	MED12;TBX1;SLC6A8;SLC9A6;FMR1;LIMK1;LMNA;NHS;BCOR;ATP7A
Dental malocclusion (HP:0000689)	12/81	0.0002266888629062568743209593602472295970073901116847991943359375	0.0172816921368534638647762591290302225388586521148681640625	0.0049348564077342747802301659021395607851445674896240234375	0.3553096613568678119321475605829618871212005615234375	-2.0360333846115726	8.262442543423312	FAM83H;AMER1;RPS6KA3;PORCN;MUSK;LIMK1;LRP5;GPC3;PAX6;PIK3R1;BCOR;ROR2
Increased number of teeth (HP:0011069)	6/20	0.00016977166298487420567457639730690743817831389605998992919921875	0.0141407228828153430644221089096390642225742340087890625	0.0025087347228794488855629918333534078556112945079803466796875	0.27094335007098047096718573811813257634639739990234375	-1.900932419979236	8.095494237174666	NHS;AMMECR1;ACSL4;KCNE1L;BCOR;ROR2
