Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002873_normal_phenotype_	106/1375	0.000000013756104498860862566037423053433297326364481705240905284881591796875	0.000004680344457545810787847846701215104303628322668373584747314453125	0.0000000000000000624342607437292315899740555728358182203372277727961014992530408562743104994297027587890625	0.0000000000000132984975384143263656423287692489576596066060132361741352724493481218814849853515625	-1.0812799841946958	13.269618100361248	GALNT13;SCX;DACH2;SAT1;HS6ST2;FGF4;EFEMP2;FGF8;SALL1;PEG12;SOX15;CCRL2;MAP3K9;SOX6;EPHB2;HOXA5;FBXW7;EBF2;ATP11C;ACSL4;SHISA3;ZBTB33;SOX10;CCNE1;IL23A;SCNN1A;PKP3;CFB;MTMR1;IGSF1;ARX;TWIST2;DTX1;FOXO4;PIK3R1;GATA2;CRHR1;PDGFC;ALX3;MBP;PCK1;RBM10;WNT4;EGR2;ST8SIA1;HPRT;GRIN2C;IGF2R;POLA1;FES;TAB3;GABRB3;RAB9;KCNK9;KCNC3;RASGRF1;HMGB3;HCCS;TCIRG1;WDR44;ADAMTS4;TRO;MED12;ADAMTS5;SEPT6;TIMP2;ATP7A;PGM1;MYOG;TGIF1;ARG1;VBP1;PAX6;KIF4;ALDH1A2;HAND1;SOS2;PLEC;NLGN3;SEZ6;XIAP;TXLNG;HDAC6;NEURL1A;CECR2;TBX22;FAM120C;LMNA;PAK6;APBB1;TAF9B;RUNX1T1;TBX1;USP9X;EPOR;CLCN5;ETNK2;DLC1;RLIM;RBM41;TACC2;APBA2;CBLN3;TJP3;GPHB5;A830080D01RIK
MP0002169_no_abnormal_phenotype_	105/1370	0.0000000219734481574920699857364080227750680052167808753438293933868408203125	0.000004680344457545810787847846701215104303628322668373584747314453125	0.000000000000000137897331400521952450041310425397029934721133156809436126621903895284049212932586669921875	0.00000000000001958142105887411877632386994611675123595449614366525992181777837686240673065185546875	-1.0554201375762615	12.952262472053645	GALNT13;SCX;DACH2;SAT1;HS6ST2;FGF4;EFEMP2;FGF8;SALL1;PEG12;SOX15;CCRL2;MAP3K9;SOX6;EPHB2;HOXA5;FBXW7;EBF2;ATP11C;ACSL4;SHISA3;ZBTB33;SOX10;CCNE1;IL23A;SCNN1A;PKP3;CFB;MTMR1;IGSF1;ARX;TWIST2;DTX1;FOXO4;PIK3R1;GATA2;CRHR1;PDGFC;ALX3;PCK1;RBM10;WNT4;EGR2;ST8SIA1;HPRT;GRIN2C;IGF2R;POLA1;FES;TAB3;GABRB3;RAB9;KCNK9;KCNC3;RASGRF1;HMGB3;HCCS;TCIRG1;WDR44;ADAMTS4;TRO;MED12;ADAMTS5;SEPT6;TIMP2;ATP7A;PGM1;MYOG;TGIF1;ARG1;VBP1;PAX6;KIF4;ALDH1A2;HAND1;SOS2;PLEC;NLGN3;SEZ6;XIAP;TXLNG;HDAC6;NEURL1A;CECR2;TBX22;FAM120C;LMNA;PAK6;APBB1;TAF9B;RUNX1T1;TBX1;USP9X;EPOR;CLCN5;ETNK2;DLC1;RLIM;RBM41;TACC2;APBA2;CBLN3;TJP3;GPHB5;A830080D01RIK
MP0002063_abnormal_learning/memory/cond_	35/403	0.00012480114814438623038923836805480505063314922153949737548828125	0.01772176303650284390212021889965399168431758880615234375	0.000000462576268352349736641643089540831823569533298723399639129638671875	0.000039411498063620192225560423526786735237692482769489288330078125	-1.6604978267694923	6.696724378394471	NLGN3;DOC2A;SH3KBP1;FMR1;ARX;CAMK2A;RASGRF1;SEZ6;CRMP1;HTR2C;ADRA1D;CRHR1;NEURL1A;RPS6KA3;NETO1;HRH3;OPHN1;TIMP2;PAK6;MBP;APBB1;SYNPO;NPTX2;SLC12A6;IGBP1;KL;NOS3;GABRA5;LIMK1;HPRT;MAPK8IP2;ARC;DLG3;KCNMA1;APBA2
MP0002084_abnormal_developmental_patter_	35/421	0.000288045226824833341082443549652225556201301515102386474609375	0.0306768166568447513131712156564390170387923717498779296875	0.00000118954938594863761995817745542591836738210986368358135223388671875	0.000084458006402353280757909492759694103369838558137416839599609375	-1.6790236090544581	5.8501347650034585	MESP2;OTUD5;NDUFA13;ANKRD11;LRP5;IHH;SCX;HCCS;FGF4;LFNG;MED12;FGF8;ZIC3;NSD1;RBBP7;NKX3-2;CCDC160;TGIF1;AMN;USP9X;LMO2;HUWE1;ALG13;FOXJ1;BMP8B;HNF1B;GDF3;ARC;NR4A3;DLG3;TLX2;ALDH1A2;ELF5;HAND1;BCOR
MP0000749_muscle_degeneration_	7/40	0.00170584946183408958479688077858327233116142451763153076171875	0.10381312439161745342364184807593119330704212188720703125	0.000654222191769580235266856593767670347006060183048248291015625	0.0099535233462086127043111360990224056877195835113525390625	-2.0269049756009125	4.591269905973273	DES;CAV3;AIFM1;SCN8A;LMNA;KY;PLEC
MP0003635_abnormal_synaptic_transmissio_	36/453	0.000554210228075914892488518237456673887209035456180572509765625	0.04721871143206794740887488615044276230037212371826171875	0.0000022079498053442805669357475173431026860271231271326541900634765625	0.000134369516725237644720614138549308336223475635051727294921875	-1.5015746849621239	4.584255012585847	GABRB3;NLGN3;DOC2A;FMR1;CAMK2A;RASGRF1;SEZ6;CRMP1;HTR2C;ADRA1D;DOC2B;CDH8;OPHN1;NETO1;DPYSL4;HRH3;TIMP2;MBP;SYNPO;SLC12A6;TBX1;TRPC5;MUSK;GABRA5;NOS3;CACNA2D1;LIMK1;CASK;GRIN2C;MAPK8IP2;ARC;FGF14;DLG3;SCN8A;KCNMA1;HCN2
MP0005508_abnormal_skeleton_morphology_	13/127	0.00422639666457387541687040766191785223782062530517578125	0.1800444979108470899831218048348091542720794677734375	0.00051605635006161097201593523919882500194944441318511962890625	0.00845538481254793326813423703924854635260999202728271484375	-1.841416235067535	3.157202503973361	MESP2;EDA;IHH;LRP5;SCX;LFNG;EFNB1;LMNA;IDS;ROR2;ATP7A;NKX3-2;HOXA5
MP0002116_abnormal_craniofacial_bone_	33/467	0.005894119773119058970645145478783888393081724643707275390625	0.2092412519457265973610304854446440003812313079833984375	0.0000557217424781131142534455757964195754539105109870433807373046875	0.0019852585451562263126057406026347962324507534503936767578125	-1.9628229848713656	3.0703799624476233	FOXC2;EDA;HOXD1;ANKRD11;NPR2;LRP5;IHH;MED12;NDST1;EFNB1;RPS6KA3;FGF8;ZIC3;TBX22;LMNA;ALX3;GPC3;IDS;SOSTDC1;NKX3-2;TBX1;EGR2;SPRY4;TRP73;NFATC2;CASK;PAX6;VAX1;POU3F4;MN1;HOXD4;ROR2;HMX1
MP0004142_abnormal_muscle_tone_	7/49	0.0055697282355964550237814592037466354668140411376953125	0.2092412519457265973610304854446440003812313079833984375	0.00188916629675222355437547161471911749686114490032196044921875	0.0187785923285532820037335710594561533071100711822509765625	-1.8638852537730795	2.91561489731664	SLC7A7;EHHADH;TWIST2;NFATC2;HTR2C;ADRA1D;SLC12A6
MP0002088_abnormal_embryonic_growth/wei_	29/385	0.003983448862503672326107473367073907866142690181732177734375	0.1800444979108470899831218048348091542720794677734375	0.000055922775919893695701669289466195778004475869238376617431640625	0.0019852585451562263126057406026347962324507534503936767578125	-1.6098284993332752	2.7601334626422958	C330007P06RIK;LRP5;SCX;HCCS;SALL1;AIFM1;ZIC3;GRB10;PELO;TGIF1;PDHA1;FBXW7;HUWE1;BMP8B;HNF1B;HPRT;ZFX;IGF2R;ZDHHC15;FGF16;ARC;NR4A3;SLC7A7;CCNE1;ELF5;PARD3;HAND1;BCAR1;BRWD3
