Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	43/111	0.0000000000000000000384617031876737012818331126222450036349093800362635505070418862061387699213810265064239501953125	0.000000000000000055923316434877564023049527627108155278731218239263167646413421607576310634613037109375	0.000000000000697114442521161692353308836848177029612942667835540078158373944461345672607421875	0.00000000101360439942576920387733922616912973779790263506583869457244873046875	-2.0928581235265966	78.32008833764118	EDA;FHL1;ARX;TAZ;PHF6;SAT1;FGD1;RPGR;AFF2;MED12;AIFM1;OPHN1;PGK1;GPC3;IDS;PAK3;ABCD1;EMD;GPR179;OFD1;TRAPPC2;PDHA1;GK;IQSEC2;NAA10;ATP6AP2;ATP2B3;PHKA1;UBE2A;MID1;SYN1;FGF16;ARHGEF9;CLCN5;SLC6A8;FRMD7;DKC1;PIGA;SMS;UBA1;MAMLD1;MBTPS2;BRWD3
X-linked dominant inheritance (HP:0001423)	27/62	0.000000000000011537613337077367701619398714351921117967649486890646670644855475984513759613037109375	0.0000000000083878448960552462733233703625151619388822243905678988085128366947174072265625	0.000000002498258382832033808980268927064406769833482258036383427679538726806640625	0.000001816233844318888660605945846449049696502697770483791828155517578125	-1.9176835215642711	48.90905597274867	AMER1;EDA;FMR1;FHL1;HCCS;WDR45;HDAC6;EFNB1;RPS6KA3;PORCN;LAMP2;NHS;PLS3;PDK3;SLC16A2;OFD1;SLC35A2;CDKL5;PDHA1;GK;NDUFA1;CASK;SYN1;SLC9A6;FRMD7;NDUFS6;BCOR
Patent ductus arteriosus (HP:0001643)	24/125	0.0000229648902290535588993809767988096837143530137836933135986328125	0.01113031679768129202090509721756461658515036106109619140625	0.00193026161361881045015753688431914270040579140186309814453125	0.92220027930606163213411718970746733248233795166015625	-2.3041447718420174	10.364233622914998	AMER1;COL18A1;FOXC2;FOXC1;GP1BB;ARX;AMMECR1;ACSL4;ANK1;ARVCF;PORCN;ZIC3;NSD1;EOGT;LMNA;GPC3;ANKS6;GTF2IRD1;MYH11;KCNE1L;BCOR;NKX2-5;MEGF8;STRA6
Cryptorchidism (HP:0000028)	49/379	0.0002066314330624874893473086334694244214915670454502105712890625	0.040671819620094550040700909221413894556462764739990234375	0.0220284450583270070833652454211915028281509876251220703125	0.92220027930606163213411718970746733248233795166015625	-2.525816205835693	8.088218713414626	FMR1;PHF6;PHF8;MED12;SOX3;FGF8;OPHN1;AP1S2;PIEZO2;OFD1;GP1BB;TACR3;SOX11;HNF1B;SOX10;ANK1;MID1;DKC1;SMS;IRF6;ROR2;ARX;FGD1;DLL3;EFNB1;PORCN;ARVCF;TBX22;NSD1;GSC;GPC3;NDN;GPC4;NKX2-5;RBM10;STRA6;GK;NAA10;BDNF;WNT7A;FGF17;GJB6;GTF2IRD1;UBA1;LHX4;BCOR;MEGF8;BRWD3;MBTPS2
High palate (HP:0000218)	29/191	0.0002946228534783099160636321567352524652960710227489471435546875	0.042838162895746260960816442775467294268310070037841796875	0.013525811043587000759291782969739870168268680572509765625	0.92220027930606163213411718970746733248233795166015625	-2.4038766099000126	7.5729947860178655	AMER1;KCNK9;ARX;MED12;RPS6KA3;EFEMP2;SEPN1;GSC;NSD1;LMNA;PIEZO2;SPEG;SLC12A6;PAK3;RBM10;OFD1;TGFB2;NAA10;ABCC6;WNT7A;MID1;KLHL41;ZDHHC15;DLG3;PIGA;SMS;FAM20C;DCHS1;MEGF8
Pectus excavatum (HP:0000767)	23/135	0.0002247282704169473459450412367033322880160994827747344970703125	0.040671819620094550040700909221413894556462764739990234375	0.00866043868921119279480347330490985768847167491912841796875	0.92220027930606163213411718970746733248233795166015625	-2.296606122966271	7.354237643341322	AMER1;NAA10;FMR1;COL11A2;IHH;SOX10;FGD1;MED12;RPS6KA3;EFNB1;EFEMP2;SEPN1;SLC9A6;SMS;PIEZO2;GPC3;FAM20C;GTF2IRD1;ROR2;GPC4;MEGF8;SLC16A2;EMD
Macrotia (HP:0000400)	20/105	0.000120253539042609121530180704695567328599281609058380126953125	0.0378588585329684701452634953966480679810047149658203125	0.00490738147247182614207883233348184148781001567840576171875	0.92220027930606163213411718970746733248233795166015625	-2.1818489713486366	7.14313414701225	NAA10;FMR1;WNT7A;CASK;PIK3R1;TAZ;PHF6;OPHN1;SLC9A6;TBX22;NSD1;NHS;PIEZO2;GTF2IRD1;UBA1;SLC12A6;PAK3;SLC16A2;MBTPS2;BRWD3
Delayed eruption of teeth (HP:0000684)	17/86	0.00023901097355390587130379020930348588080960325896739959716796875	0.040671819620094550040700909221413894556462764739990234375	0.00673950267419775976562856811824531177990138530731201171875	0.92220027930606163213411718970746733248233795166015625	-2.1287584180397667	6.816752396056246	AMER1;EDA;NAA10;PIK3R1;TCIRG1;ANTXR1;FGD1;PTHLH;RPS6KA3;PORCN;GJB6;LMNA;GNAS;IDS;BCOR;FAM20A;ROR2
Inguinal hernia (HP:0000023)	17/82	0.00013018864694968525111233581537106829273398034274578094482421875	0.0378588585329684701452634953966480679810047149658203125	0.0044605513623923072341614926017427933402359485626220703125	0.92220027930606163213411718970746733248233795166015625	-2.067131618705539	6.7675621208636	OFD1;TGFB2;NAA10;PIK3R1;FGD1;MED12;RPS6KA3;GLRA1;EFEMP2;PORCN;PIEZO2;GPC3;IDS;UBA1;ROR2;MBTPS2;STRA6
Abnormality of the tricuspid valve (HP:0001702)	7/19	0.0003338334006601291654992014201752681401558220386505126953125	0.043739581570992745740422691369531094096601009368896484375	0.005423740722236807497436128500112317851744592189788818359375	0.92220027930606163213411718970746733248233795166015625	-2.0611738081064064	6.450447204535472	RPS6KA3;ARVCF;GP1BB;HCCS;CCDC22;ROR2;SCN5A
