Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003123_paternal_imprinting_	8/14	0.000000095607022440325886282843671770681481802967027761042118072509765625	0.0000207831783735489168674082094412369769997894763946533203125	0.0000006156404000600707238227151350817845099072656012140214443206787109375	0.000052575690165130046908360805790749736843281425535678863525390625	-1.9871361469483468	21.424043344965476	CDKN1C;MEG3;CITED1;RASGRF1;GRB10;GNAS;GPC3;PHLDA2
MP0002873_normal_phenotype_	114/1375	0.0000000976072925295224308111789366347588181582750621601007878780364990234375	0.0000207831783735489168674082094412369769997894763946533203125	0.000000000000001550062651219331556211008736880100043016564499188947312546815737732686102390289306640625	0.000000000000330938376035327277488896663213880267213895525202360659022815525531768798828125	-1.0657437718621274	11.490174338615521	GALNT13;SYAP1;SCX;SLC4A2;DACH2;SAT1;HS6ST2;FGF4;COMP;EFEMP2;SALL1;CCRL2;SOX6;HOXA5;NKX6-2;FBXW7;EBF2;ATP11C;ACSL4;SHISA3;ZBTB33;POU3F1;SOX10;FTSJ1;DKC1;PKP3;CFB;DSC3;MTMR1;IGSF1;ARX;TWIST2;FOXO4;PIK3R1;CRHR1;MTM1;PDZD4;KCNMB4;MBP;PCK1;RBM10;ZRSR1;STAT5A;BDNF;NONO;FZD6;MSN;HPRT;SSH3;IGF2R;FER;H1F0;LRCH2;FES;BAMBI;MDM2;GNAS;LHX6;TAB3;RAB9;RASGRF1;HMGB3;HCCS;TCIRG1;ARHGAP6;SLC6A3;WDR44;ADAMTS4;TRO;MED12;ADAMTS5;SEPT6;MED14;NKRF;SCN5A;ATP7A;ABCD1;MYOG;TGIF1;TGIF2;VBP1;CTPS2;VAV1;KIF4;FGR;CYP26C1;EVL;PLEC;SEMA3B;AKAP8;XIAP;TXLNG;LRRC10;CENPB;HDAC6;ENOX2;CECR2;FTMT;FAM120C;LMNA;PAK6;TAF9B;RUNX1T1;TBX1;GDF10;CDX4;USP9X;CLCN5;RLIM;RBM41;TACC2;APBA2;TJP3;A830080D01RIK
MP0002169_no_abnormal_phenotype_	113/1370	0.0000001460176466525684934067851224182010838603673619218170642852783203125	0.0000207831783735489168674082094412369769997894763946533203125	0.0000000000000030806849185383181492140498174070715700322551679202209840013892971910536289215087890625	0.0000000000004384841534052872929674175884034187868792432907216749526924104429781436920166015625	-1.0398894323129881	11.211429224946864	GALNT13;SYAP1;SCX;SLC4A2;DACH2;SAT1;HS6ST2;FGF4;COMP;EFEMP2;SALL1;CCRL2;SOX6;HOXA5;NKX6-2;FBXW7;EBF2;ATP11C;ACSL4;SHISA3;ZBTB33;POU3F1;SOX10;FTSJ1;DKC1;PKP3;CFB;DSC3;MTMR1;IGSF1;ARX;TWIST2;FOXO4;PIK3R1;CRHR1;MTM1;PDZD4;KCNMB4;PCK1;RBM10;ZRSR1;STAT5A;BDNF;NONO;FZD6;MSN;HPRT;SSH3;IGF2R;FER;H1F0;LRCH2;FES;BAMBI;MDM2;GNAS;LHX6;TAB3;RAB9;RASGRF1;HMGB3;HCCS;TCIRG1;ARHGAP6;SLC6A3;WDR44;ADAMTS4;TRO;MED12;ADAMTS5;SEPT6;MED14;NKRF;SCN5A;ATP7A;ABCD1;MYOG;TGIF1;TGIF2;VBP1;CTPS2;VAV1;KIF4;FGR;CYP26C1;EVL;PLEC;SEMA3B;AKAP8;XIAP;TXLNG;LRRC10;CENPB;HDAC6;ENOX2;CECR2;FTMT;FAM120C;LMNA;PAK6;TAF9B;RUNX1T1;TBX1;GDF10;CDX4;USP9X;CLCN5;RLIM;RBM41;TACC2;APBA2;TJP3;A830080D01RIK
MP0003121_genomic_imprinting_	9/45	0.0003579897450166678418530252780982436888734810054302215576171875	0.02547693685368619676001600282688741572201251983642578125	0.00013360570698709976918648612009832277180976234376430511474609375	0.00356560230521822500715511949920255574397742748260498046875	-2.0477802745145524	7.5153160781640755	MEG3;CDKN1C;CITED1;RASGRF1;GNAS;GRB10;GPC3;PHLDA2;IGF2R
MP0002116_abnormal_craniofacial_bone_	40/467	0.000842255278143658257621051443919668599846772849559783935546875	0.042062488927138132199790021559238084591925144195556640625	0.00000359320470238942220425853828202900075439174543134868144989013671875	0.0002191854868457547328604306802191103997756727039813995361328125	-2.025163275137684	6.416930196448085	CDKN1C;DDR1;FOXC2;FOXC1;EDA;HOXD1;COL11A2;LEF1;IHH;LTBP1;PTHLH;MECP2;MED12;NDST1;RAI1;EFNB1;RPS6KA3;ZIC3;LMNA;GPC3;IDS;PITX1;NKX3-2;TBX1;OFD1;DMRT2;SPRY4;NFATC2;SHROOM3;CASK;DMRT3;SOX11;HIC1;PIGA;GNAS;HOXB3;GTF2IRD1;IRF6;SIM2;HMX1
MP0002081_perinatal_lethality_	77/981	0.000083500068533056274783406280892705808582832105457782745361328125	0.00891363231590375747204202383500160067342221736907958984375	0.00000000221158086526527470746824506901868911956654528694343753159046173095703125	0.000000236086257367068073574669089149946632488763498258776962757110595703125	-1.348117898893779	6.363350318201362	CDKN1C;MESP2;SLC23A2;EDA;CITED1;ITGB4;IHH;SLC4A2;CELSR3;SYNE1;NDST1;EFEMP2;SALL1;MECOM;CDH1;GRB10;ATP7A;SOX6;PITX1;NKX3-2;HOXA5;MYOG;OFD1;CARD10;FBXW7;SHROOM3;CASK;SOX11;POU3F1;ZFX;SOX10;ANK1;HIC1;CLDN5;SLC7A7;PIGA;EHHADH;HOXB3;IRF6;HMX1;DSC3;MEG3;FOXC2;FOXC1;OAT;ABCB7;ARX;TWIST2;DBX1;AKAP8;PIK3R1;LPP;LTBP1;PTHLH;MTM1;CECR2;EFNB1;ERBB4;GPC3;RUNX1T1;STAT5A;SLC12A5;DMRT2;BDNF;NOS3;WNT7B;HUWE1;UNCX;NR2F2;HPRT;LBX1;IGF2R;DLG3;NPHS1;GNAS;LHX4;CRLF1
MP0005508_abnormal_skeleton_morphology_	16/127	0.00068301806018209354660897236755090489168651401996612548828125	0.041664101671107713065200783830732689239084720611572265625	0.00006731339155335877111156761554155991689185611903667449951171875	0.0022109860148680150933320209816201895591802895069122314453125	-1.8915022388690632	6.011412379609944	MESP2;FOXC1;EDA;IHH;LIF;SCX;HOXD10;COMP;EFNB1;LMNA;IDS;IRF6;ATP7A;ANK;NKX3-2;HOXA5
MP0002249_abnormal_larynx_morphology_	7/35	0.0016097130078783308294865239673754331306554377079010009765625	0.06248613221491339242419371657888405025005340576171875	0.000746782888108118926735745635170360401389189064502716064453125	0.009110751234919049756921793914443696849048137664794921875	-1.8902659831466981	5.2413496142829885	TBX1;MYOG;RAI1;FOXC1;ZIC3;HOXB3;HOXA5
MP0001943_abnormal_respiration_	38/438	0.00088656299846426984100078438899572574882768094539642333984375	0.042062488927138132199790021559238084591925144195556640625	0.0000048438230095260185068743556680015416304740938358008861541748046875	0.0002585390531334512648035939275104055923293344676494598388671875	-1.6239099973958964	5.145519488000396	MEG3;CDKN1C;SLC23A2;FOXC1;ITGB4;IHH;DBX1;AKAP8;AQP5;CELSR3;PTHLH;CRHR1;SYNE1;MTM1;MECP2;NDST1;LMNA;SLIT3;KCNN3;SOX6;ATP7A;NKX3-2;IL13RA1;MYOG;TBX1;STAT5A;SLC12A5;DMRT2;NOS3;BDNF;WNT7B;UNCX;CASK;SOX11;POU3F1;IGF2R;GNAS;SIM2
MP0001731_abnormal_postnatal_growth_	56/732	0.00137711812215071129593402243784794336534105241298675537109375	0.058802943815835374830047754812767379917204380035400390625	0.000001057201687368831492707592183133424867946814629249274730682373046875	0.0000752375200844151753760968848183665613760240375995635986328125	-1.554779691160332	4.4055667664212965	DDR1;CDKN1C;SUV39H1;RASGRF1;IRS4;HTR2C;AQP5;SLC4A2;TCIRG1;SLC6A3;SYNE1;MECP2;SOX3;ZIC3;ATP7A;HOXA5;GPX1;CASK;EBF2;SOX10;SLC7A7;EHHADH;CLDN7;EEF1A2;PLEC;MEG3;DLX3;COL11A2;ARX;PTHLH;MTM1;RAI1;RELN;BAG3;LMNA;GPC3;SLC17A7;PCK1;HOXC9;RUNX1T1;SLC12A5;HELT;BDNF;SPRY4;LIF;NFATC2;APEX2;GPR50;NR2F2;MAFA;SLC6A5;TLX2;FES;DLG5;GNAS;GTF2IRD1
